factor_id,mean_training_ic,absolute_mean_training_ic,training_ic_months,selection_rank,selected,direction,weight
033,0.0018685639737164512,0.0018685639737164512,12,101,False,1,0.0
108,-0.0010064803107861387,0.0010064803107861387,12,102,False,-1,0.0
042,0.0009548835251285779,0.0009548835251285779,12,103,False,1,0.0
073,0.0009147617898827136,0.0009147617898827136,12,104,False,1,0.0
018,-0.0007898056991732944,0.0007898056991732944,12,105,False,-1,0.0
004,-0.0006002393407960929,0.0006002393407960929,12,106,False,-1,0.0
017,-0.0004095868767350884,0.0004095868767350884,12,107,False,-1,0.0
028,-0.00026984095105298905,0.00026984095105298905,12,108,False,-1,0.0
044,0.00019611355023636465,0.00019611355023636465,12,109,False,1,0.0
066,-0.00014775314072219825,0.00014775314072219825,12,110,False,-1,0.0
