month,formation_month,gross_return,portfolio_excess_return,benchmark_excess_return,traded_notional,formation_universe,finite_signal_count,n_holdings,n_bought,n_sold,gross_exposure,missing_forward_return_gross_weight,missing_total_return_gross_weight,path_status,net_return
2007-02-28,2007-01-31,0.03054365130458344,0.00982143724095914,-0.0207222140636243,0.209968608759458,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.030333682695823982
2007-03-31,2007-02-28,0.018312418401011103,0.025632457943133603,0.0073200395421225,0.1956770825696385,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.018116741318441466
2007-04-30,2007-03-31,-0.007853293017985378,0.029112486679747623,0.036965779697733,0.19446875647197623,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.008047761774457355
2007-05-31,2007-04-30,0.03381324941532147,0.06627102807685807,0.0324577786615366,0.2104587013148521,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.03360279071400662
2007-06-30,2007-05-31,-0.008780056928301638,-0.02861236196355094,-0.0198323050352493,0.19191303076772293,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.008971969959069362
2007-07-31,2007-06-30,-0.013042550900018594,-0.04679432398258859,-0.03375177308257,0.18853856610619066,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.013231089466124784
2007-08-31,2007-07-31,-0.015656064145145795,-0.0062959378352356946,0.0093601263099101,0.16367676797631536,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.01581974091312211
2007-09-30,2007-08-31,0.009858484179961075,0.04399650874790208,0.034138024567941,0.20112411586169948,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.009657360064099375
2007-10-31,2007-09-30,0.05441387363999661,0.07248010776883781,0.0180662341288412,0.2029815168228335,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.05421089212317378
2007-11-30,2007-10-31,-0.020432605174403533,-0.06548341559829723,-0.0450508104238937,0.1494224989388198,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.020582027673342353
2007-12-31,2007-11-30,0.015623744186806565,0.006957406771531666,-0.0086663374152749,0.16242693630373703,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.015461317250502829
2008-01-31,2007-12-31,-0.04675609862372955,-0.10968127961041085,-0.0629251809866813,0.12492483775756201,1000,1000,50,5,5,1.0,0.03730742470487565,0.03730742470487565,ok,-0.04688102346148711
2008-02-29,2008-01-31,0.02288384156906044,-0.0068944484144620585,-0.0297782899835225,0.19143097097300124,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.022692410598087437
2008-03-31,2008-02-29,-0.011743510976412581,-0.021081570136903382,-0.0093380591604908,0.15736709040135333,1000,1000,50,5,5,1.0,0.01874740042787641,0.01874740042787641,ok,-0.011900878066813935
2008-04-30,2008-03-31,0.05288825900215161,0.10141785622307131,0.0485295972209197,0.1686077589044576,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.05271965124324716
2008-05-31,2008-04-30,0.06658152448765879,0.08395243819671859,0.0173709137090598,0.17749449605967837,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.06640402999159911
2008-06-30,2008-05-31,0.03898427476142424,-0.043588618796502054,-0.0825728935579263,0.12290817434207912,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.03886136658708216
2008-07-31,2008-06-30,-0.03619887986987837,-0.04746129213728326,-0.0112624122674049,0.10208315445907679,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.03630096302433744
2008-08-31,2008-07-31,-0.05877379089232431,-0.04582860826704021,0.0129451826252841,0.11995826162155981,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.05889374915394587
2008-09-30,2008-08-31,-0.1625002057345904,-0.2563890447867368,-0.0938888390521464,0.12079655629295331,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.16262100229088336
2008-10-31,2008-09-30,-0.11380386374528642,-0.2809780297419752,-0.1671741659966888,0.12294104617686284,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.11392680479146329
2008-11-30,2008-10-31,-0.06856901744331587,-0.14126352508257306,-0.0726945076392572,0.3312951919585541,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.06890031263527442
2008-12-31,2008-11-30,0.019039785190614354,0.033973951306469456,0.0149341661158551,0.14016923305146622,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.018899615957562888
