step,seed_alpha,best_offspring,best_reward,mean_group_reward,group_reward_std,elite_pool_size,sampling_entropy,nonzero_feature_logits,nonzero_operator_logits
55,pair_product__ret_6_1__z_score,pair_product__ret_6_1__rvol_21d,0.6499999999999999,0.5885101141799512,0.057866340806012204,20,3.872600472066887,12,4
56,pair_product__ret_6_1__turnover_126d,pair_product__ret_12_1__turnover_126d,0.620916963955244,0.565724166993609,0.0602131146532903,20,3.8010533771020834,12,4
57,pair_product__gp_at__z_score,pair_product__ret_3_1__z_score,0.6039546013078511,0.4950159100897045,0.07534175438289868,20,3.8043702817376284,12,4
58,pair_product__gp_at__ocf_at,pair_product__ocf_at__rvol_21d,0.6754808300907885,0.5515180580661208,0.0778034494146926,20,3.8208069898419437,12,4
59,pair_difference__rvol_21d__beta_60m,pair_product__ocf_at__rvol_21d,0.6754808300907884,0.5850530755952832,0.0659128429143919,20,3.7659299482938744,12,4
60,pair_difference__rvol_21d__beta_60m,pair_mean__ret_12_1__rvol_21d,0.6839058511917988,0.5855985655459763,0.08686328840530935,20,3.698320549792474,12,4
61,pair_difference__ret_6_1__z_score,pair_product__ocf_at__z_score,0.7443772235164993,0.6686105513180615,0.06353764607258056,20,3.7845706351047204,12,4
62,pair_mean__ret_1_0__ret_6_1,pair_product__ret_1_0__rvol_21d,0.6474032505335815,0.5197902252921905,0.0744273671229957,20,3.799404194654632,12,4
63,pair_product__ret_12_1__niq_su,pair_product__ret_12_1__ocf_at,0.5672632582498136,0.5342419050794728,0.023140696230554054,20,3.7466689144169694,12,4
64,pair_difference__ret_1_0__niq_su,pair_product__ret_1_0__z_score,0.7616590589511087,0.6538431846777928,0.07383083372594189,20,3.7257399258245893,12,4
65,pair_difference__z_score__rvol_21d,pair_product__be_me__z_score,0.637314491527045,0.5744754329515863,0.040157171929288464,20,3.733013259041556,12,4
66,pair_difference__ret_1_0__niq_su,pair_product__ret_1_0__ret_6_1,0.7008333333333333,0.5951569650641743,0.07654915226549076,20,3.7154801208742736,12,4
67,pair_product__gp_at__ocf_at,pair_product__ret_6_1__ocf_at,0.6575545651486043,0.5392180507426264,0.0798598989698495,20,3.7270565091163466,12,4
68,pair_product__ret_6_1__beta_60m,pair_product__gp_at__beta_60m,0.5900025412682341,0.4768358137744041,0.0980257947016044,20,3.6373107821942963,12,4
69,pair_difference__rvol_21d__beta_60m,pair_product__ocf_at__rvol_21d,0.6597926892967307,0.5744292302804418,0.06798913618650178,20,3.6420635804680557,12,4
70,pair_product__ret_1_0__z_score,pair_product__ret_1_0__ret_12_1,0.5724891522116556,0.4943679563033093,0.04519249027206802,20,3.5779521614798173,12,4
71,pair_difference__ret_6_1__z_score,pair_product__ret_6_1__rvol_21d,0.725,0.6132534025808903,0.06871097398650777,20,3.5672227803899283,12,4
72,pair_mean__ret_12_1__z_score,pair_product__ret_12_1__turnover_126d,0.7042502972885772,0.6597836583698861,0.04158844421831429,20,3.532951501049558,12,4
73,pair_product__gp_at__z_score,pair_product__ret_12_1__z_score,0.645,0.5492667630690786,0.06793002876055124,20,3.453754427169641,12,4
74,pair_product__ocf_at__z_score,pair_product__gp_at__ocf_at,0.6725,0.5463273584333849,0.08115144543365983,20,3.448876267180755,12,4
75,pair_product__ret_1_0__turnover_126d,pair_product__turnover_126d__niq_su,0.5955748744871452,0.49632809514857057,0.08841052230755465,20,3.4084746265023425,12,4
76,pair_product__ret_6_1__gp_at,pair_product__ret_6_1__z_score,0.6459600638561673,0.5503633507406439,0.09187132809441195,20,3.4219329630646156,12,4
77,pair_difference__ret_1_0__niq_su,pair_product__turnover_126d__niq_su,0.7205748744871452,0.6179267734794349,0.06774173148399405,20,3.4181693507819633,12,4
78,pair_product__ret_6_1__turnover_126d,pair_difference__ret_12_1__turnover_126d,0.736278565100269,0.5534490177252807,0.12254059537116536,20,3.421055428974429,12,4
79,pair_difference__ret_1_0__niq_su,pair_product__ret_1_0__turnover_126d,0.7466666666666666,0.5979163779183679,0.10242668813587356,20,3.5013821940420122,12,4
80,pair_product__ret_1_0__turnover_126d,pair_product__ret_3_1__turnover_126d,0.5672110667298503,0.4652823999100115,0.060773149648469395,20,3.501287395464588,12,4
81,pair_mean__ret_12_1__z_score,pair_product__gp_at__z_score,0.6483333333333333,0.6158604331459709,0.044766210261300336,20,3.506216328044764,12,4
