display_cell_id,v1_value,v2_value,v3_value,status,native_reproduced,paper_result_credit
Appendix Table 7 panel 1/AAPL/LSTM/ARR_pct,,,10.9742,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/LSTM/MDD_pct,,,11.9535,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/LSTM/SR,,,0.5363,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/MACD/ARR_pct,11.8642,11.8642,11.8642,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/MACD/MDD_pct,10.3799,10.3799,10.3799,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/MACD/SR,0.7221,0.7221,0.7221,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/No-finetuned/ARR_pct,,,-2.0047,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/No-finetuned/MDD_pct,,,16.7567,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/No-finetuned/SR,,,-0.0216,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/PPO/ARR_pct,13.2619,13.2619,13.2619,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/PPO/MDD_pct,14.7809,14.7809,14.7809,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/PPO/SR,0.6096,0.6096,0.6096,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/SAC/ARR_pct,24.8449,24.8449,24.8449,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/SAC/MDD_pct,11.9776,11.9776,11.9776,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/SAC/SR,1.1234,1.1234,1.1234,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/Transformer/ARR_pct,,,17.115,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/Transformer/MDD_pct,,,7.5295,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/Transformer/SR,,,0.957,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/ZMR/ARR_pct,-3.9084,-3.9084,-3.9084,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/ZMR/MDD_pct,8.8819,8.8819,8.8819,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/ZMR/SR,-0.2186,-0.2186,-0.2186,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-HT/ARR_pct,21.3044,21.3044,21.3044,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-HT/MDD_pct,13.6424,13.6424,13.6424,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-HT/SR,0.9777,0.9777,0.9777,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-LHT/ARR_pct,12.6872,12.6872,12.6872,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-LHT/MDD_pct,14.7806,14.7806,14.7806,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-LHT/SR,0.5849,0.5849,0.5849,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-MLH/ARR_pct,18.5186,18.5186,18.5186,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-MLH/MDD_pct,11.8842,11.8842,11.8842,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-MLH/SR,0.9882,0.9882,0.9882,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-T/ARR_pct,33.7509,33.7509,33.7509,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-T/MDD_pct,8.1783,8.1783,8.1783,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/w/o-T/SR,1.5205,1.5205,1.5205,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/B&H/ARR_pct,42.3337,42.3337,42.3337,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/B&H/MDD_pct,17.3848,17.3848,17.3848,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/B&H/SR,1.0834,1.0834,1.0834,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/DQN/ARR_pct,27.4305,27.4305,27.4305,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/DQN/MDD_pct,5.2736,5.2736,5.2736,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/DQN/SR,1.1701,1.1701,1.1701,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/FinAgent/ARR_pct,65.0998,65.0998,65.0998,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/FinAgent/MDD_pct,4.4841,4.4841,13.198,numeric_value_revised_in_v3,False,False
Appendix Table 7 panel 1/AMZN/FinAgent/SR,1.6096,1.6096,1.6096,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/FinGPT/ARR_pct,42.9331,42.9331,42.9331,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/FinGPT/MDD_pct,18.9359,18.9359,18.9359,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/FinGPT/SR,1.1026,1.1026,1.1026,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/FinMem/ARR_pct,40.07,40.07,40.07,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/FinMem/MDD_pct,18.5279,18.5279,18.5279,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/FinMem/SR,1.034,1.034,1.034,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/Improvement/ARR_pct,50.4556,50.4556,51.6308,numeric_value_revised_in_v3,False,False
Appendix Table 7 panel 1/AMZN/Improvement/SR,45.3636,45.3636,45.3636,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/KDJ&RSI/ARR_pct,19.3757,19.3757,19.3757,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/KDJ&RSI/MDD_pct,17.2746,17.2746,17.2746,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/KDJ&RSI/SR,0.6495,0.6495,0.6495,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/LGBM/ARR_pct,,,29.3395,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/LGBM/MDD_pct,,,17.414,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/LGBM/SR,,,0.7187,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/LSTM/ARR_pct,,,15.9051,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/LSTM/MDD_pct,,,17.414,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/LSTM/SR,,,0.4588,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/MACD/ARR_pct,14.2748,14.2748,14.2748,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/MACD/MDD_pct,7.8410,7.8410,7.841,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/AMZN/MACD/SR,0.7056,0.7056,0.7056,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/No-finetuned/ARR_pct,,,41.6548,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/No-finetuned/MDD_pct,,,5.2678,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/No-finetuned/SR,,,1.3959,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/PPO/ARR_pct,21.1745,21.1745,21.1745,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/PPO/MDD_pct,13.8432,13.8432,13.8432,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/PPO/SR,0.6965,0.6965,0.6965,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/SAC/ARR_pct,38.3318,38.3318,38.3318,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/SAC/MDD_pct,13.8432,13.8432,13.8432,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/SAC/SR,1.0733,1.0733,1.0733,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/Transformer/ARR_pct,,,32.6621,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/Transformer/MDD_pct,,,4.9593,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/Transformer/SR,,,1.1134,added_in_v3,False,False
Appendix Table 7 panel 1/AMZN/ZMR/ARR_pct,18.7289,18.7289,18.7289,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/ZMR/MDD_pct,7.8938,7.8938,7.8938,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/ZMR/SR,0.8412,0.8412,0.8412,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-HT/ARR_pct,47.3916,47.3916,47.3916,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-HT/MDD_pct,15.5038,15.5038,15.5038,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-HT/SR,1.2032,1.2032,1.2032,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-LHT/ARR_pct,43.2195,43.2195,43.2195,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-LHT/MDD_pct,14.6786,14.6786,14.6786,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-LHT/SR,1.1057,1.1057,1.1057,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-MLH/ARR_pct,62.3106,62.3106,62.3106,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-MLH/MDD_pct,11.3999,11.3999,11.3999,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-MLH/SR,1.6379,1.6379,1.6379,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-T/ARR_pct,63.8116,63.8116,63.8116,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-T/MDD_pct,9.7325,9.7325,9.7325,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AMZN/w/o-T/SR,1.7009,1.7009,1.7009,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/B&H/ARR_pct,29.2588,29.2588,29.2588,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/B&H/MDD_pct,23.2077,23.2077,23.2077,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/B&H/SR,0.8655,0.8655,0.8655,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/DQN/ARR_pct,29.8052,29.8052,29.8052,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/DQN/MDD_pct,9.5297,9.5297,9.5297,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/DQN/SR,1.1826,1.1826,1.1826,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/FinAgent/ARR_pct,43.0822,43.0822,43.0822,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/FinAgent/MDD_pct,3.3078,3.3078,12.7171,numeric_value_revised_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/FinAgent/SR,1.1773,1.1773,1.1773,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/FinGPT/ARR_pct,21.5746,21.5746,21.5746,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/FinGPT/MDD_pct,25.5620,25.5620,25.562,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/FinGPT/SR,0.6801,0.6801,0.6801,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/FinMem/ARR_pct,44.717,44.717,44.717,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/FinMem/MDD_pct,13.587,13.587,13.587,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/FinMem/SR,1.2738,1.2738,1.2738,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/Improvement/ARR_pct,22.5574,22.5574,22.5574,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/Improvement/SR,7.1319,7.1319,7.1319,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/KDJ&RSI/ARR_pct,8.8745,8.8745,8.8745,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/KDJ&RSI/MDD_pct,16.9536,16.9536,16.9536,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/KDJ&RSI/SR,0.5098,0.5098,0.5098,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/LGBM/ARR_pct,,,24.9111,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/LGBM/MDD_pct,,,22.9568,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/LGBM/SR,,,0.7154,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/LSTM/ARR_pct,,,36.0865,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/LSTM/MDD_pct,,,21.5043,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/LSTM/SR,,,1.0254,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/MACD/ARR_pct,10.2360,10.2360,10.236,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/MACD/MDD_pct,24.3238,24.3238,24.3238,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/MACD/SR,0.4689,0.4689,0.4689,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/No-finetuned/ARR_pct,,,23.4038,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/No-finetuned/MDD_pct,,,23.231,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/No-finetuned/SR,,,0.7924,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/PPO/ARR_pct,34.7469,34.7469,34.7469,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/PPO/MDD_pct,11.1171,11.1171,11.1171,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/PPO/SR,1.3096,1.3096,1.3096,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/SAC/ARR_pct,17.8439,17.8439,17.8439,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/SAC/MDD_pct,10.0587,10.0587,10.0587,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/SAC/SR,0.7635,0.7635,0.7635,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/Transformer/ARR_pct,,,31.0038,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/Transformer/MDD_pct,,,12.9309,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/Transformer/SR,,,1.0205,added_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/ZMR/ARR_pct,29.3519,29.3519,29.3519,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/ZMR/MDD_pct,13.1098,13.1098,13.1098,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/ZMR/SR,1.2294,1.2294,1.2294,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-HT/ARR_pct,52.3265,52.3265,52.3265,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-HT/MDD_pct,13.5870,13.5870,13.587,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-HT/SR,1.3351,1.3351,1.3351,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-LHT/ARR_pct,25.9708,25.9708,25.9708,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-LHT/MDD_pct,24.4314,24.4314,24.4314,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-LHT/SR,0.7718,0.7718,0.7718,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-MLH/ARR_pct,16.2106,16.2106,16.2106,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-MLH/MDD_pct,15.9325,15.9325,15.9325,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-MLH/SR,0.6329,0.6329,0.6329,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-T/ARR_pct,54.8040,54.8040,54.804,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-T/MDD_pct,11.7427,11.7427,11.7427,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/ETHUSD/w/o-T/SR,1.4030,1.4030,1.403,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/B&H/ARR_pct,22.4726,22.4726,22.4726,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/B&H/MDD_pct,12.9705,12.9705,12.9705,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/B&H/SR,0.7108,0.7108,0.7108,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/DQN/ARR_pct,34.4026,34.4026,34.4026,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/DQN/MDD_pct,7.1473,7.1473,7.1473,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/DQN/SR,1.3859,1.3859,1.3859,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/FinAgent/ARR_pct,56.1542,56.1542,56.1542,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/FinAgent/MDD_pct,6.0365,6.0365,8.4532,numeric_value_revised_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/FinAgent/SR,1.7786,1.7786,1.7786,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/FinGPT/ARR_pct,12.2770,12.2770,12.277,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/FinGPT/MDD_pct,13.0013,13.0013,13.0013,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/FinGPT/SR,0.4444,0.4444,0.4444,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/FinMem/ARR_pct,31.2716,31.2716,31.2716,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/FinMem/MDD_pct,8.9706,8.9706,8.9706,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/FinMem/SR,1.1073,1.1073,1.1073,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/Improvement/ARR_pct,46.6523,46.6523,46.6523,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/KDJ&RSI/ARR_pct,24.3910,24.3910,24.391,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/KDJ&RSI/MDD_pct,2.0300,2.0300,2.03,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/KDJ&RSI/SR,2.1282,2.1282,2.1282,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/LGBM/ARR_pct,,,24.7746,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/LGBM/MDD_pct,,,12.9814,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/LGBM/SR,,,0.6958,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/LSTM/ARR_pct,,,24.8583,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/LSTM/MDD_pct,,,12.9814,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/LSTM/SR,,,0.6989,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/MACD/ARR_pct,-18.0034,-18.0034,-18.0034,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/MACD/MDD_pct,20.0718,20.0718,20.0718,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/MACD/SR,-0.8867,-0.8867,-0.8867,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/No-finetuned/ARR_pct,,,21.108,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/No-finetuned/MDD_pct,,,13.0719,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/No-finetuned/SR,,,0.682,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/PPO/ARR_pct,38.2907,38.2907,38.2907,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/PPO/MDD_pct,8.4536,8.4536,8.4536,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/PPO/SR,1.2982,1.2982,1.2982,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/SAC/ARR_pct,23.8034,23.8034,23.8034,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/SAC/MDD_pct,13.0667,13.0667,13.0667,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/SAC/SR,0.7506,0.7506,0.7506,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/Transformer/ARR_pct,,,13.692,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/Transformer/MDD_pct,,,12.9253,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/Transformer/SR,,,0.4571,added_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/ZMR/ARR_pct,32.5112,32.5112,32.5112,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/ZMR/MDD_pct,5.3845,5.3845,5.3845,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/ZMR/SR,1.4533,1.4533,1.4533,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-HT/ARR_pct,29.3235,29.3235,29.3235,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-HT/MDD_pct,8.9706,8.9706,8.9706,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-HT/SR,1.0177,1.0177,1.0177,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-LHT/ARR_pct,17.4140,17.4140,17.414,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-LHT/MDD_pct,13.0060,13.0060,13.006,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-LHT/SR,0.5763,0.5763,0.5763,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-MLH/ARR_pct,37.3308,37.3308,37.3308,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-MLH/MDD_pct,12.4859,12.4859,4.0,numeric_value_revised_in_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-MLH/SR,1.2657,1.2657,1.2657,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-T/ARR_pct,52.1066,52.1066,52.1066,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-T/MDD_pct,8.3106,8.3106,8.3106,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/GOOGL/w/o-T/SR,1.8228,1.8228,1.8228,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/MSFT/B&H/ARR_pct,22.4942,22.4942,22.4942,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/MSFT/B&H/MDD_pct,12.9214,12.9214,12.9214,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/MSFT/B&H/SR,0.8373,0.8373,0.8373,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/MSFT/DQN/ARR_pct,30.4406,30.4406,30.4406,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/MSFT/DQN/MDD_pct,10.5612,10.5612,10.5612,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/MSFT/DQN/SR,1.1782,1.1782,1.1782,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/MSFT/FinAgent/ARR_pct,44.7359,44.7359,44.7359,unchanged_v1_through_v3,False,False
