config,reference,issue
configs/exp/trading_only_strategy_with_record/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/GOOGL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/MSFT_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record_without_MACD/TSLA_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/processor/processor_day_dj30.py,configs/_stock_list_/dj30.txt,nonexistent_stock_list_directory
configs/processor/processor_day_exp_cryptos.py,configs/_stock_list_/exp_cryptos.txt,nonexistent_stock_list_directory
configs/processor/processor_day_exp_forexs.py,configs/_stock_list_/exp_forexs.txt,nonexistent_stock_list_directory
