asset,metric,paper_value,current_response_value,display_match,response_file,response_sha256,raw_response_observations,validation_price_observations,recorded_return_observations,validation_first_date,validation_last_date,response_retrieved_date,paper_source_price_vendor,current_response_vendor,source_method_replayed,paper_time_input_lineage,author_baseline_result_credit,finagent_result_credit,status
MSFT,MDD_pct,12.9214,12.672102003793631,False,yahoo_msft_20220601_20240102.json,2cb1fb1ca26654c7dcd384de2ced8a123da17e55fb23b36d9aa0d30dbe123695,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
MSFT,SOR,26.5133,26.47811332191256,False,yahoo_msft_20220601_20240102.json,2cb1fb1ca26654c7dcd384de2ced8a123da17e55fb23b36d9aa0d30dbe123695,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
MSFT,CR,1.8135,1.8091269943887016,False,yahoo_msft_20220601_20240102.json,2cb1fb1ca26654c7dcd384de2ced8a123da17e55fb23b36d9aa0d30dbe123695,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
MSFT,VOL,0.0135,0.013189088330723239,False,yahoo_msft_20220601_20240102.json,2cb1fb1ca26654c7dcd384de2ced8a123da17e55fb23b36d9aa0d30dbe123695,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
TSLA,ARR_pct,37.4009,37.40088828264507,True,yahoo_tsla_20220601_20240102.json,c8c1b56d26395852240f6624f87229a99b3b021b593de8c3afd4792649867532,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
TSLA,SR,0.7239,0.7238615607665132,True,yahoo_tsla_20220601_20240102.json,c8c1b56d26395852240f6624f87229a99b3b021b593de8c3afd4792649867532,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
TSLA,MDD_pct,32.6523,32.65227602031225,True,yahoo_tsla_20220601_20240102.json,c8c1b56d26395852240f6624f87229a99b3b021b593de8c3afd4792649867532,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
TSLA,SOR,23.3319,23.331860450444328,True,yahoo_tsla_20220601_20240102.json,c8c1b56d26395852240f6624f87229a99b3b021b593de8c3afd4792649867532,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
TSLA,CR,1.3856,1.3855952194676648,True,yahoo_tsla_20220601_20240102.json,c8c1b56d26395852240f6624f87229a99b3b021b593de8c3afd4792649867532,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
TSLA,VOL,0.0301,0.03007131687771989,True,yahoo_tsla_20220601_20240102.json,c8c1b56d26395852240f6624f87229a99b3b021b593de8c3afd4792649867532,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
ETHUSD,ARR_pct,29.2588,25.200106702914994,False,yahoo_ethusd_20220601_20240102.json,bb76b2439bdc737ecae6557409d1f139289de9d2d6822e793c5c688156f129c7,581,214,214,2023-06-01,2023-12-31,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
ETHUSD,SR,0.8655,0.7832915688287738,False,yahoo_ethusd_20220601_20240102.json,bb76b2439bdc737ecae6557409d1f139289de9d2d6822e793c5c688156f129c7,581,214,214,2023-06-01,2023-12-31,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
ETHUSD,MDD_pct,23.2077,21.792784654587248,False,yahoo_ethusd_20220601_20240102.json,bb76b2439bdc737ecae6557409d1f139289de9d2d6822e793c5c688156f129c7,581,214,214,2023-06-01,2023-12-31,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
ETHUSD,SOR,23.2235,21.582426864303034,False,yahoo_ethusd_20220601_20240102.json,bb76b2439bdc737ecae6557409d1f139289de9d2d6822e793c5c688156f129c7,581,214,214,2023-06-01,2023-12-31,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
ETHUSD,CR,1.3831,1.3001620617638479,False,yahoo_ethusd_20220601_20240102.json,bb76b2439bdc737ecae6557409d1f139289de9d2d6822e793c5c688156f129c7,581,214,214,2023-06-01,2023-12-31,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
ETHUSD,VOL,0.0222,0.0209987339281601,False,yahoo_ethusd_20220601_20240102.json,bb76b2439bdc737ecae6557409d1f139289de9d2d6822e793c5c688156f129c7,581,214,214,2023-06-01,2023-12-31,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
