candidate_id,benchmark_id,n_months,sample_start,sample_end,alpha_annualized,alpha_t_hac,p_value,holm_p_within_benchmark,positive_alpha,holm_positive_5pct,hac_lags,benchmark_label
efs_regime_momentum_normalized_mean,ff3,150,2009-08-31,2022-01-31,0.04013732299835466,0.937858272738722,0.348317249551359,1.0,True,False,4,FF3
efs_regime_switched_return_volatility,ff3,150,2009-08-31,2022-01-31,0.04624256295513534,1.7405613376934748,0.08176049959587713,0.9811259951505256,True,False,4,FF3
efs_skew_gated_breakout,ff3,150,2009-08-31,2022-01-31,0.02469242266771205,1.3448426513218812,0.17867605335951653,1.0,True,False,4,FF3
quantagent_atr14_breakout_literal,ff3,150,2009-08-31,2022-01-31,0.08116477026129819,0.9016510993924601,0.3672422372246398,1.0,True,False,4,FF3
quantevolver_price_zscore_reversal_120,ff3,150,2009-08-31,2022-01-31,-0.012028148693458415,-0.6551368528913668,0.5123796465390777,1.0,False,False,4,FF3
quantevolver_return_log_volume_corr_60,ff3,150,2009-08-31,2022-01-31,-0.010489243882158947,-0.5650709135776668,0.5720255314404594,1.0,False,False,4,FF3
quantevolver_return_sharpe_60,ff3,150,2009-08-31,2022-01-31,-0.006654319213796276,-0.43667066092506696,0.6623502095499275,1.0,False,False,4,FF3
alpha_jungle_multiscale_price_volume,ff5_mom,150,2009-08-31,2022-01-31,-0.010912032318748337,-0.29651349834102053,0.7668379600277516,1.0,False,False,4,FF5+Momentum
alpha_jungle_range_volume_interaction,ff5_mom,150,2009-08-31,2022-01-31,-0.002707602030411498,-0.07457660009333278,0.9405515926856861,1.0,False,False,4,FF5+Momentum
alpha_jungle_volume_ma_diff,ff5_mom,150,2009-08-31,2022-01-31,-0.023331763183999273,-0.4320370655172751,0.6657144741486335,1.0,False,False,4,FF5+Momentum
efs_decay_return_dispersion,ff5_mom,150,2009-08-31,2022-01-31,-0.04871773851163492,-1.0515943051963093,0.29298572166918635,1.0,False,False,4,FF5+Momentum
efs_multi_horizon_mean_volatility,ff5_mom,150,2009-08-31,2022-01-31,-0.00915580664203857,-0.2665556302814833,0.7898113217369469,1.0,False,False,4,FF5+Momentum
efs_regime_momentum_normalized_mean,ff5_mom,150,2009-08-31,2022-01-31,0.047638715337960456,1.2530129141731692,0.21020100688963805,1.0,True,False,4,FF5+Momentum
efs_regime_switched_return_volatility,ff5_mom,150,2009-08-31,2022-01-31,0.038800616655888145,1.4110160862831858,0.15823987085958968,1.0,True,False,4,FF5+Momentum
efs_skew_gated_breakout,ff5_mom,150,2009-08-31,2022-01-31,0.014729845200306185,0.8194651248231622,0.41252109178026586,1.0,True,False,4,FF5+Momentum
quantagent_atr14_breakout_literal,ff5_mom,150,2009-08-31,2022-01-31,0.067678201776463,0.7396857412413946,0.45949070197963093,1.0,True,False,4,FF5+Momentum
quantevolver_price_zscore_reversal_120,ff5_mom,150,2009-08-31,2022-01-31,-0.022816837617467084,-1.3623662585569554,0.17308232663502499,1.0,False,False,4,FF5+Momentum
quantevolver_return_log_volume_corr_60,ff5_mom,150,2009-08-31,2022-01-31,-0.021082106201803,-1.4457734322896085,0.14824076015996285,1.0,False,False,4,FF5+Momentum
quantevolver_return_sharpe_60,ff5_mom,150,2009-08-31,2022-01-31,0.016465507873113287,1.026993549929208,0.3044235012898171,1.0,True,False,4,FF5+Momentum
alpha_jungle_multiscale_price_volume,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.006500359246040442,0.1682281779895272,0.8664037740089466,1.0,True,False,4,FF5+Momentum+JKP132
alpha_jungle_range_volume_interaction,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.006341639534487093,0.16734484606046898,0.8670987195605755,1.0,True,False,4,FF5+Momentum+JKP132
alpha_jungle_volume_ma_diff,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.045466955136820635,0.8288316844077007,0.4071996566214242,1.0,True,False,4,FF5+Momentum+JKP132
efs_decay_return_dispersion,ff5_mom_jkp132,150,2009-08-31,2022-01-31,-0.0198116038642921,-0.40928818575612563,0.6823281845260933,1.0,False,False,4,FF5+Momentum+JKP132
efs_multi_horizon_mean_volatility,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.0031697797188289956,0.087034909642493,0.9306437634996814,1.0,True,False,4,FF5+Momentum+JKP132
efs_regime_momentum_normalized_mean,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.06997233006856438,1.744906134028615,0.08100120945183308,0.9720145134219969,True,False,4,FF5+Momentum+JKP132
efs_regime_switched_return_volatility,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.019782770988736043,0.7261878118449199,0.46772364271981026,1.0,True,False,4,FF5+Momentum+JKP132
efs_skew_gated_breakout,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.013053502348929633,0.7716735429145444,0.44030780440080264,1.0,True,False,4,FF5+Momentum+JKP132
quantagent_atr14_breakout_literal,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.11832167876353153,1.097767983574832,0.2723058151851345,1.0,True,False,4,FF5+Momentum+JKP132
quantevolver_price_zscore_reversal_120,ff5_mom_jkp132,150,2009-08-31,2022-01-31,-0.021631706388632634,-1.4512646903743538,0.14670616949110898,1.0,False,False,4,FF5+Momentum+JKP132
quantevolver_return_log_volume_corr_60,ff5_mom_jkp132,150,2009-08-31,2022-01-31,-0.01792240250873793,-1.2365810576707952,0.216242655851818,1.0,False,False,4,FF5+Momentum+JKP132
quantevolver_return_sharpe_60,ff5_mom_jkp132,150,2009-08-31,2022-01-31,0.028568059603765784,1.6754483851448037,0.09384629004229433,1.0,True,False,4,FF5+Momentum+JKP132
