accepted_order,episode,factor,components,seed_source,corrected,mean_rankic,rankicir,maximum_prior_rankic_correlation,complexity,orientation,linear_model_weight
22,22,pair_product__ret_12_1__z_score,ret_12_1|z_score,generated_factor,False,0.01901210382963499,0.23610837852298897,0.6223959772657711,2,1,0.01422554705371334
23,23,pair_difference__ret_12_1__rvol_21d,ret_12_1|rvol_21d,generated_factor,False,0.031160072680861985,0.21970884476217373,0.7624185765274974,2,1,0.016511236091042557
24,24,pair_product__ret_1_0__ret_3_1,ret_1_0|ret_3_1,existing_factor,False,0.01143698827712485,0.25098727875385335,0.5183285723806561,2,1,0.014137177839270793
25,25,pair_product__ret_12_1__turnover_126d,ret_12_1|turnover_126d,generated_factor,False,0.018513046587535324,0.29561975247190225,0.7870818468904468,2,1,0.018328136645264195
26,26,pair_mean__ret_12_1__niq_su,ret_12_1|niq_su,existing_factor,False,0.02605453595045827,0.24471018604790581,0.9580294644009049,2,1,0.0056767635939716276
27,27,pair_product__gp_at__z_score,gp_at|z_score,existing_factor,False,0.01938002710385388,0.23855147999394455,0.7803317485809967,2,1,0.01266550409640939
28,28,pair_mean__ret_12_1__z_score,ret_12_1|z_score,existing_factor,False,0.029597290766414493,0.21447038905610546,0.881928789043123,2,1,0.008803022068595751
29,29,identity__ocf_at,ocf_at,existing_factor,False,0.01473381039597011,0.17277034912883288,0.6208889935742402,1,1,0.003481509871545208
30,30,pair_product__ret_12_1__beta_60m,ret_12_1|beta_60m,existing_factor,False,0.014508872309640876,0.23925232214813005,0.6986313523737822,2,1,0.002634907566105756
31,31,pair_difference__ret_6_1__niq_su,ret_6_1|niq_su,generated_factor,False,-0.015488654167715672,0.17143525526730113,0.5366846826132494,2,-1,0.017998909522875653
32,32,pair_product__ocf_at__z_score,ocf_at|z_score,existing_factor,False,0.01543482649259138,0.23633552074925518,0.7864472157508371,2,1,0.00859553140414669
33,33,pair_product__be_me__niq_su,be_me|niq_su,generated_factor,False,-0.009718280771598175,0.19203843846107688,0.4220359154729872,2,-1,0.011524700971122872
34,34,pair_mean__ocf_at__niq_su,ocf_at|niq_su,existing_factor,False,0.01703605710213389,0.21581532948000484,0.8399638141041176,2,1,0.0019742133964785204
35,35,pair_product__ret_12_1__be_me,ret_12_1|be_me,generated_factor,False,-0.01732556931752193,0.20807860559314711,0.8254158791029466,2,-1,0.021668440079310715
36,36,pair_mean__ret_12_1__turnover_126d,ret_12_1|turnover_126d,existing_factor,False,0.02492048064130777,0.17047108740260433,0.9114164434957519,2,1,0.015103289789293872
37,37,pair_difference__ret_1_0__beta_60m,ret_1_0|beta_60m,existing_factor,False,-0.02737892905928886,0.17030310507900592,0.7175225523340502,2,-1,0.02158162795565889
38,38,pair_product__ret_6_1__gp_at,ret_6_1|gp_at,existing_factor,False,0.013129292191902805,0.21469341597067954,0.724599159232518,2,1,-0.0012024015278626335
39,39,pair_mean__ocf_at__z_score,ocf_at|z_score,generated_factor,False,0.019982902900054143,0.17852026948080527,0.808137604975959,2,1,0.00724269149059652
40,40,pair_difference__ret_12_1__niq_su,ret_12_1|niq_su,generated_factor,False,0.016724630924996986,0.1858094807651178,0.8751549533264058,2,1,0.01107422588431422
41,41,pair_mean__ret_12_1__gp_at,ret_12_1|gp_at,existing_factor,False,0.02262870076169609,0.16940073588685176,0.9320427489607059,2,1,0.006882957117181303
42,42,pair_product__ret_12_1__niq_su,ret_12_1|niq_su,existing_factor,False,0.008406122258610867,0.1759491809231545,0.514748630419448,2,1,0.016576207184011087
43,43,pair_mean__ret_1_0__rvol_21d,ret_1_0|rvol_21d,generated_factor,False,-0.020436941566631114,0.1692346000135828,0.7134401436455052,2,-1,0.007144612835696612
44,44,pair_product__ret_3_1__z_score,ret_3_1|z_score,generated_factor,False,0.013140703549368861,0.18633866706712274,0.6635603267940781,2,1,0.010888457545920022
45,45,pair_difference__ret_12_1__gp_at,ret_12_1|gp_at,existing_factor,False,0.01980236598792462,0.1561342682662766,0.8769841870886461,2,1,0.013656006622021315
46,46,identity__ret_1_0,ret_1_0,generated_factor,False,-0.01775845900387509,0.17084532592585297,0.8499522812318999,1,-1,0.006312486746586106
47,47,pair_difference__ret_12_1__be_me,ret_12_1|be_me,existing_factor,False,0.02214366186411255,0.15912321474464422,0.9403205713359513,2,1,0.003280174642484122
48,48,identity__niq_su,niq_su,generated_factor,False,0.0107978896572413,0.18391751420790653,0.7490447766229871,1,1,-0.0013316108055716617
49,49,pair_product__ret_6_1__ocf_at,ret_6_1|ocf_at,generated_factor,False,0.01167539931430122,0.20395087724965003,0.6872271742569783,2,1,-0.001668475146274803
50,50,pair_product__be_me__ocf_at,be_me|ocf_at,generated_factor,False,-0.012401860150365002,0.1797134979889457,0.7866444967749202,2,-1,0.0017784079838192894
51,51,pair_product__ret_1_0__z_score,ret_1_0|z_score,existing_factor,False,-0.009731913492141926,0.14673041292935113,0.34587137191112316,2,-1,0.021694162176876034
52,52,pair_mean__ret_1_0__ret_6_1,ret_1_0|ret_6_1,generated_factor,False,-0.017661210805001604,0.14744930050399532,0.7019769859024023,2,-1,0.016240284140692847
53,53,pair_difference__ret_1_0__z_score,ret_1_0|z_score,generated_factor,False,-0.018587733239247388,0.15338996722211015,0.8029802623267045,2,-1,0.0027079375936640664
54,54,pair_difference__z_score__rvol_21d,z_score|rvol_21d,generated_factor,False,0.013917171610081675,0.14595874584375174,0.5690904472823637,2,1,-0.0033821562344190596
55,55,pair_product__gp_at__turnover_126d,gp_at|turnover_126d,existing_factor,False,0.00886282869770374,0.1539273102946055,0.4301371439734057,2,1,0.011200449783846971
56,56,pair_product__ret_3_1__turnover_126d,ret_3_1|turnover_126d,existing_factor,False,0.009239953696962537,0.18162366662831178,0.6847779996840815,2,1,0.012734068093623872
57,57,pair_difference__ret_1_0__turnover_126d,ret_1_0|turnover_126d,generated_factor,False,-0.020286863322002992,0.14836273902293626,0.9196638147036137,2,-1,0.018343651584459386
58,58,pair_product__ret_3_1__be_me,ret_3_1|be_me,generated_factor,False,-0.012050042977077477,0.16751446279910873,0.816225334889784,2,-1,0.014416168874935043
59,59,pair_difference__ocf_at__rvol_21d,ocf_at|rvol_21d,existing_factor,False,0.01639722652823195,0.14945609071287733,0.7754398093830497,2,1,0.002397140764665955
60,60,pair_difference__ret_6_1__ocf_at,ret_6_1|ocf_at,existing_factor,False,-0.017014724877844795,0.1483230934385621,0.8077570545456356,2,-1,0.020144023566918
61,61,pair_product__ocf_at__rvol_21d,ocf_at|rvol_21d,generated_factor,False,0.009646134130144883,0.16178895918206135,0.6465058114938346,2,1,0.0038406929210535483
62,62,pair_mean__ret_3_1__ret_12_1,ret_3_1|ret_12_1,existing_factor,False,0.018658383494446113,0.14645200304655284,0.9165691404507905,2,1,0.010791751552290445
63,63,pair_product__ret_3_1__rvol_21d,ret_3_1|rvol_21d,generated_factor,False,0.009338941061031805,0.1556056144406997,0.6808530469721257,2,1,0.007638376284382171
64,64,pair_difference__rvol_21d__niq_su,rvol_21d|niq_su,generated_factor,False,-0.016087949088126812,0.1381946102856275,0.830563204235978,2,-1,0.0025469735672639256
65,65,pair_mean__ret_1_0__be_me,ret_1_0|be_me,existing_factor,False,-0.017283411693753283,0.1443360790627184,0.8979726913753171,2,-1,-5.1346749458236024e-05
66,66,pair_product__ret_1_0__rvol_21d,ret_1_0|rvol_21d,generated_factor,False,0.008263568353933739,0.15417077138181753,0.6296504139987591,2,1,0.012218992606351288
67,67,pair_product__ret_12_1__gp_at,ret_12_1|gp_at,generated_factor,False,0.010941756063652417,0.15694096712941252,0.8087579585556505,2,1,-0.00760086021010373
68,68,pair_difference__ret_1_0__ret_3_1,ret_1_0|ret_3_1,generated_factor,False,-0.011945485224810997,0.1317691696529837,0.7105763729509922,2,-1,0.005552108123696893
69,69,pair_product__turnover_126d__niq_su,turnover_126d|niq_su,existing_factor,False,0.00569556086516044,0.14881360519352496,0.46302567162906894,2,1,0.0020963113656003703
70,70,pair_difference__ret_12_1__turnover_126d,ret_12_1|turnover_126d,generated_factor,False,0.018380214525012102,0.13345675477030738,0.9539316211615247,2,1,0.006423099865605431
71,71,pair_product__be_me__z_score,be_me|z_score,generated_factor,False,-0.01245784255853742,0.13877600117814567,0.808052484370059,2,-1,0.001571219225326838
72,72,pair_mean__beta_60m__niq_su,beta_60m|niq_su,existing_factor,False,0.017300901969803096,0.12667768312860175,0.8696898783962941,2,1,0.007499956028141527
73,73,pair_mean__ret_12_1__rvol_21d,ret_12_1|rvol_21d,existing_factor,False,0.017187014191153375,0.11306117617291947,0.9597628711899259,2,1,0.01358022253838747
74,74,pair_mean__z_score__niq_su,z_score|niq_su,existing_factor,False,0.015476899958218365,0.13755646969885726,0.9035331445149105,2,1,-0.0033299343982606975
75,75,pair_difference__ret_1_0__gp_at,ret_1_0|gp_at,existing_factor,False,-0.01499870529455816,0.13077502054021142,0.8969710021511728,2,-1,0.0025583298286763626
76,76,pair_mean__ret_1_0__ret_3_1,ret_1_0|ret_3_1,generated_factor,False,-0.013681586631034129,0.11692044584999207,0.8474150117846805,2,-1,0.003873133373217012
77,77,pair_difference__ret_6_1__z_score,ret_6_1|z_score,existing_factor,False,-0.014719967600430945,0.11436105053824298,0.8248585016527482,2,-1,0.015549852581203581
78,78,pair_product__ocf_at__turnover_126d,ocf_at|turnover_126d,existing_factor,False,0.006719630581993761,0.1404393098227631,0.6658928994946116,2,1,0.003550858325950343
79,79,pair_mean__ocf_at__turnover_126d,ocf_at|turnover_126d,existing_factor,False,0.015014507491270718,0.10658114873163838,0.8284684704479787,2,1,0.012022270894316801
80,80,pair_mean__ret_1_0__gp_at,ret_1_0|gp_at,existing_factor,False,-0.012275094581890376,0.10199975150694164,0.6587263922974627,2,-1,0.009688765793196547
81,81,pair_product__be_me__turnover_126d,be_me|turnover_126d,existing_factor,False,-0.008541705317407992,0.12837564939925544,0.670842827398207,2,-1,0.0036682716937765252
82,82,pair_difference__ocf_at__z_score,ocf_at|z_score,generated_factor,False,0.011806727102123186,0.11837588919539146,0.8147199297846809,2,1,0.01826317179815752
83,83,pair_product__rvol_21d__niq_su,rvol_21d|niq_su,generated_factor,False,0.005661206551381655,0.1305111070077379,0.6124727010478469,2,1,-0.0009806606775103108
84,84,pair_mean__ocf_at__beta_60m,ocf_at|beta_60m,existing_factor,False,0.0169465393378375,0.10695789889140309,0.9265810479600431,2,1,0.010424934743066546
85,85,pair_product__z_score__niq_su,z_score|niq_su,existing_factor,False,0.007545846280144724,0.13788670846691398,0.7619769942742807,2,1,0.001434501728151401
86,86,pair_difference__ret_12_1__z_score,ret_12_1|z_score,generated_factor,False,0.01435180667222958,0.11241419605217134,0.8975522240790443,2,1,0.007013039204339248
87,87,pair_mean__be_me__rvol_21d,be_me|rvol_21d,generated_factor,False,-0.0120953350068285,0.11054278996014431,0.8515250342776703,2,-1,-0.004396336997811941
88,88,pair_difference__ret_3_1__ocf_at,ret_3_1|ocf_at,existing_factor,False,-0.011650078434125105,0.1139349286052125,0.8233264386391689,2,-1,0.004047952522944641
89,89,pair_mean__gp_at__z_score,gp_at|z_score,existing_factor,False,0.014576046136332316,0.10585706994769138,0.9653444871376639,2,1,0.0036410333471862356
90,90,pair_product__ret_3_1__beta_60m,ret_3_1|beta_60m,generated_factor,False,0.007492348256574644,0.1224116436091525,0.6942401567053502,2,1,-0.002312673827853017
91,91,pair_product__gp_at__niq_su,gp_at|niq_su,generated_factor,False,0.00600037429464384,0.12847565576322975,0.7794116383153069,2,1,-0.0003873761176746223
92,92,pair_product__beta_60m__niq_su,beta_60m|niq_su,generated_factor,False,0.005371713945319375,0.1258052490845029,0.5692719379029447,2,1,0.003455822176621464
93,93,pair_product__ret_1_0__ret_12_1,ret_1_0|ret_12_1,generated_factor,False,0.007034393925459237,0.12609152318676362,0.7292209056083884,2,1,0.0030427434774733843
94,94,pair_mean__gp_at__ocf_at,gp_at|ocf_at,existing_factor,False,0.012078991603458319,0.1061249439233959,0.9240798343238296,2,1,0.0015724642668669838
95,95,pair_mean__ret_6_1__ret_12_1,ret_6_1|ret_12_1,existing_factor,False,0.014356356840984153,0.10834436005845662,0.9487780782213538,2,1,-9.182397956315286e-05
96,96,pair_difference__beta_60m__turnover_126d,beta_60m|turnover_126d,existing_factor,False,0.009470583613925172,0.1112330007345666,0.7415387088390688,2,1,0.010141957519883218
97,97,pair_difference__ret_12_1__beta_60m,ret_12_1|beta_60m,existing_factor,False,0.014838881420540139,0.09390220652995149,0.9315044230520809,2,1,0.0038254353456587636
98,98,pair_mean__z_score__beta_60m,z_score|beta_60m,existing_factor,False,0.015554546721437789,0.08207391092024949,0.9588063164692437,2,1,0.005360899708406939
99,99,identity__beta_60m,beta_60m,generated_factor,False,0.01317682001888659,0.07412866628601938,0.9584819661290472,1,1,0.01166114808754375
100,100,pair_difference__ret_3_1__niq_su,ret_3_1|niq_su,generated_factor,False,-0.009210974135324674,0.10887799506805652,0.7548664681221573,2,-1,0.0014216968465923783
