formation_month,reward_cutoff,maintenance_start,maintenance_end,maintenance_months,market_regime,selected_candidates,selected_miners,selected_factor_count,finite_scores
2015-12-31,2015-06-30,2010-07-31,2015-06-30,60,uptrend,technical_miner__identity__prc_highprc_252d|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__ret_12_1|fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__identity__ret_6_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2016-01-31,2015-07-31,2010-08-31,2015-07-31,60,downtrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__prc_highprc_252d|technical_miner__identity__ret_12_1|fundamental_miner__pair_mean__be_me__ocf_at|fundamental_miner__pair_product__be_me__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2016-02-29,2015-08-31,2010-09-30,2015-08-31,60,uptrend,technical_miner__identity__prc_highprc_252d|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__ret_12_1|technical_miner__pair_product__prc_highprc_252d__ret_12_1|fundamental_miner__pair_product__be_me__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2016-03-31,2015-09-30,2010-10-31,2015-09-30,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__pair_product__prc_highprc_252d__ret_12_1|fundamental_miner__pair_product__be_me__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2016-04-30,2015-10-31,2010-11-30,2015-10-31,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__pair_product__be_me__ocf_at|technical_miner__pair_mean__ret_6_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2016-05-31,2015-11-30,2010-12-31,2015-11-30,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__pair_product__be_me__ocf_at|technical_miner__pair_mean__ret_6_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2016-06-30,2015-12-31,2011-01-31,2015-12-31,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__pair_mean__ret_12_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2016-07-31,2016-01-31,2011-02-28,2016-01-31,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__turnover_126d|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__pair_mean__ret_6_1__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d,risk_reversal_miner|technical_miner,5,1000
2016-08-31,2016-02-29,2011-03-31,2016-02-29,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__turnover_126d|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2016-09-30,2016-03-31,2011-04-30,2016-03-31,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|fundamental_miner__pair_mean__be_me__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2016-10-31,2016-04-30,2011-05-31,2016-04-30,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__beta_60m__rmax5_21d|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|fundamental_miner__pair_mean__be_me__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2016-11-30,2016-05-31,2011-06-30,2016-05-31,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|technical_miner__identity__ret_12_1|risk_reversal_miner__pair_mean__beta_60m__rmax5_21d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2016-12-31,2016-06-30,2011-07-31,2016-06-30,60,uptrend,technical_miner__identity__ret_12_1|fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|technical_miner__identity__prc_highprc_252d,fundamental_miner|technical_miner,5,1000
2017-01-31,2016-07-31,2011-08-31,2016-07-31,60,uptrend,technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__be_me|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__pair_mean__be_me__ocf_at,fundamental_miner|technical_miner,5,1000
2017-02-28,2016-08-31,2011-09-30,2016-08-31,60,uptrend,technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__be_me|technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2017-03-31,2016-09-30,2011-10-31,2016-09-30,60,uptrend,technical_miner__pair_mean__prc_highprc_252d__ret_12_1|risk_reversal_miner__identity__beta_60m|fundamental_miner__identity__be_me|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2017-04-30,2016-10-31,2011-11-30,2016-10-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__gp_at__ocf_at|technical_miner__pair_mean__ret_12_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2017-05-31,2016-11-30,2011-12-31,2016-11-30,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__gp_at__ocf_at|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2017-06-30,2016-12-31,2012-01-31,2016-12-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__be_me|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|fundamental_miner__pair_mean__gp_at__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2017-07-31,2017-01-31,2012-02-29,2017-01-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__identity__be_me|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2017-08-31,2017-02-28,2012-03-31,2017-02-28,60,uptrend,technical_miner__identity__ret_12_1|risk_reversal_miner__identity__beta_60m|technical_miner__identity__prc_highprc_252d|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2017-09-30,2017-03-31,2012-04-30,2017-03-31,60,uptrend,technical_miner__identity__ret_12_1|risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__prc_highprc_252d|technical_miner__identity__ret_6_1,risk_reversal_miner|technical_miner,5,1000
2017-10-31,2017-04-30,2012-05-31,2017-04-30,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__ret_1_0|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__ret_12_1|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_product__ret_12_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2017-11-30,2017-05-31,2012-06-30,2017-05-31,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__ret_1_0|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__ret_12_1|fundamental_miner__identity__f_score|technical_miner__pair_product__ret_12_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
