candidate,family,operation,available_round,orientation,rankic_ir,pearson_ic_ir,long_short_mean,turnover,coverage,complexity,base_score
range__positive_gate__prc_highprc_252d__rmax5_rvol_21d,range,positive_gate,3,1,0.031042864322558802,0.05797243654864726,0.0005602110411653133,0.8869535921499297,0.9788888888888889,4,-0.4907320410366772
range__positive_gate__rmax5_21d__bidaskhl_21d,range,positive_gate,3,-1,0.11799315084803587,0.03945942804134013,0.0019497020115408646,0.8803806787611612,0.9847142857142858,4,-0.18321581979984886
range__positive_gate__rmax5_21d__prc_highprc_252d,range,positive_gate,3,1,0.01534260343420723,0.07241076365188948,0.004686295735101071,0.8220213560241819,0.9847142857142858,4,-0.2062844262791384
range__positive_gate__rmax5_21d__rmax5_rvol_21d,range,positive_gate,3,-1,0.10542848661777098,0.05832434992534624,-0.0002333254026116913,0.7816027291042338,0.9847142857142858,4,-0.285836628993921
range__positive_gate__rmax5_rvol_21d__bidaskhl_21d,range,positive_gate,3,-1,0.23229163543096512,0.2006934324001332,0.006593315084381523,0.8964492535120169,0.9716904761904762,4,0.4984130443513983
range__positive_gate__rmax5_rvol_21d__prc_highprc_252d,range,positive_gate,3,-1,0.13928583798656968,0.0927690467373511,0.002675098221958496,0.8723400833661797,0.9716904761904762,4,-0.013472962638023715
range__positive_gate__rmax5_rvol_21d__rmax5_21d,range,positive_gate,3,-1,0.20950497367959567,0.1671592460355473,0.0048956459639346635,0.8185297717414947,0.9716904761904762,4,0.4001567035610972
volatility__identity__beta_60m,volatility,identity,1,1,0.05878568303586753,0.07782969320524634,0.007906057826629995,0.1961603186352878,0.8985873015873016,1,0.08424827266723775
volatility__identity__ivol_capm_252d,volatility,identity,1,-1,0.047473530424943136,0.003729750725257228,-0.002326109077093089,0.1402449688682505,0.9817619047619047,1,-0.36349537069096866
volatility__identity__ivol_ff3_21d,volatility,identity,1,-1,0.09268295109914361,0.02746266059925145,0.0021278158479880425,0.7209871164450163,0.9847142857142858,1,-0.14712633999527996
volatility__identity__rvol_21d,volatility,identity,1,-1,0.06870109143728899,0.013142011080902422,0.0007024464540861786,0.7040032213293427,0.9847142857142858,1,-0.3156179690745075
volatility__pair_mean__beta_60m__ivol_capm_252d,volatility,pair_mean,1,1,0.0060776228911960505,0.03877220253504322,0.006160882191340881,0.2259199063733594,0.8972380952380953,3,-0.1627865880329725
volatility__pair_product__beta_60m__ivol_capm_252d,volatility,pair_product,2,-1,0.04304080483746765,0.005225984007620718,2.5166998401126455e-05,0.26268282145289157,0.8972380952380953,3,-0.4827561787569128
volatility__pair_difference__beta_60m__ivol_capm_252d,volatility,pair_difference,2,1,0.22480932271541018,0.1672015782432585,0.0036303852866048886,0.20271160382241818,0.8972380952380953,3,0.4549112646410154
volatility__pair_mean__beta_60m__ivol_ff3_21d,volatility,pair_mean,1,-1,0.015846236172610457,0.022702945707368184,-0.004296632140962194,0.4614111015597868,0.888563492063492,3,-0.6304920390409663
volatility__pair_product__beta_60m__ivol_ff3_21d,volatility,pair_product,2,-1,0.05729133478814816,0.013469329809184295,0.0014887632795361138,0.7429535935478916,0.888563492063492,3,-0.49560865800329834
volatility__pair_difference__beta_60m__ivol_ff3_21d,volatility,pair_difference,2,1,0.28131363146657024,0.21893476470856332,0.004818220636794721,0.7143548347684465,0.888563492063492,3,0.46626648216334865
volatility__pair_mean__beta_60m__rvol_21d,volatility,pair_mean,1,-1,0.005993462247614227,0.028006669498919126,-0.0037111682081164984,0.45724085305682666,0.888563492063492,3,-0.6294434496733334
volatility__pair_product__beta_60m__rvol_21d,volatility,pair_product,2,-1,0.03854016583142615,0.002551659119282666,0.000807355812367638,0.7477532921219486,0.888563492063492,3,-0.5878589725664489
volatility__pair_difference__beta_60m__rvol_21d,volatility,pair_difference,2,1,0.29765513498835244,0.23792091707891355,0.0038532278541639152,0.7275675929372754,0.888563492063492,3,0.42215560900626314
volatility__pair_mean__ivol_capm_252d__ivol_ff3_21d,volatility,pair_mean,1,-1,0.07037624808172425,0.013633302259922557,0.00014378628519936054,0.48416745777741377,0.9716904761904762,3,-0.35174833762994784
volatility__pair_product__ivol_capm_252d__ivol_ff3_21d,volatility,pair_product,2,-1,0.09052552904706146,0.040232887861441025,0.0005503754834578877,0.8767706695066997,0.9716904761904762,3,-0.356824668215017
volatility__pair_difference__ivol_capm_252d__ivol_ff3_21d,volatility,pair_difference,2,1,0.14384323828364498,0.14318236176334329,0.001584312563489337,0.8507670670168168,0.9716904761904762,3,0.07335723034258419
volatility__pair_mean__ivol_capm_252d__rvol_21d,volatility,pair_mean,1,-1,0.058275047955575685,0.005715188037318159,-0.0007194357878505261,0.47143557108120115,0.9716904761904762,3,-0.4219584757715812
volatility__pair_product__ivol_capm_252d__rvol_21d,volatility,pair_product,2,-1,0.10705283354281254,0.04533926882144804,0.0012339504964544003,0.8646603001114509,0.9716904761904762,3,-0.2554574643441715
volatility__pair_difference__ivol_capm_252d__rvol_21d,volatility,pair_difference,2,1,0.06702778959062462,0.09498583493098953,0.0004982937909695024,0.8341759708230494,0.9716904761904762,3,-0.3144154799451908
volatility__pair_mean__ivol_ff3_21d__rvol_21d,volatility,pair_mean,1,-1,0.08064430195554463,0.020132515216007608,0.001764037319081528,0.7019553231977818,0.9847142857142858,3,-0.2537540000092894
volatility__pair_product__ivol_ff3_21d__rvol_21d,volatility,pair_product,2,-1,0.1675002065022139,0.11998529367831284,0.003983102796724863,0.9164634714753602,0.9847142857142858,3,0.2840585331718952
volatility__pair_difference__ivol_ff3_21d__rvol_21d,volatility,pair_difference,2,-1,0.042792356207483485,0.009329706111409531,0.001220766392339163,0.8793046316665794,0.9847142857142858,3,-0.4405480299636849
volatility__positive_gate__beta_60m__ivol_capm_252d,volatility,positive_gate,3,1,0.04683779150513301,0.07047226249050527,0.005803555185498692,0.21009384158192626,0.8985873015873016,4,-0.09514033952122648
volatility__positive_gate__beta_60m__ivol_ff3_21d,volatility,positive_gate,3,1,0.05079913165075345,0.0721847666384423,0.0063680029696862326,0.35729040812746105,0.8985873015873016,4,-0.08077250020096134
volatility__positive_gate__beta_60m__rvol_21d,volatility,positive_gate,3,1,0.05717688897763476,0.07782012602668102,0.005919631552818184,0.33491858901751587,0.8985873015873016,4,-0.06487502297425014
volatility__positive_gate__ivol_capm_252d__beta_60m,volatility,positive_gate,3,-1,0.05850443626729481,0.0007282526821043707,-0.001037800235087492,0.21328108731840886,0.9817619047619047,4,-0.40200972572246063
volatility__positive_gate__ivol_capm_252d__ivol_ff3_21d,volatility,positive_gate,3,-1,0.05277536095403407,0.01143477149670548,-0.002308408954984105,0.8155817218008041,0.9817619047619047,4,-0.5862562053967314
volatility__positive_gate__ivol_capm_252d__rvol_21d,volatility,positive_gate,3,-1,0.06971654705559883,0.0009401590020776311,-0.0009833026345318833,0.8028890971766914,0.9817619047619047,4,-0.5207353138451433
volatility__positive_gate__ivol_ff3_21d__beta_60m,volatility,positive_gate,3,-1,0.08690204573013835,0.012250987604498631,0.0010659348349197572,0.6896802507218318,0.9847142857142858,4,-0.3254501892836301
volatility__positive_gate__ivol_ff3_21d__ivol_capm_252d,volatility,positive_gate,3,-1,0.09597028138968014,0.023529749973874855,0.0029670730935294925,0.786618222840984,0.9847142857142858,4,-0.1934375181992023
volatility__positive_gate__ivol_ff3_21d__rvol_21d,volatility,positive_gate,3,-1,0.10840339100120139,0.03194524546691575,0.003007828613102148,0.7794644361618246,0.9847142857142858,4,-0.1360464636745201
volatility__positive_gate__rvol_21d__beta_60m,volatility,positive_gate,3,-1,0.05410431907745467,0.0013624848578037024,0.0008438888934863129,0.6959348225375177,0.9847142857142858,4,-0.4416591441893666
volatility__positive_gate__rvol_21d__ivol_capm_252d,volatility,positive_gate,3,-1,0.08578670940345363,0.021507532400013428,0.002229054568183653,0.7748005200961777,0.9847142857142858,4,-0.2734167770753894
volatility__positive_gate__rvol_21d__ivol_ff3_21d,volatility,positive_gate,3,-1,0.08643022026354763,0.022078651181533973,0.0013698334555447343,0.78103856536313,0.9847142857142858,4,-0.3259399643272993
price_trend__identity__prc_highprc_252d,price_trend,identity,1,1,0.0035623024095834802,0.012731499738774618,-0.0010241341948057537,0.8537356267013625,0.9788888888888889,1,-0.5673795972262123
price_trend__identity__resff3_12_1,price_trend,identity,1,1,0.341481669814554,0.39016993150401114,0.01183805168230669,0.5864675668328018,0.9339206349206349,1,0.7126357380937842
price_trend__identity__ret_12_1,price_trend,identity,1,1,0.27197292988690663,0.28688663544986914,0.014022458748040765,0.44935454519402457,0.9672857142857143,1,0.8069121387520934
price_trend__identity__ret_6_1,price_trend,identity,1,-1,0.03572038212684099,0.016255573285529533,-0.006955434945475358,0.6133404017510252,0.9833095238095239,1,-0.490302556969405
price_trend__pair_mean__prc_highprc_252d__resff3_12_1,price_trend,pair_mean,1,1,0.15424478770173042,0.1876544995863049,0.0062627936026727095,0.6552244357976855,0.9296984126984127,3,0.3776405736857684
price_trend__pair_product__prc_highprc_252d__resff3_12_1,price_trend,pair_product,2,-1,0.12769426341139625,0.12806998705342956,0.003738912795399339,0.8078881076036385,0.9296984126984127,3,0.05999279725814559
price_trend__pair_difference__prc_highprc_252d__resff3_12_1,price_trend,pair_difference,2,-1,0.2909805866925897,0.3189080709432917,0.0102376657484623,0.7244530923616295,0.9296984126984127,3,0.6032772279932833
price_trend__pair_mean__prc_highprc_252d__ret_12_1,price_trend,pair_mean,1,1,0.15482015654938716,0.1796685199308653,0.007114348784593002,0.6980214468560112,0.9623253968253969,3,0.4289430246789151
price_trend__pair_product__prc_highprc_252d__ret_12_1,price_trend,pair_product,2,-1,0.11050196832615393,0.08738956985377239,0.003539603716823939,0.805283392916476,0.9623253968253969,3,-0.037689091109182324
price_trend__pair_difference__prc_highprc_252d__ret_12_1,price_trend,pair_difference,2,-1,0.31862939284229935,0.3220470150324476,0.010825229689348997,0.6877448477998405,0.9623253968253969,3,0.6743777802326479
price_trend__pair_mean__prc_highprc_252d__ret_6_1,price_trend,pair_mean,1,-1,0.01646273293185013,0.021693098684228498,-0.0020746591563127166,0.48070490949982025,0.9780396825396825,3,-0.49382449884014046
price_trend__pair_product__prc_highprc_252d__ret_6_1,price_trend,pair_product,2,-1,0.16588278847548443,0.15052167517912296,0.0031662012713214545,0.8763051004913717,0.9780396825396825,3,0.26363668480450075
price_trend__pair_difference__prc_highprc_252d__ret_6_1,price_trend,pair_difference,2,1,0.008928674025643008,0.03310029470577402,-0.0003756970157511614,0.8685507583576393,0.9780396825396825,3,-0.5611608199877406
price_trend__pair_mean__resff3_12_1__ret_12_1,price_trend,pair_mean,1,1,0.326323959737239,0.3541221797098053,0.014465719373865796,0.5475879039776507,0.9339126984126984,3,0.6846409854870298
price_trend__pair_product__resff3_12_1__ret_12_1,price_trend,pair_product,2,1,0.023793642941218714,0.10483528103196307,0.0033288473442236346,0.6086205792430744,0.9339126984126984,3,-0.2238100354156866
price_trend__pair_difference__resff3_12_1__ret_12_1,price_trend,pair_difference,2,-1,0.012434382510889035,0.0022751037801666558,-0.002008708013784575,0.5041162655438625,0.9339126984126984,3,-0.6348632720875484
price_trend__pair_mean__resff3_12_1__ret_6_1,price_trend,pair_mean,1,1,0.13138600960104224,0.18094286611153973,0.009239596890070138,0.607197636680359,0.9339126984126984,3,0.37454214702861177
price_trend__pair_product__resff3_12_1__ret_6_1,price_trend,pair_product,2,-1,0.052350166140941796,0.020686859099526212,-0.0012175318224512737,0.7379830549431922,0.9339126984126984,3,-0.6083247875659606
price_trend__pair_difference__resff3_12_1__ret_6_1,price_trend,pair_difference,2,1,0.3603203437333277,0.3484761821182284,0.010975490343001647,0.6575746068905414,0.9339126984126984,3,0.6415361336390332
price_trend__pair_mean__ret_12_1__ret_6_1,price_trend,pair_mean,1,1,0.1261141098012813,0.15972001420236895,0.011260582426822579,0.5188703459281115,0.9672857142857143,3,0.4414136611035213
price_trend__pair_product__ret_12_1__ret_6_1,price_trend,pair_product,2,1,0.014447939176625558,0.09450218586278775,0.0031639990012286364,0.5736515925809066,0.9672857142857143,3,-0.18957070005440277
price_trend__pair_difference__ret_12_1__ret_6_1,price_trend,pair_difference,2,1,0.4982897641009822,0.484448059585062,0.01419650683791157,0.6891537382114059,0.9672857142857143,3,0.7052583207931351
price_trend__positive_gate__prc_highprc_252d__resff3_12_1,price_trend,positive_gate,3,-1,0.01142615017471904,0.0013018329679312579,0.004505858912842595,0.7032268784888264,0.9788888888888889,4,-0.3169153205075874
price_trend__positive_gate__prc_highprc_252d__ret_12_1,price_trend,positive_gate,3,-1,0.028138631844543724,0.025173606735443096,0.006397199324541755,0.7287448011658372,0.9788888888888889,4,-0.19943917737401295
price_trend__positive_gate__prc_highprc_252d__ret_6_1,price_trend,positive_gate,3,-1,0.0623367631192981,0.06229164314490922,0.002885224959598892,0.8098563909362396,0.9788888888888889,4,-0.2604512975020282
price_trend__positive_gate__resff3_12_1__prc_highprc_252d,price_trend,positive_gate,3,1,0.28589445199950037,0.35812571353599326,0.00817191140039776,0.6120231123564522,0.9339206349206349,4,0.5856123061946088
price_trend__positive_gate__resff3_12_1__ret_12_1,price_trend,positive_gate,3,1,0.3305629915435257,0.4059203200923529,0.0076253411121835375,0.5893919687146454,0.9339206349206349,4,0.5943723155712357
price_trend__positive_gate__resff3_12_1__ret_6_1,price_trend,positive_gate,3,1,0.2781357961535109,0.3543663910286817,0.010729766984874378,0.6062825714747194,0.9339206349206349,4,0.6041855920084518
price_trend__positive_gate__ret_12_1__prc_highprc_252d,price_trend,positive_gate,3,1,0.23894509379416048,0.26930743832219045,0.011693919351257444,0.5869203091368196,0.9672857142857143,4,0.6543908714415618
price_trend__positive_gate__ret_12_1__resff3_12_1,price_trend,positive_gate,3,1,0.2734336060702032,0.3178176270639309,0.009043121002012862,0.4806022212253535,0.9672857142857143,4,0.6999434094470385
price_trend__positive_gate__ret_12_1__ret_6_1,price_trend,positive_gate,3,1,0.23362498560405942,0.2680545560019468,0.01667300135657508,0.47435815215381144,0.9672857142857143,4,0.6913556533098257
price_trend__positive_gate__ret_6_1__prc_highprc_252d,price_trend,positive_gate,3,-1,0.1288779685664989,0.08923514998714795,-0.0014322474341249487,0.8283149830320354,0.9833095238095239,4,-0.20096833836969136
price_trend__positive_gate__ret_6_1__resff3_12_1,price_trend,positive_gate,3,-1,0.10177871181076176,0.021239634636614723,0.0005344558219844168,0.7089384901029503,0.9833095238095239,4,-0.305899117690821
price_trend__positive_gate__ret_6_1__ret_12_1,price_trend,positive_gate,3,-1,0.05266274722021462,0.017534180340731734,0.001166309226005926,0.7409384036229968,0.9833095238095239,4,-0.4288246165617239
mean_reversion__identity__ret_1_0,mean_reversion,identity,1,1,0.18055280177155783,0.1386736300082818,0.0023397436049970226,0.9243869665881469,0.9961428571428571,1,0.31242417070241807
mean_reversion__identity__rmax1_21d,mean_reversion,identity,1,1,0.08335073630444648,0.019017541288867523,-0.0015357620365371671,0.8219504034945878,0.9847142857142858,1,-0.38340693644201546
mean_reversion__identity__rmax5_21d,mean_reversion,identity,1,1,0.11311585295251339,0.04812421218415734,0.0010196025866213141,0.8032128378581801,0.9847142857142858,1,-0.13804505731963926
mean_reversion__identity__rskew_21d,mean_reversion,identity,1,-1,0.06995085054252836,0.1709763330977321,0.00334502454698426,0.941823461338034,0.9847142857142858,1,0.06812929692996354
mean_reversion__pair_mean__ret_1_0__rmax1_21d,mean_reversion,pair_mean,1,1,0.18589947073497637,0.10957295370523817,0.002128417707722287,0.9330252659004812,0.9838650793650794,3,0.1782594238167604
mean_reversion__pair_product__ret_1_0__rmax1_21d,mean_reversion,pair_product,2,1,0.09643293856334686,0.0893696599799533,0.0033520559163394137,0.9342985175416556,0.9838650793650794,3,-0.03457591227254318
mean_reversion__pair_difference__ret_1_0__rmax1_21d,mean_reversion,pair_difference,2,1,0.07415627305277704,0.1024855604228034,0.002596883797870245,0.8681076092072846,0.9838650793650794,3,-0.11481984832766401
mean_reversion__pair_mean__ret_1_0__rmax5_21d,mean_reversion,pair_mean,1,1,0.19889860285300948,0.12437003023752309,0.002779403883574746,0.9340520962166201,0.9838650793650794,3,0.2696380022584839
mean_reversion__pair_product__ret_1_0__rmax5_21d,mean_reversion,pair_product,2,1,0.05558343330422877,0.05517713205217448,0.002005138323005246,0.9314912956078605,0.9838650793650794,3,-0.30714091072500926
mean_reversion__pair_difference__ret_1_0__rmax5_21d,mean_reversion,pair_difference,2,1,0.05279849698532788,0.08338501344901275,0.002232333821947996,0.8398894729628993,0.9838650793650794,3,-0.2280693388638405
mean_reversion__pair_mean__ret_1_0__rskew_21d,mean_reversion,pair_mean,1,1,0.1350406506911628,0.06729005714343243,-6.096132598918012e-05,0.9438894358186896,0.9838650793650794,3,-0.15414471932361168
mean_reversion__pair_product__ret_1_0__rskew_21d,mean_reversion,pair_product,2,-1,0.051599496595994214,0.03649716743407921,-0.00017339537719530192,0.9419891120642147,0.9838650793650794,3,-0.46585559753303407
mean_reversion__pair_difference__ret_1_0__rskew_21d,mean_reversion,pair_difference,2,1,0.22686447624533299,0.23253720412904805,0.005030216779500876,0.9427649670018268,0.9838650793650794,3,0.5401097864922612
mean_reversion__pair_mean__rmax1_21d__rmax5_21d,mean_reversion,pair_mean,1,1,0.09903501019283047,0.03417393179257702,-0.00030930717301840135,0.8043885260877215,0.9847142857142858,3,-0.3128898969699182
mean_reversion__pair_product__rmax1_21d__rmax5_21d,mean_reversion,pair_product,2,-1,0.06198687858851373,0.026796987201250164,0.0015843600190713714,0.9358298128311544,0.9847142857142858,3,-0.36155308970459
mean_reversion__pair_difference__rmax1_21d__rmax5_21d,mean_reversion,pair_difference,2,-1,0.26191666237604755,0.2533773954080757,0.001654783948575055,0.9389198038555735,0.9847142857142858,3,0.3706748311079905
mean_reversion__pair_mean__rmax1_21d__rskew_21d,mean_reversion,pair_mean,1,1,0.05234511915714915,0.02699726693008388,-0.0031172482352194034,0.9124715538559793,0.9847142857142858,3,-0.5426195430632904
mean_reversion__pair_product__rmax1_21d__rskew_21d,mean_reversion,pair_product,2,1,0.21589523943595598,0.27196295128046805,0.0037475866000937965,0.939079156713702,0.9847142857142858,3,0.4758393079266774
mean_reversion__pair_difference__rmax1_21d__rskew_21d,mean_reversion,pair_difference,2,1,0.10259072556550114,0.05676238373808924,0.0024170437650050908,0.860815798819232,0.9847142857142858,3,-0.12651260030038666
mean_reversion__pair_mean__rmax5_21d__rskew_21d,mean_reversion,pair_mean,1,1,0.0744235162502451,0.004837196531536806,-0.0017935501615257753,0.9076812856427585,0.9847142857142858,3,-0.4902523447457563
mean_reversion__pair_product__rmax5_21d__rskew_21d,mean_reversion,pair_product,2,1,0.14845837576547438,0.20560654787595306,0.003718562173562329,0.9331044662667678,0.9847142857142858,3,0.3244584754950317
mean_reversion__pair_difference__rmax5_21d__rskew_21d,mean_reversion,pair_difference,2,1,0.1347279301224115,0.08925647638396737,0.004471568686955892,0.8820175632329713,0.9847142857142858,3,0.16527127442757658
mean_reversion__positive_gate__ret_1_0__rmax1_21d,mean_reversion,positive_gate,3,1,0.21738054791413355,0.2156767673127159,0.0057254735967146135,0.9487337718687567,0.9961428571428571,4,0.5399539777912682
mean_reversion__positive_gate__ret_1_0__rmax5_21d,mean_reversion,positive_gate,3,1,0.2045989769415063,0.18825599866475343,0.005008543488508202,0.9467119589455094,0.9961428571428571,4,0.4781062346592223
mean_reversion__positive_gate__ret_1_0__rskew_21d,mean_reversion,positive_gate,3,1,0.15701125529068516,0.14007548939787956,0.00459606270097258,0.9396142339036773,0.9961428571428571,4,0.31051713146693893
mean_reversion__positive_gate__rmax1_21d__ret_1_0,mean_reversion,positive_gate,3,1,0.10090033342733286,0.03911190578736812,-0.0012014257982158017,0.883088138817031,0.9847142857142858,4,-0.38847827633955256
mean_reversion__positive_gate__rmax1_21d__rmax5_21d,mean_reversion,positive_gate,3,1,0.07819249731063815,0.019955801827304304,-0.0023577176857414923,0.8219504034945878,0.9847142857142858,4,-0.501168207409682
mean_reversion__positive_gate__rmax1_21d__rskew_21d,mean_reversion,positive_gate,3,1,0.12041727079673686,0.07034558085528886,0.001275677785016373,0.8673084998130476,0.9847142857142858,4,-0.15770832389261424
mean_reversion__positive_gate__rmax5_21d__ret_1_0,mean_reversion,positive_gate,3,1,0.12578074109861365,0.05772134450625696,-8.201398837575607e-05,0.8695522656479788,0.9847142857142858,4,-0.23324869522574088
mean_reversion__positive_gate__rmax5_21d__rmax1_21d,mean_reversion,positive_gate,3,1,0.10969263212018429,0.05178631372469002,0.0005208693649421002,0.8033474912985925,0.9847142857142858,4,-0.2558072578305559
mean_reversion__positive_gate__rmax5_21d__rskew_21d,mean_reversion,positive_gate,3,1,0.15302859960922777,0.10364843905896302,0.003275756091370379,0.867932150837487,0.9847142857142858,4,0.1365412859279218
mean_reversion__positive_gate__rskew_21d__ret_1_0,mean_reversion,positive_gate,3,-1,0.05302654578747868,0.12135087593230141,0.0029969640906604383,0.945801773750563,0.9847142857142858,4,-0.15842975989252767
mean_reversion__positive_gate__rskew_21d__rmax1_21d,mean_reversion,positive_gate,3,1,0.09355745313381869,0.04140183800804146,-1.6476279194269005e-05,0.9380944071811467,0.9847142857142858,4,-0.37522079290868976
mean_reversion__positive_gate__rskew_21d__rmax5_21d,mean_reversion,positive_gate,3,1,0.0829804502542859,0.0244111165219855,-0.0008453058510821763,0.9350759075160896,0.9847142857142858,4,-0.46412373435777315
liquidity_volume__identity__ami_126d,liquidity_volume,identity,1,1,0.17180476697970753,0.09820300795207665,0.005336166688919641,0.07488442159450286,0.9886269841269841,1,0.2981843379963478
liquidity_volume__identity__dolvol_126d,liquidity_volume,identity,1,1,0.13833482255584523,0.08825653251468694,0.004745023560276053,0.08021425708531263,0.9912619047619048,1,0.1711310945704584
liquidity_volume__identity__turnover_126d,liquidity_volume,identity,1,1,0.02399263998912037,0.035439406698107134,0.003725833296648305,0.2364946899984591,0.9912619047619048,1,-0.3053049465791407
liquidity_volume__identity__zero_trades_126d,liquidity_volume,identity,1,1,0.023248661387076427,0.03571224697466106,0.003529163228175604,0.23637582106044092,0.9912619047619048,1,-0.3179601648943268
liquidity_volume__pair_mean__ami_126d__dolvol_126d,liquidity_volume,pair_mean,1,1,0.15866585282571852,0.0970142248317124,0.005101608433234116,0.06835531392781304,0.9886269841269841,3,0.21277942714333664
liquidity_volume__pair_product__ami_126d__dolvol_126d,liquidity_volume,pair_product,2,1,0.004051012914350794,0.0077102932525636445,0.001535340394089736,0.16380069212514992,0.9886269841269841,3,-0.5519058920345845
