seed,lookback,regime,metric,paper_value,recomputed_value,absolute_error,display_match,action_sha256,action_counts
0,20,bull,sharpe_ratio,0.14,0.137090073279,0.002909926721,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,20,sideways,total_return_pct,1.27,1.265545864661,0.004454135339,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,20,sideways,daily_return_mean_pct,0.02,0.017293198427,0.002706801573,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,20,sideways,daily_return_std_pct,1.11,0.11361322968,0.99638677032,False,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,20,sideways,sharpe_ratio,0.15,0.152211133122,0.002211133122,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,30,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,30,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,30,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,30,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,30,bull,total_return_pct,22.12,21.941708984689,0.178291015311,False,ebbd10947691eab6003bc3a175d60bfa42d911358d7654ddfebd84fe29ce3de6,"{""Buy"": 56, ""Sell"": 5}"
0,30,bull,daily_return_mean_pct,0.36,0.350087330321,0.009912669679,False,ebbd10947691eab6003bc3a175d60bfa42d911358d7654ddfebd84fe29ce3de6,"{""Buy"": 56, ""Sell"": 5}"
0,30,bull,daily_return_std_pct,2.59,2.476033815696,0.113966184304,False,ebbd10947691eab6003bc3a175d60bfa42d911358d7654ddfebd84fe29ce3de6,"{""Buy"": 56, ""Sell"": 5}"
0,30,bull,sharpe_ratio,0.14,0.141390367168,0.001390367168,True,ebbd10947691eab6003bc3a175d60bfa42d911358d7654ddfebd84fe29ce3de6,"{""Buy"": 56, ""Sell"": 5}"
0,30,sideways,total_return_pct,1.27,1.265545864661,0.004454135339,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,30,sideways,daily_return_mean_pct,0.02,0.017293198427,0.002706801573,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,30,sideways,daily_return_std_pct,1.11,0.11361322968,0.99638677032,False,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,30,sideways,sharpe_ratio,0.15,0.152211133122,0.002211133122,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
1,1,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,1,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,1,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,1,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,1,bull,total_return_pct,22.12,0.136978403444,21.983021596556,False,02d5be307cc13af5e6002fa34ec666e48caec62a571e12bfe0dde924bce9a2ed,"{""Sell"": 61}"
1,1,bull,daily_return_mean_pct,0.36,0.002290227524,0.357709772476,False,02d5be307cc13af5e6002fa34ec666e48caec62a571e12bfe0dde924bce9a2ed,"{""Sell"": 61}"
1,1,bull,daily_return_std_pct,2.59,0.128534153794,2.461465846206,False,02d5be307cc13af5e6002fa34ec666e48caec62a571e12bfe0dde924bce9a2ed,"{""Sell"": 61}"
1,1,bull,sharpe_ratio,0.14,0.017818046457,0.122181953543,False,02d5be307cc13af5e6002fa34ec666e48caec62a571e12bfe0dde924bce9a2ed,"{""Sell"": 61}"
1,1,sideways,total_return_pct,1.27,-3.264770312674,4.534770312674,False,fd755d9e321100195a596341aa060495f1f0260685e6557e79a415d817d09580,"{""Buy"": 72}"
1,1,sideways,daily_return_mean_pct,0.02,-0.027590693534,0.047590693534,False,fd755d9e321100195a596341aa060495f1f0260685e6557e79a415d817d09580,"{""Buy"": 72}"
1,1,sideways,daily_return_std_pct,1.11,1.892942965348,0.782942965348,False,fd755d9e321100195a596341aa060495f1f0260685e6557e79a415d817d09580,"{""Buy"": 72}"
1,1,sideways,sharpe_ratio,0.15,-0.014575554594,0.164575554594,False,fd755d9e321100195a596341aa060495f1f0260685e6557e79a415d817d09580,"{""Buy"": 72}"
1,3,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,3,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,3,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,3,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,3,bull,total_return_pct,22.12,5.838906946045,16.281093053955,False,fd8cd6d676e4af7136562b6e56209d052e558b23fe875c54a0476c8ee23c2013,"{""Buy"": 34, ""Sell"": 27}"
1,3,bull,daily_return_mean_pct,0.36,0.106605479209,0.253394520791,False,fd8cd6d676e4af7136562b6e56209d052e558b23fe875c54a0476c8ee23c2013,"{""Buy"": 34, ""Sell"": 27}"
1,3,bull,daily_return_std_pct,2.59,1.75689424865,0.83310575135,False,fd8cd6d676e4af7136562b6e56209d052e558b23fe875c54a0476c8ee23c2013,"{""Buy"": 34, ""Sell"": 27}"
1,3,bull,sharpe_ratio,0.14,0.060678369965,0.079321630035,False,fd8cd6d676e4af7136562b6e56209d052e558b23fe875c54a0476c8ee23c2013,"{""Buy"": 34, ""Sell"": 27}"
1,3,sideways,total_return_pct,1.27,-2.376008445902,3.646008445902,False,6cf53c9634e45e5467392584bce1f73f2fb7de62fd73eac65b9df69664c78097,"{""Buy"": 12, ""Sell"": 60}"
1,3,sideways,daily_return_mean_pct,0.02,-0.031715224293,0.051715224293,False,6cf53c9634e45e5467392584bce1f73f2fb7de62fd73eac65b9df69664c78097,"{""Buy"": 12, ""Sell"": 60}"
1,3,sideways,daily_return_std_pct,1.11,0.494288229501,0.615711770499,False,6cf53c9634e45e5467392584bce1f73f2fb7de62fd73eac65b9df69664c78097,"{""Buy"": 12, ""Sell"": 60}"
1,3,sideways,sharpe_ratio,0.15,-0.064163422068,0.214163422068,False,6cf53c9634e45e5467392584bce1f73f2fb7de62fd73eac65b9df69664c78097,"{""Buy"": 12, ""Sell"": 60}"
1,5,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,5,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,5,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,5,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,5,bull,total_return_pct,22.12,22.124418906647,0.004418906647,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,5,bull,daily_return_mean_pct,0.36,0.355521473343,0.004478526657,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,5,bull,daily_return_std_pct,2.59,2.593342208069,0.003342208069,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,5,bull,sharpe_ratio,0.14,0.137090073279,0.002909926721,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,5,sideways,total_return_pct,1.27,0.588285350187,0.681714649813,False,c4a99cd86550954c17f2ac74a8be902a765c29c819ddf03e47fac83b81585522,"{""Buy"": 1, ""Sell"": 71}"
1,5,sideways,daily_return_mean_pct,0.02,0.008114394272,0.011885605728,False,c4a99cd86550954c17f2ac74a8be902a765c29c819ddf03e47fac83b81585522,"{""Buy"": 1, ""Sell"": 71}"
1,5,sideways,daily_return_std_pct,1.11,0.12588825352,0.98411174648,False,c4a99cd86550954c17f2ac74a8be902a765c29c819ddf03e47fac83b81585522,"{""Buy"": 1, ""Sell"": 71}"
1,5,sideways,sharpe_ratio,0.15,0.064457120063,0.085542879937,False,c4a99cd86550954c17f2ac74a8be902a765c29c819ddf03e47fac83b81585522,"{""Buy"": 1, ""Sell"": 71}"
1,10,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,10,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,10,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,10,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,10,bull,total_return_pct,22.12,22.124418906647,0.004418906647,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,10,bull,daily_return_mean_pct,0.36,0.355521473343,0.004478526657,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,10,bull,daily_return_std_pct,2.59,2.593342208069,0.003342208069,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,10,bull,sharpe_ratio,0.14,0.137090073279,0.002909926721,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,10,sideways,total_return_pct,1.27,1.265545864661,0.004454135339,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
1,10,sideways,daily_return_mean_pct,0.02,0.017293198427,0.002706801573,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
1,10,sideways,daily_return_std_pct,1.11,0.11361322968,0.99638677032,False,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
1,10,sideways,sharpe_ratio,0.15,0.152211133122,0.002211133122,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
1,20,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,20,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,20,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,20,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
1,20,bull,total_return_pct,22.12,22.124418906647,0.004418906647,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,20,bull,daily_return_mean_pct,0.36,0.355521473343,0.004478526657,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,20,bull,daily_return_std_pct,2.59,2.593342208069,0.003342208069,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,20,bull,sharpe_ratio,0.14,0.137090073279,0.002909926721,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
1,20,sideways,total_return_pct,1.27,1.265545864661,0.004454135339,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
1,20,sideways,daily_return_mean_pct,0.02,0.017293198427,0.002706801573,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
