regime,scenario,repeat,seed,lookback,epochs,decision_date,changed_date,decision_price,original_terminal_price,past_and_present_unchanged,changed_row_strictly_after_decision,paper_result_credit,action,comparison_price,predicted_price,scaler_min,scaler_max,supervised_target_count,train_X_sha256,train_Y_sha256,inference_X_sha256
sideways,terminal_price_doubled,0,0,5,100,2023-06-20,2023-08-31,1734.793103,1705.108103,True,True,False,Sell,3410.216206,1846.33349609,1635.191294,3410.216206,68,08bf593e27be89dc62dc706bfa9ce430e0a0b3e1207db59c714bba6bc1381582,75cd6c4196a69e70fd0db984f7f196bacdaa12749931ec507f34eea9e2a7e74d,d531a4f14d362c57750e63aac3288a59a94f0e824abcb29e571abca97a658774
sideways,terminal_price_doubled,1,0,5,100,2023-06-20,2023-08-31,1734.793103,1705.108103,True,True,False,Sell,3410.216206,1846.33349609,1635.191294,3410.216206,68,08bf593e27be89dc62dc706bfa9ce430e0a0b3e1207db59c714bba6bc1381582,75cd6c4196a69e70fd0db984f7f196bacdaa12749931ec507f34eea9e2a7e74d,d531a4f14d362c57750e63aac3288a59a94f0e824abcb29e571abca97a658774
sideways,terminal_price_halved,0,0,5,100,2023-06-20,2023-08-31,1734.793103,1705.108103,True,True,False,Buy,852.5540515,1743.26159668,852.5540515,2003.253616,68,edce55aa7b454869b176023633a0f61e5357b372cfdd1d7f992d8e1e6ed471ff,ba349eb127269c0b03e0f83b323955e032a20ce92e7784dc4cfd470149f052b9,0251f0d2e3ba3ed3b071fcbba5fe97e01b776c5cb03cb14576a211665769f280
sideways,terminal_price_halved,1,0,5,100,2023-06-20,2023-08-31,1734.793103,1705.108103,True,True,False,Buy,852.5540515,1743.26159668,852.5540515,2003.253616,68,edce55aa7b454869b176023633a0f61e5357b372cfdd1d7f992d8e1e6ed471ff,ba349eb127269c0b03e0f83b323955e032a20ce92e7784dc4cfd470149f052b9,0251f0d2e3ba3ed3b071fcbba5fe97e01b776c5cb03cb14576a211665769f280
sideways,post_regime_price_doubled_control,0,0,5,100,2023-06-20,2023-09-01,1734.793103,1705.108103,True,True,False,Sell,1705.10810113,1685.61962891,1635.191294,2003.253616,68,5943eb194b6459d58fbafb57a80a0f146bba07ae2dfa4d166b38114b630436e9,c18b3f6d09cbc13d7e1ad8724d5b5c0907f7e25df34a7d6f5fc34fe462b7d666,080ac7c91751937d1a1b7f50fc997f1d1302d8ea6539afb93ee20fc99905b24c
sideways,post_regime_price_doubled_control,1,0,5,100,2023-06-20,2023-09-01,1734.793103,1705.108103,True,True,False,Sell,1705.10810113,1685.61962891,1635.191294,2003.253616,68,5943eb194b6459d58fbafb57a80a0f146bba07ae2dfa4d166b38114b630436e9,c18b3f6d09cbc13d7e1ad8724d5b5c0907f7e25df34a7d6f5fc34fe462b7d666,080ac7c91751937d1a1b7f50fc997f1d1302d8ea6539afb93ee20fc99905b24c
bull,original,0,0,5,100,2023-10-01,2023-12-01,1670.998956,2051.756718,True,True,False,Buy,2051.75671303,2065.6875,1536.812805,2128.609504,57,567c65e8e5097b0ab7cb53b74509a09e1ef6c1c37093317251423716bad78104,7077921453d3ae959db26b3e9316210c5e100ac93b0e555b0d4b579bfd7aad9c,94f70a93bd07afe86f0aa9b37238daedc0b990488e32a5375fd37838f1073f6f
bull,original,1,0,5,100,2023-10-01,2023-12-01,1670.998956,2051.756718,True,True,False,Buy,2051.75671303,2065.6875,1536.812805,2128.609504,57,567c65e8e5097b0ab7cb53b74509a09e1ef6c1c37093317251423716bad78104,7077921453d3ae959db26b3e9316210c5e100ac93b0e555b0d4b579bfd7aad9c,94f70a93bd07afe86f0aa9b37238daedc0b990488e32a5375fd37838f1073f6f
bull,terminal_price_doubled,0,0,5,100,2023-10-01,2023-12-01,1670.998956,2051.756718,True,True,False,Sell,4103.513436,2422.34204102,1536.812805,4103.513436,57,5b2c486494816b08a59474aebe1f530da9b5a383c8f9ce6f1f17b0535d1d1cb8,cb25a02e53f597a2b949f5a47b4aaf52386f8ab8754416692657e0af4e3a9703,6811b23fc5518cabbf29762ae25208e41a75e49ec1bab572257aeb57c882deca
bull,terminal_price_doubled,1,0,5,100,2023-10-01,2023-12-01,1670.998956,2051.756718,True,True,False,Sell,4103.513436,2422.34204102,1536.812805,4103.513436,57,5b2c486494816b08a59474aebe1f530da9b5a383c8f9ce6f1f17b0535d1d1cb8,cb25a02e53f597a2b949f5a47b4aaf52386f8ab8754416692657e0af4e3a9703,6811b23fc5518cabbf29762ae25208e41a75e49ec1bab572257aeb57c882deca
bull,terminal_price_halved,0,0,5,100,2023-10-01,2023-12-01,1670.998956,2051.756718,True,True,False,Buy,1025.878359,1870.32666016,1025.878359,2128.609504,57,ef60722096639505194fbf30bc3f093e7fb7a3ad611f678f4b49be0deb82c85d,6fbcdfe50e4b28ee01219464c69f7fb68869dde8a81f94c5a702eecc1d36f35c,fc6beeda60d64a0bc31be3f6fd0d82177d2269422f51dde95127ca0b051c07ef
bull,terminal_price_halved,1,0,5,100,2023-10-01,2023-12-01,1670.998956,2051.756718,True,True,False,Buy,1025.878359,1870.32666016,1025.878359,2128.609504,57,ef60722096639505194fbf30bc3f093e7fb7a3ad611f678f4b49be0deb82c85d,6fbcdfe50e4b28ee01219464c69f7fb68869dde8a81f94c5a702eecc1d36f35c,fc6beeda60d64a0bc31be3f6fd0d82177d2269422f51dde95127ca0b051c07ef
bull,post_regime_price_doubled_control,0,0,5,100,2023-10-01,2023-12-02,1670.998956,2051.756718,True,True,False,Buy,2051.75671303,2065.6875,1536.812805,2128.609504,57,567c65e8e5097b0ab7cb53b74509a09e1ef6c1c37093317251423716bad78104,7077921453d3ae959db26b3e9316210c5e100ac93b0e555b0d4b579bfd7aad9c,94f70a93bd07afe86f0aa9b37238daedc0b990488e32a5375fd37838f1073f6f
bull,post_regime_price_doubled_control,1,0,5,100,2023-10-01,2023-12-02,1670.998956,2051.756718,True,True,False,Buy,2051.75671303,2065.6875,1536.812805,2128.609504,57,567c65e8e5097b0ab7cb53b74509a09e1ef6c1c37093317251423716bad78104,7077921453d3ae959db26b3e9316210c5e100ac93b0e555b0d4b579bfd7aad9c,94f70a93bd07afe86f0aa9b37238daedc0b990488e32a5375fd37838f1073f6f
