formation_month,specialist_count,round_robin_passes,speaking_turns,initial_disagreement_rate,final_disagreement_rate,unanimous_after_debate_rate,mean_absolute_opinion_change,finite_scores,buy_consensus_count,sell_consensus_count
2005-01-31,3,2,6,0.652962515114873,0.2599758162031439,0.7400241837968561,0.24514270775215244,967,478,489
2005-02-28,3,2,6,0.6542617046818727,0.25690276110444177,0.7430972388955582,0.24287126011307375,967,488,479
2005-03-31,3,2,6,0.6642599277978339,0.2767749699157641,0.7232250300842359,0.2526931796205031,964,489,475
2005-04-30,3,2,6,0.7046818727490997,0.3013205282112845,0.6986794717887155,0.2613138373635974,969,494,475
2005-05-31,3,2,6,0.7038369304556354,0.2853717026378897,0.7146282973621103,0.2543089176597905,972,484,488
2005-06-30,3,2,6,0.7250900360144058,0.3037214885954382,0.6962785114045619,0.26134225917593107,975,486,489
2005-07-31,3,2,6,0.6766826923076923,0.28725961538461536,0.7127403846153846,0.25054820020084584,976,478,498
2005-08-31,3,2,6,0.6899879372738239,0.26537997587454765,0.7346200241254524,0.25390974057706384,972,486,486
2005-09-30,3,2,6,0.6746987951807228,0.2674698795180723,0.7325301204819277,0.25474166486881383,973,481,492
2005-10-31,3,2,6,0.6594464500601684,0.2575210589651023,0.7424789410348978,0.24746611938913596,971,481,490
2005-11-30,3,2,6,0.6479041916167665,0.2634730538922156,0.7365269461077845,0.24689900193371345,972,479,493
2005-12-31,3,2,6,0.684652278177458,0.26498800959232616,0.7350119904076738,0.25303051010345673,977,468,509
2006-01-31,3,2,6,0.6626650660264105,0.2460984393757503,0.7539015606242497,0.24366669617277728,972,483,489
2006-02-28,3,2,6,0.6965352449223416,0.2855436081242533,0.7144563918757467,0.25546921026762165,974,481,493
2006-03-31,3,2,6,0.6518607442977191,0.25210084033613445,0.7478991596638656,0.24998076011768397,971,486,485
2006-04-30,3,2,6,0.6810035842293907,0.2807646356033453,0.7192353643966547,0.2531710018963746,977,490,487
2006-05-31,3,2,6,0.7202881152460985,0.3037214885954382,0.6962785114045619,0.2640492508417834,967,493,474
2006-06-30,3,2,6,0.6906474820143885,0.28776978417266186,0.7122302158273381,0.254174711849075,969,477,492
2006-07-31,3,2,6,0.7222884386174017,0.3170441001191895,0.6829558998808105,0.2613509436874187,976,502,474
2006-08-31,3,2,6,0.746730083234245,0.31866825208085614,0.6813317479191439,0.2756796810107458,977,488,489
2006-09-30,3,2,6,0.7389749702026222,0.3492252681764005,0.6507747318235996,0.27536428986175615,975,478,497
2006-10-31,3,2,6,0.7586206896551724,0.3400713436385256,0.6599286563614745,0.27272530570695613,976,484,492
2006-11-30,3,2,6,0.7430972388955582,0.31812725090036015,0.6818727490996399,0.26995088984483906,968,492,476
2006-12-31,3,2,6,0.7644230769230769,0.34134615384615385,0.6586538461538461,0.2765974179041983,968,486,482
2007-01-31,3,2,6,0.6995249406175772,0.3194774346793349,0.6805225653206651,0.2601746334323236,967,477,490
2007-02-28,3,2,6,0.751472320376914,0.30153121319199055,0.6984687868080094,0.2682171461133669,969,492,477
2007-03-31,3,2,6,0.7252358490566038,0.29952830188679247,0.7004716981132075,0.2567182877094277,967,494,473
2007-04-30,3,2,6,0.7004773269689738,0.28878281622911695,0.711217183770883,0.26121144568895777,962,469,493
2007-05-31,3,2,6,0.7110582639714625,0.3079667063020214,0.6920332936979786,0.25619930738943864,969,488,481
2007-06-30,3,2,6,0.6741706161137441,0.2677725118483412,0.7322274881516587,0.24673865363105338,969,484,485
2007-07-31,3,2,6,0.6371158392434988,0.25295508274231676,0.7470449172576832,0.23417130477589654,966,476,490
2007-08-31,3,2,6,0.6441281138790036,0.2514827995255042,0.7485172004744959,0.2396737405590575,965,479,486
2007-09-30,3,2,6,0.6462264150943396,0.25589622641509435,0.7441037735849056,0.24121456365610147,968,479,489
2007-10-31,3,2,6,0.6682297772567409,0.25908558030480655,0.7409144196951934,0.24461963900471648,968,482,486
2007-11-30,3,2,6,0.6773809523809524,0.2785714285714286,0.7214285714285714,0.2439413708595154,962,469,493
2007-12-31,3,2,6,0.6733727810650888,0.26272189349112424,0.7372781065088757,0.24711521365815636,962,480,482
2008-01-31,3,2,6,0.7174677608440797,0.324736225087925,0.675263774912075,0.2608944179765748,967,478,489
2008-02-29,3,2,6,0.6436107854630715,0.2672919109026964,0.7327080890973037,0.24120007856813205,960,491,469
2008-03-31,3,2,6,0.6647058823529411,0.29411764705882354,0.7058823529411765,0.2457445625595245,960,485,475
2008-04-30,3,2,6,0.6623681125439624,0.26260257913247365,0.7373974208675264,0.24209394002911658,961,493,468
2008-05-31,3,2,6,0.6491228070175439,0.24561403508771928,0.7543859649122807,0.2356432638712337,959,487,472
2008-06-30,3,2,6,0.6425233644859814,0.21845794392523366,0.7815420560747663,0.22834756231951148,957,481,476
2008-07-31,3,2,6,0.6725352112676056,0.25821596244131456,0.7417840375586855,0.24507703481804946,967,478,489
2008-08-31,3,2,6,0.670150987224158,0.27293844367015097,0.727061556329849,0.24955692710923033,969,484,485
