repository,url,ref_kind,ref_name,head_commit,relation_to_official_history,unique_commits_beyond_official_history,paper_result_credit
linyi0422/ContestTrade,https://github.com/linyi0422/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
LiuWQ0809/ContestTrade,https://github.com/LiuWQ0809/ContestTrade,branch,dev,b017ffaa23eee5043163b4a11b5803b6da58fd0e,official_history_reachable,0,False
LiuWQ0809/ContestTrade,https://github.com/LiuWQ0809/ContestTrade,branch,main,9cd74819d39f228d3006f15599aeee2e6322d01a,divergent,10,False
LiuWQ0809/ContestTrade,https://github.com/LiuWQ0809/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
LiuWQ0809/ContestTrade,https://github.com/LiuWQ0809/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
LiuWQ0809/ContestTrade,https://github.com/LiuWQ0809/ContestTrade,tag,v2.0,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
LucaOAI/ContestTrade,https://github.com/LucaOAI/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
lugesot/ContestTrade,https://github.com/lugesot/ContestTrade,branch,feature/add_docker,7236f3310091ba66a55906b870711c65284feba2,official_history_reachable,0,False
lugesot/ContestTrade,https://github.com/lugesot/ContestTrade,branch,main,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
Luxuff/ContestTrade,https://github.com/Luxuff/ContestTrade,branch,main,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
lxy798132784/ContestTrade,https://github.com/lxy798132784/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
macsymgit/ContestTrade,https://github.com/macsymgit/ContestTrade,branch,main,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,official_history_reachable,0,False
manlujun/ContestTrade,https://github.com/manlujun/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
maoqizhen/ContestTrade,https://github.com/maoqizhen/ContestTrade,branch,DEVM,eac5c1cddc6d67f450ad6a36d8e36abd066fbefd,divergent,7,False
maoqizhen/ContestTrade,https://github.com/maoqizhen/ContestTrade,branch,Integration,6ebb1e1d93a30b3b3aa9a294a1aebf210b01740d,divergent,16,False
maoqizhen/ContestTrade,https://github.com/maoqizhen/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
margareetdamelo/ContestTrade,https://github.com/margareetdamelo/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
maxclchen/ContestTrade,https://github.com/maxclchen/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
medusadks/ContestTrade,https://github.com/medusadks/ContestTrade,branch,main,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,official_history_reachable,0,False
musthesijie/ContestTrade,https://github.com/musthesijie/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
neverdead117/ContestTrade,https://github.com/neverdead117/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
ni-cheng/ContestTrade,https://github.com/ni-cheng/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
perhapsll/ContestTrade,https://github.com/perhapsll/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
pppppppw/ContestTrade,https://github.com/pppppppw/ContestTrade,branch,main,0bdc59530f6e5196f9701cbe2df8612869176c9e,official_history_reachable,0,False
pseudocodes/ContestTrade,https://github.com/pseudocodes/ContestTrade,branch,dev,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
pseudocodes/ContestTrade,https://github.com/pseudocodes/ContestTrade,branch,main,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
pseudocodes/ContestTrade,https://github.com/pseudocodes/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
pseudocodes/ContestTrade,https://github.com/pseudocodes/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
quantitative-trading-evangelist/ContestTrade,https://github.com/quantitative-trading-evangelist/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
ricksolaris/ContestTrade,https://github.com/ricksolaris/ContestTrade,branch,main,16f88b9b748e4398e9a9327aa37e5f0d393e9c3b,official_history_reachable,0,False
RoyalTeng/ContestTrade,https://github.com/RoyalTeng/ContestTrade,branch,main,75ca8b1dd50f7a3d6b63f4d41095786aa87a8872,divergent,6,False
RuidongWang/ContestTrade,https://github.com/RuidongWang/ContestTrade,branch,main,a56a1287f075d3fe5544f24507d304cfd22e242a,official_history_reachable,0,False
sandianshui-18/ContestTrade,https://github.com/sandianshui-18/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
sf2046/ContestTrade,https://github.com/sf2046/ContestTrade,branch,main,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
ShaneZhengNZ/ContestTrade,https://github.com/ShaneZhengNZ/ContestTrade,branch,main,2015725f5f71266680e721b305ee829bfc2b00b3,official_history_reachable,0,False
Sheisback/ContestTrade,https://github.com/Sheisback/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
shuhua0411/ContestTrade,https://github.com/shuhua0411/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
simon32123/ContestTrade,https://github.com/simon32123/ContestTrade,branch,main,93e2299a2993f2c2d1bb6fbf9cfd1b51c998c385,official_history_reachable,0,False
Sky-13/ContestTrade,https://github.com/Sky-13/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
smallarmy/ContestTrade,https://github.com/smallarmy/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
smzssyb/ContestTrade,https://github.com/smzssyb/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
Snake-Dzh/ContestTrade,https://github.com/Snake-Dzh/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
softctwo/ContestTrade,https://github.com/softctwo/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
Step-Zane/ContestTrade,https://github.com/Step-Zane/ContestTrade,branch,main,cf8ea21cfee19eed036a4da874c39d88a2bf1939,official_history_reachable,0,False
stepfun-sunrui/ContestTrade,https://github.com/stepfun-sunrui/ContestTrade,branch,main,a56a1287f075d3fe5544f24507d304cfd22e242a,official_history_reachable,0,False
stepfun-sunrui/ContestTrade,https://github.com/stepfun-sunrui/ContestTrade,branch,us_feature,a2dfbabbc0b0861e0e35dc2dc7b00dfea2cf0241,divergent,3,False
stepfun-sunrui/ContestTrade,https://github.com/stepfun-sunrui/ContestTrade,branch,us_feature_v1,e3194ba98617cf1069b7a192fe9bae964030751c,official_history_reachable,0,False
Steve-Leo/ContestTrade,https://github.com/Steve-Leo/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
stevenwxz/ContestTrade,https://github.com/stevenwxz/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
stormsha/ContestTrade,https://github.com/stormsha/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
Sunyanfei/ContestTrade,https://github.com/Sunyanfei/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
Sven-LI-sankyuu/ContestTrade,https://github.com/Sven-LI-sankyuu/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
TerryLiu/ContestTrade,https://github.com/TerryLiu/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
thstone/ContestTrade,https://github.com/thstone/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
Tom-roujiang/ContestTrade,https://github.com/Tom-roujiang/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
ue0007/ContestTrade,https://github.com/ue0007/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
ue0007/ContestTrade,https://github.com/ue0007/ContestTrade,branch,personal_version,15ab7977209704cf664436aa1ebc5b2583b2fdcc,divergent,3,False
vseal001/ContestTrade,https://github.com/vseal001/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
waili8029/ContestTrade,https://github.com/waili8029/ContestTrade,branch,main,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
wang378685378/ContestTrade,https://github.com/wang378685378/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
wbjqiqi/ContestTrade,https://github.com/wbjqiqi/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
WCFVOL/ContestTrade,https://github.com/WCFVOL/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
whitebai968/ContestTrade,https://github.com/whitebai968/ContestTrade,branch,dev,5bf666fd9b0524d557c8bd5d02f2934774ceea6e,official_history_reachable,0,False
whitebai968/ContestTrade,https://github.com/whitebai968/ContestTrade,branch,main,16f88b9b748e4398e9a9327aa37e5f0d393e9c3b,official_history_reachable,0,False
whitebfz-ctrl/ContestTrade,https://github.com/whitebfz-ctrl/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
wuzhenglin510/ContestTrade,https://github.com/wuzhenglin510/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
wyxiong431/ContestTrade,https://github.com/wyxiong431/ContestTrade,branch,main,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,official_history_reachable,0,False
xdengpao/ContestTrade,https://github.com/xdengpao/ContestTrade,branch,dev,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
xdengpao/ContestTrade,https://github.com/xdengpao/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
xdengpao/ContestTrade,https://github.com/xdengpao/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
xdengpao/ContestTrade,https://github.com/xdengpao/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
xdengpao/ContestTrade,https://github.com/xdengpao/ContestTrade,tag,v2.0,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
xiaoxiang9/ContestTrade,https://github.com/xiaoxiang9/ContestTrade,branch,main,92fce9cc479785044b2c930ab9458c80156d8402,official_history_reachable,0,False
xinghuo2023/ContestTrade,https://github.com/xinghuo2023/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
