file,size_bytes,sha256,paper_result_artifact
contest_trade/data_source/us_price_market.py,10541,aa07628c50a0796473b5b42f7343e55aa4412bf1188b2bad1a6094c4b38a2eba,False
contest_trade/main.py,20023,6b25ceda52272a10876f398d1c230999e5392f128a6ef022b8df3dd36c959880,False
contest_trade/models/__init__.py,441,fc75a6ec8619caf5265427711c9402d88feabbbf7dcf78f93d880bafa7ce7e46,False
contest_trade/models/base_agent_model.py,10460,c211bce032140d231fc7faf5a0af7ff9a07f1e6230fc3a242f3712f595b2c9b8,False
contest_trade/models/llm_model.py,27680,16f3a6ae28b0c5dff5bb6d6ed5fac1d38ff36938209f147631670148833baa63,False
contest_trade/tools/__init__.py,127,b9df50700761955fc0af61a0279af5827e1d169e6369c59c1c9e2a17ace08ae7,False
contest_trade/tools/corp_info.py,17338,fe249c7ead563c8325b8e85310a5bad0c3045377bcf684560dda718d974ee857,False
contest_trade/tools/corp_info_akshare.py,14623,bbbd68e37ef1b213142421a64924e6854dee1678fd7601375c40c2df4b19d037,False
contest_trade/tools/corp_info_us.py,14373,dca6db907638d5868607aa00edd17c623d9c9552700c9089870967a77e81d2c8,False
contest_trade/tools/final_report.py,323,9d90ed2c12264eb1783bda5be59ab0cedcad80901642030faee9de99b8dddb5c,False
contest_trade/tools/make_decision.py,269,bf8f6b384bca0a952ab38a57a7ece825589d43c3f49d47c42cc3d70da864e721,False
contest_trade/tools/price_info.py,1840,3269ddb21aecc7f234f9819d0ce4fdd7325758ee7640cd127f4bcd12ca12c87a,False
contest_trade/tools/price_info_akshare.py,3179,a1287518211d52f215e42a93ba3e20de9c949ca693e907775d14645f478bab24,False
contest_trade/tools/price_info_us.py,5951,b99fe2d577c78fca6f264e2bfa74b1219725589830c8b100372f12a245aff137,False
contest_trade/tools/search_web.py,7176,f816052058ce3dc0dbeb329f95c6d3644d54ac3709dbaccf66a2c69d0f01654f,False
contest_trade/tools/stock_selector.py,4844,872b874f280fc523e4508c68c05b557e5f13c1ac0170b028ceb1c35c22996e43,False
contest_trade/tools/stock_selector_akshare.py,9181,9c2c0d823191064ebbc150fcb583032605be82d6124a6a643795c57f355a3729,False
contest_trade/tools/stock_summary.py,7438,c4438b7e7b9fdb74790d444c761c49633e42530a339e3cbc9907d2712b6021c5,False
contest_trade/tools/stock_summary_akshare.py,11735,a53ea503745dda0f2361432005368dfd1b16efe06f0d38f827ca31faffad42a0,False
contest_trade/tools/stock_summary_us.py,13221,02c84139ff610ab1a511324c46f55903b96acc2710146c19d882e4f60e31d851,False
contest_trade/tools/stock_symbol_search.py,5386,6ac4fdb6fa9504b52a96ee99fabefa1c74d1cb07900403ec37f2e6e9540f4bb3,False
contest_trade/tools/stock_symbol_search_akshare.py,8560,838386ae7d5f50346a19b1275ebb294814c4cf784552607665cd84c7b2de5cb2,False
contest_trade/tools/stock_symbol_search_us.py,7191,055e52629dc2bd75968f5b8ce2950e92bd64c3bc9e42ee51800922e3df7004aa,False
