display_cell_id,paper_table,cell_role,entity,market,metric,v1_period,v1_value,v2_period,v2_value,status,paper_result_credit
2|LSTM|S&P500|ICIR,2,result,LSTM,S&P500,ICIR,2021-01-01 to 2024-12-31,0.0181,2021-01-01 to 2024-12-31,0.0181,unchanged,False
2|LSTM|S&P500|IR,2,result,LSTM,S&P500,IR,2021-01-01 to 2024-12-31,-0.1671,2021-01-01 to 2024-12-31,-0.1671,unchanged,False
2|LSTM|S&P500|MDD_pct,2,result,LSTM,S&P500,MDD_pct,2021-01-01 to 2024-12-31,-26.05,2021-01-01 to 2024-12-31,-26.05,unchanged,False
2|LightGBM|CSI500|AR_pct,2,result,LightGBM,CSI500,AR_pct,2021-01-01 to 2024-12-31,-1.18,2021-01-01 to 2024-12-31,-1.18,unchanged,False
2|LightGBM|CSI500|IC,2,result,LightGBM,CSI500,IC,2021-01-01 to 2024-12-31,0.012,2021-01-01 to 2024-12-31,0.012,unchanged,False
2|LightGBM|CSI500|ICIR,2,result,LightGBM,CSI500,ICIR,2021-01-01 to 2024-12-31,0.1209,2021-01-01 to 2024-12-31,0.1209,unchanged,False
2|LightGBM|CSI500|IR,2,result,LightGBM,CSI500,IR,2021-01-01 to 2024-12-31,-0.1588,2021-01-01 to 2024-12-31,-0.1588,unchanged,False
2|LightGBM|CSI500|MDD_pct,2,result,LightGBM,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-18.97,2021-01-01 to 2024-12-31,-18.97,unchanged,False
2|LightGBM|S&P500|AR_pct,2,result,LightGBM,S&P500,AR_pct,2021-01-01 to 2024-12-31,-2.64,2021-01-01 to 2024-12-31,-2.64,unchanged,False
2|LightGBM|S&P500|IC,2,result,LightGBM,S&P500,IC,2021-01-01 to 2024-12-31,0.0011,2021-01-01 to 2024-12-31,0.0011,unchanged,False
2|LightGBM|S&P500|ICIR,2,result,LightGBM,S&P500,ICIR,2021-01-01 to 2024-12-31,0.0116,2021-01-01 to 2024-12-31,0.0116,unchanged,False
2|LightGBM|S&P500|IR,2,result,LightGBM,S&P500,IR,2021-01-01 to 2024-12-31,-0.4224,2021-01-01 to 2024-12-31,-0.4224,unchanged,False
2|LightGBM|S&P500|MDD_pct,2,result,LightGBM,S&P500,MDD_pct,2021-01-01 to 2024-12-31,-21.17,2021-01-01 to 2024-12-31,-21.17,unchanged,False
2|OpenAI-o1 best-of-10|CSI500|AR_pct,2,result,OpenAI-o1 best-of-10,CSI500,AR_pct,2021-01-01 to 2024-12-31,0.46,2021-01-01 to 2024-12-31,0.46,unchanged,False
2|OpenAI-o1 best-of-10|CSI500|IC,2,result,OpenAI-o1 best-of-10,CSI500,IC,2021-01-01 to 2024-12-31,0.0159,2021-01-01 to 2024-12-31,0.0159,unchanged,False
2|OpenAI-o1 best-of-10|CSI500|ICIR,2,result,OpenAI-o1 best-of-10,CSI500,ICIR,2021-01-01 to 2024-12-31,0.1502,2021-01-01 to 2024-12-31,0.1502,unchanged,False
2|OpenAI-o1 best-of-10|CSI500|IR,2,result,OpenAI-o1 best-of-10,CSI500,IR,2021-01-01 to 2024-12-31,0.0632,2021-01-01 to 2024-12-31,0.0632,unchanged,False
2|OpenAI-o1 best-of-10|CSI500|MDD_pct,2,result,OpenAI-o1 best-of-10,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-21.29,2021-01-01 to 2024-12-31,-21.29,unchanged,False
2|OpenAI-o1 best-of-10|S&P500|AR_pct,2,result,OpenAI-o1 best-of-10,S&P500,AR_pct,2021-01-01 to 2024-12-31,2.29,2021-01-01 to 2024-12-31,2.29,unchanged,False
2|OpenAI-o1 best-of-10|S&P500|IC,2,result,OpenAI-o1 best-of-10,S&P500,IC,2021-01-01 to 2024-12-31,0.0028,2021-01-01 to 2024-12-31,0.0028,unchanged,False
2|OpenAI-o1 best-of-10|S&P500|ICIR,2,result,OpenAI-o1 best-of-10,S&P500,ICIR,2021-01-01 to 2024-12-31,0.0217,2021-01-01 to 2024-12-31,0.0217,unchanged,False
2|OpenAI-o1 best-of-10|S&P500|IR,2,result,OpenAI-o1 best-of-10,S&P500,IR,2021-01-01 to 2024-12-31,0.2021,2021-01-01 to 2024-12-31,0.2021,unchanged,False
2|OpenAI-o1 best-of-10|S&P500|MDD_pct,2,result,OpenAI-o1 best-of-10,S&P500,MDD_pct,2021-01-01 to 2024-12-31,-16.35,2021-01-01 to 2024-12-31,-16.35,unchanged,False
2|RD-Agent|CSI500|AR_pct,2,result,RD-Agent,CSI500,AR_pct,2021-01-01 to 2024-12-31,0.78,2021-01-01 to 2024-12-31,0.78,unchanged,False
2|RD-Agent|CSI500|IC,2,result,RD-Agent,CSI500,IC,2021-01-01 to 2024-12-31,0.0113,2021-01-01 to 2024-12-31,0.0113,unchanged,False
2|RD-Agent|CSI500|ICIR,2,result,RD-Agent,CSI500,ICIR,2021-01-01 to 2024-12-31,0.0872,2021-01-01 to 2024-12-31,0.0872,unchanged,False
2|RD-Agent|CSI500|IR,2,result,RD-Agent,CSI500,IR,2021-01-01 to 2024-12-31,0.0744,2021-01-01 to 2024-12-31,0.0744,unchanged,False
