market,aggregation,run_count,run_ids,all_runs_cover_full_paper_period,ic,icir,annualized_return_pct,information_ratio,max_drawdown_pct,display_metrics_matching,display_cells_matching,valid_period_display_cells_matching,all_five_display_cells_match,paper_result_credit,interpretation
S&P500,median,2,37716ba581664a6c865f52aec6449f40;efb8aaa80be0432988a62b2e0ce7b210,False,0.006261876340492641,0.06106781839090748,6.421384891962763,0.5648470532578708,-21.945106212896818,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,mean,2,77b227f86e5a47bab48178cac409a98b;db47a8ecacf541cc957fe5a4459a0fdc,False,0.00563283519812245,0.05449593685777426,8.249998780411161,0.8461382493188759,-18.059857240525417,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,median,2,77b227f86e5a47bab48178cac409a98b;db47a8ecacf541cc957fe5a4459a0fdc,False,0.00563283519812245,0.05449593685777426,8.249998780411161,0.8461382493188759,-18.059857240525417,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,mean,2,77b227f86e5a47bab48178cac409a98b;efb8aaa80be0432988a62b2e0ce7b210,False,0.006313628605973548,0.0631838371508447,7.898997059932217,0.8473819675400571,-14.7955304303968,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,median,2,77b227f86e5a47bab48178cac409a98b;efb8aaa80be0432988a62b2e0ce7b210,False,0.006313628605973548,0.0631838371508447,7.898997059932217,0.8473819675400571,-14.7955304303968,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,mean,2,db47a8ecacf541cc957fe5a4459a0fdc;efb8aaa80be0432988a62b2e0ce7b210,False,0.006310909303915882,0.06246631908319791,7.405097764898985,0.6390275654584936,-23.75719435659576,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,median,2,db47a8ecacf541cc957fe5a4459a0fdc;efb8aaa80be0432988a62b2e0ce7b210,False,0.006310909303915882,0.06246631908319791,7.405097764898985,0.6390275654584936,-23.75719435659576,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,mean,3,37716ba581664a6c865f52aec6449f40;77b227f86e5a47bab48178cac409a98b;db47a8ecacf541cc957fe5a4459a0fdc,False,0.005599240121821066,0.05332443037369838,7.429557100109269,0.7272331071579395,-19.839019786792445,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,median,3,37716ba581664a6c865f52aec6449f40;77b227f86e5a47bab48178cac409a98b;db47a8ecacf541cc957fe5a4459a0fdc,False,0.005630115896064784,0.053778418790127465,7.756099485377929,0.6377838472373123,-23.397344879326496,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,mean,3,37716ba581664a6c865f52aec6449f40;77b227f86e5a47bab48178cac409a98b;efb8aaa80be0432988a62b2e0ce7b210,False,0.0060531023937217985,0.05911636390241201,7.195555953123306,0.728062252638727,-17.662801913373364,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,median,3,37716ba581664a6c865f52aec6449f40;77b227f86e5a47bab48178cac409a98b;efb8aaa80be0432988a62b2e0ce7b210,False,0.005635554500180115,0.055213454925421054,7.05409604442004,0.6402712836796748,-20.492867546467142,IC;ICIR,2,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,mean,3,37716ba581664a6c865f52aec6449f40;db47a8ecacf541cc957fe5a4459a0fdc;efb8aaa80be0432988a62b2e0ce7b210,False,0.006051289525683355,0.05863801852398081,6.866289756434485,0.5891593179176846,-23.63724453083934,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,median,3,37716ba581664a6c865f52aec6449f40;db47a8ecacf541cc957fe5a4459a0fdc;efb8aaa80be0432988a62b2e0ce7b210,False,0.005630115896064784,0.053778418790127465,7.05409604442004,0.6377838472373123,-23.397344879326496,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,mean,3,77b227f86e5a47bab48178cac409a98b;db47a8ecacf541cc957fe5a4459a0fdc;efb8aaa80be0432988a62b2e0ce7b210,False,0.00608579103600396,0.060048697697272294,7.851364535080787,0.7775159274391422,-18.870860675839324,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,median,3,77b227f86e5a47bab48178cac409a98b;db47a8ecacf541cc957fe5a4459a0fdc;efb8aaa80be0432988a62b2e0ce7b210,False,0.005635554500180115,0.055213454925421054,7.756099485377929,0.6402712836796748,-20.492867546467142,IC;ICIR,2,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,mean,4,37716ba581664a6c865f52aec6449f40;77b227f86e5a47bab48178cac409a98b;db47a8ecacf541cc957fe5a4459a0fdc;efb8aaa80be0432988a62b2e0ce7b210,False,0.005947355769307544,0.05778187762434087,7.335691836186962,0.7054926512883734,-20.002481726711117,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,median,4,37716ba581664a6c865f52aec6449f40;77b227f86e5a47bab48178cac409a98b;db47a8ecacf541cc957fe5a4459a0fdc;efb8aaa80be0432988a62b2e0ce7b210,False,0.00563283519812245,0.05449593685777426,7.405097764898985,0.6390275654584936,-21.945106212896818,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
