paper_table,method,asset_pool,metric,paper_value,native_reproduced_value,absolute_difference,status,paper_result_credit
Table 1 Main Experiment Results,Alpha-R1,CSI 1000,AR_pct,78.18,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 1 Main Experiment Results,Alpha-R1,CSI 1000,Sharpe,4.03,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 1 Main Experiment Results,Alpha-R1,CSI 1000,MDD_pct,9.25,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,Alpha-R1 (Full),CSI 300,CR_pct,12.99,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,Alpha-R1 (Full),CSI 300,AR_pct,27.59,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,Alpha-R1 (Full),CSI 300,Sharpe,1.62,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,Alpha-R1 (Full),CSI 300,MDD_pct,6.76,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,Buy & Hold (CSI 300 Index),CSI 300,CR_pct,3.03,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,Buy & Hold (CSI 300 Index),CSI 300,AR_pct,6.7,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,Buy & Hold (CSI 300 Index),CSI 300,Sharpe,0.33,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,Buy & Hold (CSI 300 Index),CSI 300,MDD_pct,10.49,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,w/o Market Price,CSI 300,CR_pct,10.24,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,w/o Market Price,CSI 300,AR_pct,22.42,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,w/o Market Price,CSI 300,Sharpe,1.24,,,unavailable_official_repository_has_no_experiment_code_or_output,False
Table 2 Ablation Study Results,w/o Market Price,CSI 300,MDD_pct,12.87,,,unavailable_official_repository_has_no_experiment_code_or_output,False
