edition,table,row_number,context,row,metric,display_value,numeric_value,duplicate_kind,native_pipeline_executed,native_result_regenerated,paper_result_credit
arxiv_v1,main_baselines,10,CSI300-10,LSTM,RankIC,0.0216,0.0216,none,False,False,False
arxiv_v1,main_baselines,10,CSI300-10,LSTM,ICIR,0.0886,0.0886,none,False,False,False
arxiv_v1,main_baselines,10,CSI300-10,LSTM,RankICIR,0.1619,0.1619,none,False,False,False
arxiv_v1,main_baselines,10,CSI300-10,LSTM,AER,0.0593,0.0593,none,False,False,False
arxiv_v1,main_baselines,10,CSI300-10,LSTM,IR,0.6030,0.603,none,False,False,False
arxiv_v1,main_baselines,11,CSI300-10,CNN,IC,0.0268,0.0268,none,False,False,False
arxiv_v1,main_baselines,11,CSI300-10,CNN,RankIC,0.0392,0.0392,none,False,False,False
arxiv_v1,main_baselines,11,CSI300-10,CNN,ICIR,0.2432,0.2432,none,False,False,False
arxiv_v1,main_baselines,11,CSI300-10,CNN,RankICIR,0.3117,0.3117,none,False,False,False
arxiv_v1,main_baselines,11,CSI300-10,CNN,AER,0.0763,0.0763,none,False,False,False
arxiv_v1,main_baselines,11,CSI300-10,CNN,IR,0.9642,0.9642,none,False,False,False
arxiv_v1,main_baselines,12,CSI300-10,Alpha158,IC,0.0358,0.0358,none,False,False,False
arxiv_v1,main_baselines,12,CSI300-10,Alpha158,RankIC,0.0402,0.0402,none,False,False,False
arxiv_v1,main_baselines,12,CSI300-10,Alpha158,ICIR,0.2737,0.2737,none,False,False,False
arxiv_v1,main_baselines,12,CSI300-10,Alpha158,RankICIR,0.2866,0.2866,none,False,False,False
arxiv_v1,main_baselines,12,CSI300-10,Alpha158,AER,0.0946,0.0946,none,False,False,False
arxiv_v1,main_baselines,12,CSI300-10,Alpha158,IR,0.8556,0.8556,none,False,False,False
arxiv_v1,main_baselines,13,CSI300-10,Alpha360,IC,0.0200,0.02,none,False,False,False
arxiv_v1,main_baselines,13,CSI300-10,Alpha360,RankIC,0.0136,0.0136,none,False,False,False
arxiv_v1,main_baselines,13,CSI300-10,Alpha360,ICIR,0.1674,0.1674,none,False,False,False
arxiv_v1,main_baselines,13,CSI300-10,Alpha360,RankICIR,0.1067,0.1067,none,False,False,False
arxiv_v1,main_baselines,13,CSI300-10,Alpha360,AER,0.1198,0.1198,none,False,False,False
arxiv_v1,main_baselines,13,CSI300-10,Alpha360,IR,1.0762,1.0762,none,False,False,False
arxiv_v1,main_baselines,14,CSI300-10,Llama3-8B,IC,0.0121,0.0121,none,False,False,False
arxiv_v1,main_baselines,14,CSI300-10,Llama3-8B,RankIC,-0.0074,-0.0074,none,False,False,False
arxiv_v1,main_baselines,14,CSI300-10,Llama3-8B,ICIR,0.0972,0.0972,none,False,False,False
arxiv_v1,main_baselines,14,CSI300-10,Llama3-8B,RankICIR,-0.0540,-0.054,none,False,False,False
arxiv_v1,main_baselines,14,CSI300-10,Llama3-8B,AER,0.0520,0.052,none,False,False,False
arxiv_v1,main_baselines,14,CSI300-10,Llama3-8B,IR,0.5077,0.5077,none,False,False,False
arxiv_v1,main_baselines,15,CSI300-10,Llama3-70B,IC,0.0205,0.0205,none,False,False,False
arxiv_v1,main_baselines,15,CSI300-10,Llama3-70B,RankIC,0.0229,0.0229,none,False,False,False
arxiv_v1,main_baselines,15,CSI300-10,Llama3-70B,ICIR,0.1786,0.1786,none,False,False,False
arxiv_v1,main_baselines,15,CSI300-10,Llama3-70B,RankICIR,0.1915,0.1915,none,False,False,False
arxiv_v1,main_baselines,15,CSI300-10,Llama3-70B,AER,0.0681,0.0681,none,False,False,False
arxiv_v1,main_baselines,15,CSI300-10,Llama3-70B,IR,0.6312,0.6312,none,False,False,False
arxiv_v1,main_baselines,16,CSI300-10,gpt-oss-20B,IC,0.0061,0.0061,none,False,False,False
arxiv_v1,main_baselines,16,CSI300-10,gpt-oss-20B,RankIC,0.0075,0.0075,none,False,False,False
arxiv_v1,main_baselines,16,CSI300-10,gpt-oss-20B,ICIR,0.0613,0.0613,none,False,False,False
arxiv_v1,main_baselines,16,CSI300-10,gpt-oss-20B,RankICIR,0.0680,0.068,none,False,False,False
arxiv_v1,main_baselines,16,CSI300-10,gpt-oss-20B,AER,0.0464,0.0464,none,False,False,False
arxiv_v1,main_baselines,16,CSI300-10,gpt-oss-20B,IR,0.4885,0.4885,none,False,False,False
arxiv_v1,main_baselines,17,CSI300-10,gpt-oss-120B,IC,0.0300,0.03,none,False,False,False
arxiv_v1,main_baselines,17,CSI300-10,gpt-oss-120B,RankIC,0.0318,0.0318,none,False,False,False
arxiv_v1,main_baselines,17,CSI300-10,gpt-oss-120B,ICIR,0.2501,0.2501,none,False,False,False
arxiv_v1,main_baselines,17,CSI300-10,gpt-oss-120B,RankICIR,0.2595,0.2595,none,False,False,False
arxiv_v1,main_baselines,17,CSI300-10,gpt-oss-120B,AER,0.0789,0.0789,none,False,False,False
arxiv_v1,main_baselines,17,CSI300-10,gpt-oss-120B,IR,0.8015,0.8015,none,False,False,False
arxiv_v1,main_baselines,18,CSI300-10,GPT-4.1,IC,0.0118,0.0118,none,False,False,False
arxiv_v1,main_baselines,18,CSI300-10,GPT-4.1,RankIC,0.0114,0.0114,none,False,False,False
arxiv_v1,main_baselines,18,CSI300-10,GPT-4.1,ICIR,0.1069,0.1069,none,False,False,False
arxiv_v1,main_baselines,18,CSI300-10,GPT-4.1,RankICIR,0.1037,0.1037,none,False,False,False
arxiv_v1,main_baselines,18,CSI300-10,GPT-4.1,AER,0.0360,0.036,none,False,False,False
arxiv_v1,main_baselines,18,CSI300-10,GPT-4.1,IR,0.3628,0.3628,none,False,False,False
arxiv_v1,main_baselines,19,CSI300-10,o3,IC,0.0019,0.0019,none,False,False,False
arxiv_v1,main_baselines,19,CSI300-10,o3,RankIC,-0.0050,-0.005,none,False,False,False
arxiv_v1,main_baselines,19,CSI300-10,o3,ICIR,0.0203,0.0203,none,False,False,False
arxiv_v1,main_baselines,19,CSI300-10,o3,RankICIR,-0.0475,-0.0475,none,False,False,False
arxiv_v1,main_baselines,19,CSI300-10,o3,AER,0.0218,0.0218,none,False,False,False
arxiv_v1,main_baselines,19,CSI300-10,o3,IR,0.2278,0.2278,none,False,False,False
arxiv_v1,main_baselines,20,CSI300-10,CogAlpha,IC,0.0591,0.0591,none,False,False,False
arxiv_v1,main_baselines,20,CSI300-10,CogAlpha,RankIC,0.0814,0.0814,none,False,False,False
arxiv_v1,main_baselines,20,CSI300-10,CogAlpha,ICIR,0.3410,0.341,none,False,False,False
arxiv_v1,main_baselines,20,CSI300-10,CogAlpha,RankICIR,0.4350,0.435,none,False,False,False
arxiv_v1,main_baselines,20,CSI300-10,CogAlpha,AER,0.1639,0.1639,none,False,False,False
arxiv_v1,main_baselines,20,CSI300-10,CogAlpha,IR,1.8999,1.8999,none,False,False,False
arxiv_v1,ablation,1,CSI300-10,Agent,IC,0.0300,0.03,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,1,CSI300-10,Agent,RankIC,0.0318,0.0318,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,1,CSI300-10,Agent,ICIR,0.2501,0.2501,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,1,CSI300-10,Agent,RankICIR,0.2595,0.2595,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,1,CSI300-10,Agent,AER,0.0789,0.0789,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,1,CSI300-10,Agent,IR,0.8015,0.8015,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,2,CSI300-10,Agent_E,IC,0.0219,0.0219,none,False,False,False
arxiv_v1,ablation,2,CSI300-10,Agent_E,RankIC,0.0420,0.042,none,False,False,False
arxiv_v1,ablation,2,CSI300-10,Agent_E,ICIR,0.1932,0.1932,none,False,False,False
arxiv_v1,ablation,2,CSI300-10,Agent_E,RankICIR,0.3322,0.3322,none,False,False,False
arxiv_v1,ablation,2,CSI300-10,Agent_E,AER,0.0808,0.0808,none,False,False,False
arxiv_v1,ablation,2,CSI300-10,Agent_E,IR,0.8999,0.8999,none,False,False,False
arxiv_v1,ablation,3,CSI300-10,Agent_EA,IC,0.0315,0.0315,none,False,False,False
arxiv_v1,ablation,3,CSI300-10,Agent_EA,RankIC,0.0491,0.0491,none,False,False,False
arxiv_v1,ablation,3,CSI300-10,Agent_EA,ICIR,0.2568,0.2568,none,False,False,False
arxiv_v1,ablation,3,CSI300-10,Agent_EA,RankICIR,0.3583,0.3583,none,False,False,False
arxiv_v1,ablation,3,CSI300-10,Agent_EA,AER,0.0825,0.0825,none,False,False,False
arxiv_v1,ablation,3,CSI300-10,Agent_EA,IR,1.0145,1.0145,none,False,False,False
arxiv_v1,ablation,4,CSI300-10,Agent_EAG,IC,0.0414,0.0414,none,False,False,False
arxiv_v1,ablation,4,CSI300-10,Agent_EAG,RankIC,0.0501,0.0501,none,False,False,False
arxiv_v1,ablation,4,CSI300-10,Agent_EAG,ICIR,0.3239,0.3239,none,False,False,False
arxiv_v1,ablation,4,CSI300-10,Agent_EAG,RankICIR,0.3599,0.3599,none,False,False,False
arxiv_v1,ablation,4,CSI300-10,Agent_EAG,AER,0.1245,0.1245,none,False,False,False
arxiv_v1,ablation,4,CSI300-10,Agent_EAG,IR,1.4668,1.4668,none,False,False,False
arxiv_v1,ablation,5,CSI300-10,Agent_EAGH-CogAlpha,IC,0.0591,0.0591,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,5,CSI300-10,Agent_EAGH-CogAlpha,RankIC,0.0814,0.0814,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,5,CSI300-10,Agent_EAGH-CogAlpha,ICIR,0.3410,0.341,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,5,CSI300-10,Agent_EAGH-CogAlpha,RankICIR,0.4350,0.435,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,5,CSI300-10,Agent_EAGH-CogAlpha,AER,0.1639,0.1639,exact_repeat_of_main_table,False,False,False
arxiv_v1,ablation,5,CSI300-10,Agent_EAGH-CogAlpha,IR,1.8999,1.8999,exact_repeat_of_main_table,False,False,False
arxiv_v4_acl_final,main_baselines,1,CSI300-10,Linear,IC,0.0165,0.0165,none,False,False,False
arxiv_v4_acl_final,main_baselines,1,CSI300-10,Linear,RankIC,0.0211,0.0211,none,False,False,False
arxiv_v4_acl_final,main_baselines,1,CSI300-10,Linear,ICIR,0.1612,0.1612,none,False,False,False
arxiv_v4_acl_final,main_baselines,1,CSI300-10,Linear,RankICIR,0.1655,0.1655,none,False,False,False
arxiv_v4_acl_final,main_baselines,1,CSI300-10,Linear,AER,-0.0076,-0.0076,none,False,False,False
arxiv_v4_acl_final,main_baselines,1,CSI300-10,Linear,IR,-0.0756,-0.0756,none,False,False,False
arxiv_v4_acl_final,main_baselines,2,CSI300-10,MLP,IC,0.0227,0.0227,none,False,False,False
arxiv_v4_acl_final,main_baselines,2,CSI300-10,MLP,RankIC,0.0327,0.0327,none,False,False,False
arxiv_v4_acl_final,main_baselines,2,CSI300-10,MLP,ICIR,0.2227,0.2227,none,False,False,False
arxiv_v4_acl_final,main_baselines,2,CSI300-10,MLP,RankICIR,0.3037,0.3037,none,False,False,False
arxiv_v4_acl_final,main_baselines,2,CSI300-10,MLP,AER,0.0678,0.0678,none,False,False,False
arxiv_v4_acl_final,main_baselines,2,CSI300-10,MLP,IR,0.9351,0.9351,none,False,False,False
arxiv_v4_acl_final,main_baselines,3,CSI300-10,RandomForest,IC,0.0240,0.024,none,False,False,False
arxiv_v4_acl_final,main_baselines,3,CSI300-10,RandomForest,RankIC,0.0410,0.041,none,False,False,False
arxiv_v4_acl_final,main_baselines,3,CSI300-10,RandomForest,ICIR,0.2932,0.2932,none,False,False,False
arxiv_v4_acl_final,main_baselines,3,CSI300-10,RandomForest,RankICIR,0.4385,0.4385,none,False,False,False
arxiv_v4_acl_final,main_baselines,3,CSI300-10,RandomForest,AER,0.0784,0.0784,none,False,False,False
arxiv_v4_acl_final,main_baselines,3,CSI300-10,RandomForest,IR,0.8381,0.8381,none,False,False,False
arxiv_v4_acl_final,main_baselines,4,CSI300-10,LightGBM,IC,0.0269,0.0269,none,False,False,False
arxiv_v4_acl_final,main_baselines,4,CSI300-10,LightGBM,RankIC,0.0412,0.0412,none,False,False,False
arxiv_v4_acl_final,main_baselines,4,CSI300-10,LightGBM,ICIR,0.2811,0.2811,none,False,False,False
arxiv_v4_acl_final,main_baselines,4,CSI300-10,LightGBM,RankICIR,0.3327,0.3327,none,False,False,False
arxiv_v4_acl_final,main_baselines,4,CSI300-10,LightGBM,AER,0.0878,0.0878,none,False,False,False
arxiv_v4_acl_final,main_baselines,4,CSI300-10,LightGBM,IR,1.0980,1.098,none,False,False,False
arxiv_v4_acl_final,main_baselines,5,CSI300-10,XGBoost,IC,0.0257,0.0257,none,False,False,False
arxiv_v4_acl_final,main_baselines,5,CSI300-10,XGBoost,RankIC,0.0376,0.0376,none,False,False,False
arxiv_v4_acl_final,main_baselines,5,CSI300-10,XGBoost,ICIR,0.2783,0.2783,none,False,False,False
arxiv_v4_acl_final,main_baselines,5,CSI300-10,XGBoost,RankICIR,0.4093,0.4093,none,False,False,False
arxiv_v4_acl_final,main_baselines,5,CSI300-10,XGBoost,AER,0.1081,0.1081,none,False,False,False
arxiv_v4_acl_final,main_baselines,5,CSI300-10,XGBoost,IR,1.3166,1.3166,none,False,False,False
arxiv_v4_acl_final,main_baselines,6,CSI300-10,CatBoost,IC,0.0197,0.0197,none,False,False,False
arxiv_v4_acl_final,main_baselines,6,CSI300-10,CatBoost,RankIC,0.0239,0.0239,none,False,False,False
arxiv_v4_acl_final,main_baselines,6,CSI300-10,CatBoost,ICIR,0.2196,0.2196,none,False,False,False
arxiv_v4_acl_final,main_baselines,6,CSI300-10,CatBoost,RankICIR,0.3043,0.3043,none,False,False,False
arxiv_v4_acl_final,main_baselines,6,CSI300-10,CatBoost,AER,0.0462,0.0462,none,False,False,False
arxiv_v4_acl_final,main_baselines,6,CSI300-10,CatBoost,IR,0.5373,0.5373,none,False,False,False
arxiv_v4_acl_final,main_baselines,7,CSI300-10,Adaboost,IC,0.0187,0.0187,none,False,False,False
arxiv_v4_acl_final,main_baselines,7,CSI300-10,Adaboost,RankIC,0.0284,0.0284,none,False,False,False
arxiv_v4_acl_final,main_baselines,7,CSI300-10,Adaboost,ICIR,0.2709,0.2709,none,False,False,False
arxiv_v4_acl_final,main_baselines,7,CSI300-10,Adaboost,RankICIR,0.3369,0.3369,none,False,False,False
arxiv_v4_acl_final,main_baselines,7,CSI300-10,Adaboost,AER,0.1138,0.1138,none,False,False,False
arxiv_v4_acl_final,main_baselines,7,CSI300-10,Adaboost,IR,1.2633,1.2633,none,False,False,False
arxiv_v4_acl_final,main_baselines,8,CSI300-10,Transformer,IC,-0.0090,-0.009,none,False,False,False
arxiv_v4_acl_final,main_baselines,8,CSI300-10,Transformer,RankIC,-0.0022,-0.0022,none,False,False,False
arxiv_v4_acl_final,main_baselines,8,CSI300-10,Transformer,ICIR,-0.0800,-0.08,none,False,False,False
arxiv_v4_acl_final,main_baselines,8,CSI300-10,Transformer,RankICIR,-0.0181,-0.0181,none,False,False,False
arxiv_v4_acl_final,main_baselines,8,CSI300-10,Transformer,AER,0.0492,0.0492,none,False,False,False
arxiv_v4_acl_final,main_baselines,8,CSI300-10,Transformer,IR,0.6361,0.6361,none,False,False,False
arxiv_v4_acl_final,main_baselines,9,CSI300-10,GRU,IC,0.0074,0.0074,none,False,False,False
arxiv_v4_acl_final,main_baselines,9,CSI300-10,GRU,RankIC,0.0176,0.0176,none,False,False,False
arxiv_v4_acl_final,main_baselines,9,CSI300-10,GRU,ICIR,0.0747,0.0747,none,False,False,False
arxiv_v4_acl_final,main_baselines,9,CSI300-10,GRU,RankICIR,0.1370,0.137,none,False,False,False
arxiv_v4_acl_final,main_baselines,9,CSI300-10,GRU,AER,0.0335,0.0335,none,False,False,False
arxiv_v4_acl_final,main_baselines,9,CSI300-10,GRU,IR,0.3386,0.3386,none,False,False,False
arxiv_v4_acl_final,main_baselines,10,CSI300-10,LSTM,IC,0.0096,0.0096,none,False,False,False
arxiv_v4_acl_final,main_baselines,10,CSI300-10,LSTM,RankIC,0.0216,0.0216,none,False,False,False
arxiv_v4_acl_final,main_baselines,10,CSI300-10,LSTM,ICIR,0.0886,0.0886,none,False,False,False
arxiv_v4_acl_final,main_baselines,10,CSI300-10,LSTM,RankICIR,0.1619,0.1619,none,False,False,False
arxiv_v4_acl_final,main_baselines,10,CSI300-10,LSTM,AER,0.0593,0.0593,none,False,False,False
arxiv_v4_acl_final,main_baselines,10,CSI300-10,LSTM,IR,0.6030,0.603,none,False,False,False
arxiv_v4_acl_final,main_baselines,11,CSI300-10,CNN,IC,0.0268,0.0268,none,False,False,False
arxiv_v4_acl_final,main_baselines,11,CSI300-10,CNN,RankIC,0.0392,0.0392,none,False,False,False
arxiv_v4_acl_final,main_baselines,11,CSI300-10,CNN,ICIR,0.2432,0.2432,none,False,False,False
arxiv_v4_acl_final,main_baselines,11,CSI300-10,CNN,RankICIR,0.3117,0.3117,none,False,False,False
arxiv_v4_acl_final,main_baselines,11,CSI300-10,CNN,AER,0.0763,0.0763,none,False,False,False
arxiv_v4_acl_final,main_baselines,11,CSI300-10,CNN,IR,0.9642,0.9642,none,False,False,False
arxiv_v4_acl_final,main_baselines,12,CSI300-10,Alpha158,IC,0.0358,0.0358,none,False,False,False
arxiv_v4_acl_final,main_baselines,12,CSI300-10,Alpha158,RankIC,0.0402,0.0402,none,False,False,False
arxiv_v4_acl_final,main_baselines,12,CSI300-10,Alpha158,ICIR,0.2737,0.2737,none,False,False,False
arxiv_v4_acl_final,main_baselines,12,CSI300-10,Alpha158,RankICIR,0.2866,0.2866,none,False,False,False
arxiv_v4_acl_final,main_baselines,12,CSI300-10,Alpha158,AER,0.0946,0.0946,none,False,False,False
arxiv_v4_acl_final,main_baselines,12,CSI300-10,Alpha158,IR,0.8556,0.8556,none,False,False,False
arxiv_v4_acl_final,main_baselines,13,CSI300-10,Alpha360,IC,0.0200,0.02,none,False,False,False
arxiv_v4_acl_final,main_baselines,13,CSI300-10,Alpha360,RankIC,0.0136,0.0136,none,False,False,False
arxiv_v4_acl_final,main_baselines,13,CSI300-10,Alpha360,ICIR,0.1674,0.1674,none,False,False,False
arxiv_v4_acl_final,main_baselines,13,CSI300-10,Alpha360,RankICIR,0.1067,0.1067,none,False,False,False
arxiv_v4_acl_final,main_baselines,13,CSI300-10,Alpha360,AER,0.1198,0.1198,none,False,False,False
arxiv_v4_acl_final,main_baselines,13,CSI300-10,Alpha360,IR,1.0762,1.0762,none,False,False,False
arxiv_v4_acl_final,main_baselines,14,CSI300-10,AutoAlpha,IC,0.0211,0.0211,none,False,False,False
arxiv_v4_acl_final,main_baselines,14,CSI300-10,AutoAlpha,RankIC,0.0177,0.0177,none,False,False,False
arxiv_v4_acl_final,main_baselines,14,CSI300-10,AutoAlpha,ICIR,0.2030,0.203,none,False,False,False
arxiv_v4_acl_final,main_baselines,14,CSI300-10,AutoAlpha,RankICIR,0.1588,0.1588,none,False,False,False
arxiv_v4_acl_final,main_baselines,14,CSI300-10,AutoAlpha,AER,0.0658,0.0658,none,False,False,False
arxiv_v4_acl_final,main_baselines,14,CSI300-10,AutoAlpha,IR,0.6307,0.6307,none,False,False,False
arxiv_v4_acl_final,main_baselines,15,CSI300-10,AlphaAgent,IC,0.0246,0.0246,none,False,False,False
arxiv_v4_acl_final,main_baselines,15,CSI300-10,AlphaAgent,RankIC,0.0289,0.0289,none,False,False,False
arxiv_v4_acl_final,main_baselines,15,CSI300-10,AlphaAgent,ICIR,0.2407,0.2407,none,False,False,False
arxiv_v4_acl_final,main_baselines,15,CSI300-10,AlphaAgent,RankICIR,0.2721,0.2721,none,False,False,False
arxiv_v4_acl_final,main_baselines,15,CSI300-10,AlphaAgent,AER,0.1072,0.1072,none,False,False,False
arxiv_v4_acl_final,main_baselines,15,CSI300-10,AlphaAgent,IR,1.2310,1.231,none,False,False,False
arxiv_v4_acl_final,main_baselines,16,CSI300-10,Llama3-8B,IC,0.0121,0.0121,none,False,False,False
arxiv_v4_acl_final,main_baselines,16,CSI300-10,Llama3-8B,RankIC,-0.0074,-0.0074,none,False,False,False
arxiv_v4_acl_final,main_baselines,16,CSI300-10,Llama3-8B,ICIR,0.0972,0.0972,none,False,False,False
arxiv_v4_acl_final,main_baselines,16,CSI300-10,Llama3-8B,RankICIR,-0.0540,-0.054,none,False,False,False
arxiv_v4_acl_final,main_baselines,16,CSI300-10,Llama3-8B,AER,0.0520,0.052,none,False,False,False
arxiv_v4_acl_final,main_baselines,16,CSI300-10,Llama3-8B,IR,0.5077,0.5077,none,False,False,False
arxiv_v4_acl_final,main_baselines,17,CSI300-10,Llama3-70B,IC,0.0205,0.0205,none,False,False,False
arxiv_v4_acl_final,main_baselines,17,CSI300-10,Llama3-70B,RankIC,0.0229,0.0229,none,False,False,False
arxiv_v4_acl_final,main_baselines,17,CSI300-10,Llama3-70B,ICIR,0.1786,0.1786,none,False,False,False
arxiv_v4_acl_final,main_baselines,17,CSI300-10,Llama3-70B,RankICIR,0.1915,0.1915,none,False,False,False
arxiv_v4_acl_final,main_baselines,17,CSI300-10,Llama3-70B,AER,0.0681,0.0681,none,False,False,False
arxiv_v4_acl_final,main_baselines,17,CSI300-10,Llama3-70B,IR,0.6312,0.6312,none,False,False,False
arxiv_v4_acl_final,main_baselines,18,CSI300-10,gpt-oss-20B,IC,0.0061,0.0061,none,False,False,False
arxiv_v4_acl_final,main_baselines,18,CSI300-10,gpt-oss-20B,RankIC,0.0075,0.0075,none,False,False,False
arxiv_v4_acl_final,main_baselines,18,CSI300-10,gpt-oss-20B,ICIR,0.0613,0.0613,none,False,False,False
arxiv_v4_acl_final,main_baselines,18,CSI300-10,gpt-oss-20B,RankICIR,0.0680,0.068,none,False,False,False
arxiv_v4_acl_final,main_baselines,18,CSI300-10,gpt-oss-20B,AER,0.0464,0.0464,none,False,False,False
