table,panel,model,strategy,market,metric,rendered_value,numeric_value,duplicate_kind,duplicate_of,native_pipeline_executed,native_result_regenerated,paper_result_credit
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,A-shares,MDD_pct,5.84,5.84,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,A-shares,Vol_pct,27.61,27.61,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,A-shares,WR_pct,56.25,56.25,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,A-shares,alpha_pct,-5.74,-5.74,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,US Stocks,TR_pct,-13.67,-13.67,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,US Stocks,SR,-0.48,-0.48,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,US Stocks,MDD_pct,29.24,29.24,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,US Stocks,Vol_pct,38.17,38.17,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,US Stocks,WR_pct,20.00,20.0,none,,False,False,False
Table 1,Panel B,Qwen3.5-35B-A3B,Strict,US Stocks,alpha_pct,-4.86,-4.86,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,A-shares,TR_pct,7.62,7.62,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,A-shares,SR,1.57,1.57,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,A-shares,MDD_pct,1.98,1.98,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,A-shares,Vol_pct,21.14,21.14,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,A-shares,WR_pct,33.33,33.33,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,A-shares,alpha_pct,1.77,1.77,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,US Stocks,TR_pct,-5.35,-5.35,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,US Stocks,SR,-0.35,-0.35,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,US Stocks,MDD_pct,22.65,22.65,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,US Stocks,Vol_pct,33.63,33.63,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,US Stocks,WR_pct,34.29,34.29,none,,False,False,False
Table 1,Panel B,DeepSeek-Reasoner,Free,US Stocks,alpha_pct,0.28,0.28,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,A-shares,TR_pct,7.04,7.04,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,A-shares,SR,1.09,1.09,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,A-shares,MDD_pct,5.40,5.4,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,A-shares,Vol_pct,19.13,19.13,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,A-shares,WR_pct,40.00,40.0,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,A-shares,alpha_pct,-5.79,-5.79,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,US Stocks,TR_pct,-3.62,-3.62,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,US Stocks,SR,-0.23,-0.23,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,US Stocks,MDD_pct,19.48,19.48,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,US Stocks,Vol_pct,31.61,31.61,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,US Stocks,WR_pct,31.43,31.43,none,,False,False,False
Table 1,Panel B,DeepSeek-Chat,Strict,US Stocks,alpha_pct,4.05,4.05,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,A-shares,TR_pct,7.82,7.82,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,A-shares,SR,1.23,1.23,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,A-shares,MDD_pct,5.33,5.33,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,A-shares,Vol_pct,18.64,18.64,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,A-shares,WR_pct,61.76,61.76,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,A-shares,alpha_pct,-3.27,-3.27,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,US Stocks,TR_pct,-12.01,-12.01,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,US Stocks,SR,-0.35,-0.35,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,US Stocks,MDD_pct,20.76,20.76,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,US Stocks,Vol_pct,31.77,31.77,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,US Stocks,WR_pct,20.83,20.83,none,,False,False,False
Table 1,Panel B,GLM-5_think,Free,US Stocks,alpha_pct,0.52,0.52,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,A-shares,TR_pct,6.32,6.32,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,A-shares,SR,1.24,1.24,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,A-shares,MDD_pct,4.73,4.73,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,A-shares,Vol_pct,14.42,14.42,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,A-shares,WR_pct,44.12,44.12,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,A-shares,alpha_pct,-2.89,-2.89,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,US Stocks,TR_pct,-0.51,-0.51,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,US Stocks,SR,-0.01,-0.01,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,US Stocks,MDD_pct,16.81,16.81,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,US Stocks,Vol_pct,24.41,24.41,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,US Stocks,WR_pct,50.00,50.0,none,,False,False,False
Table 1,Panel B,GLM-5_nothink,Strict,US Stocks,alpha_pct,8.83,8.83,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,A-shares,TR_pct,11.68,11.68,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,A-shares,SR,1.40,1.4,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,A-shares,MDD_pct,6.79,6.79,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,A-shares,Vol_pct,25.13,25.13,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,A-shares,WR_pct,75.00,75.0,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,A-shares,alpha_pct,-3.86,-3.86,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,US Stocks,TR_pct,-0.51,-0.51,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,US Stocks,SR,-0.34,-0.34,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,US Stocks,MDD_pct,1.61,1.61,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,US Stocks,Vol_pct,42.18,42.18,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,US Stocks,WR_pct,33.33,33.33,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_think,Free,US Stocks,alpha_pct,0.53,0.53,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_nothink,Guided,A-shares,TR_pct,12.05,12.05,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_nothink,Guided,A-shares,SR,1.45,1.45,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_nothink,Guided,A-shares,MDD_pct,7.19,7.19,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_nothink,Guided,A-shares,Vol_pct,24.92,24.92,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_nothink,Guided,A-shares,WR_pct,65.22,65.22,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_nothink,Guided,A-shares,alpha_pct,-2.50,-2.5,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_nothink,Guided,US Stocks,TR_pct,-1.03,-1.03,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_nothink,Guided,US Stocks,SR,0.02,0.02,none,,False,False,False
Table 1,Panel B,Kimi-K2.5_nothink,Guided,US Stocks,MDD_pct,19.55,19.55,none,,False,False,False
