formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure,missing_return_policy
2004-04-30,2004-05-31,ok,-0.016746707163398215,-0.016775755620214192,1.549730982260972,1000,998,0.02678140262990463,0.02678140262990463,99,99,0.3363440167107685,0.15085299705969682,2.0,zero
2004-05-31,2004-06-30,ok,-0.003662382515421941,-0.0036623825154219426,1.5806405448106924,1000,999,0.0,0.0,99,99,0.2974345794848118,0.13381058743330546,2.0000000000000004,zero
2004-06-30,2004-07-31,ok,0.025250275218247572,0.024519754485532,1.4116116332791706,1000,999,0.0,0.006200831866521026,99,99,0.30932642832433643,0.13872103092563856,2.0,zero
2004-07-31,2004-08-31,ok,0.003750374726995664,0.003750374726995665,1.4917976573237226,1000,998,0.0,0.0,99,99,0.31854830556867486,0.14566981923281058,2.0,zero
2004-08-31,2004-09-30,ok,0.02012821223235906,0.020115833639046208,1.5506488268227123,1000,998,0.005223035153099754,0.005223035153099754,99,99,0.3279876421613809,0.1489741204092661,2.0000000000000004,zero
2004-09-30,2004-10-31,ok,-0.02082442186098308,-0.02082972729682261,1.5684066470262756,1000,999,0.002349617289431818,0.002349617289431818,99,99,0.2996532360644329,0.13308495065410242,1.9999999999999996,zero
2004-10-31,2004-11-30,ok,0.00514571157735708,0.0051595093042336925,1.2503916905558503,1000,999,0.0044768743921511575,0.0044768743921511575,99,99,0.3029939091700753,0.1336328053922926,2.0000000000000004,zero
2004-11-30,2004-12-31,ok,-0.010096897708273348,-0.010133412755240762,1.4680590411848908,1000,999,0.010919571461548469,0.010919571461548469,99,99,0.2723277665808396,0.11817747280085036,2.0000000000000004,zero
2004-12-31,2005-01-31,ok,0.02975860153240252,0.029743773571063923,1.6709190117881056,1000,999,0.004463564520950231,0.004463564520950231,99,99,0.2651559696505093,0.12036162058671548,1.9999999999999998,zero
2005-01-31,2005-02-28,ok,-0.0024177516244237615,-0.002414157535175059,1.5507110748029866,1000,998,0.00109509117876332,0.00109509117876332,99,99,0.29113950455055837,0.12952966575774724,2.0,zero
2005-02-28,2005-03-31,ok,-0.005092346616382416,-0.005101920237670194,1.5982105175226127,1000,999,0.0022547388807772767,0.0022547388807772767,99,99,0.28177150152801084,0.11752478776740144,2.0,zero
2005-03-31,2005-04-30,ok,-0.019078188287897004,-0.01913571928150229,1.453327068583366,1000,999,0.013882961777336467,0.013882961777336467,99,99,0.2810308314909228,0.12288192868515621,1.9999999999999996,zero
2005-04-30,2005-05-31,ok,-0.009353491142182958,-0.009365915142860034,1.3041726263162623,1000,998,0.0025937370933358803,0.0025937370933358803,99,99,0.2927052873829318,0.12751597986758229,2.0,zero
2005-05-31,2005-06-30,ok,0.02563869122047992,0.025621125228001793,1.3322512705007046,1000,999,0.003881129579789844,0.003881129579789844,99,99,0.28365369191454765,0.12240869161825824,2.0,zero
2005-06-30,2005-07-31,ok,0.003908650446744847,0.0038985147408120615,1.5295102680057786,1000,999,0.0021266693102777005,0.0021266693102777005,99,99,0.2584547868869811,0.11153151835044567,2.0,zero
2005-07-31,2005-08-31,ok,-0.0033060499889699148,-0.0033060499889699126,2.3206005629110096,1000,998,0.0,0.0,99,99,0.07451958645156985,0.04251713840503943,2.0,zero
2005-08-31,2005-09-30,ok,0.009482617498963803,0.009181229173543692,2.0293970303504034,1000,999,0.052912276232463334,0.052912276232463334,99,99,0.2515033482725417,0.10336320519294001,1.9999999999999998,zero
2005-09-30,2005-10-31,ok,0.02147277014599662,0.021460380783486697,1.7769212535580388,1000,999,0.0022707775861292904,0.0022707775861292904,99,99,0.26476794584723795,0.11343319803657552,1.9999999999999998,zero
2005-10-31,2005-11-30,ok,-0.006423757844902438,-0.00644704223172937,1.620544611582989,1000,999,0.003823380431350976,0.003823380431350976,99,99,0.2810418427421306,0.12226710960325908,2.0,zero
2005-11-30,2005-12-31,ok,0.007106698130841135,0.006950737955554605,1.863825058117223,1000,999,0.024677242925084098,0.024677242925084098,99,99,0.2688531394295944,0.11524842955646328,2.0,zero
2005-12-31,2006-01-31,ok,0.008150424947985643,0.00809469978908067,1.4425301591337687,1000,999,0.007988124843029923,0.007988124843029923,99,99,0.2892390512935419,0.12755026150361545,2.0,zero
2006-01-31,2006-02-28,ok,-0.016732419185285553,-0.01688827238924658,1.6412631720371298,1000,999,0.024664773577198637,0.024664773577198637,99,99,0.2894413391468424,0.11824993116564883,2.0,zero
2006-02-28,2006-03-31,ok,0.030377325708394607,0.030324796075104164,1.741664353676235,1000,999,0.008536934291270901,0.008536934291270901,99,99,0.26760717138281975,0.11117145797864142,2.0,zero
2006-03-31,2006-04-30,ok,-0.012115407617610591,-0.01229003645921686,1.3073911371701055,1000,999,0.024533414105966288,0.024533414105966288,99,99,0.2604732475260857,0.10553157006245212,2.0000000000000004,zero
2006-04-30,2006-05-31,ok,0.022712923785093164,0.022739201441824234,1.7596088727126584,1000,999,0.003132021064490737,0.003132021064490737,99,99,0.2543557980507473,0.10786261383952847,2.0,zero
2006-05-31,2006-06-30,ok,-0.00021859010179774385,-0.00024468579929055634,1.7220975140438908,1000,997,0.004514047120294444,0.004514047120294444,99,99,0.278306335755982,0.12071216896582278,2.0,zero
2006-06-30,2006-07-31,ok,-0.03371260556901896,-0.03374224389179517,1.7809783698640222,1000,999,0.0037271532666263703,0.0037271532666263703,99,99,0.26405560730432903,0.1105461787668146,2.0000000000000004,zero
2006-07-31,2006-08-31,ok,-0.014325847386788933,-0.014325847386788937,2.0181092594712813,1000,999,0.0,0.0,99,99,0.3074724203373907,0.1364041305580229,1.9999999999999998,zero
2006-08-31,2006-09-30,ok,-0.03259098466717577,-0.032724518077832526,2.201932303956004,1000,999,0.019863455095989673,0.019863455095989673,99,99,0.24595505047603966,0.10753266932261715,1.9999999999999996,zero
2006-09-30,2006-10-31,ok,0.023495478067142497,0.023468201109917323,1.7173640645227344,1000,998,0.0033460448019100738,0.0033460448019100738,99,99,0.24314935879375,0.10864750151585979,1.9999999999999998,zero
2006-10-31,2006-11-30,ok,0.0013834008918587662,0.0013407523429478478,1.6540505140623898,1000,998,0.005025754055022371,0.005025754055022371,99,99,0.2621034807905689,0.11441723366035128,1.9999999999999998,zero
2006-11-30,2006-12-31,ok,-0.007982466015727338,-0.00814912541349877,1.6288033969794367,1000,999,0.023649215821507804,0.023649215821507804,99,99,0.24651082458675186,0.1030616034462592,2.0,zero
2006-12-31,2007-01-31,ok,0.014563056996709556,0.014549462550607727,1.6845620556056229,1000,997,0.01994119650597915,0.01994119650597915,99,99,0.2466085186577671,0.11366149868063535,2.0,zero
2007-01-31,2007-02-28,ok,0.025247103640865978,0.024991202405781718,1.7686980948286335,1000,998,0.008903997891939337,0.01254348633273089,99,99,0.2703390421991741,0.11263275656887305,1.9999999999999998,zero
2007-02-28,2007-03-31,ok,0.007832515869855233,0.010027647441471402,1.960261562386019,1000,999,0.0,0.033227089218799445,99,99,0.2271548860663574,0.10710760426167293,2.0000000000000004,zero
2007-03-31,2007-04-30,ok,-0.0208483820483768,-0.020848382048376798,1.8459837095710099,1000,998,0.0,0.0,99,99,0.2310797811765033,0.09913758768568995,1.9999999999999998,zero
2007-04-30,2007-05-31,ok,-0.004749836760621449,-0.004929406398186932,1.4704188129561655,1000,999,0.022191008102506408,0.022191008102506408,99,99,0.2378676464590068,0.10579766840465052,2.0,zero
2007-05-31,2007-06-30,ok,0.007839336743284853,0.0076784950827782335,1.7223419810734566,1000,998,0.020525990365826693,0.020525990365826693,99,99,0.23619578139706063,0.09588548284496545,1.9999999999999998,zero
2007-06-30,2007-07-31,ok,-0.000762765808321709,-0.0007876065214136013,1.712580209856272,1000,999,0.0031348704053368796,0.0031348704053368796,99,99,0.2401751872444476,0.10609398255439488,2.0,zero
2007-07-31,2007-08-31,ok,0.0034628473393398746,0.0030794759202896443,1.6832980902171135,1000,997,0.04558518656958828,0.04558518656958828,99,99,0.25268703168402096,0.10008513999380807,2.0,zero
2007-08-31,2007-09-30,ok,-0.009250505593266173,-0.009429598484382958,1.8787681490709327,1000,999,0.02675424127827729,0.02675424127827729,99,99,0.2584265808751785,0.12220755143851164,2.0,zero
2007-09-30,2007-10-31,ok,0.051377048572063135,0.05114971020215376,1.738411825523963,1000,999,0.029579342796699125,0.030529060314227443,99,99,0.2345136591762964,0.10467273700539254,2.0,zero
2007-10-31,2007-11-30,ok,0.032263094928508686,0.03205459011362005,1.5837810773782595,1000,998,0.03128738483835546,0.03128738483835546,99,99,0.24046394763697876,0.10640829768065035,1.9999999999999998,zero
2007-11-30,2007-12-31,ok,0.006774289256867108,0.006471090695602813,1.5798237886899058,1000,998,0.056837426893274666,0.056837426893274666,99,99,0.27746018771123765,0.12506519066784524,2.0,zero
2007-12-31,2008-01-31,ok,0.008280584761131624,0.008231113222854556,1.4257345740366345,1000,999,0.010179328863596055,0.010179328863596055,99,99,0.2886088538967854,0.1336467115557845,2.0,zero
2008-01-31,2008-02-29,ok,0.05675785121358319,0.05674333031274203,1.3834178854080394,1000,999,0.005479585223077339,0.005479585223077339,99,99,0.31036187871415205,0.15071600301675317,2.0,zero
