formation_month,label_cutoff,training_start,training_end,policy_training_months,training_rows,ridge_coefficient_norm,mean_group_relative_advantage,mean_best_second_reward_margin,finite_scores,label_threshold_q03,label_threshold_q15,label_threshold_q53,label_threshold_q85,action_count__strong_sell,action_count__sell,action_count__hold,action_count__buy,action_count__strong_buy
2002-03-31,2001-09-30,1996-10-31,2001-09-30,60,38986,1.7168420719397746,0.5356021035169367,0.2290720632702322,1000,-1.5289620506509334,-0.8200238152464664,0.2083400447017317,1.2264064011777804,0,0,3,997,0
2002-04-30,2001-10-31,1996-11-30,2001-10-31,60,38841,1.7137302848194658,0.535333281206451,0.23270828063867358,1000,-1.5307521570912874,-0.8213759019322264,0.2068642836247289,1.2165228387605456,0,0,1,999,0
2002-05-31,2001-11-30,1996-12-31,2001-11-30,60,38707,1.7135092313063738,0.5354555046253481,0.23234064074370075,1000,-1.5310604270818562,-0.821344924818537,0.20974882994210714,1.2163018716177645,0,0,5,995,0
2002-06-30,2001-12-31,1997-01-31,2001-12-31,60,38569,1.7139240097314212,0.5355918504862749,0.2365796151385208,1000,-1.5333234885578793,-0.824206224740297,0.2062318491548507,1.2095422794361959,0,0,1,999,0
2002-07-31,2002-01-31,1997-02-28,2002-01-31,60,38433,1.7153674949587894,0.5362370144654721,0.2357727011680644,1000,-1.5383314590332555,-0.8272461043271708,0.20085772401823843,1.2013772864121717,0,0,5,995,0
2002-08-31,2002-02-28,1997-03-31,2002-02-28,60,38317,1.7170458936551765,0.536794515732198,0.23779949998895614,1000,-1.536322443109838,-0.8272647568970498,0.19765404568428718,1.1982028266158637,0,0,0,1000,0
2002-09-30,2002-03-31,1997-04-30,2002-03-31,60,38208,1.7184812053968581,0.5372478246223795,0.23985629933578573,1000,-1.5581794595176635,-0.8497742090028316,0.1670945462530708,1.1612196644429678,0,0,0,1000,0
2002-10-31,2002-04-30,1997-05-31,2002-04-30,60,38103,1.7220593557504125,0.5375532858076671,0.2388005858407589,1000,-1.5776856806441817,-0.8734512648531968,0.13301166922091795,1.113827257309196,0,0,0,1000,0
2002-11-30,2002-05-31,1997-06-30,2002-05-31,60,38013,1.7226158400092264,0.5374845530339574,0.237399675441986,1000,-1.5989495162476886,-0.8985872340485387,0.10295105131276135,1.0903843243541158,0,0,0,1000,0
2002-12-31,2002-06-30,1997-07-31,2002-06-30,60,37935,1.7235736466227425,0.5375919185521641,0.24260595832424234,1000,-1.6336711149494954,-0.9298999319891431,0.07096035929661633,1.0597100110982758,0,0,0,1000,0
2003-01-31,2002-07-31,1997-08-31,2002-07-31,60,37868,1.723122817617742,0.5378749861944391,0.24202271531745354,1000,-1.632950577867334,-0.9288089860600086,0.06950753766194218,1.0603958249026255,0,0,0,1000,0
2003-02-28,2002-08-31,1997-09-30,2002-08-31,60,37796,1.7215518198250792,0.5379730244664376,0.24307916906623575,1000,-1.6419658178717769,-0.9395916098022374,0.05075692934141232,1.030572094171549,0,0,0,1000,0
2003-03-31,2002-09-30,1997-10-31,2002-09-30,60,37742,1.7167718461331023,0.5377401753748602,0.24459163668384315,1000,-1.6379011060061885,-0.9316833127321671,0.0580283904255263,1.0291930660463524,0,0,0,1000,0
2003-04-30,2002-10-31,1997-11-30,2002-10-31,60,37692,1.7138206432564411,0.537398530057011,0.2438285902383188,1000,-1.6353747949278994,-0.9312174250823468,0.053135590029867924,1.01106009378516,0,0,0,1000,0
2003-05-31,2002-11-30,1997-12-31,2002-11-30,60,37640,1.7141891569159233,0.5367281227389165,0.24137355029309254,1000,-1.638819250811813,-0.9409103385386942,0.03336150131226584,0.9819177087350152,0,0,0,1000,0
2003-06-30,2002-12-31,1998-01-31,2002-12-31,60,37602,1.7190396046574037,0.5367834661484178,0.2434671807520812,1000,-1.642557236737651,-0.9428928267705858,0.02257900534673771,0.9632954865059825,0,0,0,1000,0
2003-07-31,2003-01-31,1998-02-28,2003-01-31,60,37592,1.719696247345532,0.5366547092286975,0.2421060964583698,1000,-1.6427904124532298,-0.9434665410397618,0.01713820309246563,0.9350375687295304,0,0,0,1000,0
2003-08-31,2003-02-28,1998-03-31,2003-02-28,60,37602,1.720109202103398,0.5366229052940289,0.24001203493411666,1000,-1.6390282174523119,-0.9374865872560897,0.03390709031105334,0.9646858302349973,0,0,0,1000,0
2003-09-30,2003-03-31,1998-04-30,2003-03-31,60,37625,1.7144705384141934,0.5365949343183293,0.23855441455093568,1000,-1.6298809888912864,-0.9242665440387412,0.060955777972258436,1.0036523902121546,0,0,0,1000,0
2003-10-31,2003-04-30,1998-05-31,2003-04-30,60,37665,1.7101501034799096,0.5362550641741173,0.2335576560602631,1000,-1.612379666491136,-0.9028763749689553,0.09176779668049759,1.0318065512327246,0,0,0,1000,0
2003-11-30,2003-05-31,1998-06-30,2003-05-31,60,37715,1.7099898621196294,0.5358668925700825,0.23284555525190276,1000,-1.5854517239701467,-0.8778055236582534,0.11247492409717177,1.0401632146706026,0,0,0,1000,0
2003-12-31,2003-06-30,1998-07-31,2003-06-30,60,37775,1.705223185317096,0.5353099230554699,0.2279026362804034,1000,-1.5550248732692404,-0.8499239453797428,0.13289812269528453,1.0486746015295045,0,0,0,1000,0
2004-01-31,2003-07-31,1998-08-31,2003-07-31,60,37845,1.7061401839276626,0.5353820957155097,0.22522933962478217,1000,-1.529142169202048,-0.8226985943986661,0.15506233490515484,1.0624747362240923,0,0,0,1000,0
2004-02-29,2003-08-31,1998-09-30,2003-08-31,60,37922,1.7045677900239564,0.5351958605710929,0.22450636774535843,1000,-1.5284204627240614,-0.8211750022778681,0.14976855923676108,1.0392136014493272,0,0,0,1000,0
2004-03-31,2003-09-30,1998-10-31,2003-09-30,60,37998,1.7046687242023455,0.5352836686230553,0.22514844821272897,1000,-1.5269771251927446,-0.8167715062603109,0.1561524249101223,1.0403778954804044,0,0,0,1000,0
2004-04-30,2003-10-31,1998-11-30,2003-10-31,60,38082,1.703479326785013,0.5346010376901092,0.2218439139533115,1000,-1.5261317701155706,-0.8112126486308912,0.1627926872884016,1.0338173819207845,0,0,0,1000,0
2004-05-31,2003-11-30,1998-12-31,2003-11-30,60,38166,1.7030659045628167,0.5334425894316982,0.2172157967067182,1000,-1.5219786400845812,-0.8027017694966191,0.17412932971587758,1.0404207639319951,0,0,0,1000,0
2004-06-30,2003-12-31,1999-01-31,2003-12-31,60,38250,1.704678202446729,0.5333082121746715,0.21083982725579256,1000,-1.5092410658972268,-0.7862617003292872,0.18377941871187595,1.041975606123997,0,0,0,1000,0
2004-07-31,2004-01-31,1999-02-28,2004-01-31,60,38345,1.706061870356455,0.5335604745980498,0.21370066173503288,1000,-1.5065377096704158,-0.7814035593011408,0.18306829271790084,1.0373487099273802,0,0,0,1000,0
2004-08-31,2004-02-29,1999-03-31,2004-02-29,60,38441,1.7069122221072903,0.5335785815979817,0.2169760540621638,1000,-1.505109054828639,-0.7803710443351211,0.17307028197047714,1.0258511564151576,0,0,0,1000,0
2004-09-30,2004-03-31,1999-04-30,2004-03-31,60,38537,1.7075753061149297,0.5337195347528699,0.2179444933934093,1000,-1.5036604110485867,-0.7824828508827653,0.16596435102118115,1.0142247776605233,0,0,2,998,0
2004-10-31,2004-04-30,1999-05-31,2004-04-30,60,38638,1.7070018046663396,0.5338250399766032,0.2198133955390192,1000,-1.5011700340275196,-0.7783470006970251,0.1706040537856264,1.017934065094625,0,0,0,1000,0
2004-11-30,2004-05-31,1999-06-30,2004-05-31,60,38755,1.706195443100871,0.53336596405176,0.21619224861832362,1000,-1.4922743874782372,-0.7694229217500265,0.17864675289691714,1.024394411779615,0,0,10,990,0
2004-12-31,2004-06-30,1999-07-31,2004-06-30,60,38894,1.7067059806332097,0.5328493919806062,0.21638058351575304,1000,-1.4788762618955447,-0.7580346329923825,0.18603790897130862,1.0286144375942619,0,0,5,995,0
2005-01-31,2004-07-31,1999-08-31,2004-07-31,60,39041,1.70791222778597,0.5329665029862239,0.21269147187428933,1000,-1.4612330029404588,-0.7438917330308612,0.19876530927462396,1.0396938295279228,0,0,14,986,0
2005-02-28,2004-08-31,1999-09-30,2004-08-31,60,39207,1.7118809108472357,0.532730185728019,0.21208887709357313,1000,-1.4408503633589256,-0.7234378141788925,0.21744660916227287,1.055668441141649,0,0,14,986,0
2005-03-31,2004-09-30,1999-10-31,2004-09-30,60,39406,1.7112341929044381,0.532276299896487,0.21454634025528388,1000,-1.4322589164056228,-0.715951909784591,0.22644066737087543,1.0625106506559272,0,0,13,987,0
2005-04-30,2004-10-31,1999-11-30,2004-10-31,60,39608,1.7108339649927868,0.5319047008318487,0.21217564339726766,1000,-1.4136956852074618,-0.7010687401461719,0.23900923713178762,1.0737246134090175,0,0,5,995,0
2005-05-31,2004-11-30,1999-12-31,2004-11-30,60,39811,1.7104512707987838,0.5312595538217179,0.2119947564362392,1000,-1.3934576670598444,-0.6859242934951997,0.24846298288998686,1.0785044792137797,0,0,8,992,0
2005-06-30,2004-12-31,2000-01-31,2004-12-31,60,40019,1.7109715296106738,0.5309527985930308,0.20766341590319842,1000,-1.386221278454523,-0.6868285475734146,0.24742221295719674,1.0783582450374456,0,0,15,985,0
2005-07-31,2005-01-31,2000-02-29,2005-01-31,60,40235,1.713189486195029,0.530986304435203,0.2080050620238824,1000,-1.3830717390585159,-0.6817916686590267,0.24797983360733852,1.0785007783037748,0,0,8,992,0
2005-08-31,2005-02-28,2000-03-31,2005-02-28,60,40451,1.7097566503196573,0.53194251688405,0.2157442260959433,1000,-1.3839603371331324,-0.6870003538060601,0.2381836028523806,1.0594936395091716,0,0,0,1000,0
2005-09-30,2005-03-31,2000-04-30,2005-03-31,60,40671,1.7128286197686458,0.5321517902320263,0.21736131054287655,1000,-1.3836789929887465,-0.685698007051644,0.23944237190868328,1.0609312548486058,0,0,0,1000,0
2005-10-31,2005-04-30,2000-05-31,2005-04-30,60,40882,1.7083170983776925,0.5325360484542551,0.22028528916132906,1000,-1.3781133805961525,-0.6759975018775136,0.25196678422406693,1.0791480440473622,0,0,0,1000,0
2005-11-30,2005-05-31,2000-06-30,2005-05-31,60,41090,1.71141249198655,0.532733335124231,0.22185796192979185,1000,-1.3718141372883197,-0.6689736831098445,0.25724782514623057,1.0843648004755053,0,0,0,1000,0
2005-12-31,2005-06-30,2000-07-31,2005-06-30,60,41304,1.7058317636806748,0.5332355314344621,0.22765387916548926,1000,-1.3688858563803783,-0.6664601570873402,0.2604502293418962,1.087345202726714,0,0,0,1000,0
2006-01-31,2005-07-31,2000-08-31,2005-07-31,60,41517,1.7040985175677121,0.5336422315786407,0.22823514849715407,1000,-1.3760166292307427,-0.6807041769447283,0.25070438560425523,1.0798623102654048,0,0,0,1000,0
2006-02-28,2005-08-31,2000-09-30,2005-08-31,60,41719,1.7041110268298965,0.5342764325298499,0.2325475022909837,1000,-1.3718586810019977,-0.6749528590371645,0.253234656534284,1.082225311007075,0,0,0,1000,0
2006-03-31,2005-09-30,2000-10-31,2005-09-30,60,41927,1.7028896248758256,0.5345745665585604,0.2346173617407074,1000,-1.376096819806908,-0.6753188899473425,0.252548782717547,1.0810369985274844,0,0,0,1000,0
2006-04-30,2005-10-31,2000-11-30,2005-10-31,60,42126,1.701331096490807,0.5350290172624502,0.23770375077142716,1000,-1.3728058546100292,-0.6667028003070307,0.26253441328154703,1.0955500135559504,0,0,0,1000,0
2006-05-31,2005-11-30,2000-12-31,2005-11-30,60,42334,1.7009155998517373,0.5353610932593367,0.2422316826856012,1000,-1.3701992211697425,-0.6662102572128241,0.2617315408958132,1.0938258451015526,0,0,0,1000,0
2006-06-30,2005-12-31,2001-01-31,2005-12-31,60,42537,1.7022958680105715,0.5358316230511547,0.24246667999216442,1000,-1.3685438558493934,-0.6585876031823812,0.2698896818545245,1.1017598586806876,0,0,0,1000,0
2006-07-31,2006-01-31,2001-02-28,2006-01-31,60,42730,1.7016176769496874,0.5357636298521363,0.24212843884022822,1000,-1.3673055718486689,-0.6583906100663207,0.2731063510537004,1.105179751414336,0,0,0,1000,0
2006-08-31,2006-02-28,2001-03-31,2006-02-28,60,42924,1.7030842679900657,0.5355475561481464,0.24485049439498754,1000,-1.3716058822826669,-0.6610272565934556,0.2751094669076129,1.106935102651467,0,0,0,1000,0
2006-09-30,2006-03-31,2001-04-30,2006-03-31,60,43122,1.7042561140297052,0.5356748402677226,0.245322866832349,1000,-1.380689366754365,-0.6703243235406197,0.2694020482299682,1.1054841044939767,0,0,0,1000,0
2006-10-31,2006-04-30,2001-05-31,2006-04-30,60,43332,1.7027864712644714,0.5356782167046222,0.24553796988502852,1000,-1.3941077860060191,-0.6879434767364674,0.2651665463220167,1.105448702941322,0,0,0,1000,0
2006-11-30,2006-05-31,2001-06-30,2006-05-31,60,43547,1.7030772263055043,0.5358690168784079,0.2468749063726563,1000,-1.3927980679918985,-0.6832683372367996,0.26973561083456377,1.1104617378218598,0,0,0,1000,0
2006-12-31,2006-06-30,2001-07-31,2006-06-30,60,43754,1.7023328319819209,0.5356021362247618,0.24627118074056778,1000,-1.3846004545077533,-0.6741846433369514,0.2777911880674734,1.1179442112499056,0,0,0,1000,0
2007-01-31,2006-07-31,2001-08-31,2006-07-31,60,43959,1.7006780995086779,0.5352182954834641,0.2416711337451423,1000,-1.3757426049784927,-0.6609420521872904,0.294482382793579,1.1332553051385983,0,0,0,1000,0
2007-02-28,2006-08-31,2001-09-30,2006-08-31,60,44167,1.698262994629628,0.5349252233799048,0.24008922710485672,1000,-1.3697059775274651,-0.6528260800802544,0.30819680555033213,1.1452106128997608,0,0,0,1000,0
2007-03-31,2006-09-30,2001-10-31,2006-09-30,60,44371,1.6979896488324209,0.5353223589018922,0.2423474175522834,1000,-1.3704756847182245,-0.6528009825553731,0.3092233121564262,1.146104718016543,0,0,0,1000,0
2007-04-30,2006-10-31,2001-11-30,2006-10-31,60,44549,1.695894564674384,0.5356040336818355,0.24520517398363853,1000,-1.3696026666628458,-0.6515676811544369,0.3077823007288475,1.1439756598907493,0,0,0,1000,0
2007-05-31,2006-11-30,2001-12-31,2006-11-30,60,44713,1.6957215787395916,0.5355638840748236,0.24275900407016585,1000,-1.3653476946766334,-0.6483864894259933,0.3083690415760169,1.1454038411600729,0,0,0,1000,0
2007-06-30,2006-12-31,2002-01-31,2006-12-31,60,44880,1.6959519899582987,0.5354967544406666,0.240203809835568,1000,-1.3639860814388343,-0.646509608432846,0.3118296705500331,1.1521383647065953,0,0,0,1000,0
2007-07-31,2007-01-31,2002-02-28,2007-01-31,60,45050,1.6940754451889093,0.5353355276015453,0.2391446194369489,1000,-1.35884473870633,-0.644030501105587,0.3137077783831283,1.1550765025833594,0,0,0,1000,0
2007-08-31,2007-02-28,2002-03-31,2007-02-28,60,45203,1.6929764993847798,0.535239186757087,0.2396127761401405,1000,-1.3572896456559371,-0.642207938905289,0.319328229836174,1.1636237089912183,0,0,0,1000,0
2007-09-30,2007-03-31,2002-04-30,2007-03-31,60,45351,1.6920444526176344,0.5350520233900445,0.23911003830321476,1000,-1.3326721955466225,-0.622565875991351,0.33553387722503036,1.1736457141416314,0,0,0,1000,0
2007-10-31,2007-04-30,2002-05-31,2007-04-30,60,45492,1.6915950854818265,0.535026925029827,0.24037737630676229,1000,-1.3177915670276654,-0.6110895562313765,0.3441431932252888,1.1792288208300863,0,0,0,1000,0
2007-11-30,2007-05-31,2002-06-30,2007-05-31,60,45605,1.6924080641014523,0.5351929429088491,0.2409582215523659,1000,-1.318531579923283,-0.605024934882827,0.346718696116666,1.1799447937306031,0,0,0,1000,0
2007-12-31,2007-06-30,2002-07-31,2007-06-30,60,45689,1.6938936771494346,0.5354387106899444,0.24257365357891758,1000,-1.3054982085886793,-0.5946685496322914,0.3525746727509665,1.1834146009697126,0,0,0,1000,0
2008-01-31,2007-07-31,2002-08-31,2007-07-31,60,45760,1.6961082398311,0.5357520355279285,0.2423887621148718,1000,-1.3083089640632564,-0.5933910880300729,0.35812177451807004,1.1915163422310562,0,0,0,1000,0
2008-02-29,2007-08-31,2002-09-30,2007-08-31,60,45841,1.6998406491115918,0.5360479580013257,0.2424054815524828,1000,-1.3135530256586312,-0.5885055425475806,0.3634093380289375,1.1980842575816053,0,0,0,1000,0
2008-03-31,2007-09-30,2002-10-31,2007-09-30,60,45900,1.7052109707123078,0.5367810307936324,0.24497857405553328,1000,-1.3466016117612507,-0.6050673925836305,0.353662121110506,1.1938260385254722,0,0,0,1000,0
2008-04-30,2007-10-31,2002-11-30,2007-10-31,60,45952,1.7074447917051676,0.536984455989292,0.2425659771455231,1000,-1.3961486414512863,-0.6370668486388518,0.3417277947758847,1.1896162282784095,0,0,0,1000,0
2008-05-31,2007-11-30,2002-12-31,2007-11-30,60,45999,1.7113334221393097,0.5371353956793781,0.24325077623961786,1000,-1.4227261837581904,-0.6484508379330532,0.3407589855028264,1.1918476381135503,0,0,0,1000,0
2008-06-30,2007-12-31,2003-01-31,2007-12-31,60,46041,1.7068752933258595,0.5368637545960754,0.24321591536826084,1000,-1.4711639667209888,-0.6729886186581173,0.33640434958090093,1.1911986894164268,0,0,0,1000,0
2008-07-31,2008-01-31,2003-02-28,2008-01-31,60,46063,1.7100820173065863,0.5368671914736344,0.24076173231402087,1000,-1.487497379161186,-0.6924550257738712,0.32941017205014955,1.1931808220619642,0,0,0,1000,0
2008-08-31,2008-02-29,2003-03-31,2008-02-29,60,46061,1.7144534660889414,0.536881330672225,0.23753708397269238,1000,-1.4972747202338135,-0.6997678521638893,0.31536542958681046,1.1849202201648446,0,0,1,999,0
2008-09-30,2008-03-31,2003-04-30,2008-03-31,60,46054,1.7218850827853025,0.5370156075755189,0.2391905945056742,1000,-1.5159127419063603,-0.714720006120895,0.29943846533455937,1.16844765425958,0,0,0,1000,0
2008-10-31,2008-04-30,2003-05-31,2008-04-30,60,46034,1.7269485809332272,0.5370587273268209,0.23700123057632988,1000,-1.5439271434736792,-0.7400083776974988,0.27792004373917834,1.1526048449204473,0,0,0,1000,0
2008-11-30,2008-05-31,2003-06-30,2008-05-31,60,45993,1.7320331078538251,0.5370715845525861,0.23372126109814886,1000,-1.5961617095880993,-0.7753261535543385,0.2590500058291493,1.147776808609541,0,0,0,1000,0
2008-12-31,2008-06-30,2003-07-31,2008-06-30,60,45936,1.7295043407150874,0.5368209542848535,0.2275828032421375,1000,-1.6349458193227147,-0.7997768038438162,0.2458810214186375,1.143943353961232,0,0,10,990,0
2009-01-31,2008-07-31,2003-08-31,2008-07-31,60,45867,1.7256472482156175,0.5366217086534747,0.22829103647142227,1000,-1.681450475999818,-0.8457903178242334,0.22257767665074277,1.132069347240403,0,0,7,993,0
2009-02-28,2008-08-31,2003-09-30,2008-08-31,60,45789,1.722081335780917,0.5368107205801165,0.23007989819484054,1000,-1.815128845036283,-0.9039084040937784,0.2012686170435664,1.1237431952579906,0,0,7,993,0
2009-03-31,2008-09-30,2003-10-31,2008-09-30,60,45707,1.724870962261396,0.5370504283088182,0.22907473320685376,1000,-1.9107576116982459,-0.9623774104812763,0.1703117288126305,1.1013594170584466,0,0,5,995,0
2009-04-30,2008-10-31,2003-11-30,2008-10-31,60,45624,1.726087306288862,0.5374917658076273,0.22948796651450135,1000,-1.925554554077479,-0.9860459899882505,0.15067839704872177,1.0950187124290105,0,0,7,993,0
2009-05-31,2008-11-30,2003-12-31,2008-11-30,60,45544,1.7319996107332645,0.5376003041108776,0.2311730667725435,1000,-1.9351566395602977,-0.9973255702489331,0.13531977138140383,1.0871956320658553,0,0,7,993,0
2009-06-30,2008-12-31,2004-01-31,2008-12-31,60,45468,1.7369691465592692,0.537476990536421,0.23648499460502084,1000,-1.9517409098605065,-1.0145533615113336,0.12362065499827887,1.0818775216606775,0,0,1,999,0
2009-07-31,2009-01-31,2004-02-29,2009-01-31,60,45396,1.7369277964619079,0.5374404508567026,0.23678917107554462,1000,-1.9557593366203014,-1.0212393731944722,0.12636111048980286,1.0879926840293435,0,0,1,999,0
2009-08-31,2009-02-28,2004-03-31,2009-02-28,60,45330,1.7336576524817686,0.5375991299872376,0.23788176919855736,1000,-1.9560598446319553,-1.0201146558762748,0.1489974280703714,1.1227449364356152,0,0,1,999,0
2009-09-30,2009-03-31,2004-04-30,2009-03-31,60,45272,1.7359896599961342,0.5374079372198503,0.2381453664847254,1000,-1.9563586372009771,-1.017112233831535,0.16597433554332094,1.144580950252973,0,0,1,999,0
