block,generation,patch_proposals,rewrite_proposals,parent_improvements,grid_insertions,migrants,island_cells,unique_programs,elite_vault_size,best_validation_fitness,best_terms,best_wrapper
2,1,8,2,6,10,0,14,15,15,1.2756905985089118,identity__ret_12_1|interaction__ret_12_1__gp_at|pair_mean__ret_1_0__ret_12_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm
2,2,6,4,1,8,0,22,24,20,1.2756905985089118,identity__ret_12_1|interaction__ret_12_1__gp_at|pair_mean__ret_1_0__ret_12_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm
2,3,8,2,4,8,0,30,34,20,1.2756905985089118,identity__ret_12_1|interaction__ret_12_1__gp_at|pair_mean__ret_1_0__ret_12_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm
2,4,9,1,2,8,0,38,43,20,1.2756905985089118,identity__ret_12_1|interaction__ret_12_1__gp_at|pair_mean__ret_1_0__ret_12_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm
2,5,9,1,2,8,5,49,53,20,1.4549537747530326,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|interaction__rvol_21d__turnover_126d,defensive_regime_switch
2,6,9,1,2,7,0,54,63,20,1.4549537747530326,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|interaction__rvol_21d__turnover_126d,defensive_regime_switch
2,7,7,3,4,7,0,60,73,20,1.4549537747530326,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|interaction__rvol_21d__turnover_126d,defensive_regime_switch
2,8,4,6,2,8,0,68,82,20,1.4549537747530326,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|interaction__rvol_21d__turnover_126d,defensive_regime_switch
2,9,6,4,3,9,0,76,91,20,1.4549537747530326,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|interaction__rvol_21d__turnover_126d,defensive_regime_switch
2,10,6,4,0,9,5,88,101,20,1.4549537747530326,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|interaction__rvol_21d__turnover_126d,defensive_regime_switch
2,11,7,3,1,10,0,96,110,20,1.4549537747530326,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|interaction__rvol_21d__turnover_126d,defensive_regime_switch
2,12,6,4,2,5,0,99,120,20,1.5202362304855868,interaction__gp_at__ocf_at|pair_mean__ret_3_1__ret_6_1|pair_mean__rvol_21d__rmax5_21d,momentum_confirm
2,13,8,2,4,5,0,102,129,20,1.7451122393780762,identity__be_me|identity__ret_6_1|identity__rvol_21d,quality_confirm
2,14,2,8,2,9,0,109,139,20,1.7451122393780762,identity__be_me|identity__ret_6_1|identity__rvol_21d,quality_confirm
2,15,6,4,1,9,5,117,149,20,1.7451122393780762,identity__be_me|identity__ret_6_1|identity__rvol_21d,quality_confirm
3,1,8,2,2,9,0,14,14,14,0.5775318129635636,identity__ret_12_1|identity__ret_1_0,identity
3,2,6,4,5,10,0,23,24,20,0.6169298719803615,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
3,3,4,6,5,10,0,33,34,20,0.6169298719803615,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
3,4,6,4,3,8,0,39,44,20,0.7328570843431341,identity__ret_12_1|identity__ret_1_0,defensive_regime_switch
3,5,6,4,5,10,5,52,54,20,0.7328570843431341,identity__ret_12_1|identity__ret_1_0,defensive_regime_switch
3,6,9,1,2,5,0,55,64,20,0.7328570843431341,identity__ret_12_1|identity__ret_1_0,defensive_regime_switch
3,7,9,1,2,8,0,62,73,20,0.7328570843431341,identity__ret_12_1|identity__ret_1_0,defensive_regime_switch
3,8,6,4,1,7,0,69,81,20,0.7328570843431341,identity__ret_12_1|identity__ret_1_0,defensive_regime_switch
3,9,6,4,1,7,0,76,90,20,0.7328570843431341,identity__ret_12_1|identity__ret_1_0,defensive_regime_switch
3,10,8,2,2,8,5,86,99,20,0.7328570843431341,identity__ret_12_1|identity__ret_1_0,defensive_regime_switch
3,11,9,1,1,5,0,90,107,20,0.7328570843431341,identity__ret_12_1|identity__ret_1_0,defensive_regime_switch
3,12,5,5,1,6,0,95,116,20,0.7328570843431341,identity__ret_12_1|identity__ret_1_0,defensive_regime_switch
3,13,8,2,1,6,0,100,126,20,0.9462336984808737,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1|interaction__gp_at__ocf_at|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
3,14,6,4,2,10,0,110,135,20,0.9462336984808737,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1|interaction__gp_at__ocf_at|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
3,15,7,3,0,8,5,119,144,20,0.9462336984808737,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1|interaction__gp_at__ocf_at|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
4,1,9,1,6,10,0,15,14,14,0.24350431955077556,identity__niq_su|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
4,2,6,4,6,8,0,23,22,20,0.3349572475387814,identity__be_me|identity__ret_12_1|interaction__be_me__z_score|pair_mean__ocf_at__z_score,identity
4,3,8,2,2,9,0,31,31,20,0.3349572475387814,identity__be_me|identity__ret_12_1|interaction__be_me__z_score|pair_mean__ocf_at__z_score,identity
4,4,9,1,4,9,0,40,41,20,0.3349572475387814,identity__be_me|identity__ret_12_1|interaction__be_me__z_score|pair_mean__ocf_at__z_score,identity
4,5,4,6,5,8,5,51,50,20,0.3396376360542963,identity__ret_6_1|pair_mean__be_me__gp_at,identity
4,6,6,4,4,9,0,59,58,20,0.35209696139053515,identity__ret_6_1|identity__z_score|pair_mean__be_me__gp_at,identity
4,7,7,3,1,6,0,65,66,20,0.35209696139053515,identity__ret_6_1|identity__z_score|pair_mean__be_me__gp_at,identity
4,8,5,5,4,9,0,71,76,20,0.4049807487588075,identity__be_me|identity__ret_6_1|interaction__niq_su__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,identity
4,9,7,3,1,7,0,77,85,20,0.4049807487588075,identity__be_me|identity__ret_6_1|interaction__niq_su__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,identity
4,10,7,3,2,9,5,90,95,20,0.4049807487588075,identity__be_me|identity__ret_6_1|interaction__niq_su__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,identity
4,11,9,1,2,7,0,96,103,20,0.42071593445943667,identity__ret_1_0|identity__ret_6_1|identity__z_score|pair_mean__be_me__gp_at,momentum_confirm
4,12,6,4,2,6,0,101,111,20,0.43012806094773737,identity__be_me|identity__ret_12_1|identity__ret_6_1|interaction__niq_su__saleq_su|pair_mean__ret_1_0__prc_highprc_252d,identity
4,13,10,0,2,7,0,103,116,20,0.5374940194055335,identity__be_me|identity__niq_su|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
4,14,8,2,1,8,0,110,125,20,0.5374940194055335,identity__be_me|identity__niq_su|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
4,15,6,4,2,8,5,119,134,20,0.5374940194055335,identity__be_me|identity__niq_su|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
5,1,5,5,7,10,0,15,15,15,-0.001930075608252202,identity__be_me|identity__ret_6_1|interaction__rvol_21d__turnover_126d,defensive_regime_switch
5,2,9,1,6,9,0,24,24,20,0.041063556389739464,identity__rvol_21d|pair_mean__be_me__z_score,identity
5,3,7,3,2,9,0,32,33,20,0.041063556389739464,identity__rvol_21d|pair_mean__be_me__z_score,identity
5,4,6,4,5,10,0,41,43,20,0.0497223856346356,identity__niq_su|identity__ret_12_1|pair_mean__niq_su__saleq_su,defensive_regime_switch
5,5,8,2,3,10,5,56,53,20,0.1455176136107803,identity__be_me|identity__ret_3_1|pair_mean__be_me__gp_at,defensive_regime_switch
5,6,9,1,5,8,0,64,63,20,0.1455176136107803,identity__be_me|identity__ret_3_1|pair_mean__be_me__gp_at,defensive_regime_switch
5,7,9,1,2,10,0,74,73,20,0.1455176136107803,identity__be_me|identity__ret_3_1|pair_mean__be_me__gp_at,identity
5,8,5,5,3,9,0,82,83,20,0.1455176136107803,identity__be_me|identity__ret_3_1|pair_mean__be_me__gp_at,identity
5,9,8,2,3,9,0,91,93,20,0.24305879721278822,pair_mean__be_me__z_score|pair_mean__ocf_at__z_score,defensive_regime_switch
5,10,4,6,2,9,5,100,103,20,0.24305879721278822,pair_mean__be_me__z_score|pair_mean__ocf_at__z_score,defensive_regime_switch
5,11,6,4,1,8,0,108,112,20,0.24305879721278822,pair_mean__be_me__z_score|pair_mean__ocf_at__z_score,defensive_regime_switch
5,12,8,2,4,8,0,116,122,20,0.24305879721278822,pair_mean__be_me__z_score|pair_mean__ocf_at__z_score,identity
5,13,6,4,3,9,0,125,131,20,0.24305879721278822,pair_mean__be_me__z_score|pair_mean__ocf_at__z_score,identity
5,14,8,2,3,8,0,133,140,20,0.24305879721278822,pair_mean__be_me__z_score|pair_mean__ocf_at__z_score,identity
5,15,8,2,1,10,5,146,150,20,0.24305879721278822,pair_mean__be_me__z_score|pair_mean__ocf_at__z_score,identity
6,1,6,4,5,10,0,14,15,15,0.2860779762939656,identity__ret_6_1|identity__turnover_126d|pair_mean__be_me__ocf_at,identity
6,2,9,1,4,8,0,21,24,20,0.2860779762939656,identity__ret_6_1|identity__turnover_126d|pair_mean__be_me__ocf_at,identity
6,3,7,3,6,9,0,30,33,20,0.40965318809945805,identity__niq_su|identity__ret_12_1|identity__ret_6_1|pair_mean__be_me__ocf_at,quality_confirm
6,4,5,5,5,8,0,38,43,20,0.40965318809945805,identity__niq_su|identity__ret_12_1|identity__ret_6_1|pair_mean__be_me__ocf_at,quality_confirm
6,5,8,2,9,9,5,51,52,20,0.43016522214182573,identity__prc_highprc_252d|identity__saleq_su|pair_mean__be_me__ocf_at|pair_mean__ret_6_1__prc_highprc_252d,quality_confirm
6,6,6,4,5,10,0,60,61,20,0.6003412573258957,identity__niq_su|identity__saleq_su|interaction__ret_12_1__rvol_21d|pair_mean__be_me__ocf_at,quality_confirm
6,7,6,4,5,9,0,68,70,20,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm
6,8,9,1,3,9,0,77,80,20,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm
6,9,7,3,4,8,0,85,89,20,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm
6,10,7,3,1,9,5,99,98,20,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm
6,11,7,3,3,9,0,106,106,20,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm
6,12,4,6,4,10,0,113,116,20,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm
6,13,8,2,3,7,0,118,124,20,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm
6,14,8,2,4,7,0,123,134,20,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm
6,15,7,3,0,8,5,132,143,20,0.8097181506391975,identity__gp_at|identity__saleq_su|interaction__ret_1_0__niq_su|pair_mean__be_me__ocf_at|pair_mean__rvol_21d__rmax5_21d,quality_confirm
7,1,6,4,6,10,0,13,15,15,0.14747020350186468,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,quality_confirm
7,2,7,3,7,8,0,19,25,20,0.18494945868259882,identity__ocf_at|identity__ret_1_0|pair_mean__gp_at__ocf_at|pair_mean__rvol_21d__rmax5_21d,defensive_regime_switch
7,3,8,2,5,9,0,28,35,20,0.18494945868259882,identity__ocf_at|identity__ret_1_0|pair_mean__gp_at__ocf_at|pair_mean__rvol_21d__rmax5_21d,defensive_regime_switch
7,4,7,3,4,8,0,36,45,20,0.18494945868259882,identity__ocf_at|identity__ret_1_0|pair_mean__gp_at__ocf_at|pair_mean__rvol_21d__rmax5_21d,defensive_regime_switch
7,5,5,5,6,8,5,48,54,20,0.2252000017217799,identity__ocf_at|identity__ret_1_0|pair_mean__gp_at__ocf_at|pair_mean__ret_6_1__ret_12_1,defensive_regime_switch
7,6,8,2,5,8,0,56,64,20,0.2252000017217799,identity__ocf_at|identity__ret_1_0|pair_mean__gp_at__ocf_at|pair_mean__ret_6_1__ret_12_1,defensive_regime_switch
7,7,6,4,6,10,0,65,74,20,0.22906888493231414,identity__ocf_at|identity__ret_1_0|interaction__ret_1_0__niq_su|pair_mean__gp_at__ocf_at,defensive_regime_switch
7,8,7,3,5,9,0,72,84,20,0.34937391827632314,identity__ocf_at|identity__ret_6_1|pair_mean__gp_at__ocf_at,defensive_regime_switch
7,9,7,3,6,9,0,78,92,20,0.37881184261890866,identity__saleq_su|interaction__gp_at__ocf_at|pair_mean__gp_at__ocf_at,defensive_regime_switch
7,10,4,6,3,8,5,86,102,20,0.41305553360716085,identity__ocf_at|interaction__gp_at__ocf_at|pair_mean__gp_at__ocf_at,defensive_regime_switch
7,11,5,5,2,8,0,93,112,20,0.41305553360716085,identity__ocf_at|interaction__gp_at__ocf_at|pair_mean__gp_at__ocf_at,defensive_regime_switch
7,12,8,2,4,9,0,102,122,20,0.41305553360716085,identity__ocf_at|interaction__gp_at__ocf_at|pair_mean__gp_at__ocf_at,defensive_regime_switch
7,13,6,4,3,8,0,108,130,20,0.41305553360716085,identity__ocf_at|interaction__gp_at__ocf_at|pair_mean__gp_at__ocf_at,defensive_regime_switch
7,14,7,3,3,7,0,112,140,20,0.41305553360716085,identity__ocf_at|interaction__gp_at__ocf_at|pair_mean__gp_at__ocf_at,defensive_regime_switch
7,15,7,3,2,7,5,119,149,20,0.41305553360716085,identity__ocf_at|interaction__gp_at__ocf_at|pair_mean__gp_at__ocf_at,defensive_regime_switch
8,1,8,2,5,10,0,15,14,14,0.11744729010655308,identity__ret_12_1|identity__ret_1_0|identity__ret_6_1|identity__turnover_126d,defensive_regime_switch
8,2,7,3,5,9,0,24,23,20,0.256337246314597,identity__saleq_su|identity__turnover_126d|interaction__ret_1_0__niq_su|interaction__rvol_21d__turnover_126d,risk_dampen
8,3,8,2,4,8,0,31,33,20,0.3563583353095714,identity__rvol_21d|identity__saleq_su|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
8,4,6,4,4,10,0,40,43,20,0.3563583353095714,identity__rvol_21d|identity__saleq_su|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
8,5,3,7,1,8,5,53,52,20,0.3563583353095714,identity__rvol_21d|identity__saleq_su|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
8,6,8,2,3,8,0,60,61,20,0.3563583353095714,identity__rvol_21d|identity__saleq_su|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
8,7,7,3,3,8,0,66,70,20,0.3563583353095714,identity__rvol_21d|identity__saleq_su|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
8,8,7,3,2,8,0,73,80,20,0.3563583353095714,identity__rvol_21d|identity__saleq_su|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
8,9,7,3,3,8,0,79,88,20,0.3563583353095714,identity__rvol_21d|identity__saleq_su|pair_mean__ret_1_0__ret_3_1,defensive_regime_switch
8,10,9,1,2,8,5,88,98,20,0.45605740252907845,identity__rvol_21d|identity__saleq_su|interaction__rvol_21d__turnover_126d,defensive_regime_switch
8,11,8,2,2,9,0,94,108,20,0.5096123372333485,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|identity__turnover_126d|interaction__ret_12_1__gp_at,defensive_regime_switch
8,12,8,2,3,8,0,101,118,20,0.5096123372333485,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|identity__turnover_126d|interaction__ret_12_1__gp_at,defensive_regime_switch
8,13,6,4,4,9,0,108,128,20,0.5096123372333485,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|identity__turnover_126d|interaction__ret_12_1__gp_at,defensive_regime_switch
8,14,6,4,0,9,0,116,137,20,0.5096123372333485,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|identity__turnover_126d|interaction__ret_12_1__gp_at,defensive_regime_switch
8,15,9,1,4,9,5,124,146,20,0.5096123372333485,identity__ret_12_1|identity__ret_6_1|identity__rvol_21d|identity__turnover_126d|interaction__ret_12_1__gp_at,defensive_regime_switch
9,1,7,3,3,10,0,15,15,15,0.13005977109392308,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,quality_confirm
9,2,5,5,6,10,0,24,25,20,0.13005977109392308,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,quality_confirm
9,3,8,2,4,9,0,33,34,20,0.13005977109392308,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,quality_confirm
9,4,5,5,2,9,0,42,44,20,0.13005977109392308,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,quality_confirm
9,5,7,3,1,8,5,55,52,20,0.13005977109392308,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,quality_confirm
9,6,7,3,2,8,0,63,61,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
9,7,7,3,5,9,0,71,71,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
9,8,5,5,4,9,0,79,80,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
9,9,7,3,2,9,0,87,90,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
9,10,9,1,3,9,5,98,98,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
9,11,10,0,1,7,0,105,105,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
9,12,8,2,1,8,0,113,114,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
9,13,8,2,2,9,0,120,123,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
9,14,6,4,1,10,0,130,132,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,defensive_regime_switch
9,15,7,3,3,8,5,137,141,20,0.2403145813574994,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,identity
10,1,4,6,3,9,0,14,15,15,0.13975927568720858,identity__ret_1_0|identity__ret_6_1|identity__turnover_126d,defensive_regime_switch
10,2,7,3,6,10,0,24,25,20,0.13975927568720858,identity__ret_1_0|identity__ret_6_1|identity__turnover_126d,defensive_regime_switch
10,3,9,1,5,8,0,30,34,20,0.17581029952250682,identity__ret_1_0|identity__ret_6_1|identity__turnover_126d|pair_mean__gp_at__z_score,defensive_regime_switch
10,4,6,4,4,10,0,39,44,20,0.17581029952250682,identity__ret_1_0|identity__ret_6_1|identity__turnover_126d|pair_mean__gp_at__z_score,defensive_regime_switch
10,5,6,4,2,9,5,53,54,20,0.17589522991276074,identity__ret_1_0|identity__turnover_126d|pair_mean__gp_at__z_score|pair_mean__rvol_21d__rmax5_21d,identity
10,6,6,4,2,10,0,63,64,20,0.3614106366979246,identity__ret_1_0|identity__turnover_126d|pair_mean__gp_at__z_score|pair_mean__rvol_21d__rmax5_21d,quality_confirm
10,7,8,2,3,9,0,71,74,20,0.3614106366979246,identity__ret_1_0|identity__turnover_126d|pair_mean__gp_at__z_score|pair_mean__rvol_21d__rmax5_21d,quality_confirm
10,8,7,3,2,9,0,80,84,20,0.3614106366979246,identity__ret_1_0|identity__turnover_126d|pair_mean__gp_at__z_score|pair_mean__rvol_21d__rmax5_21d,quality_confirm
10,9,10,0,3,9,0,87,93,20,0.3614106366979246,identity__ret_1_0|identity__turnover_126d|pair_mean__gp_at__z_score|pair_mean__rvol_21d__rmax5_21d,quality_confirm
10,10,7,3,2,8,5,97,101,20,0.3614106366979246,identity__ret_1_0|identity__turnover_126d|pair_mean__gp_at__z_score|pair_mean__rvol_21d__rmax5_21d,quality_confirm
10,11,6,4,2,10,0,105,109,20,0.377709933392935,identity__ret_1_0|identity__turnover_126d|pair_mean__ret_1_0__ret_6_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm
10,12,10,0,3,9,0,113,118,20,0.377709933392935,identity__ret_1_0|identity__turnover_126d|pair_mean__ret_1_0__ret_6_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm
10,13,7,3,2,8,0,121,127,20,0.377709933392935,identity__ret_1_0|identity__turnover_126d|pair_mean__ret_1_0__ret_6_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm
10,14,10,0,2,6,0,126,135,20,0.377709933392935,identity__ret_1_0|identity__turnover_126d|pair_mean__ret_1_0__ret_6_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm
10,15,6,4,1,6,5,136,142,20,0.377709933392935,identity__ret_1_0|identity__turnover_126d|pair_mean__ret_1_0__ret_6_1|pair_mean__rvol_21d__rmax5_21d,quality_confirm
11,1,8,2,3,10,0,14,15,15,0.2952695669645926,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,quality_confirm
11,2,9,1,2,9,0,23,25,20,0.2952695669645926,identity__gp_at|identity__ret_12_1|identity__ret_1_0|identity__ret_6_1,quality_confirm
11,3,6,4,4,9,0,31,34,20,0.30270241081133187,identity__gp_at|identity__ret_6_1|identity__rvol_21d,risk_dampen
11,4,7,3,7,9,0,39,43,20,0.3666957095993424,identity__gp_at|identity__ret_6_1|identity__rvol_21d,defensive_regime_switch
11,5,9,1,5,7,5,48,51,20,0.3879867260799237,identity__gp_at|identity__ret_1_0|identity__ret_6_1,risk_dampen
11,6,9,1,4,8,0,55,61,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
11,7,5,5,0,10,0,64,71,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
11,8,4,6,1,8,0,71,81,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
11,9,6,4,1,9,0,80,89,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
11,10,8,2,1,8,5,90,99,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
11,11,9,1,1,7,0,95,109,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
11,12,8,2,3,8,0,100,119,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
11,13,7,3,1,8,0,107,128,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
11,14,10,0,2,5,0,110,136,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
11,15,8,2,2,9,5,122,145,20,0.4557419929017217,identity__gp_at|identity__ret_12_1|identity__ret_1_0,risk_dampen
12,1,7,3,6,10,0,15,15,15,0.3679804329598009,identity__gp_at|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__ret_6_1,momentum_confirm
12,2,9,1,5,9,0,22,24,20,0.3679804329598009,identity__gp_at|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__ret_6_1,momentum_confirm
12,3,8,2,6,9,0,30,34,20,0.4289198795517646,identity__gp_at|identity__niq_su|identity__ret_12_1|identity__ret_1_0,momentum_confirm
12,4,6,4,6,10,0,38,44,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,5,6,4,3,9,5,49,54,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,6,8,2,4,7,0,55,63,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,7,10,0,1,4,0,59,72,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
12,8,6,4,3,8,0,65,82,20,0.712204689071092,identity__ret_12_1|pair_mean__gp_at__ocf_at|pair_mean__ret_1_0__prc_highprc_252d|pair_mean__ret_3_1__ret_6_1|pair_mean__ret_6_1__prc_highprc_252d,identity
