evaluation,generation,operator,mutation_scope,expression,node_count,training_mean_rankic,training_direction,training_rankic_months,validation_rankic_months,valid_candidate,validation_mean_oriented_rankic,complexity_penalty,training_fitness,survives_final_population,selected_final
79,7,crossover,,"mean(mean(product(ret_6_1,ret_12_1),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",11,-0.04309665723414926,-1,96,24,True,0.032581173915257736,0.001,0.04209665723414926,False,False
80,7,crossover,,"difference(difference(mean(ret_12_1,rvol_21d),product(ret_1_0,prc_highprc_252d)),product(prc_highprc_252d,prc_highprc_252d))",11,0.021821480347944525,1,96,24,True,0.0318811939967317,0.001,0.020821480347944524,False,False
81,8,mutation,root,"product(ret_6_1,mean(mean(rvol_21d,turnover_126d),product(rvol_21d,rvol_21d)))",9,-0.009598442423072001,-1,96,24,True,-0.00019384532608487937,0.0008,0.008798442423072001,False,False
82,8,mutation,root,"product(ret_12_1,product(difference(ret_6_1,turnover_126d),difference(rvol_21d,ret_12_1)))",9,0.00445457255297389,1,96,24,True,-0.014564528239541333,0.0008,0.0036545725529738902,False,False
83,8,mutation,fine,"mean(mean(ret_6_1,difference(turnover_126d,rvol_21d)),difference(ret_1_0,ret_12_1))",9,-0.03592900727886758,-1,96,24,True,0.04816339592466626,0.0008,0.03512900727886758,False,False
84,8,mutation,root,ret_12_1,1,0.03032751729250649,1,96,24,True,0.04340770786374289,0.0,0.03032751729250649,False,False
85,8,mutation,fine,"mean(mean(product(ret_6_1,prc_highprc_252d),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,rvol_21d))",11,-0.01517184325361007,-1,96,24,True,0.0011730132957083219,0.001,0.01417184325361007,False,False
86,8,mutation,internal,"difference(difference(mean(ret_12_1,rvol_21d),prc_highprc_252d),product(product(ret_1_0,prc_highprc_252d),difference(difference(ret_6_1,ret_1_0),difference(ret_12_1,turnover_126d))))",17,0.03156277912188712,1,96,24,True,0.028225543380140203,0.0016,0.029962779121887117,False,False
87,8,mutation,internal,"mean(rvol_21d,difference(prc_highprc_252d,ret_12_1))",5,-0.016020261230857053,-1,96,24,True,0.03025788339276561,0.0004,0.015620261230857054,False,False
88,8,mutation,root,"product(prc_highprc_252d,mean(mean(rvol_21d,turnover_126d),turnover_126d))",7,0.02137116067978674,1,96,24,True,0.03906987023339054,0.0006000000000000001,0.02077116067978674,False,False
89,8,mutation,root,"difference(product(ret_12_1,turnover_126d),rvol_21d)",5,0.00045050053251172406,1,96,24,True,0.010536795630618734,0.0004,5.050053251172404e-05,False,False
90,8,mutation,root,ret_12_1,1,0.03032751729250649,1,96,24,True,0.04340770786374289,0.0,0.03032751729250649,False,False
91,9,pruning,,"difference(difference(mean(ret_12_1,ret_12_1),prc_highprc_252d),product(ret_1_0,difference(prc_highprc_252d,ret_1_0)))",11,0.018119310885801748,1,96,24,True,0.030739993020530654,0.001,0.017119310885801747,False,False
92,9,pruning,,"mean(mean(product(ret_6_1,ret_12_1),difference(ret_6_1,rvol_21d)),ret_12_1)",9,0.010896308261758289,1,96,24,True,0.027979934246804023,0.0008,0.010096308261758289,False,False
93,9,pruning,,"difference(difference(mean(ret_12_1,ret_12_1),prc_highprc_252d),product(ret_1_0,prc_highprc_252d))",9,0.022935058086759188,1,96,24,True,0.039232835321418524,0.0008,0.02213505808675919,False,False
94,9,pruning,,"mean(ret_6_1,difference(ret_6_1,rvol_21d))",5,-0.015455768426785194,-1,96,24,True,-0.007715737181772371,0.0004,0.015055768426785195,False,False
95,9,pruning,,"difference(difference(ret_12_1,prc_highprc_252d),product(product(ret_1_0,prc_highprc_252d),difference(ret_6_1,ret_1_0)))",11,0.04423582099732074,1,96,24,True,0.056292610936326266,0.001,0.04323582099732074,False,False
96,9,pruning,,"difference(mean(mean(ret_6_1,rvol_21d),difference(ret_1_0,ret_1_0)),product(ret_1_0,ret_6_1))",11,-0.01529794342153472,-1,96,24,True,0.008262566424647474,0.001,0.01429794342153472,False,False
97,9,pruning,,"mean(ret_6_1,difference(prc_highprc_252d,ret_12_1))",5,-0.03193847704774075,-1,96,24,True,0.022274810163410843,0.0004,0.03153847704774075,False,False
