formation_month,ml_training_start,ml_training_end,ml_training_months,ml_training_rows,ridge_coefficient_norm,fusion_start,fusion_end,fusion_history_months,agent_count,modality_count,llm_mean_rankic,ml_mean_rankic,llm_directional_win_rate,ml_directional_win_rate,llm_alpha,modality_disagreement_rate,finite_scores
2001-01-31,1996-01-31,2000-12-31,60,59498,0.007796945734595758,1999-01-31,2000-12-31,24,4,4,0.006730198042848805,-0.02286635469971934,0.5416666666666666,0.5833333333333334,0.5632343126659655,0.801,706
2001-02-28,1996-02-29,2001-01-31,60,59502,0.010039164218089073,1999-02-28,2001-01-31,24,4,4,0.019966863904408334,-0.009239427181144696,0.5833333333333334,0.5833333333333334,0.5725010924877646,0.82,723
2001-03-31,1996-03-31,2001-02-28,60,59496,0.011109065548099161,1999-03-31,2001-02-28,24,4,4,0.02827942595127587,0.001110715356402207,0.5833333333333334,0.625,0.5572528974271687,0.818,737
2001-04-30,1996-04-30,2001-03-31,60,59499,0.010233319021367308,1999-04-30,2001-03-31,24,4,4,0.02798753998573528,-0.0015123733458316478,0.5833333333333334,0.625,0.5629965638308243,0.829,743
2001-05-31,1996-05-31,2001-04-30,60,59498,0.010975629411150453,1999-05-31,2001-04-30,24,4,4,0.03068278017568817,0.00378807037553594,0.5833333333333334,0.625,0.5565767712534998,0.827,741
2001-06-30,1996-06-30,2001-05-31,60,59494,0.010696155754109047,1999-06-30,2001-05-31,24,4,4,0.024065692957081237,-0.00393009646750903,0.5416666666666666,0.625,0.5489983804310775,0.831,728
2001-07-31,1996-07-31,2001-06-30,60,59489,0.011812915937487001,1999-07-31,2001-06-30,24,4,4,0.028924201968739488,0.0061347891229938485,0.5416666666666666,0.625,0.5360773924048469,0.831,731
2001-08-31,1996-08-31,2001-07-31,60,59493,0.012752023602199306,1999-08-31,2001-07-31,24,4,4,0.034385917282133464,0.017207707412355125,0.5416666666666666,0.625,0.522097786964517,0.823,733
2001-09-30,1996-09-30,2001-08-31,60,59487,0.014941028251066411,1999-09-30,2001-08-31,24,4,4,0.04000549826572284,0.02708960178440196,0.5416666666666666,0.625,0.5114544034304991,0.839,749
2001-10-31,1996-10-31,2001-09-30,60,59490,0.013235262787982573,1999-10-31,2001-09-30,24,4,4,0.032186859067424,0.01344323152274784,0.5,0.5833333333333334,0.5260022566486438,0.841,748
2001-11-30,1996-11-30,2001-10-31,60,59488,0.012434136910738183,1999-11-30,2001-10-31,24,4,4,0.012108202780385014,-0.013950032550817454,0.4583333333333333,0.5416666666666666,0.5441966043526976,0.837,753
2001-12-31,1996-12-31,2001-11-30,60,59486,0.012417488793080118,1999-12-31,2001-11-30,24,4,4,0.006570419019155532,-0.026980845430721923,0.4583333333333333,0.5,0.5729374301807978,0.833,748
2002-01-31,1997-01-31,2001-12-31,60,59488,0.01267450597034692,2000-01-31,2001-12-31,24,4,4,0.01397061592635307,-0.021186151801873887,0.5,0.5,0.5869976848826853,0.839,758
2002-02-28,1997-02-28,2002-01-31,60,59486,0.014563056665142345,2000-02-29,2002-01-31,24,4,4,0.009271858295015178,-0.030030410673080793,0.5,0.5,0.5970101380386669,0.85,776
2002-03-31,1997-03-31,2002-02-28,60,59487,0.013884168285165964,2000-03-31,2002-02-28,24,4,4,0.008122765809233564,-0.01951573727224323,0.5,0.5,0.5686597441799449,0.867,773
2002-04-30,1997-04-30,2002-03-31,60,59489,0.01416627480912372,2000-04-30,2002-03-31,24,4,4,0.025906855007670048,0.00672938757748232,0.5416666666666666,0.5416666666666666,0.5477972695128213,0.857,778
2002-05-31,1997-05-31,2002-04-30,60,59494,0.015382974506283592,2000-05-31,2002-04-30,24,4,4,0.03554397040371361,0.029023664667457354,0.5833333333333334,0.5833333333333334,0.5162949916531688,0.856,782
2002-06-30,1997-06-30,2002-05-31,60,59498,0.016500925546424523,2000-06-30,2002-05-31,24,4,4,0.04540742247849928,0.024576547341949473,0.5833333333333334,0.5833333333333334,0.5518896879719519,0.868,779
2002-07-31,1997-07-31,2002-06-30,60,59511,0.016533672237611693,2000-07-31,2002-06-30,24,4,4,0.05066646562575974,0.04310799060380463,0.625,0.625,0.5188871964457977,0.871,778
2002-08-31,1997-08-31,2002-07-31,60,59524,0.016629299732997115,2000-08-31,2002-07-31,24,4,4,0.05269611831693011,0.037584452769390896,0.6666666666666666,0.625,0.5480471150708303,0.871,775
2002-09-30,1997-09-30,2002-08-31,60,59538,0.017714058466795114,2000-09-30,2002-08-31,24,4,4,0.06280694615780107,0.060500646807704894,0.6666666666666666,0.6666666666666666,0.5057654928212346,0.879,778
2002-10-31,1997-10-31,2002-09-30,60,59545,0.01697278046566126,2000-10-31,2002-09-30,24,4,4,0.05785758827997122,0.06382851047421194,0.6666666666666666,0.6666666666666666,0.4850771278253393,0.865,785
2002-11-30,1997-11-30,2002-10-31,60,59546,0.015709410450819375,2000-11-30,2002-10-31,24,4,4,0.034275431593941315,0.05686330519224116,0.625,0.6666666666666666,0.43350979405902773,0.875,786
2002-12-31,1997-12-31,2002-11-30,60,59551,0.01694592953422062,2000-12-31,2002-11-30,24,4,4,0.039925077622478836,0.07334901621947398,0.625,0.6666666666666666,0.40711468562864,0.874,787
2003-01-31,1998-01-31,2002-12-31,60,59562,0.01671657329054545,2001-01-31,2002-12-31,24,4,4,0.05079009909401536,0.09728121862462001,0.6666666666666666,0.7083333333333334,0.37599609657016486,0.876,774
2003-02-28,1998-02-28,2003-01-31,60,59569,0.016754198824137395,2001-02-28,2003-01-31,24,4,4,0.044392268067662784,0.08350033276127956,0.6666666666666666,0.7083333333333334,0.3934704896237177,0.879,776
2003-03-31,1998-03-31,2003-02-28,60,59574,0.016708353722985868,2001-03-31,2003-02-28,24,4,4,0.04017401548531011,0.0750930248410765,0.6666666666666666,0.7083333333333334,0.4035110701461054,0.888,785
2003-04-30,1998-04-30,2003-03-31,60,59580,0.015865165437715913,2001-04-30,2003-03-31,24,4,4,0.038781558670599785,0.07419207380759589,0.6666666666666666,0.7083333333333334,0.4023286285913007,0.881,780
2003-05-31,1998-05-31,2003-04-30,60,59582,0.015892527064858084,2001-05-31,2003-04-30,24,4,4,0.032009953814832424,0.05767102438589015,0.6666666666666666,0.6666666666666666,0.43619705356984856,0.891,785
2003-06-30,1998-06-30,2003-05-31,60,59588,0.014897957706772833,2001-06-30,2003-05-31,24,4,4,0.034659943696333344,0.05604364341808573,0.6666666666666666,0.625,0.45706342771738434,0.878,781
2003-07-31,1998-07-31,2003-06-30,60,59600,0.014459723679359026,2001-07-31,2003-06-30,24,4,4,0.029696458999577364,0.038777453537219155,0.6666666666666666,0.5833333333333334,0.49813085569627547,0.89,778
2003-08-31,1998-08-31,2003-07-31,60,59606,0.01514373406644231,2001-08-31,2003-07-31,24,4,4,0.02359938516807232,0.026744498153763247,0.6666666666666666,0.5416666666666666,0.523370176558217,0.894,779
2003-09-30,1998-09-30,2003-08-31,60,59611,0.015971203494706206,2001-09-30,2003-08-31,24,4,4,0.011721826751139816,0.017279622071575407,0.625,0.5416666666666666,0.5069383996151847,0.889,776
2003-10-31,1998-10-31,2003-09-30,60,59617,0.017175509185722172,2001-10-31,2003-09-30,24,4,4,0.02068905658274381,0.036754557984258196,0.6666666666666666,0.5833333333333334,0.4806792048807623,0.888,790
2003-11-30,1998-11-30,2003-10-31,60,59626,0.01687145820841192,2001-11-30,2003-10-31,24,4,4,0.03572029268210598,0.05175494927736254,0.7083333333333334,0.625,0.48075620221311827,0.88,788
2003-12-31,1998-12-31,2003-11-30,60,59632,0.016040137536139615,2001-12-31,2003-11-30,24,4,4,0.021758423788058184,0.040615642708258216,0.6666666666666666,0.625,0.46333952717940474,0.892,781
2004-01-31,1999-01-31,2003-12-31,60,59636,0.016103150166193046,2002-01-31,2003-12-31,24,4,4,0.013799709194047728,0.03565719774198794,0.625,0.625,0.44557279451193715,0.882,785
2004-02-29,1999-02-28,2004-01-31,60,59639,0.015110581682135233,2002-02-28,2004-01-31,24,4,4,0.008825653785674719,0.02412458625467045,0.625,0.5833333333333334,0.47219804142250266,0.876,777
2004-03-31,1999-03-31,2004-02-29,60,59637,0.015492633386916739,2002-03-31,2004-02-29,24,4,4,0.022842114850199092,0.03137897926833868,0.6666666666666666,0.5833333333333334,0.49949117246363545,0.877,784
2004-04-30,1999-04-30,2004-03-31,60,59646,0.01428197362627075,2002-04-30,2004-03-31,24,4,4,0.011870020530118397,0.011975554029864194,0.6666666666666666,0.5416666666666666,0.530946558915293,0.894,791
2004-05-31,1999-05-31,2004-04-30,60,59646,0.013790217056966921,2002-05-31,2004-04-30,24,4,4,0.005225012947742843,0.006713353465720394,0.625,0.5416666666666666,0.5171058036093275,0.9,795
2004-06-30,1999-06-30,2004-05-31,60,59651,0.013286541847282701,2002-06-30,2004-05-31,24,4,4,0.00102803321159603,-0.0035067451755991887,0.625,0.5416666666666666,0.5321259608374326,0.897,794
2004-07-31,1999-07-31,2004-06-30,60,59661,0.013297755075182079,2002-07-31,2004-06-30,24,4,4,0.0013982254846637056,-0.007842986411705314,0.625,0.5416666666666666,0.5438236246957339,0.893,794
2004-08-31,1999-08-31,2004-07-31,60,59665,0.013704576436923351,2002-08-31,2004-07-31,24,4,4,-0.002389985068970512,-0.009429467960584284,0.5833333333333334,0.5416666666666666,0.5279860930929888,0.897,788
2004-09-30,1999-09-30,2004-08-31,60,59668,0.013910863069110272,2002-09-30,2004-08-31,24,4,4,-0.011425548987348308,-0.024074760677421297,0.5833333333333334,0.5416666666666666,0.5419409108615733,0.903,794
2004-10-31,1999-10-31,2004-09-30,60,59671,0.013955926285369952,2002-10-31,2004-09-30,24,4,4,-0.0065197560738739285,-0.020080705983755342,0.5833333333333334,0.5416666666666666,0.5442033377663694,0.887,797
2004-11-30,1999-11-30,2004-10-31,60,59678,0.014856860886539926,2002-11-30,2004-10-31,24,4,4,0.0115699110196167,0.0033347812514857855,0.625,0.5416666666666666,0.5413266614304761,0.89,801
2004-12-31,1999-12-31,2004-11-30,60,59687,0.016928473559325946,2002-12-31,2004-11-30,24,4,4,-0.0012716756314878283,-0.018160925585077665,0.5833333333333334,0.5,0.5627242781818732,0.888,801
2005-01-31,2000-01-31,2004-12-31,60,59689,0.01698593816805311,2003-01-31,2004-12-31,24,4,4,0.003474815112903816,-0.0159902635817652,0.5833333333333334,0.5,0.5690519350385003,0.875,803
2005-02-28,2000-02-29,2005-01-31,60,59694,0.021780692642277992,2003-02-28,2005-01-31,24,4,4,0.007599578015513288,-0.027843548282506774,0.5833333333333334,0.4583333333333333,0.6176135668133212,0.885,804
2005-03-31,2000-03-31,2005-02-28,60,59696,0.01709129455937765,2003-03-31,2005-02-28,24,4,4,0.004955426449231091,-0.023420068999332466,0.5833333333333334,0.4583333333333333,0.6007893027502227,0.891,804
2005-04-30,2000-04-30,2005-03-31,60,59703,0.015608336081674596,2003-04-30,2005-03-31,24,4,4,0.011609558144729401,-0.0019920568988459064,0.5833333333333334,0.5,0.5546185523753354,0.878,809
2005-05-31,2000-05-31,2005-04-30,60,59706,0.014717377710130064,2003-05-31,2005-04-30,24,4,4,0.020607567212762187,0.0031912611459617457,0.5833333333333334,0.5,0.5640207507065467,0.89,813
2005-06-30,2000-06-30,2005-05-31,60,59714,0.01532679343790376,2003-06-30,2005-05-31,24,4,4,0.02554666415042783,0.003830134760217874,0.625,0.5,0.584716402640275,0.887,812
2005-07-31,2000-07-31,2005-06-30,60,59731,0.01329380942978156,2003-07-31,2005-06-30,24,4,4,0.027294467910911804,0.00035791245637608005,0.625,0.5,0.5973331744670142,0.89,805
2005-08-31,2000-08-31,2005-07-31,60,59734,0.014053192104023832,2003-08-31,2005-07-31,24,4,4,0.027164955020460933,0.0010455477650322907,0.625,0.5416666666666666,0.5852898630470753,0.88,800
2005-09-30,2000-09-30,2005-08-31,60,59734,0.012018339413374754,2003-09-30,2005-08-31,24,4,4,0.03701060935729059,-0.009227087613919585,0.6666666666666666,0.5,0.6522725780323746,0.902,805
2005-10-31,2000-10-31,2005-09-30,60,59737,0.01122708320000321,2003-10-31,2005-09-30,24,4,4,0.03275492053919183,-0.013536732166470151,0.625,0.5,0.64288695759456,0.886,807
2005-11-30,2000-11-30,2005-10-31,60,59743,0.01033774091192696,2003-11-30,2005-10-31,24,4,4,0.030190705596807144,-0.017971095757079964,0.625,0.4583333333333333,0.6566238152396865,0.886,810
2005-12-31,2000-12-31,2005-11-30,60,59751,0.010350690950566942,2003-12-31,2005-11-30,24,4,4,0.04359590946633753,-0.0013700293991488338,0.6666666666666666,0.5,0.6493825067489654,0.9,811
2006-01-31,2001-01-31,2005-12-31,60,59752,0.01020835540973344,2004-01-31,2005-12-31,24,4,4,0.05195728017523018,-0.009890602575028546,0.7083333333333334,0.4583333333333333,0.7044290750907926,0.893,805
2006-02-28,2001-02-28,2006-01-31,60,59745,0.00890654392561705,2004-02-29,2006-01-31,24,4,4,0.04245264442115204,-0.0031430121715241913,0.6666666666666666,0.5,0.6508149265228077,0.9,809
2006-03-31,2001-03-31,2006-02-28,60,59752,0.008127998952434023,2004-03-31,2006-02-28,24,4,4,0.042986745670522734,-0.001906731945530667,0.6666666666666666,0.5416666666666666,0.6396706075824364,0.896,807
2006-04-30,2001-04-30,2006-03-31,60,59745,0.008525738273429898,2004-04-30,2006-03-31,24,4,4,0.03978153323572462,0.005374415974745993,0.625,0.5416666666666666,0.6052537184060918,0.886,807
2006-05-31,2001-05-31,2006-04-30,60,59748,0.007537591146448638,2004-05-31,2006-04-30,24,4,4,0.03639518043355522,-0.0018399898279229134,0.625,0.5,0.6241854468376804,0.891,806
2006-06-30,2001-06-30,2006-05-31,60,59745,0.0074054180681887094,2004-06-30,2006-05-31,24,4,4,0.03662899327623758,-0.005844229952705164,0.625,0.5,0.6340734646243058,0.891,805
2006-07-31,2001-07-31,2006-06-30,60,59745,0.005752421447655947,2004-07-31,2006-06-30,24,4,4,0.033209345811703074,-0.009865226362334887,0.625,0.4583333333333333,0.6450640785916064,0.898,808
2006-08-31,2001-08-31,2006-07-31,60,59749,0.005267115310971704,2004-08-31,2006-07-31,24,4,4,0.027620335750816016,-0.0182471645740746,0.625,0.4166666666666667,0.6608329523951518,0.903,811
2006-09-30,2001-09-30,2006-08-31,60,59757,0.005342078575187533,2004-09-30,2006-08-31,24,4,4,0.01772110381950276,-0.021166890627347168,0.5833333333333334,0.375,0.6450184896249942,0.908,807
2006-10-31,2001-10-31,2006-09-30,60,59756,0.004783326980667773,2004-10-31,2006-09-30,24,4,4,0.018213712117798715,-0.015914454106861552,0.5833333333333334,0.4166666666666667,0.6243253918534886,0.914,805
2006-11-30,2001-11-30,2006-10-31,60,59757,0.005781997474058518,2004-11-30,2006-10-31,24,4,4,0.01535505281311652,-0.019073043325281796,0.5416666666666666,0.4166666666666667,0.61521355548052,0.899,797
2006-12-31,2001-12-31,2006-11-30,60,59754,0.005711876562669296,2004-12-31,2006-11-30,24,4,4,0.020437888694724494,-0.010297534467624945,0.5416666666666666,0.4583333333333333,0.5964482055994319,0.9,798
2007-01-31,2002-01-31,2006-12-31,60,59758,0.0051478287150615865,2005-01-31,2006-12-31,24,4,4,0.013917047369719006,-0.013811170039803833,0.5,0.4583333333333333,0.5790680552486404,0.898,807
2007-02-28,2002-02-28,2007-01-31,60,59757,0.004866861801082792,2005-02-28,2007-01-31,24,4,4,0.002931973901643771,-0.004268060941098189,0.4583333333333333,0.5,0.5075828390145449,0.907,815
2007-03-31,2002-03-31,2007-02-28,60,59758,0.0045362474652862654,2005-03-31,2007-02-28,24,4,4,0.007562153668602002,-0.013601879124332231,0.4583333333333333,0.4583333333333333,0.5527134685381085,0.908,815
2007-04-30,2002-04-30,2007-03-31,60,59755,0.003087405621568645,2005-04-30,2007-03-31,24,4,4,0.008407741497273672,-0.022927814022456725,0.4583333333333333,0.4166666666666667,0.5878349225179186,0.884,802
2007-05-31,2002-05-31,2007-04-30,60,59746,0.0038379565245944924,2005-05-31,2007-04-30,24,4,4,0.0062299878626835975,-0.01898193966872518,0.4583333333333333,0.4166666666666667,0.5729227405364877,0.897,806
2007-06-30,2002-06-30,2007-05-31,60,59741,0.005467003795788463,2005-06-30,2007-05-31,24,4,4,0.0044262111724796835,-0.02178743723761341,0.4583333333333333,0.4166666666666667,0.5753719643655404,0.889,811
2007-07-31,2002-07-31,2007-06-30,60,59738,0.006285954938462028,2005-07-31,2007-06-30,24,4,4,0.0062447724271506065,-0.017308217787916486,0.4583333333333333,0.4166666666666667,0.5688587918583556,0.881,808
2007-08-31,2002-08-31,2007-07-31,60,59726,0.005854371304872023,2005-08-31,2007-07-31,24,4,4,0.008425895414297176,-0.025568761992593756,0.4583333333333333,0.375,0.6042678358946383,0.879,805
2007-09-30,2002-09-30,2007-08-31,60,59717,0.007258342274684216,2005-09-30,2007-08-31,24,4,4,0.0037889917827402665,-0.02003947006916013,0.4583333333333333,0.4166666666666667,0.5695342808130215,0.896,809
2007-10-31,2002-10-31,2007-09-30,60,59709,0.0058064293017847934,2005-10-31,2007-09-30,24,4,4,0.0068909639717610735,-0.030444370795741207,0.5,0.375,0.6220722838329293,0.897,810
2007-11-30,2002-11-30,2007-10-31,60,59701,0.005690082838130043,2005-11-30,2007-10-31,24,4,4,0.010152867540436606,-0.037940445969715415,0.5,0.375,0.6470125380014847,0.879,796
2007-12-31,2002-12-31,2007-11-30,60,59682,0.005781099900529734,2005-12-31,2007-11-30,24,4,4,0.013485324012271746,-0.03716362641693914,0.5,0.375,0.6528271260114618,0.891,803
2008-01-31,2003-01-31,2007-12-31,60,59674,0.006080406013099012,2006-01-31,2007-12-31,24,4,4,0.0018430418793651253,-0.03883338758090773,0.4583333333333333,0.375,0.6201294307202443,0.871,809
2008-02-29,2003-02-28,2008-01-31,60,59671,0.0058339542178389185,2006-02-28,2008-01-31,24,4,4,0.01554031866547804,-0.04820628215415732,0.5,0.3333333333333333,0.6908578055957065,0.865,811
2008-03-31,2003-03-31,2008-02-29,60,59665,0.005742210455776302,2006-03-31,2008-02-29,24,4,4,0.01308942491364932,-0.046299145998736295,0.5,0.3333333333333333,0.6814736485360859,0.859,807
2008-04-30,2003-04-30,2008-03-31,60,59664,0.004132930470750841,2006-04-30,2008-03-31,24,4,4,0.011475612042965525,-0.048233864329176625,0.5,0.3333333333333333,0.6821698233798908,0.868,814
2008-05-31,2003-05-31,2008-04-30,60,59662,0.0042894614897975285,2006-05-31,2008-04-30,24,4,4,0.022594797905211957,-0.04017741239142418,0.5416666666666666,0.375,0.6887729068285467,0.87,817
2008-06-30,2003-06-30,2008-05-31,60,59655,0.004999516769177601,2006-06-30,2008-05-31,24,4,4,0.029070079006520127,-0.02398696638392211,0.5416666666666666,0.375,0.6675749218404249,0.863,818
2008-07-31,2003-07-31,2008-06-30,60,59650,0.004880477074915664,2006-07-31,2008-06-30,24,4,4,0.025560183550321414,-0.03265742421480014,0.5,0.375,0.6697768762088334,0.865,814
2008-08-31,2003-08-31,2008-07-31,60,59642,0.0046321365810818955,2006-08-31,2008-07-31,24,4,4,0.026565564057692604,-0.038695415707321296,0.5,0.375,0.6851647421241167,0.875,820
2008-09-30,2003-09-30,2008-08-31,60,59640,0.005050260297275267,2006-09-30,2008-08-31,24,4,4,0.035020180070504205,-0.031422713651180885,0.5416666666666666,0.4166666666666667,0.6877086991791375,0.879,814
2008-10-31,2003-10-31,2008-09-30,60,59632,0.006463991079272885,2006-10-31,2008-09-30,24,4,4,0.047100345656270054,-0.01879028264858806,0.5833333333333334,0.4166666666666667,0.6954180404379879,0.889,815
2008-11-30,2003-11-30,2008-10-31,60,59626,0.007105102438694104,2006-11-30,2008-10-31,24,4,4,0.05166021403917611,-0.003056165078027273,0.625,0.4583333333333333,0.6712469978429024,0.896,814
2008-12-31,2003-12-31,2008-11-30,60,59619,0.006709294974301539,2006-12-31,2008-11-30,24,4,4,0.04923598092941831,-0.016550536155442608,0.625,0.4166666666666667,0.7039540705908256,0.887,816
2009-01-31,2004-01-31,2008-12-31,60,59611,0.007760487797379414,2007-01-31,2008-12-31,24,4,4,0.05263661366955449,-0.01691760193852705,0.6666666666666666,0.4166666666666667,0.720217786530087,0.885,833
2009-02-28,2004-02-29,2009-01-31,60,59606,0.007792142548150381,2007-02-28,2009-01-31,24,4,4,0.06196925662404227,-0.012721823068151316,0.7083333333333334,0.4166666666666667,0.7385754334780267,0.892,842
2009-03-31,2004-03-31,2009-02-28,60,59605,0.007154529900514271,2007-03-31,2009-02-28,24,4,4,0.047902588801457334,-0.019626854978040047,0.6666666666666666,0.4166666666666667,0.716119654559493,0.89,837
2009-04-30,2004-04-30,2009-03-31,60,59607,0.004901554096949587,2007-04-30,2009-03-31,24,4,4,0.03819010858153789,-0.04083036573911581,0.6666666666666666,0.4166666666666667,0.7388895094920989,0.873,838
2009-05-31,2004-05-31,2009-04-30,60,59611,0.005338379475124319,2007-05-31,2009-04-30,24,4,4,0.0353204206216847,-0.053060560630106855,0.6666666666666666,0.4166666666666667,0.7565413010200027,0.882,845
2009-06-30,2004-06-30,2009-05-31,60,59613,0.005278251431193378,2007-06-30,2009-05-31,24,4,4,0.0353552630783815,-0.05607490389194338,0.6666666666666666,0.4166666666666667,0.7621134717438401,0.883,845
2009-07-31,2004-07-31,2009-06-30,60,59617,0.004007763688639535,2007-07-31,2009-06-30,24,4,4,0.022608624923660142,-0.06423997349835175,0.625,0.4166666666666667,0.7458915969389567,0.892,844
2009-08-31,2004-08-31,2009-07-31,60,59618,0.004630444830329627,2007-08-31,2009-07-31,24,4,4,0.013561237260007223,-0.05296666417268799,0.5833333333333334,0.4583333333333333,0.6878912372293199,0.894,842
2009-09-30,2004-09-30,2009-08-31,60,59622,0.005588968353752012,2007-09-30,2009-08-31,24,4,4,0.005186868379326036,-0.05342913838660348,0.5416666666666666,0.4583333333333333,0.6613897139306554,0.908,841
2009-10-31,2004-10-31,2009-09-30,60,59623,0.004829125792022266,2007-10-31,2009-09-30,24,4,4,0.005405617833965259,-0.0523138229879466,0.5416666666666666,0.4583333333333333,0.6593789283048394,0.91,845
2009-11-30,2004-11-30,2009-10-31,60,59618,0.005421390151081891,2007-11-30,2009-10-31,24,4,4,0.0015449021152778946,-0.03959459688786574,0.5,0.5,0.6014223240723827,0.906,843
2009-12-31,2004-12-31,2009-11-30,60,59617,0.005992613086575634,2007-12-31,2009-11-30,24,4,4,-0.010437750247953815,-0.05240691435799155,0.4583333333333333,0.4583333333333333,0.6034094599343129,0.901,838
2010-01-31,2005-01-31,2009-12-31,60,59612,0.006277607516435325,2008-01-31,2009-12-31,24,4,4,-0.007085960055022891,-0.05039247300184726,0.4583333333333333,0.4583333333333333,0.6066053550291667,0.889,836
2010-02-28,2005-02-28,2010-01-31,60,59613,0.006811436164388176,2008-02-29,2010-01-31,24,4,4,-0.013682994161044423,-0.055166697256638086,0.4583333333333333,0.4583333333333333,0.6022471390343882,0.895,835
2010-03-31,2005-03-31,2010-02-28,60,59608,0.007223442694734376,2008-03-31,2010-02-28,24,4,4,-0.017696462250222245,-0.06017660068138372,0.4166666666666667,0.4166666666666667,0.6046316061782162,0.895,836
2010-04-30,2005-04-30,2010-03-31,60,59605,0.007522620328400688,2008-04-30,2010-03-31,24,4,4,-0.01828974436808558,-0.05875617834114521,0.4166666666666667,0.4166666666666667,0.5998078002089025,0.902,841
2010-05-31,2005-05-31,2010-04-30,60,59603,0.007246310140440483,2008-05-31,2010-04-30,24,4,4,-0.015388132396703868,-0.06487860505742576,0.4166666666666667,0.375,0.631014476594102,0.886,841
2010-06-30,2005-06-30,2010-05-31,60,59599,0.007611298171891889,2008-06-30,2010-05-31,24,4,4,-0.023209779244819772,-0.07591314452844046,0.4166666666666667,0.375,0.6384632266040372,0.897,842
