candidate_id,series_type,archive,agent,mode,n_rebalances,mean_traded_notional,median_traded_notional,max_traded_notional,total_traded_notional,total_transaction_cost_nav,max_missing_execution_weight
replay__results__tool-routing__graham,replay,results,graham,tool-routing,7,0.8704003759614946,0.924736783711519,1.136762591008787,6.0928026317304615,0.0007084694131280448,0.0
replay__results__tool-routing__greenblatt,replay,results,greenblatt,tool-routing,7,0.8950851164558945,0.9333333333333332,1.0842819438660705,6.265595815191261,0.0007326831561243778,1.1102230246251565e-16
replay__results__tool-routing__piotroski,replay,results,piotroski,tool-routing,7,1.0653715571809605,1.057588209952141,1.264150943396226,7.4576009002667245,0.0008704581183656234,3.3306690738754696e-16
replay__results_22_24__archived-final__altman,replay,results_22_24,altman,archived-final,12,0.9417122654706667,0.9193957117922458,1.3625019756340135,11.300547185648,0.0014099378814092511,1.1102230246251565e-16
replay__results_22_24__archived-final__buffett,replay,results_22_24,buffett,archived-final,12,0.7964514339437457,0.5911127635130914,1.5768355834587928,9.55741720732495,0.001496447800690857,2.220446049250313e-16
replay__results_22_24__archived-final__ensemble,replay,results_22_24,ensemble,archived-final,12,0.6967928954854692,0.674696607511875,1.0,8.36151474582563,0.0010762651270139207,4.440892098500626e-16
replay__results_22_24__archived-final__graham,replay,results_22_24,graham,archived-final,12,1.1843475573058742,1.2419720124579723,1.8297872340425543,14.21217068767049,0.001774153741042303,1.2212453270876722e-15
replay__results_22_24__archived-final__greenblatt,replay,results_22_24,greenblatt,archived-final,12,0.793793862731794,0.7094890269873927,1.3688413554833847,9.525526352781528,0.0012006224441575945,6.661338147750939e-16
replay__results_22_24__archived-final__piotroski,replay,results_22_24,piotroski,archived-final,12,1.074498922314915,1.017749245249296,1.3217391304347832,12.893987067778982,0.0015493678902525896,4.440892098500626e-16
replay__results_22_24__tool-routing__altman,replay,results_22_24,altman,tool-routing,12,0.8555955275860744,0.7110143073289117,1.7394308497766648,10.267146331032892,0.0012131829688110671,6.661338147750939e-16
replay__results_22_24__tool-routing__buffett,replay,results_22_24,buffett,tool-routing,12,0.9208466222685598,0.8934391628946836,1.7904761904761906,11.050159467222718,0.0015888364390635088,2.220446049250313e-16
replay__results_22_24__tool-routing__ensemble,replay,results_22_24,ensemble,tool-routing,12,0.6699501671991689,0.6493968503194508,0.9999999999999998,8.039402006390027,0.0009874723446008156,3.3306690738754696e-16
replay__results_22_24__tool-routing__graham,replay,results_22_24,graham,tool-routing,12,1.2306315853183203,1.3476337444722088,1.5983606557377055,14.767579023819843,0.0017776553410369285,1.1102230246251565e-15
replay__results_22_24__tool-routing__greenblatt,replay,results_22_24,greenblatt,tool-routing,12,0.7317461964840052,0.7562060540734753,1.0000000000000002,8.780954357808062,0.0010628846401420527,1.1102230246251565e-16
replay__results_22_24__tool-routing__piotroski,replay,results_22_24,piotroski,tool-routing,12,1.0927256755184243,1.0144330340562442,1.5686274509803928,13.11270810622109,0.0015468622006022535,3.3306690738754696e-16
