factor,component,loading
char__dolvol_var_126d,jkp132_pre2022_pc4,0.06655363834855116
char__dolvol_var_126d,jkp132_pre2022_pc5,-0.0026632899205384073
char__ebit_bev,jkp132_pre2022_pc1,0.0939327653788642
char__ebit_bev,jkp132_pre2022_pc2,-0.1250906757957514
char__ebit_bev,jkp132_pre2022_pc3,0.12082910082431413
char__ebit_bev,jkp132_pre2022_pc4,-0.0022745208930033543
char__ebit_bev,jkp132_pre2022_pc5,0.010699080342688494
char__ebit_sale,jkp132_pre2022_pc1,0.1118064441741171
char__ebit_sale,jkp132_pre2022_pc2,-0.06642799664066697
char__ebit_sale,jkp132_pre2022_pc3,0.02564773236355516
char__ebit_sale,jkp132_pre2022_pc4,-0.09194987937555042
char__ebit_sale,jkp132_pre2022_pc5,0.024170823893935316
char__f_score,jkp132_pre2022_pc1,0.07244042594610726
char__f_score,jkp132_pre2022_pc2,-0.1366920137074072
char__f_score,jkp132_pre2022_pc3,-0.007367290274368876
char__f_score,jkp132_pre2022_pc4,-0.11289051769311588
char__f_score,jkp132_pre2022_pc5,-0.089558782717885
char__ival_me,jkp132_pre2022_pc1,0.07704141340624636
char__ival_me,jkp132_pre2022_pc2,0.13500105549871141
char__ival_me,jkp132_pre2022_pc3,0.07983503445110628
char__ival_me,jkp132_pre2022_pc4,-0.07477035080957416
char__ival_me,jkp132_pre2022_pc5,-0.0184787040594049
char__ni_be,jkp132_pre2022_pc1,0.10775127030638806
char__ni_be,jkp132_pre2022_pc2,-0.10103704143169653
char__ni_be,jkp132_pre2022_pc3,0.07139398154779783
char__ni_be,jkp132_pre2022_pc4,-0.04984506033569056
char__ni_be,jkp132_pre2022_pc5,0.016389306492739238
char__niq_be,jkp132_pre2022_pc1,0.10098466008593901
char__niq_be,jkp132_pre2022_pc2,-0.12231278126630274
char__niq_be,jkp132_pre2022_pc3,0.05631467841071507
char__niq_be,jkp132_pre2022_pc4,-0.04468200835465298
char__niq_be,jkp132_pre2022_pc5,-0.03765319699644238
char__o_score,jkp132_pre2022_pc1,-0.025160910060256076
char__o_score,jkp132_pre2022_pc2,0.10247835869523775
char__o_score,jkp132_pre2022_pc3,-0.16499761997098672
char__o_score,jkp132_pre2022_pc4,-0.008996757697894152
char__o_score,jkp132_pre2022_pc5,0.029817956303322013
char__ocf_at,jkp132_pre2022_pc1,0.07769599609147874
char__ocf_at,jkp132_pre2022_pc2,-0.12778311312437352
char__ocf_at,jkp132_pre2022_pc3,0.13611794598222143
char__ocf_at,jkp132_pre2022_pc4,0.08142894880589269
char__ocf_at,jkp132_pre2022_pc5,0.0797543059008897
char__ope_bel1,jkp132_pre2022_pc1,0.0721795223831523
char__ope_bel1,jkp132_pre2022_pc2,-0.09881378025197088
char__ope_bel1,jkp132_pre2022_pc3,0.14026421160743419
char__ope_bel1,jkp132_pre2022_pc4,-0.09871923761809995
char__ope_bel1,jkp132_pre2022_pc5,-0.05543006415034415
char__turnover_var_126d,jkp132_pre2022_pc1,-0.08759880859589433
