candidate_id,benchmark,n_months,n_factors,sample_start,sample_end,status,alpha_monthly,alpha_annualized,alpha_tstat_hac,alpha_pvalue,r_squared,residual_monthly_volatility,factor_rank,series_type,archive,agent,mode,modal_ridge_penalty,alpha_pvalue_holm_within_benchmark,significant_5pct_raw,significant_5pct_holm,alpha_pvalue_holm_replay_family,significant_5pct_holm_replay_family
jkp_proxy__guru_altman_distress_avoidance,jkp132_compressed_pre2022_pca5,305,11,1999-08-31,2024-12-31,identified_ols,0.00899940931774354,0.10799291181292248,3.547458106837697,0.00045277204448754786,0.7752797109477678,0.03220793389822121,12.0,jkp_proxy,jkp_1999_2024,altman,motif-proxy,,0.010866529067701148,True,True,,False
jkp_proxy__guru_buffett_quality_compounder,jkp132_compressed_pre2022_pca5,305,11,1999-08-31,2024-12-31,identified_ols,0.004164756919323763,0.04997708303188516,2.0058007891966128,0.045796609957722834,0.4651762439570569,0.029689708466737658,12.0,jkp_proxy,jkp_1999_2024,buffett,motif-proxy,,0.7785423692812882,True,False,,False
jkp_proxy__guru_equal_weight_style_ensemble,jkp132_compressed_pre2022_pca5,305,11,1999-08-31,2024-12-31,identified_ols,0.008272593991043712,0.09927112789252454,3.2671061709153117,0.0012156996057205304,0.7800881960883801,0.03201760836256176,12.0,jkp_proxy,jkp_1999_2024,ensemble,motif-proxy,,0.0279610909315722,True,True,,False
jkp_proxy__guru_graham_deep_value_defensive,jkp132_compressed_pre2022_pca5,305,11,1999-08-31,2024-12-31,identified_ols,0.005571744864694177,0.06686093837633013,2.0942394005229152,0.037097631405280225,0.7808078158044728,0.03443331639946876,12.0,jkp_proxy,jkp_1999_2024,graham,motif-proxy,,0.6690033786631254,True,False,,False
jkp_proxy__guru_greenblatt_magic_formula,jkp132_compressed_pre2022_pca5,305,11,1999-08-31,2024-12-31,identified_ols,0.0012031572327953837,0.014437886793544605,0.44151031353891407,0.6591692448975839,0.810671862232466,0.03432160455560563,12.0,jkp_proxy,jkp_1999_2024,greenblatt,motif-proxy,,1.0,False,False,,False
jkp_proxy__guru_piotroski_fscore_proxy,jkp132_compressed_pre2022_pca5,305,11,1999-08-31,2024-12-31,identified_ols,0.004320484411855445,0.05184581294226534,2.2411058288942245,0.025768079711204366,0.49051771854684234,0.03121042649505498,12.0,jkp_proxy,jkp_1999_2024,piotroski,motif-proxy,,0.5153615942240873,True,False,,False
replay__results_22_24__archived-final__altman,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.006744969100181944,0.08093962920218334,1.4992924858675125,0.1486817534272375,0.9257599870322428,0.018210999316699582,12.0,replay,results_22_24,altman,archived-final,,1.0,False,False,1.0,False
replay__results_22_24__archived-final__buffett,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.015265022946720523,0.18318027536064627,3.2149817787534065,0.0041564172617090086,0.9251775853021627,0.017464952291185103,12.0,replay,results_22_24,buffett,archived-final,,0.09144117975759819,True,False,0.049877007140508106,True
replay__results_22_24__archived-final__ensemble,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.0065749239912798775,0.07889908789535853,2.4729596181076214,0.022025782094238496,0.9654168869475945,0.011474097372758087,12.0,replay,results_22_24,ensemble,archived-final,,0.46254142397900844,True,False,0.24228360303662347,False
replay__results_22_24__archived-final__graham,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.003750776069699833,0.045009312836397995,0.8885063378097688,0.38433293522653755,0.9208263450634633,0.01872396192144392,12.0,replay,results_22_24,graham,archived-final,,1.0,False,False,1.0,False
replay__results_22_24__archived-final__greenblatt,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.002414715370270495,0.02897658444324594,0.607824830105257,0.5498211472505328,0.9184667377786387,0.01690830121046922,12.0,replay,results_22_24,greenblatt,archived-final,,1.0,False,False,1.0,False
replay__results_22_24__archived-final__piotroski,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.004061463055342717,0.0487375566641126,1.25145242165891,0.22453121226648926,0.9357475678090862,0.01626288352325302,12.0,replay,results_22_24,piotroski,archived-final,,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__altman,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.005132521138407863,0.061590253660894365,1.232292878940039,0.23145915025549343,0.9408087443459492,0.015719367512486718,12.0,replay,results_22_24,altman,tool-routing,,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__buffett,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.008447596903883083,0.101371162846597,2.251180630591161,0.035210704140164494,0.9155496304382055,0.018206051133442903,12.0,replay,results_22_24,buffett,tool-routing,,0.6690033786631254,True,False,0.35210704140164495,False
replay__results_22_24__tool-routing__ensemble,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.0037831930639217887,0.045398316767061464,1.4049804940277277,0.17464759963181947,0.9591494130251432,0.0125159924702278,12.0,replay,results_22_24,ensemble,tool-routing,,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__graham,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.00036765042656000625,0.004411805118720075,0.1043743858658581,0.917862696117411,0.9378963641628839,0.016819839332425673,12.0,replay,results_22_24,graham,tool-routing,,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__greenblatt,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.0010678623806951418,0.012814348568341702,0.29136954782595753,0.7736272692926888,0.9371830968764411,0.015218090396227072,12.0,replay,results_22_24,greenblatt,tool-routing,,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__piotroski,jkp132_compressed_pre2022_pca5,33,11,2022-04-30,2024-12-31,identified_ols,0.003534142108961492,0.042409705307537904,1.0459878459958045,0.30745770640271153,0.922283534524151,0.017781205803029547,12.0,replay,results_22_24,piotroski,tool-routing,,1.0,False,False,1.0,False
replay__results__archived-final__altman,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,altman,archived-final,,,False,False,,False
replay__results__archived-final__buffett,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,buffett,archived-final,,,False,False,,False
replay__results__archived-final__ensemble,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,ensemble,archived-final,,,False,False,,False
replay__results__archived-final__graham,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,graham,archived-final,,,False,False,,False
replay__results__archived-final__greenblatt,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,greenblatt,archived-final,,,False,False,,False
replay__results__archived-final__piotroski,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,piotroski,archived-final,,,False,False,,False
replay__results__tool-routing__altman,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,altman,tool-routing,,,False,False,,False
replay__results__tool-routing__buffett,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,buffett,tool-routing,,,False,False,,False
replay__results__tool-routing__ensemble,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,ensemble,tool-routing,,,False,False,,False
replay__results__tool-routing__graham,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,graham,tool-routing,,,False,False,,False
replay__results__tool-routing__greenblatt,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,greenblatt,tool-routing,,,False,False,,False
replay__results__tool-routing__piotroski,jkp132_compressed_pre2022_pca5,12,11,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,replay,results,piotroski,tool-routing,,,False,False,,False
authors__results_22_24__altman,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,-0.004308872866866426,-0.05170647440239711,-0.8454590692492133,0.40413216934933505,0.765347821424878,0.032151353769440436,33.0,authors,results_22_24,altman,archived-portfolio,1.0,1.0,False,False,,False
authors__results_22_24__buffett,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.012045084236502673,0.14454101083803206,1.4947401631385557,0.14477923282999314,0.5085368006510416,0.04084797250680685,33.0,authors,results_22_24,buffett,archived-portfolio,10.0,1.0,False,False,,False
authors__results_22_24__ensemble,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,-7.10559294679686e-05,-0.0008526711536156232,-0.01976381894907492,0.9843545017485649,0.8797713711765823,0.02107632699491511,33.0,authors,results_22_24,ensemble,archived-portfolio,0.1,1.0,False,False,,False
authors__results_22_24__graham,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,-0.0015548539642979426,-0.01865824757157531,-0.292239942040928,0.7719895992597929,0.8179655100048866,0.029529165931096456,33.0,authors,results_22_24,graham,archived-portfolio,0.1,1.0,False,False,,False
authors__results_22_24__greenblatt,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.005810723025327331,0.06972867630392797,1.4742256618731853,0.1501916186549558,0.7210441860762057,0.03033327771038244,33.0,authors,results_22_24,greenblatt,archived-portfolio,10.0,1.0,False,False,,False
authors__results_22_24__piotroski,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,-0.004176353071754644,-0.05011623686105572,-0.8694860222131765,0.39105666811435924,0.7748390915870387,0.02831127291334398,33.0,authors,results_22_24,piotroski,archived-portfolio,1.0,1.0,False,False,,False
authors__results__altman,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.005038760716154182,0.060465128593850184,0.7853767450105158,0.4488185229328727,-0.32173730426602876,0.03648286785345163,12.0,authors,results,altman,archived-portfolio,100.0,1.0,False,False,,False
authors__results__buffett,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.014962208553645233,0.1795465026437428,2.441827788810983,0.03271652017226768,-0.2907183401101039,0.038395012465616385,12.0,authors,results,buffett,archived-portfolio,100.0,1.0,True,False,,False
authors__results__ensemble,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.007612728723779068,0.09135274468534882,1.2573823041296674,0.2346553969586096,-0.033917438024484436,0.03541150371108835,12.0,authors,results,ensemble,archived-portfolio,100.0,1.0,False,False,,False
authors__results__graham,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.009064159753647332,0.10876991704376798,1.0875056049703693,0.30006794647091944,-0.25613927888101373,0.05092640713784503,12.0,authors,results,graham,archived-portfolio,10.0,1.0,False,False,,False
authors__results__greenblatt,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.004666928297127895,0.05600313956553474,0.482969675860978,0.6385862426002538,-0.6275687315178944,0.03652481574529856,12.0,authors,results,greenblatt,archived-portfolio,10.0,1.0,False,False,,False
authors__results__piotroski,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.0015603130273983228,0.018723756328779873,0.12992142434137272,0.8989739530438614,-0.16917412092606954,0.05755830122645021,12.0,authors,results,piotroski,archived-portfolio,100.0,1.0,False,False,,False
replay__results_22_24__archived-final__altman,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.0036828029831011606,0.04419363579721393,0.5722024619784188,0.5711831967480416,0.6008721175840456,0.041360565112020194,33.0,replay,results_22_24,altman,archived-final,1.0,1.0,False,False,1.0,False
replay__results_22_24__archived-final__buffett,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.01726079435176621,0.2071295322211945,2.508822085925695,0.017373303590890888,0.7223580360595923,0.032687327529907544,33.0,replay,results_22_24,buffett,archived-final,0.1,0.625438929272072,True,False,0.41695928618138134,False
replay__results_22_24__archived-final__ensemble,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.004770622492594025,0.0572474699111283,1.2433156891894217,0.22278391217002252,0.8624826035625142,0.022152429248429886,33.0,replay,results_22_24,ensemble,archived-final,0.1,1.0,False,False,1.0,False
replay__results_22_24__archived-final__graham,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.003288467294669426,0.03946160753603311,0.7969661730598904,0.4313444488751672,0.8263664158034028,0.026950397182788664,33.0,replay,results_22_24,graham,archived-final,0.1,1.0,False,False,1.0,False
replay__results_22_24__archived-final__greenblatt,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.0014612181296716799,0.01753461755606016,0.36618817885973176,0.7166346383961524,0.7838441742793214,0.02678156121417648,33.0,replay,results_22_24,greenblatt,archived-final,1.0,1.0,False,False,1.0,False
replay__results_22_24__archived-final__piotroski,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.0006280392909215152,0.007536471491058183,0.15161105399627758,0.8804455177721118,0.8530754805722618,0.023463820499418666,33.0,replay,results_22_24,piotroski,archived-final,0.1,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__altman,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.0010450502341496847,0.012540602809796218,0.22640335475811524,0.8223277229799263,0.7788367063756907,0.02958515334423355,33.0,replay,results_22_24,altman,tool-routing,0.1,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__buffett,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.010749077875043422,0.12898893450052107,1.7993449471907346,0.08140087994812144,0.781837899984631,0.02830724529873561,33.0,replay,results_22_24,buffett,tool-routing,0.1,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__ensemble,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.0008509588816904485,0.010211506580285381,0.25100582721707965,0.8034144132977572,0.8959295435407959,0.019428481371301796,33.0,replay,results_22_24,ensemble,tool-routing,0.1,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__graham,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,-0.0028613237895642077,-0.03433588547477049,-0.5405902510134751,0.5925332496041558,0.7827515462060941,0.03117745850537713,33.0,replay,results_22_24,graham,tool-routing,0.1,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__greenblatt,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.004670545311393182,0.056046543736718184,0.9936654335603612,0.3278405524062591,0.7108481740543194,0.03146423526354215,33.0,replay,results_22_24,greenblatt,tool-routing,10.0,1.0,False,False,1.0,False
replay__results_22_24__tool-routing__piotroski,jkp132_full_lomo_ridge_exploratory,33,133,2022-04-30,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,-0.002942640508685366,-0.03531168610422439,-0.58492209645115,0.5627021070056013,0.7688440014180262,0.029473404698663806,33.0,replay,results_22_24,piotroski,tool-routing,1.0,1.0,False,False,1.0,False
replay__results__archived-final__altman,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.009208005080173925,0.1104960609620871,0.9999367442580751,0.3388299690807898,-0.32307987579108954,0.04797769155390253,12.0,replay,results,altman,archived-final,100.0,1.0,False,False,1.0,False
replay__results__archived-final__buffett,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.007232499105610972,0.08678998926733167,1.0373155642583847,0.321854146802411,-0.1359778057706431,0.04578375456679787,12.0,replay,results,buffett,archived-final,100.0,1.0,False,False,1.0,False
replay__results__archived-final__ensemble,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.006278119313903928,0.07533743176684714,1.1526256641857604,0.27349724294407796,0.08147367048304877,0.036171918540978794,12.0,replay,results,ensemble,archived-final,10.0,1.0,False,False,1.0,False
replay__results__archived-final__graham,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.02024178424879028,0.24290141098548335,2.282357257158381,0.04335620761293961,0.16040556064449218,0.043484473246897644,12.0,replay,results,graham,archived-final,10.0,1.0,True,False,0.9971927750976111,False
replay__results__archived-final__greenblatt,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.0036080234604610652,0.04329628152553278,0.3987795798991341,0.6976877021235792,-0.3247255890125982,0.03370793250256072,12.0,replay,results,greenblatt,archived-final,10.0,1.0,False,False,1.0,False
replay__results__archived-final__piotroski,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,-0.0009789961904203004,-0.011747954285043605,-0.092869136449346,0.927677377923317,-0.21392901545734477,0.05077353538573308,12.0,replay,results,piotroski,archived-final,100.0,1.0,False,False,1.0,False
replay__results__tool-routing__altman,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.008490220537360926,0.10188264644833112,0.9437438599687309,0.3655677083151041,-0.38008621465786163,0.0417765020018657,12.0,replay,results,altman,tool-routing,100.0,1.0,False,False,1.0,False
replay__results__tool-routing__buffett,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.014573726826018032,0.17488472191221638,1.5109269518659971,0.15898840750656656,-0.6874916234506567,0.0477590839241346,12.0,replay,results,buffett,tool-routing,100.0,1.0,False,False,1.0,False
replay__results__tool-routing__ensemble,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.01345982153608759,0.16151785843305108,1.547873766039425,0.1499249018526067,-0.3816822220266305,0.04215173261706414,12.0,replay,results,ensemble,tool-routing,100.0,1.0,False,False,1.0,False
replay__results__tool-routing__graham,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.011038676007133109,0.1324641120855973,0.9399984771172982,0.3674020294514374,-0.305050602710635,0.05061120102389264,12.0,replay,results,graham,tool-routing,100.0,1.0,False,False,1.0,False
replay__results__tool-routing__greenblatt,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.012609866534417112,0.15131839841300534,1.3489931467251972,0.20445322664421256,-0.39592134453758865,0.035889221886990015,12.0,replay,results,greenblatt,tool-routing,10.0,1.0,False,False,1.0,False
replay__results__tool-routing__piotroski,jkp132_full_lomo_ridge_exploratory,12,133,2024-01-31,2024-12-31,exploratory_nested_lomo_ridge_noncausal_short_sample,0.007484846443872262,0.08981815732646714,1.0286298581329247,0.32574139114907463,0.029037816168869024,0.04584685856869217,12.0,replay,results,piotroski,tool-routing,100.0,1.0,False,False,1.0,False
authors__results_22_24__altman,jkp132_full_ols,33,133,2022-04-30,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results_22_24,altman,archived-portfolio,,,False,False,,False
authors__results_22_24__buffett,jkp132_full_ols,33,133,2022-04-30,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results_22_24,buffett,archived-portfolio,,,False,False,,False
authors__results_22_24__ensemble,jkp132_full_ols,33,133,2022-04-30,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results_22_24,ensemble,archived-portfolio,,,False,False,,False
authors__results_22_24__graham,jkp132_full_ols,33,133,2022-04-30,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results_22_24,graham,archived-portfolio,,,False,False,,False
authors__results_22_24__greenblatt,jkp132_full_ols,33,133,2022-04-30,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results_22_24,greenblatt,archived-portfolio,,,False,False,,False
authors__results_22_24__piotroski,jkp132_full_ols,33,133,2022-04-30,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results_22_24,piotroski,archived-portfolio,,,False,False,,False
authors__results__altman,jkp132_full_ols,12,133,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,altman,archived-portfolio,,,False,False,,False
authors__results__buffett,jkp132_full_ols,12,133,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,buffett,archived-portfolio,,,False,False,,False
authors__results__ensemble,jkp132_full_ols,12,133,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,ensemble,archived-portfolio,,,False,False,,False
authors__results__graham,jkp132_full_ols,12,133,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,graham,archived-portfolio,,,False,False,,False
authors__results__greenblatt,jkp132_full_ols,12,133,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,greenblatt,archived-portfolio,,,False,False,,False
authors__results__piotroski,jkp132_full_ols,12,133,2024-01-31,2024-12-31,unidentified_or_insufficient_degrees_of_freedom,,,,,,,,authors,results,piotroski,archived-portfolio,,,False,False,,False
jkp_proxy__guru_altman_distress_avoidance,jkp132_full_ols,305,133,1999-08-31,2024-12-31,identified_ols,-0.0013604395153365037,-0.016325274184038042,-0.6366774028613926,0.5251863612056423,0.9290369142381456,0.01809914127024627,134.0,jkp_proxy,jkp_1999_2024,altman,motif-proxy,,1.0,False,False,,False
jkp_proxy__guru_buffett_quality_compounder,jkp132_full_ols,305,133,1999-08-31,2024-12-31,identified_ols,0.002893530985231171,0.03472237182277405,1.0588105284698224,0.29117942735388214,0.7704318987471257,0.019451646095403598,134.0,jkp_proxy,jkp_1999_2024,buffett,motif-proxy,,1.0,False,False,,False
jkp_proxy__guru_equal_weight_style_ensemble,jkp132_full_ols,305,133,1999-08-31,2024-12-31,identified_ols,0.0015728729888617062,0.018874475866340473,0.6767432063739669,0.49948330395693075,0.9249100924215234,0.01870920796305079,134.0,jkp_proxy,jkp_1999_2024,ensemble,motif-proxy,,1.0,False,False,,False
jkp_proxy__guru_graham_deep_value_defensive,jkp132_full_ols,305,133,1999-08-31,2024-12-31,identified_ols,0.001262151540332714,0.01514581848399257,0.5863597232192972,0.5584070195136707,0.942055043640251,0.017704111704636222,134.0,jkp_proxy,jkp_1999_2024,graham,motif-proxy,,1.0,False,False,,False
