trace,commit,source_out,model,statistic,paper_vector_value,historical_output_value,historical_minus_paper,match_tolerance_1e-4,paper_result_credit
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/5.out,VEC,whishi,0.4145652815025582,0.27944336796286917,-0.13512191353968905,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/6.out,PLF,q1,0.04026787485682726,0.02072683374656889,-0.019541041110258367,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/6.out,PLF,med,0.11817708965889384,0.05763859361547885,-0.06053849604341499,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/6.out,PLF,q3,0.21510700871194405,0.13109449738326712,-0.08401251132867693,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/6.out,PLF,whislo,-0.12860219082022328,-0.09579377940572886,0.03280841141449442,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/6.out,PLF,whishi,0.3609587708158908,0.21181672223108983,-0.14914204858480096,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/9.out,IQS,q1,0.11974132495941503,0.07230972160547183,-0.0474316033539432,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/9.out,IQS,med,0.1820018704749904,0.1488315433263711,-0.03317032714861928,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/9.out,IQS,q3,0.35390823674292005,0.21514501473951142,-0.13876322200340863,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/9.out,IQS,whislo,-0.12199449434906762,-0.07222929819225365,0.04976519615681396,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/9.out,IQS,whishi,0.5519646703488612,0.36519690302527963,-0.18676776732358158,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/baseline.out,baseline,q1,-0.025960522786081186,0.040533204713328885,0.06649372749941007,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/baseline.out,baseline,med,0.05954030448544001,0.09130098637088002,0.03176068188544001,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/baseline.out,baseline,q3,0.15349643694750303,0.14419890558462659,-0.009297531362876449,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/baseline.out,baseline,whislo,-0.1541781113463243,-0.057722379150155545,0.09645573219616876,no,no
information_technology_3m,146968342df7590d2e69d591f90a93c52d648a96,Code/Data/output/2016/2020/baseline.out,baseline,whishi,0.30454934279987605,0.2623390519297798,-0.042210290870096256,no,no
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/1.out,PVS,q1,-0.2107008361122884,-0.21070083012410407,5.988184337279989e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/1.out,PVS,med,0.1545927020992217,0.1545927030923379,9.93116200387334e-10,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/1.out,PVS,q3,0.3738032055093262,0.3738032103474011,4.838074885160637e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/1.out,PVS,whislo,-0.673488415811299,-0.673488415477973,3.3332603344149447e-10,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/1.out,PVS,whishi,0.6946036751920444,0.6946036788270529,3.635008516411631e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/2.out,RAPS,q1,-0.20897420578526926,-0.20897420104663672,4.738632541911869e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/2.out,RAPS,med,0.09229471336812689,0.09229471919330562,5.825178728269265e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/2.out,RAPS,q3,0.3778202799487409,0.3778202819602935,2.011552591163479e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/2.out,RAPS,whislo,-0.6715326202558005,-0.6715326203709691,-1.1516854137028076e-10,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/2.out,RAPS,whishi,0.6432324812057947,0.6432324892708803,8.065085599362476e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/4.out,EVC,q1,-0.1142160364977487,-0.11421603718764761,-6.898989157733126e-10,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/4.out,EVC,med,0.17832492368092678,0.17832492429053182,6.096050331194647e-10,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/4.out,EVC,q3,0.40376670920471913,0.4037667143783841,5.173664940905098e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/4.out,EVC,whislo,-0.4460935170267015,-0.4460935130975836,3.929117919909686e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/4.out,EVC,whishi,0.6301078309061661,0.6301078344295041,3.523338065747339e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/5.out,VEC,q1,-0.19900717863364625,-0.1990071762753835,2.3582627517448884e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/5.out,VEC,med,0.010360572213242714,0.010360574851781157,2.6385384432892067e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/5.out,VEC,q3,0.3073575305442502,0.30735753441381664,3.869566445047212e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/5.out,VEC,whislo,-0.6847990674428808,-0.6847990685981324,-1.1552516721025086e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/5.out,VEC,whishi,0.7556597234873301,0.7556597269205864,3.4332562348637907e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/6.out,PLF,q1,-0.062070024076444685,-0.062070020728005715,3.3484389705407125e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/6.out,PLF,med,0.18688188446931187,0.1868818878796374,3.410325521979729e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/6.out,PLF,q3,0.3830980480911117,0.38309805237904804,4.287936339331111e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/6.out,PLF,whislo,-0.5943725685293053,-0.5943725696362085,-1.1069032357369224e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/6.out,PLF,whishi,0.5497620185323759,0.5497620266842461,8.15187017888519e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/9.out,IQS,q1,-0.2652824405021639,-0.26528244076430063,-2.6213675674569004e-10,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/9.out,IQS,med,0.13456605923836373,0.13456606301817942,3.779815682669607e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/9.out,IQS,q3,0.35400034049185547,0.3540003429074742,2.4156187050650146e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/9.out,IQS,whislo,-0.5757571166198285,-0.575757116706809,-8.698042286425789e-11,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/9.out,IQS,whishi,0.5524940914480876,0.5524940941795686,2.731481041351458e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/baseline.out,baseline,q1,-0.1604987122895869,-0.1604987122850302,4.55668835996903e-12,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/baseline.out,baseline,med,0.09132499924869109,0.09132499997452648,7.258353917904969e-10,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/baseline.out,baseline,q3,0.3320637822323197,0.33206378644080037,4.208480675060855e-09,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/baseline.out,baseline,whislo,-0.6915361710668775,-0.6915361701080809,9.587965976720625e-10,yes,historical_author_output_trace
energy_3m,99865489ff45339e055abe737a274b2fd9385119,Code/Data/output/2016/2020/baseline.out,baseline,whishi,0.8403352458043829,0.8403352514797452,5.675362291235331e-09,yes,historical_author_output_trace
