path,bytes,sha256,role,system_code,system_data
hc_1m_16-20_new.svg,54629,759d4ff8e38df8d160021efee2455dad0c64b228fff6cb512ef9697fd91640dc,published_vector_figure,no,no
hc_1m_16-20_old.svg,101059,fae96e4be35515e203bb79836327aa3d6d5a34f97d4fd204d381359e9457297d,published_vector_figure,no,no
hc_3m_16-20_new.svg,54715,116a2db39fdbd15b0d83d013b040f61e0256fef77666a0d22592d96824a70608,published_vector_figure,no,no
hc_3m_16-20_old.svg,101059,61a2f09d2584a08966d68fb50285c318a0eae64b4e778d7e0ef48beca7c2914d,published_vector_figure,no,no
it_1m_16-20_new.svg,56757,9d4146b122c57e041aca18b93478459eb784aed388be75dc3adbf43921cf15a4,published_vector_figure,no,no
it_1m_16-20_old.svg,103123,cc569a4b0dd39652d8c8657956c2ac3398a39c2c24e5d7264dcfac831fc8c3e3,published_vector_figure,no,no
it_3m_16-20_new.svg,62922,95811ea7407b76d606b777b8c9377fc7a141a6c3230973a1d9c58756ba13b47f,published_vector_figure,no,no
it_3m_16-20_new2.svg,56732,0be88713005528f563992838c875b9c2350af3e4c68a369777b1b7505cb1210a,published_vector_figure,no,no
it_3m_16-20_old.svg,103737,094dd5e40288ae789d5913db68a6afb3ffc768622d11703464f0f9428b467395,published_vector_figure,no,no
it_3m_16-20_old2.svg,103373,f0eb8e9070fcb1adb2317f77ce9ce6ac35f2c0730104799dd13767c6a342d257,published_vector_figure,no,no
prompting.pdf,68330,a02ba563e3932541b11d9f720d1981293d3e58443d95d2df562a695f8de1e3a3,paper_asset,no,no
pvalue.png,59944,1fcf70f59fb849def91a2b3685d914ca2329d5ff140e3bb020e877eddc6d86f2,paper_asset,no,no
pvalue.svg,30394,63aa28f53e66680f03edcef6444ac3a91ac11707188763e311de48f2600d0fda,published_vector_figure,no,no
svg-inkscape/2016_2020_3M_step2_allsector_svg-tex.pdf,40745,037c347bc676f8bbdb42a5baaf85dca0f8955fc4534eb61a7aae84addf039d4b,paper_asset,no,no
svg-inkscape/2016_2020_3M_step2_allsector_svg-tex.pdf_tex,2112,731876e70939d7b4df7d1b1882e6bbf8911c642b962393df39d456a1c0f1b05f,other,no,no
svg-inkscape/EN_2016_2020_1M_step2_svg-tex.pdf,44395,8bcdc89477d7ef9eb555a3be18f675bcc6d55d9d7686c4c8df80de440ddb992f,paper_asset,no,no
svg-inkscape/EN_2016_2020_1M_step2_svg-tex.pdf_tex,2113,a5bed00fd87b6efc5339da2d26467075de7cfda9c2eb58500009c071c007275d,other,no,no
svg-inkscape/EN_2016_2020_3M_step2_svg-tex.pdf,43049,41fefda0e8085ef991d0280a8dec67f4e4ba61e7ee254c2ead46d6624e5cde73,paper_asset,no,no
svg-inkscape/EN_2016_2020_3M_step2_svg-tex.pdf_tex,2098,345b5f919d2307dc629c281a57ae2ce96702703773036b6afe0f0b344cfc0a85,other,no,no
svg-inkscape/HC_2016_2020_1M_step2_svg-tex.pdf,42528,12016b5bafc2a1536f2792cfed1ac160211b7df1a79351f0d6d8cc9281e9aadd,paper_asset,no,no
svg-inkscape/HC_2016_2020_1M_step2_svg-tex.pdf_tex,2098,5eafd0fc94ef99b4d114d5e3fc579f21d6a743c22b9544081f87d6b76c859d82,other,no,no
svg-inkscape/HC_2016_2020_3M_step2_svg-tex.pdf,42219,666982d8ed7c7d554af806a2558582a8ce9d4ded3696068c091670d4b483bd2e,paper_asset,no,no
svg-inkscape/HC_2016_2020_3M_step2_svg-tex.pdf_tex,2098,b8ddac43f98fe9f89b0e227b5fea2be1fe1466c5f732086ea8f2ba245fe5fa83,other,no,no
svg-inkscape/IT_2016_2020_1M_step2_svg-tex.pdf,40210,a0fdae0f30e9463ada5e4af395102f65f9d866d21023db5fdc5aa8eca951082a,paper_asset,no,no
svg-inkscape/IT_2016_2020_1M_step2_svg-tex.pdf_tex,2098,973da3e6022576cb1038859b9cdeebb0aeae070a41a00427cb715af3d37e3738,other,no,no
svg-inkscape/IT_2016_2020_3M_step2_svg-tex.pdf,40845,956e87cf239c5febfdf4431606ec86c796d862d54130f8ea129ac0bf06042f56,paper_asset,no,no
svg-inkscape/IT_2016_2020_3M_step2_svg-tex.pdf_tex,2098,0cb4fc55e593e793596a8690564e5e027d80de1556328927f7b45a7081d8b17d,other,no,no
svg-inkscape/corr_avg_allsector_svg-tex.pdf,360004,d4bb5f2d2f26ddbdce8158dffbf771b68d35f28db46146ac0aea0383d7a23149,paper_asset,no,no
svg-inkscape/corr_avg_allsector_svg-tex.pdf_tex,2099,a4cfda83776550d60600a2413ef56cadd7edca5faf26afb778bc04d71e31023f,other,no,no
svg-inkscape/en_1m_16-20_new_svg-tex.pdf,75335,66d1d47ff9efcd345a92b729bc6d4400be6abfcb43bbce56b65d31720e16c0f1,paper_asset,no,no
svg-inkscape/en_1m_16-20_new_svg-tex.pdf_tex,2086,1235dd04171c9e801a80947958ca384f861d8f9a260d7b79e7d6178cf4174b67,other,no,no
svg-inkscape/en_1m_16-20_old_svg-tex.pdf,161112,860ba38a3b97baf187cddc7d0f888248b71d76f8da9ad77bc0ab70f04f91b7f8,paper_asset,no,no
svg-inkscape/en_1m_16-20_old_svg-tex.pdf_tex,2084,dfdcd97f3aa5f84457095dcfb909916a9d0eac1157efb882ce3ae49efac719d0,other,no,no
svg-inkscape/en_3m_16-20_new_svg-tex.pdf,75260,4595579b2b7efaa5964eaa78840d2cb01d8f41bea67a7c5d6f2ea2dd062b5df4,paper_asset,no,no
svg-inkscape/en_3m_16-20_new_svg-tex.pdf_tex,2086,330c45ef19e20c6d1983b479beae4b9f6ce79bf8e54cccce07f0a5043dc8623b,other,no,no
svg-inkscape/en_3m_16-20_old_svg-tex.pdf,157152,485542737fdad52405191947f72d6283bf0f47a4f99869b0b58d8aaa149e3315,paper_asset,no,no
svg-inkscape/en_3m_16-20_old_svg-tex.pdf_tex,2084,1cafc403bf83d6d371226d6795b8d6acb0d65ee9fbb09b6bf5e3d99418e7ae23,other,no,no
svg-inkscape/hc_1m_16-20_new_svg-tex.pdf,75792,173ad4ccf1a0ff13e76056d1935e3f70628dbcd01c2d062d1661102e82ed97cf,paper_asset,no,no
svg-inkscape/hc_1m_16-20_new_svg-tex.pdf_tex,2086,5cc9094e281b90ec210b3dcc9743eee2497094505371af20b54570c0a499cd9d,other,no,no
svg-inkscape/hc_1m_16-20_old_svg-tex.pdf,167935,a0ea33cce1c9a47aa97ede6b770f2c62d9b651ea24f970c83f36df7be8ec48e0,paper_asset,no,no
svg-inkscape/hc_1m_16-20_old_svg-tex.pdf_tex,2084,e5d2ba3b7acaeacf36f413f21a8d982a64331c8a24c7b4f750e56101daa13087,other,no,no
svg-inkscape/hc_3m_16-20_new_svg-tex.pdf,73092,7a02a5db055b031ec769ec2690f9339bbe8e2c2d26d577b0fe90f90db1ec6750,paper_asset,no,no
svg-inkscape/hc_3m_16-20_new_svg-tex.pdf_tex,2086,c24bc4742f400f84d3205aa335b721cd0a2b77c044082df68a73c0ec235f2933,other,no,no
svg-inkscape/hc_3m_16-20_old_svg-tex.pdf,161399,eb091b823afb0b1be7e32fa4598988b1d66742c7e3c88a07dbe4f451809721c3,paper_asset,no,no
svg-inkscape/hc_3m_16-20_old_svg-tex.pdf_tex,2084,ebf81f2b87aa4cb0816a97809336b81dbbd4dd6ed7e002195b29def86d9d05ea,other,no,no
svg-inkscape/it_1m_16-20_new_svg-tex.pdf,77261,da0a79afa9b2b2338a447022292d1711ecf8fcc0e29dfd92ea8c661fb08bb14a,paper_asset,no,no
svg-inkscape/it_1m_16-20_new_svg-tex.pdf_tex,2086,e34fdcc3ecd8403124fe40d59d179b459728fe9536b9f0f846c4e3c84f8442a1,other,no,no
svg-inkscape/it_1m_16-20_old_svg-tex.pdf,161320,43379bf8265c6666b8c68ac3938ca4bd6eb874f86512b8c5d377b53bcd2948d4,paper_asset,no,no
svg-inkscape/it_1m_16-20_old_svg-tex.pdf_tex,2084,a11ba2f37867d53582572334771d116a410ea7b253c82d97962cc01923703982,other,no,no
svg-inkscape/it_3m_16-20_new2_svg-tex.pdf,76056,04473cabeff34d2974ae2fdb63a9b3eca069fd7f5b1c26babeae4e2b8f327f99,paper_asset,no,no
svg-inkscape/it_3m_16-20_new2_svg-tex.pdf_tex,2088,2965a9572b151bbcdc8d5d791f4c3b7eae3deb7322e537f47e95de2d6246d169,other,no,no
svg-inkscape/it_3m_16-20_old2_svg-tex.pdf,159078,a5d6b766e784e66a518fc7c5e0a73d863bc7cf8f6452f5c9faa6252eebee5b98,paper_asset,no,no
svg-inkscape/it_3m_16-20_old2_svg-tex.pdf_tex,2086,5786a748470dc4c60d3d44d4813fe81759c924db82d9e0aab67296555e049792,other,no,no
