formation_month,forecast_reflection_start,forecast_reflection_end,forecast_reflection_months,agent_mean_rankic__news_sentiment,agent_reliability__news_sentiment,agent_mean_rankic__financial_report,agent_reliability__financial_report,agent_mean_rankic__technical,agent_reliability__technical,style_reflection_start,style_reflection_end,style_reflection_months,selected_style,risk_intercept_quantile,risk_intercept_count,finite_scores,style_mean_rankic__aggressive,style_mean_rankic__balanced,style_mean_rankic__conservative
2001-07-31,1996-07-31,2001-06-30,60,-0.031081661082421174,0.1419062655089429,0.024585705470745296,0.4320382252271068,0.02388848409902072,0.42605550926395047,1999-11-30,2001-06-30,20,conservative,0.6,97,774,-0.01153216953093366,0.007832378561084659,0.01848460676436375
2001-08-31,1996-08-31,2001-07-31,60,-0.03276073712584152,0.13005704293532827,0.025320295334737595,0.4155461982490809,0.029789142297581107,0.4543967588155909,1999-12-31,2001-07-31,20,conservative,0.6,77,777,-0.012889734258406588,0.014768277604156005,0.031060698274550835
2001-09-30,1996-09-30,2001-08-31,60,-0.032975230589757806,0.12283055379473347,0.02231613822047781,0.37115997546195134,0.0378122490016345,0.5060094707433153,2000-01-31,2001-08-31,20,conservative,0.6,56,790,0.002846235878774782,0.034391314349407585,0.05159306618779271
2001-10-31,1996-10-31,2001-09-30,60,-0.03379513028696662,0.12785546380605328,0.027023711288347244,0.43150421054272053,0.028071295597599168,0.4406403256512261,2000-02-29,2001-09-30,20,conservative,0.6,84,781,-0.02750176924938147,0.007493998931131882,0.03060680105015312
2001-11-30,1996-11-30,2001-10-31,60,-0.0338455968730221,0.13531508066105277,0.02640796793504863,0.45154601614523643,0.02196329682129282,0.4131389031937108,2000-03-31,2001-10-31,20,conservative,0.6,102,785,-0.024826028157263726,0.0039123983797402255,0.02234090862765487
2001-12-31,1996-12-31,2001-11-30,60,-0.03168169354212114,0.13721202539251487,0.02923360989248443,0.46397627932564584,0.02166640664570229,0.3988116952818392,2000-04-30,2001-11-30,20,conservative,0.6,96,781,-0.015501823793936628,0.008632656254047808,0.023409655560768954
2002-01-31,1997-01-31,2001-12-31,60,-0.03220008200012754,0.12913911188371685,0.03192174288061337,0.46559991210101226,0.024981969739198102,0.4052609760152709,2000-05-31,2001-12-31,20,conservative,0.6,95,786,-0.0024714890301987744,0.01689062739614388,0.02872889214902775
2002-02-28,1997-02-28,2002-01-31,60,-0.028350273705506298,0.13242191182904323,0.03348185011625203,0.4560651186806753,0.02834209680486061,0.4115129694902815,2000-06-30,2002-01-31,20,conservative,0.6,87,801,0.0002002346566497018,0.026306243164180437,0.03992614829573008
2002-03-31,1997-03-31,2002-02-28,60,-0.02881695238500632,0.13928341670733976,0.03194760825395814,0.46956279536519296,0.022812546404549394,0.3911537879274672,2000-07-31,2002-02-28,20,conservative,0.6,113,803,-0.004566537487636931,0.01731834979363915,0.029181007768781454
2002-04-30,1997-04-30,2002-03-31,60,-0.026743622325172207,0.13919142528350353,0.0320710026456617,0.45130466583964907,0.027211192810139843,0.40950390887684734,2000-08-31,2002-03-31,20,conservative,0.6,95,808,0.009243190441136593,0.036589896362450414,0.04992412687866256
2002-05-31,1997-05-31,2002-04-30,60,-0.027900578336642338,0.1303461111098444,0.03181264294382861,0.43028928199843064,0.03285623677670684,0.4393646068917249,2000-09-30,2002-04-30,20,conservative,0.6,95,811,0.010321871645715677,0.0349150223621605,0.047408861857647575
2002-06-30,1997-06-30,2002-05-31,60,-0.027391268500051125,0.12326259536770337,0.03392534938394,0.42016578476889627,0.03808016027252495,0.4565716198634004,2000-10-31,2002-05-31,20,conservative,0.6,87,808,0.028130295619743794,0.05308154487815582,0.06366081220928727
2002-07-31,1997-07-31,2002-06-30,60,-0.02759993763403917,0.11948691603931913,0.034516160458145546,0.4138604492976177,0.040518976452838605,0.46665263466306317,2000-11-30,2002-06-30,20,conservative,0.6,80,817,0.02740444779033026,0.04636472786288777,0.05577749899631814
2002-08-31,1997-08-31,2002-07-31,60,-0.029665053092247994,0.11147055677066099,0.0345046853468693,0.4022827742924975,0.043982724567847215,0.4862466689368416,2000-12-31,2002-07-31,20,conservative,0.6,78,813,0.029132535584606805,0.04839758591273721,0.058396756516201784
2002-09-30,1997-09-30,2002-08-31,60,-0.028534139424193646,0.10547718055269313,0.03786406162180035,0.39800264554544734,0.04892233474818161,0.49652017390185954,2001-01-31,2002-08-31,20,conservative,0.6,75,817,0.06449362774700723,0.08775446903063686,0.09638628305478826
2002-10-31,1997-10-31,2002-09-30,60,-0.028694892864056812,0.11071097816979938,0.03810234015685606,0.4210988758779114,0.043402682281728514,0.4681901459522892,2001-02-28,2002-09-30,20,conservative,0.6,76,820,0.051376290956872996,0.06556315015788139,0.07256807360668081
2002-11-30,1997-11-30,2002-10-31,60,-0.025963078907167782,0.12937422396071244,0.03651947656508845,0.4514028937956569,0.0328215986624124,0.4192228822436307,2001-03-31,2002-10-31,20,conservative,0.6,92,822,0.019767110280369805,0.027461636053039872,0.03426831905850118
2002-12-31,1997-12-31,2002-11-30,60,-0.03005696664773381,0.11794674512274445,0.03930473584199094,0.47223052173607555,0.03221760824916388,0.40982273314117995,2001-04-30,2002-11-30,20,conservative,0.6,88,822,0.03740909994975292,0.05353815581528261,0.06229217134315065
2003-01-31,1998-01-31,2002-12-31,60,-0.028413668200000193,0.12011269075708733,0.03723433353066657,0.4464781336678445,0.03574892521347139,0.43340917557506825,2001-05-31,2002-12-31,20,conservative,0.6,87,812,0.04188052320273879,0.05550547749808157,0.06246582028536737
2003-02-28,1998-02-28,2003-01-31,60,-0.02957740674221802,0.11282309898288068,0.03752711688307737,0.43177800067082056,0.04019022538835327,0.4553989003462988,2001-06-30,2003-01-31,20,conservative,0.6,104,814,0.05088201056231166,0.06375913228586035,0.07008166627839389
2003-03-31,1998-03-31,2003-02-28,60,-0.027807203797960044,0.11238515460001407,0.04168687684647916,0.45115612966901325,0.04003089311981039,0.43645871573097267,2001-07-31,2003-02-28,20,conservative,0.6,97,822,0.05028009802340157,0.06210464756321612,0.06769329749844641
2003-04-30,1998-04-30,2003-03-31,60,-0.028594219428932935,0.11706594488722426,0.03924848413662263,0.45467891059917037,0.03625486769481205,0.4282551445136054,2001-08-31,2003-03-31,20,conservative,0.6,109,819,0.025691030137331074,0.03121181890282445,0.03542214801910358
2003-05-31,1998-05-31,2003-04-30,60,-0.024149630305432126,0.13824503953164693,0.03554840445731543,0.45622607017586353,0.02965858758348421,0.40552889029248945,2001-09-30,2003-04-30,20,conservative,0.6,116,822,-0.003031656123683321,-0.0037521046212302318,-0.001965512043335585
2003-06-30,1998-06-30,2003-05-31,60,-0.02685431317695718,0.13846149134872818,0.03530777829891398,0.4800230270062209,0.023823646059080085,0.3815154816450509,2001-10-31,2003-05-31,20,conservative,0.6,110,818,0.008583649783670622,0.010600770950055396,0.012388127462531283
2003-07-31,1998-07-31,2003-06-30,60,-0.026265436412204045,0.14241083286818654,0.03745287495897586,0.5093229511692399,0.018447118893856525,0.3482662159625737,2001-11-30,2003-06-30,20,conservative,0.6,127,824,0.021972336172235936,0.02486470800217684,0.025830255482263725
2003-08-31,1998-08-31,2003-07-31,60,-0.020260934851749075,0.16145001267863798,0.03822997125193502,0.5200961497289033,0.013703162741170873,0.3184538375924587,2001-12-31,2003-07-31,20,aggressive,1.0,0,825,0.020420861740147376,0.01997425906539546,0.01888041105240719
2003-09-30,1998-09-30,2003-08-31,60,-0.021834227235590625,0.1591081795867019,0.03777335362967371,0.5241280176288908,0.012594375209171187,0.3167638027844072,2002-01-31,2003-08-31,20,conservative,0.6,112,825,0.009119766698292165,0.012196788460216509,0.01384659801199604
2003-10-31,1998-10-31,2003-09-30,60,-0.02056551574810129,0.1576855522777086,0.03583166442973754,0.4871375263060129,0.020035142300807624,0.3551769214162785,2002-02-28,2003-09-30,20,aggressive,1.0,0,824,0.0049440319813356896,0.0012213061722754447,0.0005040863108891319
2003-11-30,1998-11-30,2003-10-31,60,-0.022386234832377963,0.1509209202490121,0.03522444902258289,0.47769367021868614,0.022637983688833574,0.3713854095323018,2002-03-31,2003-10-31,20,aggressive,1.0,0,825,0.02035976618757075,0.0184670481126769,0.01760976427628275
2003-12-31,1998-12-31,2003-11-30,60,-0.027344882796090344,0.1564789027839532,0.030320526639156298,0.49582814414431703,0.012575046061014002,0.34769295307172976,2002-04-30,2003-11-30,20,aggressive,1.0,0,819,-0.00875542135086729,-0.010199151582600336,-0.009037365187956694
2004-01-31,1999-01-31,2003-12-31,60,-0.029246509687214,0.15761612458408447,0.028835928916549992,0.5036145821737223,0.009011332275369127,0.3387692932421931,2002-05-31,2003-12-31,20,aggressive,1.0,0,825,-0.014839927045908547,-0.017862504588660604,-0.01744646804409602
2004-02-29,1999-02-28,2004-01-31,60,-0.028076455872109753,0.15585631013331583,0.030866080893592624,0.5066321658879582,0.010556802175605447,0.3375115239787259,2002-06-30,2004-01-31,20,aggressive,1.0,0,816,-0.02658361568769263,-0.030338118513110867,-0.02904421405871719
2004-03-31,1999-03-31,2004-02-29,60,-0.029425668974472644,0.1482800615126942,0.03260229947967361,0.5126852772193896,0.011924308758420937,0.33903466126791626,2002-07-31,2004-02-29,20,aggressive,1.0,0,823,-0.024851620635441243,-0.028417350944311116,-0.028245738043856806
2004-04-30,1999-04-30,2004-03-31,60,-0.03066465892271475,0.1357392764235636,0.03649414201909269,0.5200432491148906,0.015862225585788235,0.3442174744615458,2002-08-31,2004-03-31,20,conservative,0.6,107,827,-0.021547379628824404,-0.02246714172879099,-0.019636416285171272
2004-05-31,1999-05-31,2004-04-30,60,-0.029339694394385676,0.13846230201194745,0.03652948826940151,0.5169684017734311,0.01624516157573967,0.34456929621462146,2002-09-30,2004-04-30,20,aggressive,1.0,0,834,-0.04456411932203452,-0.04901629264336258,-0.04651559329874336
2004-06-30,1999-06-30,2004-05-31,60,-0.029768250761507777,0.13726378155880709,0.034623966723033,0.49757626290678186,0.019153299463092695,0.36515995553441094,2002-10-31,2004-05-31,20,aggressive,1.0,0,834,-0.029775681520712756,-0.03244949432099201,-0.03219662326586302
2004-07-31,1999-07-31,2004-06-30,60,-0.030960425190323222,0.13514882255070726,0.03344798409165436,0.4900682887340283,0.0200380915277933,0.37478288871526444,2002-11-30,2004-06-30,20,conservative,0.6,127,834,-0.006422967603267512,-0.0023426879214863577,-0.0007112141750121155
2004-08-31,1999-08-31,2004-07-31,60,-0.03558548726243978,0.12699497409628305,0.03258185074224133,0.4964557083363108,0.01875958856685654,0.3765493175674061,2002-12-31,2004-07-31,20,conservative,0.6,112,827,-0.015723369426829385,-0.013974697262963454,-0.01270797950828748
2004-09-30,1999-09-30,2004-08-31,60,-0.03479326706654624,0.13139906497581222,0.03193092775775249,0.4990582820615675,0.016908091825056194,0.36954265296262034,2003-01-31,2004-08-31,20,aggressive,1.0,0,833,-0.014710967914141667,-0.01495140232104808,-0.015205511927351052
2004-10-31,1999-10-31,2004-09-30,60,-0.03465102727127369,0.13311632844552126,0.032718348874926126,0.5121466034048805,0.014356646031325642,0.35473706814959816,2003-02-28,2004-09-30,20,aggressive,1.0,0,830,-0.021794386434325703,-0.022618214700024744,-0.022916995210618064
2004-11-30,1999-11-30,2004-10-31,60,-0.03808566231994793,0.13206267030074462,0.02950402572919824,0.5103365172697419,0.01172137419352064,0.35760081242951336,2003-03-31,2004-10-31,20,aggressive,1.0,0,832,-0.0333312508375047,-0.035663151988802294,-0.037904229623305266
2004-12-31,1999-12-31,2004-11-30,60,-0.043568316256890526,0.12625743183885935,0.030109944679826455,0.551084497950534,0.00334519493665876,0.3226580702106066,2003-04-30,2004-11-30,20,aggressive,1.0,0,832,-0.024651592411424745,-0.024709026393427532,-0.025396925483207718
2005-01-31,2000-01-31,2004-12-31,60,-0.04480113103621365,0.11984752702820059,0.03199177899872727,0.5567289671273207,0.0048359840251192615,0.32342350584447865,2003-05-31,2004-12-31,20,conservative,0.6,134,836,-0.006791552497774368,-0.0029732422672688295,-0.0019056610460138567
2005-02-28,2000-02-29,2005-01-31,60,-0.047859437779808466,0.11520145446190544,0.03253357298219185,0.5750992237534104,0.0015865383875258547,0.3096993217846841,2003-06-30,2005-01-31,20,balanced,0.8,74,837,0.001095790114839204,0.003827224306903983,0.0022124119595070832
2005-03-31,2000-03-31,2005-02-28,60,-0.04409935225251977,0.11818281868927172,0.031597741439601416,0.537094797340915,0.009425981372784975,0.3447223839698132,2003-07-31,2005-02-28,20,conservative,0.6,126,836,0.002799067652747675,0.009798335788189668,0.010388179207191971
2005-04-30,2000-04-30,2005-03-31,60,-0.045162269121686686,0.1163545146111726,0.028998668347923928,0.5127869415953744,0.012796681645432158,0.370858543793453,2003-08-31,2005-03-31,20,conservative,0.6,119,837,-0.0008867146676297937,0.013634072588022197,0.01842835903685544
2005-05-31,2000-05-31,2005-04-30,60,-0.04120663634892349,0.12321079504256115,0.029900119572170373,0.5108274121141545,0.01322497702378284,0.3659617928432844,2003-09-30,2005-04-30,20,conservative,0.6,139,841,0.0028476945918592114,0.011240898160817433,0.012798171974611921
2005-06-30,2000-06-30,2005-05-31,60,-0.042449687181842985,0.12083416131257517,0.02804166357877438,0.49484572783725617,0.015403152292076358,0.38432011085016876,2003-10-31,2005-05-31,20,conservative,0.6,126,841,-7.82912829159565e-05,0.01187540163579925,0.014025132530680648
2005-07-31,2000-07-31,2005-06-30,60,-0.03472590764756755,0.13634505226422888,0.029573095237797224,0.4933253420029318,0.015234323041638726,0.3703296057328393,2003-11-30,2005-06-30,20,balanced,0.8,82,837,-0.0017340713441882237,0.00642284434564368,0.006294757868999803
2005-08-31,2000-08-31,2005-07-31,60,-0.03755306154677874,0.1264041108580055,0.030230935064099868,0.49037182801102275,0.017903729970148205,0.3832240611309716,2003-12-31,2005-07-31,20,balanced,0.8,73,833,0.016084750841562197,0.021092463651386596,0.017923830924790295
2005-09-30,2000-09-30,2005-08-31,60,-0.03243857709056977,0.13915219714477897,0.029594871037395224,0.481177988521294,0.017748107296788062,0.37966981433392694,2004-01-31,2005-08-31,20,balanced,0.8,81,835,0.0256418022219078,0.029977383027442704,0.024549034449083514
2005-10-31,2000-10-31,2005-09-30,60,-0.03034101428347772,0.1478299705656646,0.028329285945796263,0.4779321469314732,0.016100429661025498,0.3742378825028621,2004-02-29,2005-09-30,20,balanced,0.8,78,833,0.02278352208242154,0.025632413419124707,0.021320012090868392
2005-11-30,2000-11-30,2005-10-31,60,-0.02551658584830561,0.16833882147264834,0.02771694640498321,0.48816301048273697,0.010143565929750874,0.3434981680446147,2004-03-31,2005-10-31,20,aggressive,1.0,0,837,0.01863485288399715,0.017129106451395766,0.01129027005627627
2005-12-31,2000-12-31,2005-11-30,60,-0.02520535904501155,0.16994486810969797,0.028700342150428097,0.49949026235993027,0.008061082843099202,0.33056486953037173,2004-04-30,2005-11-30,20,aggressive,1.0,0,840,0.01425355745575028,0.00942412446944684,0.0003585085604971358
2006-01-31,2001-01-31,2005-12-31,60,-0.021258192568453228,0.1707870391222319,0.026600395978106914,0.44478417568113726,0.01930886556267669,0.3844287851966308,2004-05-31,2005-12-31,20,aggressive,1.0,0,836,0.023742599013025507,0.018333246499317776,0.006681511143255381
2006-02-28,2001-02-28,2006-01-31,60,-0.018010398670273337,0.19471143201260893,0.02569865881567965,0.46670612475700046,0.009652050859735976,0.33858244323039055,2004-06-30,2006-01-31,20,aggressive,1.0,0,839,0.010553295833157263,0.006836573749558891,-0.0018141136482157341
2006-03-31,2001-03-31,2006-02-28,60,-0.01522249563271602,0.2081358073008414,0.026839643658537814,0.482718453740201,0.004558605690584632,0.3091457389589577,2004-07-31,2006-02-28,20,aggressive,1.0,0,842,0.01797144182175143,0.008801688392437617,-0.00284310968117494
2006-04-30,2001-04-30,2006-03-31,60,-0.016105624394511565,0.19906422600719323,0.025170962592733822,0.45448243052223,0.011600407719312348,0.34645334347057677,2004-08-31,2006-03-31,20,aggressive,1.0,0,841,0.018860450581570327,0.005286084632561727,-0.010041133883356668
2006-05-31,2001-05-31,2006-04-30,60,-0.015238212214090607,0.20812739105208403,0.023929555794964658,0.45555010442505295,0.008757797050832412,0.336322504522863,2004-09-30,2006-04-30,20,aggressive,1.0,0,836,0.00881989816878052,0.002121879279338778,-0.007773542912253843
2006-06-30,2001-06-30,2006-05-31,60,-0.011028682983288511,0.2207551425000585,0.023074496570500133,0.4366437852101338,0.010946946064122479,0.34260107228980774,2004-10-31,2006-05-31,20,aggressive,1.0,0,835,0.014653297674492829,0.010024723857149757,-0.0009888440193395105
2006-07-31,2001-07-31,2006-06-30,60,-0.008928264095064219,0.24036252765806673,0.01914698762300459,0.42142985663076216,0.008147317856509857,0.3382076157111712,2004-11-30,2006-06-30,20,balanced,0.8,65,839,0.016481321458349456,0.017130971392722145,0.010627769734812609
2006-08-31,2001-08-31,2006-07-31,60,-0.01043516823541855,0.2498834774103527,0.018031710197819056,0.4415681143420133,0.00010903311903113175,0.3085484082476341,2004-12-31,2006-07-31,20,balanced,0.8,78,844,0.014571493855622966,0.016111581172753627,0.010210524171464275
2006-09-30,2001-09-30,2006-08-31,60,-0.012607301911843675,0.25136978188516634,0.019880592202971024,0.481392512620627,-0.009546629137101506,0.2672377054942067,2005-01-31,2006-08-31,20,aggressive,1.0,0,838,0.007472032590901505,0.005929996491380044,0.0001607931438566107
2006-10-31,2001-10-31,2006-09-30,60,-0.010156298582687677,0.2614452415229369,0.016427396123231665,0.44492189693384204,-0.004351030753752456,0.29363286154322094,2005-02-28,2006-09-30,20,aggressive,1.0,0,838,-0.0017517627610559386,-0.003400862020936182,-0.00847383879864709
2006-11-30,2001-11-30,2006-10-31,60,-0.006987546634235857,0.26858409713489645,0.015723929574780623,0.423009061168789,-7.47591296122535e-05,0.30840684169631455,2005-03-31,2006-10-31,20,aggressive,1.0,0,830,-0.006292942960603098,-0.011479345229462883,-0.01903001877233841
2006-12-31,2001-12-31,2006-11-30,60,-0.010871106956367295,0.260581393050378,0.009763063306187276,0.3937037279717534,0.0032638492648662865,0.3457148789778686,2005-04-30,2006-11-30,20,aggressive,1.0,0,830,-0.010146188451932025,-0.016868775377199892,-0.025778678022151648
2007-01-31,2002-01-31,2006-12-31,60,-0.008578429012608682,0.2793923502067192,0.009136066165823093,0.39818111741596485,-0.0014155171818933565,0.3224265323773159,2005-05-31,2006-12-31,20,aggressive,1.0,0,836,-0.00838753889352906,-0.013875565593807338,-0.022757074295483896
2007-02-28,2002-02-28,2007-01-31,60,-0.008560296279551271,0.2933944059400566,0.006883006534560232,0.3995679568450469,-0.006287669396424104,0.30703763721489635,2005-06-30,2007-01-31,20,aggressive,1.0,0,843,-0.01292371612248724,-0.018577458087339484,-0.02615558610736418
2007-03-31,2002-03-31,2007-02-28,60,-0.005827270652637686,0.28456878868628555,0.007755140787896849,0.37338992208659944,0.0033705516557798482,0.3420412892271149,2005-07-31,2007-02-28,20,aggressive,1.0,0,845,-0.006643810559055631,-0.008785791301407922,-0.015567393138117424
2007-04-30,2002-04-30,2007-03-31,60,-0.006119599769203948,0.2993012107261042,0.0056859644787701355,0.3790096797532857,-0.0025128437329796746,0.3216891095206101,2005-08-31,2007-03-31,20,aggressive,1.0,0,838,-0.010182280943600333,-0.013193039491197583,-0.020008562275922508
2007-05-31,2002-05-31,2007-04-30,60,-0.005089968181623965,0.31155318366481344,0.0036543368492509025,0.371094281497524,-0.0041678084064076665,0.3173525348376627,2005-09-30,2007-04-30,20,aggressive,1.0,0,844,-0.01921226569259354,-0.02242719591200475,-0.02802681390798802
2007-06-30,2002-06-30,2007-05-31,60,-0.0031647885704580788,0.329562162767266,0.0033668358302610343,0.37555220219355245,-0.008723658104263956,0.2948856350391816,2005-10-31,2007-05-31,20,aggressive,1.0,0,847,-0.01277655285430993,-0.017038665764190462,-0.025405700882625788
2007-07-31,2002-07-31,2007-06-30,60,-0.001362607804669457,0.3370734966623946,0.0031259300210127582,0.36873261252729267,-0.008165705556629321,0.2941938908103128,2005-11-30,2007-06-30,20,aggressive,1.0,0,842,-0.00716551856355874,-0.008103778279571844,-0.014852271164060876
2007-08-31,2002-08-31,2007-07-31,60,0.0011826429278257251,0.34607846025167527,0.0031969351561727936,0.36030516670185275,-0.007036929641742111,0.29361637304647203,2005-12-31,2007-07-31,20,balanced,0.8,63,840,-0.0015639734853482134,-0.0006651540178046464,-0.005546196501012417
2007-09-30,2002-09-30,2007-08-31,60,0.0012703238152700332,0.3625232109811614,-0.00043184273808801675,0.3503894224275387,-0.010394772179345545,0.28708736659129996,2006-01-31,2007-08-31,20,balanced,0.8,74,845,-0.0024803385984906766,0.0014321571144980554,-0.0008036225833703787
2007-10-31,2002-10-31,2007-09-30,60,0.00532678343422542,0.36914345375454216,-0.0025417924337782787,0.31539121313043755,-0.002530043330853866,0.3154653331150203,2006-02-28,2007-09-30,20,balanced,0.8,80,842,0.010627686496012182,0.013557149522201245,0.00892175047070411
