block,round,train_start,train_end,validation_start,validation_end,worst_month_count,recurring_rule_count,proposed_mutation_count,mutations,candidate_validation_return,accepted,best_update,best_validation_return
3,4,1998-07-31,2002-06-30,2002-07-31,2003-06-30,20,2,0,,0.05266060667007344,False,False,0.05266060667007344
3,5,1998-07-31,2002-06-30,2002-07-31,2003-06-30,20,2,0,,0.05266060667007344,False,False,0.05266060667007344
4,1,2000-07-31,2004-06-30,2004-07-31,2005-06-30,20,2,1,news_analyst_rating:1.30->1.40,0.02529547561155332,True,True,0.02529547561155332
4,2,2000-07-31,2004-06-30,2004-07-31,2005-06-30,20,2,1,news_analyst_rating:1.40->1.50,0.024123691620750787,True,False,0.02529547561155332
4,3,2000-07-31,2004-06-30,2004-07-31,2005-06-30,20,2,1,news_analyst_rating:1.50->1.60,0.013308667322305512,False,False,0.02529547561155332
4,4,2000-07-31,2004-06-30,2004-07-31,2005-06-30,20,2,1,news_analyst_rating:1.50->1.60,0.013308667322305512,False,False,0.02529547561155332
4,5,2000-07-31,2004-06-30,2004-07-31,2005-06-30,20,2,1,news_analyst_rating:1.50->1.60,0.013308667322305512,False,False,0.02529547561155332
5,1,2002-07-31,2006-06-30,2006-07-31,2007-06-30,20,1,1,news_analyst_rating:1.30->1.40,-0.09332429799702036,True,False,-0.09047910766017775
5,2,2002-07-31,2006-06-30,2006-07-31,2007-06-30,20,1,1,news_analyst_rating:1.40->1.50,-0.09402393474248816,True,False,-0.09047910766017775
5,3,2002-07-31,2006-06-30,2006-07-31,2007-06-30,20,1,0,,-0.09047910766017775,False,False,-0.09047910766017775
5,4,2002-07-31,2006-06-30,2006-07-31,2007-06-30,20,1,0,,-0.09047910766017775,False,False,-0.09047910766017775
5,5,2002-07-31,2006-06-30,2006-07-31,2007-06-30,20,1,0,,-0.09047910766017775,False,False,-0.09047910766017775
6,1,2004-07-31,2008-06-30,2008-07-31,2009-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.3695920675906851,False,False,-0.3583740107535466
6,2,2004-07-31,2008-06-30,2008-07-31,2009-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.3695920675906851,False,False,-0.3583740107535466
6,3,2004-07-31,2008-06-30,2008-07-31,2009-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.3695920675906851,False,False,-0.3583740107535466
6,4,2004-07-31,2008-06-30,2008-07-31,2009-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.3695920675906851,False,False,-0.3583740107535466
6,5,2004-07-31,2008-06-30,2008-07-31,2009-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.3695920675906851,False,False,-0.3583740107535466
7,1,2006-07-31,2010-06-30,2010-07-31,2011-06-30,20,2,1,news_analyst_rating:1.30->1.20,0.06068140601730465,False,False,0.06869140667460072
7,2,2006-07-31,2010-06-30,2010-07-31,2011-06-30,20,2,1,news_analyst_rating:1.30->1.20,0.06068140601730465,False,False,0.06869140667460072
7,3,2006-07-31,2010-06-30,2010-07-31,2011-06-30,20,2,1,news_analyst_rating:1.30->1.20,0.06068140601730465,False,False,0.06869140667460072
7,4,2006-07-31,2010-06-30,2010-07-31,2011-06-30,20,2,1,news_analyst_rating:1.30->1.20,0.06068140601730465,False,False,0.06869140667460072
7,5,2006-07-31,2010-06-30,2010-07-31,2011-06-30,20,2,1,news_analyst_rating:1.30->1.20,0.06068140601730465,False,False,0.06869140667460072
8,1,2008-07-31,2012-06-30,2012-07-31,2013-06-30,20,2,1,news_analyst_rating:1.30->1.40,-0.025374993056253348,True,True,-0.025374993056253348
8,2,2008-07-31,2012-06-30,2012-07-31,2013-06-30,20,2,1,news_analyst_rating:1.40->1.50,-0.0205243459633081,True,True,-0.0205243459633081
8,3,2008-07-31,2012-06-30,2012-07-31,2013-06-30,20,2,1,news_analyst_rating:1.50->1.60,-0.0037643266221583094,True,True,-0.0037643266221583094
8,4,2008-07-31,2012-06-30,2012-07-31,2013-06-30,20,2,0,,-0.0037643266221583094,False,False,-0.0037643266221583094
8,5,2008-07-31,2012-06-30,2012-07-31,2013-06-30,20,2,0,,-0.0037643266221583094,False,False,-0.0037643266221583094
9,1,2010-07-31,2014-06-30,2014-07-31,2015-06-30,20,1,1,news_analyst_rating:1.30->1.40,0.03166660750828143,True,True,0.03166660750828143
9,2,2010-07-31,2014-06-30,2014-07-31,2015-06-30,20,1,1,news_analyst_rating:1.40->1.50,0.03121832928774837,True,False,0.03166660750828143
9,3,2010-07-31,2014-06-30,2014-07-31,2015-06-30,20,1,0,,0.03166660750828143,False,False,0.03166660750828143
9,4,2010-07-31,2014-06-30,2014-07-31,2015-06-30,20,1,0,,0.03166660750828143,False,False,0.03166660750828143
9,5,2010-07-31,2014-06-30,2014-07-31,2015-06-30,20,1,0,,0.03166660750828143,False,False,0.03166660750828143
10,1,2012-07-31,2016-06-30,2016-07-31,2017-06-30,20,2,1,news_analyst_rating:1.30->1.40,-0.10222179766198769,False,False,-0.09365143738605752
10,2,2012-07-31,2016-06-30,2016-07-31,2017-06-30,20,2,1,news_analyst_rating:1.30->1.40,-0.10222179766198769,False,False,-0.09365143738605752
10,3,2012-07-31,2016-06-30,2016-07-31,2017-06-30,20,2,1,news_analyst_rating:1.30->1.40,-0.10222179766198769,False,False,-0.09365143738605752
10,4,2012-07-31,2016-06-30,2016-07-31,2017-06-30,20,2,1,news_analyst_rating:1.30->1.40,-0.10222179766198769,False,False,-0.09365143738605752
10,5,2012-07-31,2016-06-30,2016-07-31,2017-06-30,20,2,1,news_analyst_rating:1.30->1.40,-0.10222179766198769,False,False,-0.09365143738605752
11,1,2014-07-31,2018-06-30,2018-07-31,2019-06-30,20,2,1,news_analyst_rating:1.30->1.40,0.0771226812825423,True,False,0.07805972529304261
11,2,2014-07-31,2018-06-30,2018-07-31,2019-06-30,20,2,1,news_analyst_rating:1.40->1.50,0.08753760725661985,True,True,0.08753760725661985
11,3,2014-07-31,2018-06-30,2018-07-31,2019-06-30,20,2,1,news_analyst_rating:1.50->1.40,0.0771226812825423,False,False,0.08753760725661985
11,4,2014-07-31,2018-06-30,2018-07-31,2019-06-30,20,2,1,news_analyst_rating:1.50->1.40,0.0771226812825423,False,False,0.08753760725661985
11,5,2014-07-31,2018-06-30,2018-07-31,2019-06-30,20,2,1,news_analyst_rating:1.50->1.40,0.0771226812825423,False,False,0.08753760725661985
12,1,2016-07-31,2020-06-30,2020-07-31,2021-06-30,20,2,0,,-0.17749368318897618,False,False,-0.17749368318897618
12,2,2016-07-31,2020-06-30,2020-07-31,2021-06-30,20,2,0,,-0.17749368318897618,False,False,-0.17749368318897618
12,3,2016-07-31,2020-06-30,2020-07-31,2021-06-30,20,2,0,,-0.17749368318897618,False,False,-0.17749368318897618
12,4,2016-07-31,2020-06-30,2020-07-31,2021-06-30,20,2,0,,-0.17749368318897618,False,False,-0.17749368318897618
12,5,2016-07-31,2020-06-30,2020-07-31,2021-06-30,20,2,0,,-0.17749368318897618,False,False,-0.17749368318897618
13,1,2018-07-31,2022-06-30,2022-07-31,2023-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.012788810003529716,False,False,-0.007085407499916818
13,2,2018-07-31,2022-06-30,2022-07-31,2023-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.012788810003529716,False,False,-0.007085407499916818
13,3,2018-07-31,2022-06-30,2022-07-31,2023-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.012788810003529716,False,False,-0.007085407499916818
13,4,2018-07-31,2022-06-30,2022-07-31,2023-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.012788810003529716,False,False,-0.007085407499916818
13,5,2018-07-31,2022-06-30,2022-07-31,2023-06-30,20,2,1,news_analyst_rating:1.30->1.20,-0.012788810003529716,False,False,-0.007085407499916818
