table,identity,metric,rendered_value,numeric_value,native_pipeline_executed,native_result_regenerated,paper_result_credit
main_results_top40,CSI500/Alpha101 Adapted,Lasso IC,13.70,13.7,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,Lasso ICIR,\underline{1.08},1.08,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,XGB IC,\underline{13.76},13.76,False,False,False
main_results_top40,CSI500/Alpha101 Adapted,XGB ICIR,\underline{1.20},1.2,False,False,False
main_results_top40,CSI500/GPLearn,Library IC,\underline{6.04},6.04,False,False,False
main_results_top40,CSI500/GPLearn,Library ICIR,0.43,0.43,False,False,False
main_results_top40,CSI500/GPLearn,Avg abs rho,0.44,0.44,False,False,False
main_results_top40,CSI500/GPLearn,EW IC,10.30,10.3,False,False,False
main_results_top40,CSI500/GPLearn,EW ICIR,0.62,0.62,False,False,False
main_results_top40,CSI500/GPLearn,ICW IC,13.38,13.38,False,False,False
main_results_top40,CSI500/GPLearn,ICW ICIR,1.00,1.0,False,False,False
main_results_top40,CSI500/GPLearn,Lasso IC,12.44,12.44,False,False,False
main_results_top40,CSI500/GPLearn,Lasso ICIR,1.17,1.17,False,False,False
main_results_top40,CSI500/GPLearn,XGB IC,9.86,9.86,False,False,False
main_results_top40,CSI500/GPLearn,XGB ICIR,0.95,0.95,False,False,False
main_results_top40,CSI500/AlphaForge,Library IC,4.48,4.48,False,False,False
main_results_top40,CSI500/AlphaForge,Library ICIR,0.38,0.38,False,False,False
main_results_top40,CSI500/AlphaForge,Avg abs rho,0.36,0.36,False,False,False
main_results_top40,CSI500/AlphaForge,EW IC,7.12,7.12,False,False,False
main_results_top40,CSI500/AlphaForge,EW ICIR,0.60,0.6,False,False,False
main_results_top40,CSI500/AlphaForge,ICW IC,11.13,11.13,False,False,False
main_results_top40,CSI500/AlphaForge,ICW ICIR,0.93,0.93,False,False,False
main_results_top40,CSI500/AlphaForge,Lasso IC,10.49,10.49,False,False,False
main_results_top40,CSI500/AlphaForge,Lasso ICIR,0.87,0.87,False,False,False
main_results_top40,CSI500/AlphaForge,XGB IC,11.30,11.3,False,False,False
main_results_top40,CSI500/AlphaForge,XGB ICIR,1.25,1.25,False,False,False
main_results_top40,CSI500/AlphaAgent,Library IC,5.90,5.9,False,False,False
main_results_top40,CSI500/AlphaAgent,Library ICIR,\underline{0.46},0.46,False,False,False
main_results_top40,CSI500/AlphaAgent,Avg abs rho,0.32,0.32,False,False,False
main_results_top40,CSI500/AlphaAgent,EW IC,10.99,10.99,False,False,False
main_results_top40,CSI500/AlphaAgent,EW ICIR,\underline{0.92},0.92,False,False,False
main_results_top40,CSI500/AlphaAgent,ICW IC,11.86,11.86,False,False,False
main_results_top40,CSI500/AlphaAgent,ICW ICIR,0.99,0.99,False,False,False
main_results_top40,CSI500/AlphaAgent,Lasso IC,13.87,13.87,False,False,False
main_results_top40,CSI500/AlphaAgent,Lasso ICIR,\underline{1.19},1.19,False,False,False
main_results_top40,CSI500/AlphaAgent,XGB IC,11.93,11.93,False,False,False
main_results_top40,CSI500/AlphaAgent,XGB ICIR,\underline{1.24},1.24,False,False,False
main_results_top40,CSI500/FactorMiner,Library IC,\textbf{8.25},8.25,False,False,False
main_results_top40,CSI500/FactorMiner,Library ICIR,\textbf{0.77},0.77,False,False,False
main_results_top40,CSI500/FactorMiner,Avg abs rho,0.31,0.31,False,False,False
main_results_top40,CSI500/FactorMiner,EW IC,\textbf{14.95},14.95,False,False,False
main_results_top40,CSI500/FactorMiner,EW ICIR,\textbf{1.29},1.29,False,False,False
main_results_top40,CSI500/FactorMiner,ICW IC,\textbf{15.11},15.11,False,False,False
main_results_top40,CSI500/FactorMiner,ICW ICIR,\textbf{1.31},1.31,False,False,False
main_results_top40,CSI500/FactorMiner,Lasso IC,\textbf{14.59},14.59,False,False,False
main_results_top40,CSI500/FactorMiner,Lasso ICIR,1.21,1.21,False,False,False
main_results_top40,CSI500/FactorMiner,XGB IC,\textbf{14.03},14.03,False,False,False
main_results_top40,CSI500/FactorMiner,XGB ICIR,\textbf{1.29},1.29,False,False,False
main_results_top40,CSI1000/RF,Library IC,2.88,2.88,False,False,False
main_results_top40,CSI1000/RF,Library ICIR,0.30,0.3,False,False,False
main_results_top40,CSI1000/RF,Avg abs rho,\textbf{0.13},0.13,False,False,False
main_results_top40,CSI1000/RF,EW IC,7.48,7.48,False,False,False
main_results_top40,CSI1000/RF,EW ICIR,0.49,0.49,False,False,False
main_results_top40,CSI1000/RF,ICW IC,12.28,12.28,False,False,False
main_results_top40,CSI1000/RF,ICW ICIR,1.00,1.0,False,False,False
main_results_top40,CSI1000/RF,Lasso IC,13.72,13.72,False,False,False
main_results_top40,CSI1000/RF,Lasso ICIR,\underline{1.24},1.24,False,False,False
main_results_top40,CSI1000/RF,XGB IC,9.54,9.54,False,False,False
main_results_top40,CSI1000/RF,XGB ICIR,1.03,1.03,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,Library IC,4.86,4.86,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,Library ICIR,\textbf{0.50},0.5,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,Avg abs rho,\underline{0.19},0.19,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,EW IC,11.37,11.37,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,EW ICIR,1.02,1.02,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,ICW IC,13.14,13.14,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,ICW ICIR,1.08,1.08,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,Lasso IC,\textbf{14.64},14.64,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,Lasso ICIR,\textbf{1.42},1.42,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,XGB IC,11.11,11.11,False,False,False
main_results_top40,CSI1000/Alpha101 Classic,XGB ICIR,1.17,1.17,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,Library IC,5.32,5.32,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,Library ICIR,0.49,0.49,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,Avg abs rho,0.21,0.21,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,EW IC,\underline{11.95},11.95,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,EW ICIR,0.98,0.98,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,ICW IC,\textbf{14.78},14.78,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,ICW ICIR,\underline{1.21},1.21,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,Lasso IC,13.08,13.08,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,Lasso ICIR,1.09,1.09,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,XGB IC,\textbf{13.88},13.88,False,False,False
main_results_top40,CSI1000/Alpha101 Adapted,XGB ICIR,\underline{1.26},1.26,False,False,False
main_results_top40,CSI1000/GPLearn,Library IC,5.86,5.86,False,False,False
main_results_top40,CSI1000/GPLearn,Library ICIR,0.48,0.48,False,False,False
main_results_top40,CSI1000/GPLearn,Avg abs rho,0.44,0.44,False,False,False
main_results_top40,CSI1000/GPLearn,EW IC,11.10,11.1,False,False,False
main_results_top40,CSI1000/GPLearn,EW ICIR,0.73,0.73,False,False,False
main_results_top40,CSI1000/GPLearn,ICW IC,13.66,13.66,False,False,False
main_results_top40,CSI1000/GPLearn,ICW ICIR,1.11,1.11,False,False,False
main_results_top40,CSI1000/GPLearn,Lasso IC,12.87,12.87,False,False,False
main_results_top40,CSI1000/GPLearn,Lasso ICIR,1.23,1.23,False,False,False
main_results_top40,CSI1000/GPLearn,XGB IC,9.53,9.53,False,False,False
main_results_top40,CSI1000/GPLearn,XGB ICIR,0.96,0.96,False,False,False
main_results_top40,CSI1000/AlphaForge,Library IC,4.64,4.64,False,False,False
main_results_top40,CSI1000/AlphaForge,Library ICIR,0.42,0.42,False,False,False
main_results_top40,CSI1000/AlphaForge,Avg abs rho,0.35,0.35,False,False,False
main_results_top40,CSI1000/AlphaForge,EW IC,7.60,7.6,False,False,False
main_results_top40,CSI1000/AlphaForge,EW ICIR,0.71,0.71,False,False,False
main_results_top40,CSI1000/AlphaForge,ICW IC,11.25,11.25,False,False,False
main_results_top40,CSI1000/AlphaForge,ICW ICIR,1.02,1.02,False,False,False
main_results_top40,CSI1000/AlphaForge,Lasso IC,10.42,10.42,False,False,False
main_results_top40,CSI1000/AlphaForge,Lasso ICIR,0.93,0.93,False,False,False
main_results_top40,CSI1000/AlphaForge,XGB IC,12.20,12.2,False,False,False
main_results_top40,CSI1000/AlphaForge,XGB ICIR,\textbf{1.34},1.34,False,False,False
main_results_top40,CSI1000/AlphaAgent,Library IC,\underline{6.21},6.21,False,False,False
main_results_top40,CSI1000/AlphaAgent,Library ICIR,\underline{0.51},0.51,False,False,False
main_results_top40,CSI1000/AlphaAgent,Avg abs rho,0.32,0.32,False,False,False
main_results_top40,CSI1000/AlphaAgent,EW IC,11.17,11.17,False,False,False
main_results_top40,CSI1000/AlphaAgent,EW ICIR,\underline{1.04},1.04,False,False,False
main_results_top40,CSI1000/AlphaAgent,ICW IC,12.00,12.0,False,False,False
main_results_top40,CSI1000/AlphaAgent,ICW ICIR,1.12,1.12,False,False,False
main_results_top40,CSI1000/AlphaAgent,Lasso IC,13.73,13.73,False,False,False
main_results_top40,CSI1000/AlphaAgent,Lasso ICIR,\underline{1.27},1.27,False,False,False
main_results_top40,CSI1000/AlphaAgent,XGB IC,11.42,11.42,False,False,False
main_results_top40,CSI1000/AlphaAgent,XGB ICIR,\underline{1.22},1.22,False,False,False
main_results_top40,CSI1000/FactorMiner,Library IC,\textbf{7.78},7.78,False,False,False
main_results_top40,CSI1000/FactorMiner,Library ICIR,\textbf{0.76},0.76,False,False,False
main_results_top40,CSI1000/FactorMiner,Avg abs rho,0.30,0.3,False,False,False
main_results_top40,CSI1000/FactorMiner,EW IC,\textbf{14.62},14.62,False,False,False
main_results_top40,CSI1000/FactorMiner,EW ICIR,\textbf{1.37},1.37,False,False,False
main_results_top40,CSI1000/FactorMiner,ICW IC,\textbf{14.76},14.76,False,False,False
main_results_top40,CSI1000/FactorMiner,ICW ICIR,\textbf{1.39},1.39,False,False,False
main_results_top40,CSI1000/FactorMiner,Lasso IC,\underline{14.25},14.25,False,False,False
main_results_top40,CSI1000/FactorMiner,Lasso ICIR,\underline{1.25},1.25,False,False,False
main_results_top40,CSI1000/FactorMiner,XGB IC,\underline{12.42},12.42,False,False,False
main_results_top40,CSI1000/FactorMiner,XGB ICIR,\underline{1.30},1.3,False,False,False
main_results_top40,HS300/RF,Library IC,1.94,1.94,False,False,False
main_results_top40,HS300/RF,Library ICIR,0.15,0.15,False,False,False
main_results_top40,HS300/RF,Avg abs rho,\textbf{0.13},0.13,False,False,False
main_results_top40,HS300/RF,EW IC,5.46,5.46,False,False,False
main_results_top40,HS300/RF,EW ICIR,0.30,0.3,False,False,False
main_results_top40,HS300/RF,ICW IC,9.49,9.49,False,False,False
main_results_top40,HS300/RF,ICW ICIR,0.61,0.61,False,False,False
main_results_top40,HS300/RF,Lasso IC,9.98,9.98,False,False,False
main_results_top40,HS300/RF,Lasso ICIR,0.63,0.63,False,False,False
main_results_top40,HS300/RF,XGB IC,5.55,5.55,False,False,False
main_results_top40,HS300/RF,XGB ICIR,0.46,0.46,False,False,False
main_results_top40,HS300/Alpha101 Classic,Library IC,3.44,3.44,False,False,False
main_results_top40,HS300/Alpha101 Classic,Library ICIR,0.26,0.26,False,False,False
main_results_top40,HS300/Alpha101 Classic,Avg abs rho,\underline{0.18},0.18,False,False,False
main_results_top40,HS300/Alpha101 Classic,EW IC,8.55,8.55,False,False,False
main_results_top40,HS300/Alpha101 Classic,EW ICIR,0.57,0.57,False,False,False
main_results_top40,HS300/Alpha101 Classic,ICW IC,10.31,10.31,False,False,False
main_results_top40,HS300/Alpha101 Classic,ICW ICIR,0.65,0.65,False,False,False
main_results_top40,HS300/Alpha101 Classic,Lasso IC,11.84,11.84,False,False,False
main_results_top40,HS300/Alpha101 Classic,Lasso ICIR,0.85,0.85,False,False,False
main_results_top40,HS300/Alpha101 Classic,XGB IC,9.70,9.7,False,False,False
main_results_top40,HS300/Alpha101 Classic,XGB ICIR,0.74,0.74,False,False,False
main_results_top40,HS300/Alpha101 Adapted,Library IC,\underline{4.00},4.0,False,False,False
main_results_top40,HS300/Alpha101 Adapted,Library ICIR,0.28,0.28,False,False,False
main_results_top40,HS300/Alpha101 Adapted,Avg abs rho,0.20,0.2,False,False,False
main_results_top40,HS300/Alpha101 Adapted,EW IC,\underline{9.31},9.31,False,False,False
main_results_top40,HS300/Alpha101 Adapted,EW ICIR,0.60,0.6,False,False,False
main_results_top40,HS300/Alpha101 Adapted,ICW IC,\underline{12.03},12.03,False,False,False
main_results_top40,HS300/Alpha101 Adapted,ICW ICIR,\underline{0.76},0.76,False,False,False
main_results_top40,HS300/Alpha101 Adapted,Lasso IC,\underline{12.04},12.04,False,False,False
main_results_top40,HS300/Alpha101 Adapted,Lasso ICIR,\underline{0.77},0.77,False,False,False
main_results_top40,HS300/Alpha101 Adapted,XGB IC,\textbf{11.81},11.81,False,False,False
main_results_top40,HS300/Alpha101 Adapted,XGB ICIR,\underline{0.90},0.9,False,False,False
main_results_top40,HS300/GPLearn,Library IC,4.12,4.12,False,False,False
main_results_top40,HS300/GPLearn,Library ICIR,0.16,0.16,False,False,False
main_results_top40,HS300/GPLearn,Avg abs rho,0.45,0.45,False,False,False
main_results_top40,HS300/GPLearn,EW IC,8.01,8.01,False,False,False
main_results_top40,HS300/GPLearn,EW ICIR,0.44,0.44,False,False,False
main_results_top40,HS300/GPLearn,ICW IC,10.64,10.64,False,False,False
main_results_top40,HS300/GPLearn,ICW ICIR,0.66,0.66,False,False,False
main_results_top40,HS300/GPLearn,Lasso IC,9.59,9.59,False,False,False
main_results_top40,HS300/GPLearn,Lasso ICIR,0.58,0.58,False,False,False
main_results_top40,HS300/GPLearn,XGB IC,7.92,7.92,False,False,False
main_results_top40,HS300/GPLearn,XGB ICIR,0.61,0.61,False,False,False
main_results_top40,HS300/AlphaForge,Library IC,3.53,3.53,False,False,False
main_results_top40,HS300/AlphaForge,Library ICIR,0.25,0.25,False,False,False
main_results_top40,HS300/AlphaForge,Avg abs rho,0.36,0.36,False,False,False
main_results_top40,HS300/AlphaForge,EW IC,5.19,5.19,False,False,False
main_results_top40,HS300/AlphaForge,EW ICIR,0.35,0.35,False,False,False
main_results_top40,HS300/AlphaForge,ICW IC,8.54,8.54,False,False,False
main_results_top40,HS300/AlphaForge,ICW ICIR,0.57,0.57,False,False,False
main_results_top40,HS300/AlphaForge,Lasso IC,6.79,6.79,False,False,False
main_results_top40,HS300/AlphaForge,Lasso ICIR,0.43,0.43,False,False,False
main_results_top40,HS300/AlphaForge,XGB IC,10.89,10.89,False,False,False
main_results_top40,HS300/AlphaForge,XGB ICIR,0.91,0.91,False,False,False
main_results_top40,HS300/AlphaAgent,Library IC,\underline{4.69},4.69,False,False,False
main_results_top40,HS300/AlphaAgent,Library ICIR,\underline{0.30},0.3,False,False,False
main_results_top40,HS300/AlphaAgent,Avg abs rho,0.33,0.33,False,False,False
main_results_top40,HS300/AlphaAgent,EW IC,8.83,8.83,False,False,False
main_results_top40,HS300/AlphaAgent,EW ICIR,0.59,0.59,False,False,False
main_results_top40,HS300/AlphaAgent,ICW IC,9.65,9.65,False,False,False
main_results_top40,HS300/AlphaAgent,ICW ICIR,0.65,0.65,False,False,False
main_results_top40,HS300/AlphaAgent,Lasso IC,\textbf{12.26},12.26,False,False,False
main_results_top40,HS300/AlphaAgent,Lasso ICIR,\textbf{0.86},0.86,False,False,False
main_results_top40,HS300/AlphaAgent,XGB IC,9.66,9.66,False,False,False
main_results_top40,HS300/AlphaAgent,XGB ICIR,0.84,0.84,False,False,False
main_results_top40,HS300/FactorMiner,Library IC,\textbf{7.46},7.46,False,False,False
main_results_top40,HS300/FactorMiner,Library ICIR,\textbf{0.38},0.38,False,False,False
main_results_top40,HS300/FactorMiner,Avg abs rho,0.31,0.31,False,False,False
main_results_top40,HS300/FactorMiner,EW IC,\textbf{12.49},12.49,False,False,False
main_results_top40,HS300/FactorMiner,EW ICIR,\textbf{0.88},0.88,False,False,False
main_results_top40,HS300/FactorMiner,ICW IC,\textbf{12.66},12.66,False,False,False
main_results_top40,HS300/FactorMiner,ICW ICIR,\textbf{0.88},0.88,False,False,False
main_results_top40,HS300/FactorMiner,Lasso IC,11.23,11.23,False,False,False
main_results_top40,HS300/FactorMiner,Lasso ICIR,0.82,0.82,False,False,False
main_results_top40,HS300/FactorMiner,XGB IC,\underline{11.33},11.33,False,False,False
main_results_top40,HS300/FactorMiner,XGB ICIR,\underline{0.94},0.94,False,False,False
main_results_top40,Crypto/RF,Library IC,1.45,1.45,False,False,False
main_results_top40,Crypto/RF,Library ICIR,0.09,0.09,False,False,False
main_results_top40,Crypto/RF,Avg abs rho,\textbf{0.07},0.07,False,False,False
main_results_top40,Crypto/RF,EW IC,3.31,3.31,False,False,False
main_results_top40,Crypto/RF,EW ICIR,0.19,0.19,False,False,False
main_results_top40,Crypto/RF,ICW IC,7.91,7.91,False,False,False
main_results_top40,Crypto/RF,ICW ICIR,0.48,0.48,False,False,False
main_results_top40,Crypto/RF,Lasso IC,8.04,8.04,False,False,False
main_results_top40,Crypto/RF,Lasso ICIR,\underline{0.51},0.51,False,False,False
main_results_top40,Crypto/RF,XGB IC,3.50,3.5,False,False,False
main_results_top40,Crypto/RF,XGB ICIR,0.24,0.24,False,False,False
main_results_top40,Crypto/Alpha101 Classic,Library IC,2.11,2.11,False,False,False
main_results_top40,Crypto/Alpha101 Classic,Library ICIR,0.14,0.14,False,False,False
main_results_top40,Crypto/Alpha101 Classic,Avg abs rho,\underline{0.14},0.14,False,False,False
main_results_top40,Crypto/Alpha101 Classic,EW IC,5.91,5.91,False,False,False
main_results_top40,Crypto/Alpha101 Classic,EW ICIR,\underline{0.41},0.41,False,False,False
main_results_top40,Crypto/Alpha101 Classic,ICW IC,8.05,8.05,False,False,False
main_results_top40,Crypto/Alpha101 Classic,ICW ICIR,0.53,0.53,False,False,False
main_results_top40,Crypto/Alpha101 Classic,Lasso IC,\textbf{9.63},9.63,False,False,False
main_results_top40,Crypto/Alpha101 Classic,Lasso ICIR,\textbf{0.54},0.54,False,False,False
main_results_top40,Crypto/Alpha101 Classic,XGB IC,\underline{5.61},5.61,False,False,False
main_results_top40,Crypto/Alpha101 Classic,XGB ICIR,\underline{0.37},0.37,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,Library IC,2.40,2.4,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,Library ICIR,0.15,0.15,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,Avg abs rho,0.15,0.15,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,EW IC,6.09,6.09,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,EW ICIR,0.41,0.41,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,ICW IC,\underline{9.21},9.21,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,ICW ICIR,\textbf{0.62},0.62,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,Lasso IC,8.45,8.45,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,Lasso ICIR,0.48,0.48,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,XGB IC,4.51,4.51,False,False,False
main_results_top40,Crypto/Alpha101 Adapted,XGB ICIR,0.30,0.3,False,False,False
main_results_top40,Crypto/GPLearn,Library IC,2.50,2.5,False,False,False
main_results_top40,Crypto/GPLearn,Library ICIR,0.15,0.15,False,False,False
main_results_top40,Crypto/GPLearn,Avg abs rho,0.38,0.38,False,False,False
main_results_top40,Crypto/GPLearn,EW IC,4.44,4.44,False,False,False
main_results_top40,Crypto/GPLearn,EW ICIR,0.25,0.25,False,False,False
main_results_top40,Crypto/GPLearn,ICW IC,7.62,7.62,False,False,False
main_results_top40,Crypto/GPLearn,ICW ICIR,0.42,0.42,False,False,False
main_results_top40,Crypto/GPLearn,Lasso IC,\underline{9.07},9.07,False,False,False
main_results_top40,Crypto/GPLearn,Lasso ICIR,\underline{0.48},0.48,False,False,False
main_results_top40,Crypto/GPLearn,XGB IC,4.04,4.04,False,False,False
main_results_top40,Crypto/GPLearn,XGB ICIR,0.27,0.27,False,False,False
main_results_top40,Crypto/AlphaForge,Library IC,2.52,2.52,False,False,False
main_results_top40,Crypto/AlphaForge,Library ICIR,0.16,0.16,False,False,False
main_results_top40,Crypto/AlphaForge,Avg abs rho,0.31,0.31,False,False,False
main_results_top40,Crypto/AlphaForge,EW IC,4.63,4.63,False,False,False
main_results_top40,Crypto/AlphaForge,EW ICIR,0.29,0.29,False,False,False
main_results_top40,Crypto/AlphaForge,ICW IC,7.44,7.44,False,False,False
main_results_top40,Crypto/AlphaForge,ICW ICIR,0.44,0.44,False,False,False
main_results_top40,Crypto/AlphaForge,Lasso IC,8.39,8.39,False,False,False
main_results_top40,Crypto/AlphaForge,Lasso ICIR,0.42,0.42,False,False,False
main_results_top40,Crypto/AlphaForge,XGB IC,5.00,5.0,False,False,False
main_results_top40,Crypto/AlphaForge,XGB ICIR,0.33,0.33,False,False,False
main_results_top40,Crypto/AlphaAgent,Library IC,\underline{2.86},2.86,False,False,False
main_results_top40,Crypto/AlphaAgent,Library ICIR,\underline{0.17},0.17,False,False,False
main_results_top40,Crypto/AlphaAgent,Avg abs rho,0.27,0.27,False,False,False
main_results_top40,Crypto/AlphaAgent,EW IC,\underline{7.94},7.94,False,False,False
main_results_top40,Crypto/AlphaAgent,EW ICIR,0.34,0.34,False,False,False
main_results_top40,Crypto/AlphaAgent,ICW IC,\underline{8.40},8.4,False,False,False
main_results_top40,Crypto/AlphaAgent,ICW ICIR,0.36,0.36,False,False,False
main_results_top40,Crypto/AlphaAgent,Lasso IC,7.48,7.48,False,False,False
main_results_top40,Crypto/AlphaAgent,Lasso ICIR,0.41,0.41,False,False,False
main_results_top40,Crypto/AlphaAgent,XGB IC,2.35,2.35,False,False,False
main_results_top40,Crypto/AlphaAgent,XGB ICIR,0.17,0.17,False,False,False
main_results_top40,Crypto/FactorMiner,Library IC,\textbf{3.82},3.82,False,False,False
main_results_top40,Crypto/FactorMiner,Library ICIR,\textbf{0.28},0.28,False,False,False
main_results_top40,Crypto/FactorMiner,Avg abs rho,0.25,0.25,False,False,False
main_results_top40,Crypto/FactorMiner,EW IC,\textbf{9.48},9.48,False,False,False
main_results_top40,Crypto/FactorMiner,EW ICIR,\textbf{0.61},0.61,False,False,False
main_results_top40,Crypto/FactorMiner,ICW IC,\textbf{9.48},9.48,False,False,False
main_results_top40,Crypto/FactorMiner,ICW ICIR,\textbf{0.62},0.62,False,False,False
main_results_top40,Crypto/FactorMiner,Lasso IC,8.98,8.98,False,False,False
main_results_top40,Crypto/FactorMiner,Lasso ICIR,0.51,0.51,False,False,False
main_results_top40,Crypto/FactorMiner,XGB IC,\textbf{6.82},6.82,False,False,False
main_results_top40,Crypto/FactorMiner,XGB ICIR,\textbf{0.47},0.47,False,False,False
gpu_speedup,CsRank,CPU ms,93,93.0,False,False,False
gpu_speedup,CsRank,GPU ms,3.6,3.6,False,False,False
gpu_speedup,CsRank,Speedup,26,26.0,False,False,False
gpu_speedup,TsRank,CPU ms,97,97.0,False,False,False
gpu_speedup,TsRank,GPU ms,6.0,6.0,False,False,False
gpu_speedup,TsRank,Speedup,17,17.0,False,False,False
gpu_speedup,Rolling Corr,CPU ms,76,76.0,False,False,False
gpu_speedup,Rolling Corr,GPU ms,11,11.0,False,False,False
gpu_speedup,Rolling Corr,Speedup,6.8,6.8,False,False,False
gpu_speedup,Rolling Std,CPU ms,13,13.0,False,False,False
gpu_speedup,Rolling Std,GPU ms,3.4,3.4,False,False,False
gpu_speedup,Rolling Std,Speedup,3.7,3.7,False,False,False
gpu_speedup,TsDecay,CPU ms,45,45.0,False,False,False
gpu_speedup,TsDecay,GPU ms,5.0,5.0,False,False,False
gpu_speedup,TsDecay,Speedup,9,9.0,False,False,False
combination_110,IC Mean,Equal-Weight,0.1451,0.1451,False,False,False
combination_110,IC Mean,IC-Weighted,0.1496,0.1496,False,False,False
combination_110,IC Mean,Orthogonal,0.1400,0.14,False,False,False
combination_110,ICIR,Equal-Weight,1.2053,1.2053,False,False,False
combination_110,ICIR,IC-Weighted,1.2430,1.243,False,False,False
combination_110,ICIR,Orthogonal,1.1933,1.1933,False,False,False
combination_110,IC Win Rate,Equal-Weight,85.0%,85.0,False,False,False
combination_110,IC Win Rate,IC-Weighted,85.8%,85.8,False,False,False
combination_110,IC Win Rate,Orthogonal,84.8%,84.8,False,False,False
combination_110,Q1 Return,Equal-Weight,-0.0422%,-0.0422,False,False,False
combination_110,Q1 Return,IC-Weighted,-0.0441%,-0.0441,False,False,False
combination_110,Q1 Return,Orthogonal,-0.0406%,-0.0406,False,False,False
combination_110,Q5 Return,Equal-Weight,0.0603%,0.0603,False,False,False
combination_110,Q5 Return,IC-Weighted,0.0619%,0.0619,False,False,False
combination_110,Q5 Return,Orthogonal,0.0564%,0.0564,False,False,False
