formation_month,procedural_start,procedural_end,procedural_months,cvar_coverage,cvar_alerts,finite_scores,analyst_rankic__market,belief_weight__market,analyst_rankic__fundamental,belief_weight__fundamental,analyst_rankic__attention,belief_weight__attention,analyst_rankic__risk,belief_weight__risk
2010-06-30,2005-06-30,2010-05-31,60,867,34,792,0.008866024285673605,0.2503899299493357,0.028142404859060725,0.25422582900163265,-0.008295894206280388,0.24670677596548546,0.00987033143577251,0.24867746508354627
2010-07-31,2005-07-31,2010-06-30,60,875,6,797,0.009076174429493034,0.25035734850464914,0.025258529867415464,0.25425495652025076,-0.00972743931169126,0.246429528501584,0.007239059797883119,0.24895816647351615
2010-08-31,2005-08-31,2010-07-31,60,872,37,797,0.010231046609424643,0.25038017860295153,0.02618360324937038,0.25431021819164834,-0.013906431299473939,0.24594110740984243,0.010833044112370023,0.2493684957955577
2010-09-30,2005-09-30,2010-08-31,60,878,0,803,0.004474793635917342,0.2500788552256561,0.028596541598957075,0.25454728803710336,-0.013890182697170376,0.2456159700752968,0.011478105045296642,0.2497578866619437
2010-10-31,2005-10-31,2010-09-30,60,877,5,802,0.007116697843982295,0.249939007194047,0.030879061064785385,0.2547903765522526,-0.009843948170235765,0.2455427622046805,0.007590669204776516,0.24972785404901987
2010-11-30,2005-11-30,2010-10-31,60,878,4,804,0.007838477556765087,0.2498642835300435,0.03181368541656341,0.2550171851292474,-0.008734705829040885,0.24554129088599638,0.005774529523631991,0.24957724045471263
2010-12-31,2005-12-31,2010-11-30,60,881,0,809,0.0015734044917370172,0.24955617477415706,0.028520468874926364,0.2551185974904288,-0.00709355307286261,0.245777537674732,0.004894851053025149,0.24954769006068217
2011-01-31,2006-01-31,2010-12-31,60,880,8,806,-0.001782977597855957,0.24922939883233922,0.026137623747766337,0.2551584490554323,-0.009951327727000452,0.245890539506623,0.0062184269110373246,0.24972161260560555
2011-02-28,2006-02-28,2011-01-31,60,879,1,806,-0.00011319682204253626,0.2489535763954731,0.028476517194202737,0.2551994224296169,-0.004433275674264875,0.24618202882910917,0.005388763476651164,0.24966497234580087
2011-03-31,2006-03-31,2011-02-28,60,866,3,794,0.0008193737162302551,0.2488547124922253,0.028096780154499856,0.25525743155000996,-0.007474299417893402,0.24626281810352985,0.00462256352670821,0.2496250378542349
