paper_version,dataset,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,confidence,lookback,model,wealth_sha256,weights_sha256,repeat_paths_equal,source_grounded_mean_cvar_evidence,native_efs_evidence,paper_result_credit
v1,FF100,MDD,0.540,0.538814784529,0.539,False,0.95,60,ASMCVaR paper equations (1)-(3),01d3572b16e1dd2032c606b2c5de86758041baa42aacdf19380d09153950fbc3,9ea314d0dfc33506785a000ecf9b3ab06df1944ad0c9215012379d87e278b6e2,True,True,False,False
v1,FF100MEOP,CW,258.01,306.39862684,306.40,False,0.95,60,ASMCVaR paper equations (1)-(3),9dc12f3a1798e8141d2af850184e559c97ea9b2e39f75ed7c0b7b5ec5651f1d4,74abf1bd06a25b0703578db17c602c6c028a3142314aa19a054dfed27723898e,True,True,False,False
v1,FF100MEOP,SR,0.220,0.220373638145,0.220,True,0.95,60,ASMCVaR paper equations (1)-(3),9dc12f3a1798e8141d2af850184e559c97ea9b2e39f75ed7c0b7b5ec5651f1d4,74abf1bd06a25b0703578db17c602c6c028a3142314aa19a054dfed27723898e,True,True,False,True
v1,FF100MEOP,MDD,0.513,0.51327176091,0.513,True,0.95,60,ASMCVaR paper equations (1)-(3),9dc12f3a1798e8141d2af850184e559c97ea9b2e39f75ed7c0b7b5ec5651f1d4,74abf1bd06a25b0703578db17c602c6c028a3142314aa19a054dfed27723898e,True,True,False,True
v2,FF25,CW,387,333.413629283,333,False,0.95,60,ASMCVaR paper equations (1)-(3),d67f9f2924dea78f57cf19e57472d2e7e608b25f0fc68e10a9d9f02becba8f36,377800a385252eb197702dde67e70bfa55984bfddf613cf1ff3ae58f94cbe573,True,True,False,False
v2,FF25,SR,0.24,0.230475458767,0.23,False,0.95,60,ASMCVaR paper equations (1)-(3),d67f9f2924dea78f57cf19e57472d2e7e608b25f0fc68e10a9d9f02becba8f36,377800a385252eb197702dde67e70bfa55984bfddf613cf1ff3ae58f94cbe573,True,True,False,False
v2,FF25,MDD,0.54,0.542902657007,0.54,True,0.95,60,ASMCVaR paper equations (1)-(3),d67f9f2924dea78f57cf19e57472d2e7e608b25f0fc68e10a9d9f02becba8f36,377800a385252eb197702dde67e70bfa55984bfddf613cf1ff3ae58f94cbe573,True,True,False,True
v2,FF32,CW,290,331.135784155,331,False,0.95,60,ASMCVaR paper equations (1)-(3),56a148d0738c190905494023a12e0ef42a3ec52d9f21ac1a9b1606a9d3d58191,70c9fc77ab08480cf41698316fb8f947ede5894e30e75b10090c68c82e05d706,True,True,False,False
v2,FF32,SR,0.23,0.237530960415,0.24,False,0.95,60,ASMCVaR paper equations (1)-(3),56a148d0738c190905494023a12e0ef42a3ec52d9f21ac1a9b1606a9d3d58191,70c9fc77ab08480cf41698316fb8f947ede5894e30e75b10090c68c82e05d706,True,True,False,False
v2,FF32,MDD,0.51,0.500795011478,0.50,False,0.95,60,ASMCVaR paper equations (1)-(3),56a148d0738c190905494023a12e0ef42a3ec52d9f21ac1a9b1606a9d3d58191,70c9fc77ab08480cf41698316fb8f947ede5894e30e75b10090c68c82e05d706,True,True,False,False
v2,FF49,CW,208,150.146991542,150,False,0.95,60,ASMCVaR paper equations (1)-(3),533e6dc6edd46418775e2bd130447703e3e44b7672c9615d885abbd9854ce812,32bc30673ef4b94f27b527b7afa74ce1a982d096b3f5436b93163c51d158c2bb,True,True,False,False
v2,FF49,SR,0.25,0.221957556441,0.22,False,0.95,60,ASMCVaR paper equations (1)-(3),533e6dc6edd46418775e2bd130447703e3e44b7672c9615d885abbd9854ce812,32bc30673ef4b94f27b527b7afa74ce1a982d096b3f5436b93163c51d158c2bb,True,True,False,False
v2,FF49,MDD,0.41,0.485705497584,0.49,False,0.95,60,ASMCVaR paper equations (1)-(3),533e6dc6edd46418775e2bd130447703e3e44b7672c9615d885abbd9854ce812,32bc30673ef4b94f27b527b7afa74ce1a982d096b3f5436b93163c51d158c2bb,True,True,False,False
v2,FF100,CW,156,70.3146878418,70,False,0.95,60,ASMCVaR paper equations (1)-(3),01d3572b16e1dd2032c606b2c5de86758041baa42aacdf19380d09153950fbc3,9ea314d0dfc33506785a000ecf9b3ab06df1944ad0c9215012379d87e278b6e2,True,True,False,False
v2,FF100,SR,0.20,0.173831695551,0.17,False,0.95,60,ASMCVaR paper equations (1)-(3),01d3572b16e1dd2032c606b2c5de86758041baa42aacdf19380d09153950fbc3,9ea314d0dfc33506785a000ecf9b3ab06df1944ad0c9215012379d87e278b6e2,True,True,False,False
v2,FF100,MDD,0.54,0.538814784529,0.54,True,0.95,60,ASMCVaR paper equations (1)-(3),01d3572b16e1dd2032c606b2c5de86758041baa42aacdf19380d09153950fbc3,9ea314d0dfc33506785a000ecf9b3ab06df1944ad0c9215012379d87e278b6e2,True,True,False,True
