paper_version,dataset,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,source_commit,window,lambda,gamma,eta,zeta,octave_version,wthresh_compatibility,cw_sha256,weights_sha256,full_paths_repeat_equal,native_sspo_source_evidence,native_efs_evidence,paper_result_credit
v2,FF25,MDD,0.78,0.84560604786,0.85,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,dccdbe28c9b0e327a766a40b2542f56c6cbb22de1165cbaa59262c1daf70f98c,a3324763c1edd6a1da5993a4dfd4e5f75fa3b3d96c061585498e8f6d998e5779,True,True,False,False
v2,FF32,CW,15,12.0474741843,12,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,393e4395a418f9c34fdaf71fd2712d2bdbf3098fb933cb64d12051ae173a2642,f747e7bb82e331a9b8a5493e1b12599e5aeffb0529be0cd4cc508eabf951fc74,True,True,False,False
v2,FF32,SR,0.10,0.0934792990194,0.09,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,393e4395a418f9c34fdaf71fd2712d2bdbf3098fb933cb64d12051ae173a2642,f747e7bb82e331a9b8a5493e1b12599e5aeffb0529be0cd4cc508eabf951fc74,True,True,False,False
v2,FF32,MDD,0.73,0.684844123441,0.68,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,393e4395a418f9c34fdaf71fd2712d2bdbf3098fb933cb64d12051ae173a2642,f747e7bb82e331a9b8a5493e1b12599e5aeffb0529be0cd4cc508eabf951fc74,True,True,False,False
v2,FF49,CW,62,0.711220067807,1,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,814a5a7697ebf0d07fdcbd7a81aadc8f6a95a4ded626e0ce11ac26a130ce067b,1c41b42b3d0f047a515fb675d206ec68bad159cc70f12549fb153d64fc212ee2,True,True,False,False
v2,FF49,SR,0.11,0.0490571129253,0.05,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,814a5a7697ebf0d07fdcbd7a81aadc8f6a95a4ded626e0ce11ac26a130ce067b,1c41b42b3d0f047a515fb675d206ec68bad159cc70f12549fb153d64fc212ee2,True,True,False,False
v2,FF49,MDD,0.88,0.958705228818,0.96,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,814a5a7697ebf0d07fdcbd7a81aadc8f6a95a4ded626e0ce11ac26a130ce067b,1c41b42b3d0f047a515fb675d206ec68bad159cc70f12549fb153d64fc212ee2,True,True,False,False
v2,FF100,CW,1,0.987056872239,1,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,102badafe627be2d4fbd3cbeb5f1d3984c79705df0637f98722162ebb6a2db0f,755ba469e9b016a78f4a20c8667b9a6df633dca87e08e52cc70b4330b86302f0,True,True,False,True
v2,FF100,SR,0.05,0.0463404557787,0.05,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,102badafe627be2d4fbd3cbeb5f1d3984c79705df0637f98722162ebb6a2db0f,755ba469e9b016a78f4a20c8667b9a6df633dca87e08e52cc70b4330b86302f0,True,True,False,True
v2,FF100,MDD,0.82,0.858600264674,0.86,False,2fac74d5ca6a75476c69c04963830bb35a0e263b,5,0.5,0.01,0.005,500,9.2.0,exact_soft_threshold,102badafe627be2d4fbd3cbeb5f1d3984c79705df0637f98722162ebb6a2db0f,755ba469e9b016a78f4a20c8667b9a6df633dca87e08e52cc70b4330b86302f0,True,True,False,False
