paper_version,paper_table,row_index,row_label,result_position,dataset,metric,paper_value,cited_baseline_recomputed_value,cited_baseline_match_at_paper_precision,native_efs_result_credit,paper_result_credit,version_lineage_status
v1,benchmark,6,mSSRM-PGA,4,FF32,SR,0.249,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,5,FF32,MDD,0.550,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,6,FF49,CW,168.990,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,7,FF49,SR,0.222,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,8,FF49,MDD,0.445,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,9,FF100,CW,379.390,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,10,FF100,SR,0.216,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,11,FF100,MDD,0.582,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,12,FF100MEOP,CW,305.860,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,13,FF100MEOP,SR,0.222,,False,False,False,version_specific_result
v1,benchmark,6,mSSRM-PGA,14,FF100MEOP,MDD,0.498,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,0,FF25,CW,638.190,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,1,FF25,SR,0.252,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,2,FF25,MDD,0.481,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,3,FF32,CW,670.400,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,4,FF32,SR,0.244,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,5,FF32,MDD,0.452,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,6,FF49,CW,409.180,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,7,FF49,SR,0.224,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,8,FF49,MDD,0.471,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,9,FF100,CW,491.120,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,10,FF100,SR,0.228,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,11,FF100,MDD,0.524,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,12,FF100MEOP,CW,405.380,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,13,FF100MEOP,SR,0.220,,False,False,False,version_specific_result
v1,benchmark,7,ASMCVaR,14,FF100MEOP,MDD,0.502,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,0,FF25,CW,639.660,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,1,FF25,SR,0.251,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,2,FF25,MDD,0.509,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,3,FF32,CW,923.520,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,4,FF32,SR,0.244,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,5,FF32,MDD,0.532,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,6,FF49,CW,692.910,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,7,FF49,SR,0.228,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,8,FF49,MDD,0.532,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,9,FF100,CW,1232.860,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,10,FF100,SR,0.238,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,11,FF100,MDD,0.547,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,12,FF100MEOP,CW,342.660,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,13,FF100MEOP,SR,0.201,,False,False,False,version_specific_result
v1,benchmark,8,EFS-DeepSeek,14,FF100MEOP,MDD,0.517,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,0,FF25,CW,1064.560,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,1,FF25,SR,0.254,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,2,FF25,MDD,0.495,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,3,FF32,CW,797.710,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,4,FF32,SR,0.233,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,5,FF32,MDD,0.538,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,6,FF49,CW,441.480,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,7,FF49,SR,0.187,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,8,FF49,MDD,0.589,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,9,FF100,CW,1464.970,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,10,FF100,SR,0.240,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,11,FF100,MDD,0.454,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,12,FF100MEOP,CW,359.860,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,13,FF100MEOP,SR,0.201,,False,False,False,version_specific_result
v1,benchmark,9,+ Scores to Weights,14,FF100MEOP,MDD,0.524,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,0,FF25,CW,708.340,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,1,FF25,SR,0.255,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,2,FF25,MDD,0.498,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,3,FF32,CW,613.920,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,4,FF32,SR,0.232,,False,False,False,version_specific_result
v1,benchmark,10,EFS-GPT 4.1,5,FF32,MDD,0.535,,False,False,False,version_specific_result
