v2_row_index,dataset,metric,v1_value,v1_value_at_v2_precision,v2_value,same_at_v2_precision,method_semantics_relabelled,status,native_reproduction_credit
3,FF32,SR,0.251,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
3,FF32,MDD,0.552,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
3,FF49,CW,210.94,211,211,True,False,rounded_v1_value_carried_into_v2,False
3,FF49,SR,0.234,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
3,FF49,MDD,0.419,0.42,0.42,True,False,rounded_v1_value_carried_into_v2,False
3,FF100,CW,386.86,387,387,True,False,rounded_v1_value_carried_into_v2,False
3,FF100,SR,0.223,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
3,FF100,MDD,0.570,0.57,0.57,True,False,rounded_v1_value_carried_into_v2,False
4,FF25,CW,281.49,281,281,True,False,rounded_v1_value_carried_into_v2,False
4,FF25,SR,0.217,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
4,FF25,MDD,0.559,0.56,0.56,True,False,rounded_v1_value_carried_into_v2,False
4,FF32,CW,530.49,530,530,True,False,rounded_v1_value_carried_into_v2,False
4,FF32,SR,0.226,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
4,FF32,MDD,0.552,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
4,FF49,CW,169.18,169,169,True,False,rounded_v1_value_carried_into_v2,False
4,FF49,SR,0.189,0.19,0.19,True,False,rounded_v1_value_carried_into_v2,False
4,FF49,MDD,0.588,0.59,0.59,True,False,rounded_v1_value_carried_into_v2,False
4,FF100,CW,216.81,217,217,True,False,rounded_v1_value_carried_into_v2,False
4,FF100,SR,0.189,0.19,0.19,True,False,rounded_v1_value_carried_into_v2,False
4,FF100,MDD,0.484,0.48,0.48,True,False,rounded_v1_value_carried_into_v2,False
5,FF25,CW,292.22,292,292,True,False,rounded_v1_value_carried_into_v2,False
5,FF25,SR,0.220,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
5,FF25,MDD,0.523,0.52,0.52,True,False,rounded_v1_value_carried_into_v2,False
5,FF32,CW,551.77,552,552,True,False,rounded_v1_value_carried_into_v2,False
5,FF32,SR,0.225,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
5,FF32,MDD,0.537,0.54,0.54,True,False,rounded_v1_value_carried_into_v2,False
5,FF49,CW,354.46,354,354,True,False,rounded_v1_value_carried_into_v2,False
5,FF49,SR,0.206,0.21,0.21,True,False,rounded_v1_value_carried_into_v2,False
5,FF49,MDD,0.525,0.53,0.53,True,False,rounded_v1_value_carried_into_v2,False
5,FF100,CW,392.18,392,392,True,False,rounded_v1_value_carried_into_v2,False
5,FF100,SR,0.200,0.20,0.20,True,False,rounded_v1_value_carried_into_v2,False
5,FF100,MDD,0.496,0.50,0.50,True,False,rounded_v1_value_carried_into_v2,False
6,FF25,CW,606.840,607,607,True,False,rounded_v1_value_carried_into_v2,False
6,FF25,SR,0.241,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
6,FF25,MDD,0.583,0.58,0.58,True,False,rounded_v1_value_carried_into_v2,False
6,FF32,CW,748.590,749,749,True,False,rounded_v1_value_carried_into_v2,False
6,FF32,SR,0.249,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
6,FF32,MDD,0.550,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
6,FF49,CW,168.990,169,169,True,False,rounded_v1_value_carried_into_v2,False
6,FF49,SR,0.222,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
6,FF49,MDD,0.445,0.45,0.45,True,False,rounded_v1_value_carried_into_v2,False
6,FF100,CW,379.390,379,379,True,False,rounded_v1_value_carried_into_v2,False
6,FF100,SR,0.216,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
6,FF100,MDD,0.582,0.58,0.58,True,False,rounded_v1_value_carried_into_v2,False
7,FF25,CW,638.190,638,638,True,False,rounded_v1_value_carried_into_v2,False
7,FF25,SR,0.252,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
7,FF25,MDD,0.481,0.48,0.48,True,False,rounded_v1_value_carried_into_v2,False
7,FF32,CW,670.400,670,670,True,False,rounded_v1_value_carried_into_v2,False
7,FF32,SR,0.244,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
7,FF32,MDD,0.452,0.45,0.45,True,False,rounded_v1_value_carried_into_v2,False
7,FF49,CW,409.180,409,409,True,False,rounded_v1_value_carried_into_v2,False
7,FF49,SR,0.224,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
7,FF49,MDD,0.471,0.47,0.47,True,False,rounded_v1_value_carried_into_v2,False
7,FF100,CW,491.120,491,491,True,False,rounded_v1_value_carried_into_v2,False
7,FF100,SR,0.228,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
7,FF100,MDD,0.524,0.52,0.52,True,False,rounded_v1_value_carried_into_v2,False
8,FF25,CW,639.660,640,640,True,False,rounded_v1_value_carried_into_v2,False
8,FF25,SR,0.251,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
8,FF25,MDD,0.509,0.51,0.51,True,False,rounded_v1_value_carried_into_v2,False
8,FF32,CW,923.520,924,924,True,False,rounded_v1_value_carried_into_v2,False
8,FF32,SR,0.244,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
8,FF32,MDD,0.532,0.53,0.53,True,False,rounded_v1_value_carried_into_v2,False
8,FF49,CW,692.910,693,693,True,False,rounded_v1_value_carried_into_v2,False
8,FF49,SR,0.228,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
8,FF49,MDD,0.532,0.53,0.53,True,False,rounded_v1_value_carried_into_v2,False
8,FF100,CW,1232.860,1233,1233,True,False,rounded_v1_value_carried_into_v2,False
8,FF100,SR,0.238,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
8,FF100,MDD,0.547,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
9,FF25,CW,1064.560,1065,1065,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF25,SR,0.254,0.25,0.25,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF25,MDD,0.495,0.50,0.50,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF32,CW,797.710,798,798,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF32,SR,0.233,0.23,0.23,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF32,MDD,0.538,0.54,0.54,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF49,CW,441.480,441,441,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF49,SR,0.187,0.19,0.19,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF49,MDD,0.589,0.59,0.59,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF100,CW,1464.970,1465,1465,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF100,SR,0.240,0.24,0.24,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
9,FF100,MDD,0.454,0.45,0.45,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
10,FF25,CW,708.340,708,708,True,False,rounded_v1_value_carried_into_v2,False
10,FF25,SR,0.255,0.26,0.26,True,False,rounded_v1_value_carried_into_v2,False
10,FF25,MDD,0.498,0.50,0.50,True,False,rounded_v1_value_carried_into_v2,False
10,FF32,CW,613.920,614,614,True,False,rounded_v1_value_carried_into_v2,False
10,FF32,SR,0.232,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
10,FF32,MDD,0.535,0.54,0.54,True,False,rounded_v1_value_carried_into_v2,False
10,FF49,CW,565.070,565,565,True,False,rounded_v1_value_carried_into_v2,False
10,FF49,SR,0.222,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
10,FF49,MDD,0.537,0.54,0.54,True,False,rounded_v1_value_carried_into_v2,False
10,FF100,CW,1836.340,1836,1836,True,False,rounded_v1_value_carried_into_v2,False
10,FF100,SR,0.253,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
10,FF100,MDD,0.486,0.49,0.49,True,False,rounded_v1_value_carried_into_v2,False
11,FF25,CW,1408.440,1408,1408,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF25,SR,0.273,0.27,0.27,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF25,MDD,0.498,0.50,0.50,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF32,CW,847.350,847,847,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF32,SR,0.234,0.23,0.23,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF32,MDD,0.498,0.50,0.50,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF49,CW,593.180,593,593,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF49,SR,0.200,0.20,0.20,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF49,MDD,0.609,0.61,0.61,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF100,CW,2434.510,2435,2435,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF100,SR,0.257,0.26,0.26,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
11,FF100,MDD,0.511,0.51,0.51,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
12,FF25,CW,312.50,313,313,True,False,rounded_v1_value_carried_into_v2,False
12,FF25,SR,0.221,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
12,FF25,MDD,0.550,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
12,FF32,CW,541.42,541,541,True,False,rounded_v1_value_carried_into_v2,False
12,FF32,SR,0.229,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
12,FF32,MDD,0.552,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
12,FF49,CW,194.64,195,195,True,False,rounded_v1_value_carried_into_v2,False
12,FF49,SR,0.196,0.20,0.20,True,False,rounded_v1_value_carried_into_v2,False
12,FF49,MDD,0.593,0.59,0.59,True,False,rounded_v1_value_carried_into_v2,False
12,FF100,CW,223.94,224,224,True,False,rounded_v1_value_carried_into_v2,False
12,FF100,SR,0.191,0.19,0.19,True,False,rounded_v1_value_carried_into_v2,False
12,FF100,MDD,0.492,0.49,0.49,True,False,rounded_v1_value_carried_into_v2,False
13,FF25,CW,308.41,308,308,True,False,rounded_v1_value_carried_into_v2,False
13,FF25,SR,0.223,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
13,FF25,MDD,0.527,0.53,0.53,True,False,rounded_v1_value_carried_into_v2,False
13,FF32,CW,491.32,491,491,True,False,rounded_v1_value_carried_into_v2,False
13,FF32,SR,0.223,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
13,FF32,MDD,0.554,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
13,FF49,CW,377.05,377,377,True,False,rounded_v1_value_carried_into_v2,False
13,FF49,SR,0.214,0.21,0.21,True,False,rounded_v1_value_carried_into_v2,False
13,FF49,MDD,0.518,0.52,0.52,True,False,rounded_v1_value_carried_into_v2,False
13,FF100,CW,364.16,364,364,True,False,rounded_v1_value_carried_into_v2,False
13,FF100,SR,0.201,0.20,0.20,True,False,rounded_v1_value_carried_into_v2,False
13,FF100,MDD,0.516,0.52,0.52,True,False,rounded_v1_value_carried_into_v2,False
14,FF25,CW,601.250,601,601,True,False,rounded_v1_value_carried_into_v2,False
14,FF25,SR,0.240,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
14,FF25,MDD,0.583,0.58,0.58,True,False,rounded_v1_value_carried_into_v2,False
14,FF32,CW,744.910,745,745,True,False,rounded_v1_value_carried_into_v2,False
14,FF32,SR,0.249,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
14,FF32,MDD,0.550,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
14,FF49,CW,171.950,172,172,True,False,rounded_v1_value_carried_into_v2,False
14,FF49,SR,0.223,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
14,FF49,MDD,0.445,0.45,0.45,True,False,rounded_v1_value_carried_into_v2,False
14,FF100,CW,415.540,416,416,True,False,rounded_v1_value_carried_into_v2,False
14,FF100,SR,0.222,0.22,0.22,True,False,rounded_v1_value_carried_into_v2,False
14,FF100,MDD,0.573,0.57,0.57,True,False,rounded_v1_value_carried_into_v2,False
15,FF25,CW,676.350,676,676,True,False,rounded_v1_value_carried_into_v2,False
15,FF25,SR,0.252,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
15,FF25,MDD,0.500,0.50,0.50,True,False,rounded_v1_value_carried_into_v2,False
15,FF32,CW,690.990,691,691,True,False,rounded_v1_value_carried_into_v2,False
15,FF32,SR,0.243,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
15,FF32,MDD,0.466,0.47,0.47,True,False,rounded_v1_value_carried_into_v2,False
15,FF49,CW,526.840,527,527,True,False,rounded_v1_value_carried_into_v2,False
15,FF49,SR,0.235,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
15,FF49,MDD,0.453,0.45,0.45,True,False,rounded_v1_value_carried_into_v2,False
15,FF100,CW,523.490,523,523,True,False,rounded_v1_value_carried_into_v2,False
15,FF100,SR,0.230,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
15,FF100,MDD,0.526,0.53,0.53,True,False,rounded_v1_value_carried_into_v2,False
16,FF25,CW,546.030,546,546,True,False,rounded_v1_value_carried_into_v2,False
16,FF25,SR,0.246,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
16,FF25,MDD,0.507,0.51,0.51,True,False,rounded_v1_value_carried_into_v2,False
16,FF32,CW,715.550,716,716,True,False,rounded_v1_value_carried_into_v2,False
16,FF32,SR,0.239,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
16,FF32,MDD,0.535,0.54,0.54,True,False,rounded_v1_value_carried_into_v2,False
16,FF49,CW,586.140,586,586,True,False,rounded_v1_value_carried_into_v2,False
16,FF49,SR,0.231,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
16,FF49,MDD,0.505,0.51,0.51,True,False,rounded_v1_value_carried_into_v2,False
16,FF100,CW,983.840,984,984,True,False,rounded_v1_value_carried_into_v2,False
16,FF100,SR,0.233,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
16,FF100,MDD,0.549,0.55,0.55,True,False,rounded_v1_value_carried_into_v2,False
17,FF25,CW,1049.530,1050,1050,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF25,SR,0.254,0.25,0.25,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF25,MDD,0.496,0.50,0.50,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF32,CW,735.640,736,736,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF32,SR,0.231,0.23,0.23,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF32,MDD,0.537,0.54,0.54,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF49,CW,427.200,427,427,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF49,SR,0.187,0.19,0.19,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF49,MDD,0.580,0.58,0.58,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF100,CW,1353.380,1353,1353,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF100,SR,0.239,0.24,0.24,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
17,FF100,MDD,0.453,0.45,0.45,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
18,FF25,CW,530.260,530,530,True,False,rounded_v1_value_carried_into_v2,False
18,FF25,SR,0.246,0.25,0.25,True,False,rounded_v1_value_carried_into_v2,False
18,FF25,MDD,0.520,0.52,0.52,True,False,rounded_v1_value_carried_into_v2,False
18,FF32,CW,608.880,609,609,True,False,rounded_v1_value_carried_into_v2,False
18,FF32,SR,0.234,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
18,FF32,MDD,0.529,0.53,0.53,True,False,rounded_v1_value_carried_into_v2,False
18,FF49,CW,533.610,534,534,True,False,rounded_v1_value_carried_into_v2,False
18,FF49,SR,0.228,0.23,0.23,True,False,rounded_v1_value_carried_into_v2,False
18,FF49,MDD,0.500,0.50,0.50,True,False,rounded_v1_value_carried_into_v2,False
18,FF100,CW,1289.850,1290,1290,True,False,rounded_v1_value_carried_into_v2,False
18,FF100,SR,0.244,0.24,0.24,True,False,rounded_v1_value_carried_into_v2,False
18,FF100,MDD,0.504,0.50,0.50,True,False,rounded_v1_value_carried_into_v2,False
19,FF25,CW,1364.540,1365,1365,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF25,SR,0.272,0.27,0.27,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF25,MDD,0.497,0.50,0.50,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF32,CW,840.140,840,840,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF32,SR,0.234,0.23,0.23,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF32,MDD,0.498,0.50,0.50,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF49,CW,638.790,639,639,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF49,SR,0.203,0.20,0.20,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF49,MDD,0.602,0.60,0.60,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF100,CW,2060.590,2061,2061,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF100,SR,0.254,0.25,0.25,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
19,FF100,MDD,0.513,0.51,0.51,True,True,v1_scores_to_asset_weights_relabelled_as_v2_RMT_QP_factor_weights_same_rounded_value,False
