paper_version,table_family,paper_table,asset,method,metric,paper_value,official_tex_value_verified,author_rendered_correspondence,author_rendered_evidence_sha256,author_correspondence_status,independently_regenerated_from_native_result_path,paper_result_credit
v1,original_4h,4h_performance_v1_v2,CL,Our,rmin,-1.202,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,CL,Our,rsim,-0.133,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Baseline,accuracy_pct,49.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Baseline,rcc,-0.096,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Baseline,rmax,0.77,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Baseline,rmin,-0.792,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Baseline,rsim,-0.131,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Our,accuracy_pct,51.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Our,delta_accuracy_pct,4.1,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Our,rcc,0.159,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Our,rmax,0.804,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Our,rmin,-0.758,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,DJI,Our,rsim,0.121,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Baseline,accuracy_pct,41.3,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Baseline,rcc,0.006,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Baseline,rmax,0.56,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Baseline,rmin,-0.539,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Baseline,rsim,0.006,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Our,accuracy_pct,55.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Our,delta_accuracy_pct,33.2,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Our,rcc,0.179,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Our,rmax,0.613,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Our,rmin,-0.485,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,ES,Our,rsim,0.179,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Baseline,accuracy_pct,47.7,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Baseline,rcc,0.018,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Baseline,rmax,0.502,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Baseline,rmin,-0.449,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Baseline,rsim,0.018,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Our,accuracy_pct,51.3,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Our,delta_accuracy_pct,8.4,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Our,rcc,0.727,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Our,rmax,0.517,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Our,rmin,-0.434,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,GC,Our,rsim,0.027,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Baseline,accuracy_pct,41.3,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Baseline,rcc,-0.033,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Baseline,rmax,0.717,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Baseline,rmin,-0.736,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Baseline,rsim,-0.033,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Our,accuracy_pct,53.3,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Our,delta_accuracy_pct,29.1,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Our,rcc,0.078,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Our,rmax,0.747,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Our,rmin,-0.705,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,NQ,Our,rsim,0.078,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Baseline,accuracy_pct,39.7,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Baseline,rcc,-0.265,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Baseline,rmax,0.966,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Baseline,rmin,-1.038,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Baseline,rsim,-0.252,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Our,accuracy_pct,59.7,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Our,delta_accuracy_pct,50.4,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Our,rcc,0.189,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Our,rmax,1.052,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Our,rmin,-0.952,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,QQQ,Our,rsim,0.193,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Baseline,accuracy_pct,39.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Baseline,rcc,-0.108,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Baseline,rmax,0.789,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Baseline,rmin,-0.846,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Baseline,rsim,-0.09,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Our,accuracy_pct,62.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Our,delta_accuracy_pct,59.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Our,rcc,0.207,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Our,rmax,0.917,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Our,rmin,-0.717,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v1,original_4h,4h_performance_v1_v2,SPX,Our,rsim,0.197,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Baseline,accuracy_pct,44.3,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Baseline,rcc,-0.259,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Baseline,rmax,1.115,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Baseline,rmin,-1.366,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Baseline,rsim,-0.277,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Our,accuracy_pct,50.7,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Our,delta_accuracy_pct,14.5,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Our,rcc,0.081,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Our,rmax,1.232,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Our,rmin,-1.249,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,BTC,Our,rsim,0.004,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Baseline,accuracy_pct,49.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Baseline,rcc,-0.312,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Baseline,rmax,0.999,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Baseline,rmin,-1.384,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Baseline,rsim,-0.255,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Our,accuracy_pct,57.7,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Our,delta_accuracy_pct,17.8,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Our,rcc,-0.195,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Our,rmax,1.181,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Our,rmin,-1.202,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,CL,Our,rsim,-0.133,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Baseline,accuracy_pct,49.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Baseline,rcc,-0.096,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Baseline,rmax,0.77,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Baseline,rmin,-0.792,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Baseline,rsim,-0.131,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Our,accuracy_pct,51.0,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Our,delta_accuracy_pct,4.1,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Our,rcc,0.159,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Our,rmax,0.804,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Our,rmin,-0.758,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,DJI,Our,rsim,0.121,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
v2,original_4h,4h_performance_v1_v2,ES,Baseline,accuracy_pct,41.3,True,True,98a7feda2777c674fa7ded15e8d165f1058a4f063cf5caa314e63c906f6122eb,complete_manual_visual_correspondence_to_pinned_author_raster,False,False
