formation_month,pretraining_start,pretraining_end,pretraining_months,pretraining_observations,hybrid_feature_count,stock_report_coverage,finite_scores,coefficient_norm
2005-10-31,1995-10-31,2005-09-30,120,90386,23,986,813,0.16953367909765318
2005-11-30,1995-11-30,2005-10-31,120,90462,23,986,818,0.1754446763685092
2005-12-31,1995-12-31,2005-11-30,120,90547,23,987,822,0.17513061276540087
2006-01-31,1996-01-31,2005-12-31,120,90625,23,983,819,0.18664955296753008
2006-02-28,1996-02-29,2006-01-31,120,90705,23,987,820,0.18384581987035253
2006-03-31,1996-03-31,2006-02-28,120,90786,23,984,823,0.18622383314243626
2006-04-30,1996-04-30,2006-03-31,120,90863,23,987,817,0.18014770825180443
2006-05-31,1996-05-31,2006-04-30,120,90939,23,977,813,0.17161097582540713
2006-06-30,1996-06-30,2006-05-31,120,91010,23,978,813,0.17718618445916756
2006-07-31,1996-07-31,2006-06-30,120,91084,23,986,815,0.17317719266012818
2006-08-31,1996-08-31,2006-07-31,120,91164,23,985,821,0.15793927844863206
2006-09-30,1996-09-30,2006-08-31,120,91240,23,984,814,0.15515820900311394
2006-10-31,1996-10-31,2006-09-30,120,91306,23,982,813,0.15936701085094235
2006-11-30,1996-11-30,2006-10-31,120,91377,23,975,806,0.1520766528357644
2006-12-31,1996-12-31,2006-11-30,120,91438,23,978,806,0.15704462770370745
2007-01-31,1997-01-31,2006-12-31,120,91502,23,979,815,0.15417189796167946
2007-02-28,1997-02-28,2007-01-31,120,91576,23,983,822,0.16741677101516592
2007-03-31,1997-03-31,2007-02-28,120,91655,23,983,824,0.17898060492308931
2007-04-30,1997-04-30,2007-03-31,120,91726,23,974,808,0.1781775645964989
2007-05-31,1997-05-31,2007-04-30,120,91788,23,984,813,0.15866153486525117
2007-06-30,1997-06-30,2007-05-31,120,91845,23,983,817,0.158652218104702
2007-07-31,1997-07-31,2007-06-30,120,91916,23,976,818,0.14609765535752148
2007-08-31,1997-08-31,2007-07-31,120,91984,23,976,815,0.14357190526209623
2007-09-30,1997-09-30,2007-08-31,120,92058,23,984,820,0.15179804308652034
2007-10-31,1997-10-31,2007-09-30,120,92127,23,981,817,0.15841004108195325
2007-11-30,1997-11-30,2007-10-31,120,92193,23,970,805,0.15625134970953192
2007-12-31,1997-12-31,2007-11-30,120,92253,23,978,812,0.16127181166273521
2008-01-31,1998-01-31,2007-12-31,120,92328,23,983,819,0.1512635594302407
2008-02-29,1998-02-28,2008-01-31,120,92400,23,983,818,0.15169406392270351
2008-03-31,1998-03-31,2008-02-29,120,92472,23,982,814,0.1523193563619198
2008-04-30,1998-04-30,2008-03-31,120,92549,23,981,820,0.15277049617017804
2008-05-31,1998-05-31,2008-04-30,120,92632,23,983,820,0.15381741892924572
2008-06-30,1998-06-30,2008-05-31,120,92720,23,982,822,0.14113978756207352
2008-07-31,1998-07-31,2008-06-30,120,92824,23,979,822,0.15269914508558535
2008-08-31,1998-08-31,2008-07-31,120,92920,23,983,828,0.24243510690031625
2008-09-30,1998-09-30,2008-08-31,120,93014,23,981,820,0.2937151368272399
2008-10-31,1998-10-31,2008-09-30,120,93104,23,985,821,0.3595785524495324
2008-11-30,1998-11-30,2008-10-31,120,93186,23,983,821,0.4209079762050003
2008-12-31,1998-12-31,2008-11-30,120,93262,23,986,822,0.3523490005264326
2009-01-31,1999-01-31,2008-12-31,120,93343,23,988,840,0.3866747216041737
2009-02-28,1999-02-28,2009-01-31,120,93450,23,988,849,0.4933557798724063
2009-03-31,1999-03-31,2009-02-28,120,93573,23,992,844,0.40042024888766115
2009-04-30,1999-04-30,2009-03-31,120,93708,23,994,844,0.3616786282131542
2009-05-31,1999-05-31,2009-04-30,120,93835,23,998,851,0.3702374463875507
2009-06-30,1999-06-30,2009-05-31,120,93967,23,997,851,0.37374112770498735
2009-07-31,1999-07-31,2009-06-30,120,94112,23,997,853,0.4043858712586781
2009-08-31,1999-08-31,2009-07-31,120,94248,23,995,852,0.413863856330643
2009-09-30,1999-09-30,2009-08-31,120,94386,23,991,852,0.42340906656025173
2009-10-31,1999-10-31,2009-09-30,120,94526,23,986,856,0.4253190743684057
2009-11-30,1999-11-30,2009-10-31,120,94684,23,986,851,0.4365785279626427
2009-12-31,1999-12-31,2009-11-30,120,94860,23,981,846,0.43314527016886567
2010-01-31,2000-01-31,2009-12-31,120,95028,23,981,845,0.5265168364528539
2010-02-28,2000-02-29,2010-01-31,120,95202,23,977,843,0.6401331987029458
2010-03-31,2000-03-31,2010-02-28,120,95390,23,977,844,0.5181045435956027
2010-04-30,2000-04-30,2010-03-31,120,95570,23,983,846,0.5089166467255883
2010-05-31,2000-05-31,2010-04-30,120,95720,23,986,846,0.5341921195271463
2010-06-30,2000-06-30,2010-05-31,120,95865,23,988,847,0.5559524085081264
2010-07-31,2000-07-31,2010-06-30,120,96035,23,985,851,0.6024832957531024
2010-08-31,2000-08-31,2010-07-31,120,96201,23,987,855,0.5848115663296253
2010-09-30,2000-09-30,2010-08-31,120,96383,23,988,855,0.666437258214319
2010-10-31,2000-10-31,2010-09-30,120,96553,23,985,857,0.6674132457264147
2010-11-30,2000-11-30,2010-10-31,120,96712,23,974,850,0.6458856183839098
2010-12-31,2000-12-31,2010-11-30,120,96845,23,979,851,0.7129398423390136
2011-01-31,2001-01-31,2010-12-31,120,96981,23,977,850,0.7502529958084516
2011-02-28,2001-02-28,2011-01-31,120,97118,23,981,852,0.7579439384742432
2011-03-31,2001-03-31,2011-02-28,120,97235,23,977,854,0.7021390757646635
2011-04-30,2001-04-30,2011-03-31,120,97343,23,981,858,0.7688703095819276
2011-05-31,2001-05-31,2011-04-30,120,97447,23,985,853,0.7744209235790169
2011-06-30,2001-06-30,2011-05-31,120,97547,23,978,848,0.7665098233627115
2011-07-31,2001-07-31,2011-06-30,120,97654,23,979,853,0.7351131379484973
2011-08-31,2001-08-31,2011-07-31,120,97759,23,988,858,0.6479908938094379
2011-09-30,2001-09-30,2011-08-31,120,97861,23,979,847,0.5290274262564855
2011-10-31,2001-10-31,2011-09-30,120,97938,23,981,846,0.626061181554735
2011-11-30,2001-11-30,2011-10-31,120,98027,23,975,844,0.6161445966085866
2011-12-31,2001-12-31,2011-11-30,120,98107,23,975,836,0.6014781600774972
2012-01-31,2002-01-31,2011-12-31,120,98187,23,982,841,0.614422142697133
2012-02-29,2002-02-28,2012-01-31,120,98262,23,981,838,0.6148585467746565
2012-03-31,2002-03-31,2012-02-29,120,98314,23,976,831,0.6503038775518973
2012-04-30,2002-04-30,2012-03-31,120,98360,23,980,829,0.6292479282087191
2012-05-31,2002-05-31,2012-04-30,120,98402,23,984,828,0.6047941970138471
2012-06-30,2002-06-30,2012-05-31,120,98440,23,986,834,0.5730221548412436
2012-07-31,2002-07-31,2012-06-30,120,98486,23,981,833,0.5405056540842649
2012-08-31,2002-08-31,2012-07-31,120,98520,23,979,831,0.5500969110887268
2012-09-30,2002-09-30,2012-08-31,120,98557,23,987,834,0.5197793002185096
2012-10-31,2002-10-31,2012-09-30,120,98590,23,982,833,0.5836928102579998
2012-11-30,2002-11-30,2012-10-31,120,98622,23,986,838,0.5452641400460568
2012-12-31,2002-12-31,2012-11-30,120,98659,23,986,840,0.5782648242697649
2013-01-31,2003-01-31,2012-12-31,120,98695,23,983,844,0.5393913953266107
2013-02-28,2003-02-28,2013-01-31,120,98750,23,982,835,0.5423813916686333
2013-03-31,2003-03-31,2013-02-28,120,98794,23,986,838,0.5293450688090189
2013-04-30,2003-04-30,2013-03-31,120,98834,23,988,828,0.5107678149372851
2013-05-31,2003-05-31,2013-04-30,120,98871,23,982,823,0.4786204735806301
2013-06-30,2003-06-30,2013-05-31,120,98895,23,982,822,0.4821600191721548
2013-07-31,2003-07-31,2013-06-30,120,98925,23,979,819,0.4843360836881562
2013-08-31,2003-08-31,2013-07-31,120,98950,23,983,822,0.4902397760302212
2013-09-30,2003-09-30,2013-08-31,120,98977,23,981,818,0.49657650016265353
2013-10-31,2003-10-31,2013-09-30,120,99002,23,979,825,0.4894595653986341
2013-11-30,2003-11-30,2013-10-31,120,99030,23,980,821,0.4885774052471096
2013-12-31,2003-12-31,2013-11-30,120,99055,23,974,814,0.49556265840825103
2014-01-31,2004-01-31,2013-12-31,120,99080,23,971,807,0.5048152225382848
2014-02-28,2004-02-29,2014-01-31,120,99092,23,976,808,0.4972153018730207
2014-03-31,2004-03-31,2014-02-28,120,99116,23,979,809,0.4982714591756861
2014-04-30,2004-04-30,2014-03-31,120,99135,23,985,812,0.49422159341101257
2014-05-31,2004-05-31,2014-04-30,120,99151,23,980,808,0.4956124794191355
2014-06-30,2004-06-30,2014-05-31,120,99161,23,979,807,0.5000814372855061
2014-07-31,2004-07-31,2014-06-30,120,99170,23,978,805,0.5078808330041158
2014-08-31,2004-08-31,2014-07-31,120,99173,23,976,808,0.5282426590163146
2014-09-30,2004-09-30,2014-08-31,120,99184,23,976,804,0.5334843390656695
2014-10-31,2004-10-31,2014-09-30,120,99188,23,980,808,0.5472561820929904
2014-11-30,2004-11-30,2014-10-31,120,99197,23,978,811,0.5632791904183307
2014-12-31,2004-12-31,2014-11-30,120,99205,23,977,807,0.5772084595478982
2015-01-31,2005-01-31,2014-12-31,120,99207,23,980,802,0.5696655871394278
2015-02-28,2005-02-28,2015-01-31,120,99197,23,980,806,0.568935335613715
2015-03-31,2005-03-31,2015-02-28,120,99193,23,984,809,0.570625124277674
2015-04-30,2005-04-30,2015-03-31,120,99192,23,987,806,0.5776328665783059
2015-05-31,2005-05-31,2015-04-30,120,99184,23,989,806,0.5610974103299127
2015-06-30,2005-06-30,2015-05-31,120,99172,23,990,805,0.5591560173483144
2015-07-31,2005-07-31,2015-06-30,120,99158,23,981,798,0.568386480186835
2015-08-31,2005-08-31,2015-07-31,120,99147,23,986,802,0.5380042655600229
2015-09-30,2005-09-30,2015-08-31,120,99140,23,986,807,0.51677999591946
2015-10-31,2005-10-31,2015-09-30,120,99134,23,984,810,0.5572947982172478
2015-11-30,2005-11-30,2015-10-31,120,99129,23,985,810,0.5382005413992379
2015-12-31,2005-12-31,2015-11-30,120,99121,23,980,806,0.5258507288513471
2016-01-31,2006-01-31,2015-12-31,120,99107,23,986,820,0.4863545172184105
2016-02-29,2006-02-28,2016-01-31,120,99110,23,988,818,0.4874255178690621
2016-03-31,2006-03-31,2016-02-29,120,99108,23,985,821,0.48156341759794
2016-04-30,2006-04-30,2016-03-31,120,99111,23,983,798,0.48079112021177406
2016-05-31,2006-05-31,2016-04-30,120,99091,23,986,801,0.47393358804966534
2016-06-30,2006-06-30,2016-05-31,120,99077,23,988,805,0.4791588803466253
2016-07-31,2006-07-31,2016-06-30,120,99068,23,988,809,0.49343941196380575
2016-08-31,2006-08-31,2016-07-31,120,99062,23,986,802,0.488593359082884
2016-09-30,2006-09-30,2016-08-31,120,99044,23,977,801,0.48835570797162187
2016-10-31,2006-10-31,2016-09-30,120,99029,23,982,806,0.48493067497885745
2016-11-30,2006-11-30,2016-10-31,120,99025,23,984,802,0.5047475028148738
2016-12-31,2006-12-31,2016-11-30,120,99021,23,978,802,0.5010718156081948
2017-01-31,2007-01-31,2016-12-31,120,99018,23,979,808,0.5035572977953778
2017-02-28,2007-02-28,2017-01-31,120,99014,23,980,806,0.5005443871085713
2017-03-31,2007-03-31,2017-02-28,120,98995,23,982,813,0.5023803903955156
2017-04-30,2007-04-30,2017-03-31,120,98987,23,985,810,0.5055669723229852
2017-05-31,2007-05-31,2017-04-30,120,98989,23,986,815,0.5093605672425497
2017-06-30,2007-06-30,2017-05-31,120,98992,23,980,805,0.5011515155103918
2017-07-31,2007-07-31,2017-06-30,120,98979,23,987,809,0.5105051186938677
2017-08-31,2007-08-31,2017-07-31,120,98973,23,988,803,0.5168991497646704
2017-09-30,2007-09-30,2017-08-31,120,98959,23,982,800,0.5159680931250873
2017-10-31,2007-10-31,2017-09-30,120,98942,23,987,810,0.5117029936510802
2017-11-30,2007-11-30,2017-10-31,120,98938,23,987,810,0.5270931459074801
2017-12-31,2007-12-31,2017-11-30,120,98945,23,989,808,0.5328599782441462
2018-01-31,2008-01-31,2017-12-31,120,98943,23,990,814,0.5606779319761929
2018-02-28,2008-02-29,2018-01-31,120,98941,23,992,813,0.5385053376304842
2018-03-31,2008-03-31,2018-02-28,120,98938,23,986,810,0.5258952148014182
2018-04-30,2008-04-30,2018-03-31,120,98933,23,987,803,0.5260817362479598
2018-05-31,2008-05-31,2018-04-30,120,98918,23,984,794,0.523733820819906
2018-06-30,2008-06-30,2018-05-31,120,98892,23,975,796,0.5025586363790303
2018-07-31,2008-07-31,2018-06-30,120,98868,23,978,801,0.4949639229495378
2018-08-31,2008-08-31,2018-07-31,120,98847,23,984,812,0.5011625270096346
2018-09-30,2008-09-30,2018-08-31,120,98831,23,984,814,0.4603708324733505
2018-10-31,2008-10-31,2018-09-30,120,98825,23,978,811,0.37565972252385327
2018-11-30,2008-11-30,2018-10-31,120,98817,23,984,816,0.30502314131777614
2018-12-31,2008-12-31,2018-11-30,120,98810,23,985,817,0.2994340926676967
2019-01-31,2009-01-31,2018-12-31,120,98807,23,986,814,0.33730395063827573
2019-02-28,2009-02-28,2019-01-31,120,98781,23,984,811,0.45359526153914753
2019-03-31,2009-03-31,2019-02-28,120,98744,23,981,813,0.34445847890734593
2019-04-30,2009-04-30,2019-03-31,120,98713,23,987,806,0.2653899464547909
2019-05-31,2009-05-31,2019-04-30,120,98674,23,981,799,0.220933653098458
2019-06-30,2009-06-30,2019-05-31,120,98622,23,981,798,0.2526573839572817
2019-07-31,2009-07-31,2019-06-30,120,98569,23,978,797,0.23319101516532284
2019-08-31,2009-08-31,2019-07-31,120,98510,23,977,799,0.24153601506426528
2019-09-30,2009-09-30,2019-08-31,120,98457,23,981,807,0.24742568271317153
2019-10-31,2009-10-31,2019-09-30,120,98411,23,984,804,0.24765932731047477
2019-11-30,2009-11-30,2019-10-31,120,98361,23,991,806,0.24975372896296044
2019-12-31,2009-12-31,2019-11-30,120,98315,23,994,805,0.2787169094060065
2020-01-31,2010-01-31,2019-12-31,120,98275,23,990,805,0.2926800869947807
2020-02-29,2010-02-28,2020-01-31,120,98235,23,988,808,0.3204430311700776
2020-03-31,2010-03-31,2020-02-29,120,98202,23,983,802,0.21551034502928632
2020-04-30,2010-04-30,2020-03-31,120,98158,23,985,800,0.4034287319323743
2020-05-31,2010-05-31,2020-04-30,120,98113,23,988,807,0.38865446904864637
2020-06-30,2010-06-30,2020-05-31,120,98074,23,983,806,0.42702673281024506
2020-07-31,2010-07-31,2020-06-30,120,98032,23,977,803,0.39615394970076256
2020-08-31,2010-08-31,2020-07-31,120,97984,23,976,797,0.36094013506924844
2020-09-30,2010-09-30,2020-08-31,120,97926,23,967,793,0.3967572392600462
2020-10-31,2010-10-31,2020-09-30,120,97866,23,963,790,0.41738685874033904
2020-11-30,2010-11-30,2020-10-31,120,97799,23,961,791,0.4716201307858811
2020-12-31,2010-12-31,2020-11-30,120,97740,23,963,780,0.4408643612743004
2021-01-31,2011-01-31,2020-12-31,120,97669,23,956,770,0.4453664910719047
2021-02-28,2011-02-28,2021-01-31,120,97590,23,964,778,0.42943229784413606
2021-03-31,2011-03-31,2021-02-28,120,97517,23,964,779,0.41656702655243405
2021-04-30,2011-04-30,2021-03-31,120,97442,23,962,765,0.4127311387012542
2021-05-31,2011-05-31,2021-04-30,120,97349,23,963,766,0.4160878286566256
2021-06-30,2011-06-30,2021-05-31,120,97266,23,961,762,0.41798739048663525
2021-07-31,2011-07-31,2021-06-30,120,97182,23,963,770,0.41035493994359773
2021-08-31,2011-08-31,2021-07-31,120,97099,23,963,768,0.36351708442614583
2021-09-30,2011-09-30,2021-08-31,120,97009,23,962,768,0.37581435209545627
2021-10-31,2011-10-31,2021-09-30,120,96930,23,968,768,0.35511860699221004
2021-11-30,2011-11-30,2021-10-31,120,96852,23,973,782,0.36698283833781337
2021-12-31,2011-12-31,2021-11-30,120,96790,23,975,777,0.35311642054925974
2022-01-31,2012-01-31,2021-12-31,120,96731,23,986,786,0.36277393497718735
2022-02-28,2012-02-29,2022-01-31,120,96675,23,988,789,0.35868252836863385
2022-03-31,2012-03-31,2022-02-28,120,96627,23,991,797,0.35916878653629697
2022-04-30,2012-04-30,2022-03-31,120,96594,23,994,796,0.36644289315358114
2022-05-31,2012-05-31,2022-04-30,120,96563,23,995,788,0.3376397102114498
2022-06-30,2012-06-30,2022-05-31,120,96522,23,995,795,0.2748696315439075
2022-07-31,2012-07-31,2022-06-30,120,96482,23,993,799,0.31222810644015825
2022-08-31,2012-08-31,2022-07-31,120,96449,23,992,801,0.3273123763727089
2022-09-30,2012-09-30,2022-08-31,120,96419,23,993,801,0.3207948146960452
2022-10-31,2012-10-31,2022-09-30,120,96388,23,992,799,0.34105568285418114
2022-11-30,2012-11-30,2022-10-31,120,96353,23,996,810,0.3272157857907563
2022-12-31,2012-12-31,2022-11-30,120,96323,23,994,804,0.33390071455608705
2023-01-31,2013-01-31,2022-12-31,120,96288,23,994,805,0.303355358210997
2023-02-28,2013-02-28,2023-01-31,120,96249,23,994,807,0.30496572452469267
2023-03-31,2013-03-31,2023-02-28,120,96219,23,993,814,0.29770728008793595
2023-04-30,2013-04-30,2023-03-31,120,96194,23,995,807,0.3094027440010654
2023-05-31,2013-05-31,2023-04-30,120,96173,23,994,806,0.33283587356425004
2023-06-30,2013-06-30,2023-05-31,120,96157,23,992,808,0.2919272147990163
2023-07-31,2013-07-31,2023-06-30,120,96143,23,995,802,0.28358719779637387
2023-08-31,2013-08-31,2023-07-31,120,96125,23,992,810,0.2887289352957899
2023-09-30,2013-09-30,2023-08-31,120,96113,23,992,815,0.31086810086747246
2023-10-31,2013-10-31,2023-09-30,120,96111,23,991,814,0.3306320624176483
2023-11-30,2013-11-30,2023-10-31,120,96101,23,990,812,0.30967337534254763
2023-12-31,2013-12-31,2023-11-30,120,96091,23,993,817,0.28573634130716735
2024-01-31,2014-01-31,2023-12-31,120,96094,23,995,823,0.28572607848154213
2024-02-29,2014-02-28,2024-01-31,120,96111,23,994,822,0.2763301922173911
2024-03-31,2014-03-31,2024-02-29,120,96125,23,993,829,0.27664095771434977
2024-04-30,2014-04-30,2024-03-31,120,96145,23,992,829,0.27720453729296546
2024-05-31,2014-05-31,2024-04-30,120,96162,23,990,830,0.27862522675944174
2024-06-30,2014-06-30,2024-05-31,120,96183,23,992,836,0.28711059579384723
2024-07-31,2014-07-31,2024-06-30,120,96213,23,988,834,0.28128752951407165
2024-08-31,2014-08-31,2024-07-31,120,96241,23,989,837,0.28380959087440083
2024-09-30,2014-09-30,2024-08-31,120,96271,23,988,837,0.2769807633658138
2024-10-31,2014-10-31,2024-09-30,120,96304,23,990,842,0.2817912371909812
2024-11-30,2014-11-30,2024-10-31,120,96339,23,988,837,0.28217061288793444
