canonical_work_id,paper_version,paper_table,token,metric,paper_value_display,cell_kind,paper_evaluation_text,primary_source_value_verified,native_reproduced_value,absolute_difference,status,paper_result_credit
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,SOL,CV Score (Best),-0.000459,direct_result,"Good model, potentially high volatility",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,SOL,MSE (Test),0.000159,direct_result,"Good model, potentially high volatility",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,XRP,Alpha,0.1,configuration,"Medium fit, moderate noise",True,,,paper_configuration_only_semantics_ambiguous,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,XRP,CV Score (Best),-0.000221,direct_result,"Medium fit, moderate noise",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,XRP,MSE (Test),0.001122,direct_result,"Medium fit, moderate noise",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,DOGE,Alpha,1,configuration,Very good,True,,,paper_configuration_only_semantics_ambiguous,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,DOGE,CV Score (Best),-0.000362,direct_result,Very good,True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,DOGE,MSE (Test),4.25E-05,direct_result,Very good,True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,TRX,Alpha,0.01,configuration,Best performer,True,,,paper_configuration_only_semantics_ambiguous,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,TRX,CV Score (Best),-9.87E-06,direct_result,Best performer,True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,TRX,MSE (Test),6.40E-06,direct_result,Best performer,True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,ETH,Alpha,1,configuration,"Large error, unstable for ETH",True,,,paper_configuration_only_semantics_ambiguous,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,ETH,CV Score (Best),"-2,169,147.17",direct_result,"Large error, unstable for ETH",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,ETH,MSE (Test),"3,016,065.13",direct_result,"Large error, unstable for ETH",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,MATIC,Alpha,1,configuration,"Stable, medium confidence",True,,,paper_configuration_only_semantics_ambiguous,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,MATIC,CV Score (Best),-0.000432,direct_result,"Stable, medium confidence",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,MATIC,MSE (Test),0.000341,direct_result,"Stable, medium confidence",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,BNB,Alpha,1,configuration,"High deviation, unstable in 7-day window",True,,,paper_configuration_only_semantics_ambiguous,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,BNB,CV Score (Best),-945.57,direct_result,"High deviation, unstable in 7-day window",True,,,unavailable_no_training_data_model_or_result_pipeline,False
CensusArxiv250720474,2507.20474v1_v2_v3_identical_table,Forecasting Results Across Tokens,BNB,MSE (Test),180.95,direct_result,"High deviation, unstable in 7-day window",True,,,unavailable_no_training_data_model_or_result_pipeline,False
