formation_month,research_start,research_end,research_months,validation_start,validation_end,validation_months,explored_candidate_count,branch_winner_count,finalist_count,selected_solution,selected_members,selected_solution_size,selected_validation_score,finite_scores,winner__momentum_trend,training_score__momentum_trend,validation_score__momentum_trend,winner__valuation,training_score__valuation,validation_score__valuation,winner__profitability_quality,training_score__profitability_quality,validation_score__profitability_quality,winner__financial_safety,training_score__financial_safety,validation_score__financial_safety,winner__fundamental_surprise,training_score__fundamental_surprise,validation_score__fundamental_surprise,winner__low_risk,training_score__low_risk,validation_score__low_risk
2000-06-30,1990-06-30,1998-05-31,96,1998-06-30,2000-05-31,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.062326130460600336,896,momentum_trend__leader,0.017277719172150444,0.062326130460600336,valuation__pair_mean,0.006027060527218036,-0.06527305659991525,profitability_quality__all_mean,0.011719842126009284,0.009602832476000044,financial_safety__all_mean,-0.0026462697551895547,0.030927398318149148,fundamental_surprise__leader,0.005093140398440826,0.0012479788598610316,low_risk__leader,-0.006749017387215646,-0.03953700030877856
2000-07-31,1990-07-31,1998-06-30,96,1998-07-31,2000-06-30,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.04506934891939088,908,momentum_trend__leader,0.016668600666864125,0.04506934891939088,valuation__pair_mean,0.005903664555763183,-0.07453653036896762,profitability_quality__consensus_median,0.011320711031816217,0.017799834369641554,financial_safety__all_mean,-0.0027252284236857632,0.018496130609032956,fundamental_surprise__leader,0.004637373569500649,0.0017294754707010505,low_risk__leader,-0.007806835002028304,-0.051666504347868854
2000-08-31,1990-08-31,1998-07-31,96,1998-08-31,2000-07-31,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.02551994213088732,912,momentum_trend__leader,0.01637932948668578,0.02551994213088732,valuation__pair_mean,0.006204150855643827,-0.09867337859972866,profitability_quality__consensus_median,0.011895272483211254,0.011666467468136663,financial_safety__all_mean,-0.0018386052358918565,0.016304418764060764,fundamental_surprise__leader,0.0039031433216381002,0.002721774451819023,low_risk__leader,-0.005681657397377542,-0.08986321763737226
2000-09-30,1990-09-30,1998-08-31,96,1998-09-30,2000-08-31,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.016007833855420997,801,momentum_trend__leader,0.01441207861956465,0.011589495644501124,valuation__pair_mean,0.006576227286030762,-0.0995256395062725,profitability_quality__consensus_median,0.012178211383432778,0.016007833855420997,financial_safety__all_mean,-0.0014963259765188013,0.00953929279417801,fundamental_surprise__leader,0.003845043035600311,0.0025766987817638157,low_risk__leader,-0.009598136805369532,-0.08038927080704378
2000-10-31,1990-10-31,1998-09-30,96,1998-10-31,2000-09-30,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.016539273876092022,818,momentum_trend__leader,0.010007967537558898,-0.010511615351728516,valuation__pair_mean,0.007145839155658137,-0.11286294345118725,profitability_quality__consensus_median,0.01409347643936951,0.016539273876092022,financial_safety__all_mean,-0.0007124459560810883,-0.004710639867553469,fundamental_surprise__leader,0.003314928757916352,0.007715789339973683,low_risk__leader,-0.014728549004307253,-0.08563647025081746
2000-11-30,1990-11-30,1998-10-31,96,1998-11-30,2000-10-31,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.01894735560280993,828,momentum_trend__leader,0.01286452347553481,-0.011784789073499329,valuation__pair_mean,0.00499547283075091,-0.07531883428838511,profitability_quality__consensus_median,0.013685103532018185,0.01894735560280993,financial_safety__all_mean,-0.0009248039719156591,-0.017053427253775393,fundamental_surprise__leader,0.0028093262271420482,-0.0009462224498619628,low_risk__leader,-0.012773832032034398,-0.04630022907608507
2000-12-31,1990-12-31,1998-11-30,96,1998-12-31,2000-11-30,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.010674723041338298,826,momentum_trend__leader,0.01822867906466421,-0.004190663667798661,valuation__pair_mean,0.001410203563264335,-0.034951383345677954,profitability_quality__consensus_median,0.013516105781724049,0.010674723041338298,financial_safety__all_mean,-0.0008450204704399424,-0.025680609510094744,fundamental_surprise__leader,0.0035346006781721414,-0.007559748481408861,low_risk__leader,-0.01262029424722888,-0.01820451717706343
2001-01-31,1991-01-31,1998-12-31,96,1999-01-31,2000-12-31,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.01083216878744828,827,momentum_trend__leader,0.02181465819436393,-0.025792557010907276,valuation__pair_mean,-0.001148411283739978,0.00040628402733066185,profitability_quality__consensus_median,0.011999410600599133,0.01083216878744828,financial_safety__all_mean,-0.001796747596320725,-0.01293562501152675,fundamental_surprise__leader,0.0038751765936650617,-0.010015103845777338,low_risk__leader,-0.011392245399366414,0.0062435753458654555
2001-02-28,1991-02-28,1999-01-31,96,1999-02-28,2001-01-31,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.01492730443758587,833,momentum_trend__leader,0.02220284729229241,-0.021004035567120622,valuation__pair_mean,-3.9119237493013756e-05,-0.025157262089960233,profitability_quality__consensus_median,0.010897548354325472,0.01492730443758587,financial_safety__all_mean,-0.0031872504029613127,-0.0329838741182,fundamental_surprise__leader,0.0036183141622066727,-0.011878489392142548,low_risk__leader,-0.007011490590364542,-0.012475400742750643
2001-03-31,1991-03-31,1999-02-28,96,1999-03-31,2001-02-28,24,24,6,8,merge__top3,profitability_quality__consensus_median|low_risk__leader|momentum_trend__leader,3,0.02696203200737065,827,momentum_trend__leader,0.02109774863484717,0.0034379148285188614,valuation__pair_mean,-0.00010347145603814903,-0.007215118906824608,profitability_quality__consensus_median,0.00938334365573518,0.018284950458490587,financial_safety__all_mean,-0.004685990057786408,-0.03750277297103754,fundamental_surprise__leader,0.0019592395613860095,-0.00950156118474443,low_risk__leader,-0.008541950296284283,0.012174422661056956
2001-04-30,1991-04-30,1999-03-31,96,1999-04-30,2001-03-31,24,24,6,8,merge__all,momentum_trend__leader|valuation__pair_mean|profitability_quality__all_mean|financial_safety__all_mean|fundamental_surprise__leader|low_risk__leader,6,0.017416763559937806,791,momentum_trend__leader,0.018800431552549998,-0.027537595819889387,valuation__pair_mean,-0.00012443146590268225,-0.03416485859249998,profitability_quality__all_mean,0.008127333426046286,0.011593524571583712,financial_safety__all_mean,-0.0056728657731085,-0.029469169372706293,fundamental_surprise__leader,0.0027477568555480635,-0.006641235063214058,low_risk__leader,-0.010036508111752395,-0.0058295376302023375
2001-05-31,1991-05-31,1999-04-30,96,1999-05-31,2001-04-30,24,24,6,8,merge__all,momentum_trend__leader|valuation__pair_mean|profitability_quality__all_mean|financial_safety__all_mean|fundamental_surprise__leader|low_risk__leader,6,0.016788422308184746,786,momentum_trend__leader,0.017312306820408695,-0.019282635711930125,valuation__pair_mean,0.0018943472749897682,-0.04642773230572915,profitability_quality__all_mean,0.007914528819025253,0.012738160077850013,financial_safety__all_mean,-0.006040200712778812,-0.027243263046519473,fundamental_surprise__leader,0.0036521591651304,-0.007866986860538518,low_risk__leader,-0.0060773497610330535,-0.008272172211112351
2001-06-30,1991-06-30,1999-05-31,96,1999-06-30,2001-05-31,24,24,6,8,merge__all,momentum_trend__leader|valuation__pair_mean|profitability_quality__all_mean|financial_safety__all_mean|fundamental_surprise__leader|low_risk__leader,6,0.01404688261601021,774,momentum_trend__leader,0.018244370100476,-0.042718943754065486,valuation__pair_mean,-0.0024798912189719236,-0.045209580157768055,profitability_quality__all_mean,0.009189106380867226,0.008567330854191773,financial_safety__all_mean,-0.0042600679857162736,-0.0354882599582602,fundamental_surprise__leader,0.005114000660701177,-0.014711272752007322,low_risk__leader,-0.010815461365191854,-0.010701315741462991
2001-07-31,1991-07-31,1999-06-30,96,1999-07-31,2001-06-30,24,24,6,8,merge__top3,profitability_quality__consensus_median|low_risk__leader|momentum_trend__leader,3,0.04237694949427605,844,momentum_trend__leader,0.01681900336927627,-0.016884109683997443,valuation__pair_mean,-0.0014827099477097063,-0.022005973221987926,profitability_quality__consensus_median,0.008913212400660305,0.025879540441697962,financial_safety__all_mean,-0.004857979534671716,-0.02929238076154364,fundamental_surprise__leader,0.0038315715212590565,-0.01923774507423398,low_risk__leader,-0.008508072001835551,0.008969691216864459
2001-08-31,1991-08-31,1999-07-31,96,1999-08-31,2001-07-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.04792756994479833,991,momentum_trend__leader,0.017884024002256013,0.005326754147321457,valuation__pair_mean,-0.0030782495935415925,0.01137948280880098,profitability_quality__consensus_median,0.008654698425389467,0.02648141189957938,financial_safety__all_mean,-0.004921726421270094,-0.0284981618527025,fundamental_surprise__leader,0.003752781571858284,-0.0202341973871378,low_risk__leader,-0.00874636378821043,0.04792756994479833
2001-09-30,1991-09-30,1999-08-31,96,1999-09-30,2001-08-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.07628611748183164,999,momentum_trend__leader,0.018912684765981798,0.0005928852169371848,valuation__pair_mean,-0.005300074206026876,0.0464587426559261,profitability_quality__consensus_median,0.011188058656033534,0.026284105779420905,financial_safety__all_mean,-0.0025775471291583658,-0.021895020242625848,fundamental_surprise__leader,0.003145532131019581,-0.011248274622331737,low_risk__leader,-0.011802312924457294,0.07628611748183164
2001-10-31,1991-10-31,1999-09-30,96,1999-10-31,2001-09-30,24,24,6,8,single__low_risk,low_risk__leader,1,0.06182906363281995,994,momentum_trend__leader,0.018983115626695166,-0.010086470935464976,valuation__pair_mean,-0.006291770663265242,0.01663112793418213,profitability_quality__consensus_median,0.01136958425350839,0.029734583350013666,financial_safety__all_mean,-0.0021931427324395087,-0.032630434149888754,fundamental_surprise__leader,0.0016367813905325858,-0.014929102179848636,low_risk__leader,-0.012327612500608272,0.06182906363281995
2001-11-30,1991-11-30,1999-10-31,96,1999-11-30,2001-10-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.0687115835349886,995,momentum_trend__leader,0.023038023313741503,-0.006911988719495548,valuation__pair_mean,-0.010583873672490179,0.043473840072255576,profitability_quality__consensus_median,0.012869724389489781,0.024658476831292495,financial_safety__all_mean,-0.0008951703931241919,-0.038532887012912256,fundamental_surprise__leader,0.0007622242337132204,-0.028798650669910254,low_risk__leader,-0.01878253770880356,0.0687115835349886
2001-12-31,1991-12-31,1999-11-30,96,1999-12-31,2001-11-30,24,24,6,8,single__low_risk,low_risk__leader,1,0.08844247683947767,990,momentum_trend__leader,0.023685247484263178,-0.04151393848766379,valuation__pair_mean,-0.011925550695181548,0.07095184906898468,profitability_quality__consensus_median,0.010827818235214191,0.026220362757463714,financial_safety__all_mean,-0.0020245449806262483,-0.03583013120365855,fundamental_surprise__all_mean,0.0006261560148489737,-0.09175775554605278,low_risk__leader,-0.01929407280864477,0.08844247683947767
2002-01-31,1992-01-31,1999-12-31,96,2000-01-31,2001-12-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.0997934646024695,997,momentum_trend__leader,0.025013551981784003,-0.03330967687572532,valuation__pair_mean,-0.013416105197457348,0.07935185282664882,profitability_quality__consensus_median,0.009549620974034164,0.033134918913018174,financial_safety__all_mean,-0.0019646111337040355,-0.03164707590608467,fundamental_surprise__all_mean,0.0009099136389280876,-0.09071570561674289,low_risk__leader,-0.01652917155586239,0.0997934646024695
2002-02-28,1992-02-29,2000-01-31,96,2000-02-29,2002-01-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.14843923357222377,998,momentum_trend__leader,0.029582876108750964,-0.05786203049141124,valuation__pair_mean,-0.02079610289342006,0.11194838191332264,profitability_quality__consensus_median,0.009223840642321476,0.0368466782966355,financial_safety__all_mean,0.0004660658023322127,-0.040409543516158955,fundamental_surprise__all_mean,0.0036876168236237364,-0.09664990747660882,low_risk__leader,-0.021611783160456866,0.14843923357222377
2002-03-31,1992-03-31,2000-02-29,96,2000-03-31,2002-02-28,24,24,6,8,single__low_risk,low_risk__leader,1,0.09966849311848444,997,momentum_trend__leader,0.025198942077651505,-0.0405025255057489,valuation__pair_mean,-0.01835455775806049,0.09318861002941665,profitability_quality__consensus_median,0.010777550316273444,0.039260090756095496,financial_safety__all_mean,0.0004539081933708517,-0.03535580786713193,fundamental_surprise__all_mean,0.002706627059966901,-0.09411302186513289,low_risk__leader,-0.019459665584806173,0.09966849311848444
2002-04-30,1992-04-30,2000-03-31,96,2000-04-30,2002-03-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.09910070523475445,996,momentum_trend__leader,0.02404216381302113,-0.011491205408601744,valuation__pair_mean,-0.017657346635309667,0.0897777995229368,profitability_quality__consensus_median,0.012595927818344194,0.03789293865521969,financial_safety__all_mean,0.0013404818633839868,-0.031412927644740254,fundamental_surprise__all_mean,0.0041328396202198955,-0.09072529297262036,low_risk__leader,-0.018059723657389615,0.09910070523475445
2002-05-31,1992-05-31,2000-04-30,96,2000-05-31,2002-04-30,24,24,6,8,single__valuation,valuation__pair_mean,1,0.0811664918554832,984,momentum_trend__leader,0.019772566540197437,-0.019620800439010003,valuation__pair_mean,-0.015510894518894012,0.0811664918554832,profitability_quality__consensus_median,0.014201038753623446,0.038759732637061214,financial_safety__all_mean,0.0005248835998796011,-0.020642653545882458,fundamental_surprise__leader,0.0030426356717260057,-0.01209284053925433,low_risk__leader,-0.014811185365800027,0.07040395580747538
2002-06-30,1992-06-30,2000-05-31,96,2000-06-30,2002-05-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.13064604451036008,999,momentum_trend__leader,0.02455745397903695,-0.01606554484078932,valuation__pair_mean,-0.02324617274812307,0.08058728949954222,profitability_quality__consensus_median,0.015351395695658545,0.045685573555641804,financial_safety__all_mean,0.003443575111811918,-0.034963063927095625,fundamental_surprise__all_mean,0.0053471624915890185,-0.0931544264349713,low_risk__leader,-0.021472021830966612,0.13064604451036008
2002-07-31,1992-07-31,2000-06-30,96,2000-07-31,2002-06-30,24,24,6,8,single__low_risk,low_risk__leader,1,0.11222871820349423,999,momentum_trend__leader,0.021740805305919625,0.006925425318305589,valuation__pair_mean,-0.019590825007873798,0.05657554530925569,profitability_quality__consensus_median,0.01474531945042546,0.04814836618731651,financial_safety__all_mean,0.0017484732192180313,-0.027913156324448497,fundamental_surprise__leader,0.00409493028067612,-0.025214328822979797,low_risk__leader,-0.018515871057256533,0.11222871820349423
2002-08-31,1992-08-31,2000-07-31,96,2000-08-31,2002-07-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.13589400437594892,998,momentum_trend__leader,0.025365853805217817,-0.012936174793614835,valuation__pair_mean,-0.019671954705389388,0.07280230027059195,profitability_quality__consensus_median,0.013592833497495023,0.05900512114847492,financial_safety__all_mean,0.0017926726696486893,-0.028409652293442916,fundamental_surprise__all_mean,0.007066188287038203,-0.09486342252005432,low_risk__leader,-0.022526668798867455,0.13589400437594892
2002-09-30,1992-09-30,2000-08-31,96,2000-09-30,2002-08-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.13320705095084465,1000,momentum_trend__leader,0.02389477819226473,0.005575078652616722,valuation__pair_mean,-0.01694228916850981,0.05714495060869236,profitability_quality__consensus_median,0.012498961558021809,0.06444167667744294,financial_safety__all_mean,3.587491820661835e-05,-0.0195195401266168,fundamental_surprise__leader,0.004433675196859318,-0.0184448187521358,low_risk__leader,-0.019198812911144045,0.13320705095084465
2002-10-31,1992-10-31,2000-09-30,96,2000-10-31,2002-09-30,24,24,6,8,single__low_risk,low_risk__leader,1,0.12702489814046392,996,momentum_trend__leader,0.019857966729395098,0.025504123927816667,valuation__pair_mean,-0.013424961933883636,0.04610569025841994,profitability_quality__consensus_median,0.012695607949792572,0.052926774736145286,financial_safety__all_mean,-0.002071211028262838,-0.009919171773282227,fundamental_surprise__leader,0.0033533059130717163,-0.015133810233120115,low_risk__leader,-0.013768095253109368,0.12702489814046392
2002-11-30,1992-11-30,2000-10-31,96,2000-11-30,2002-10-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.07390837271984477,994,momentum_trend__leader,0.015585940829554657,0.042745404436402595,valuation__pair_mean,-0.00818946849743986,0.0424250636593181,profitability_quality__consensus_median,0.013256351018058431,0.04877089109746761,financial_safety__all_mean,-0.00529003995009305,0.001177194719305769,fundamental_surprise__leader,0.0020332738036469115,-0.014955289249145104,low_risk__leader,-0.0051234222687928654,0.07390837271984477
2002-12-31,1992-12-31,2000-11-30,96,2000-12-31,2002-11-30,24,24,6,8,single__low_risk,low_risk__leader,1,0.07963173432667421,999,momentum_trend__leader,0.01495813076059527,0.05398356710917275,valuation__pair_mean,-0.008494132218046567,0.04223028284896231,profitability_quality__consensus_median,0.014067685848961599,0.055042160190351054,financial_safety__all_mean,-0.005072300949524694,0.008249044043225207,fundamental_surprise__leader,0.0012791098175512156,-0.009794763097012656,low_risk__leader,-0.0042449984238617615,0.07963173432667421
2003-01-31,1993-01-31,2000-12-31,96,2001-01-31,2002-12-31,24,24,6,8,single__low_risk,low_risk__leader,1,0.06561700276760446,996,momentum_trend__leader,0.006543750786053487,0.053254315918442936,valuation__pair_mean,-0.009729831490219823,0.03723368567099335,profitability_quality__consensus_median,0.015951547288174515,0.04950176483206154,financial_safety__all_mean,-0.0014759135457525774,0.0003774997941692181,fundamental_surprise__leader,-0.00011300279562222789,0.0021556817840078166,low_risk__leader,-0.007491148797717485,0.06561700276760446
2003-02-28,1993-02-28,2001-01-31,96,2001-02-28,2003-01-31,24,24,6,8,single__momentum_trend,momentum_trend__leader,1,0.07330753583490004,985,momentum_trend__leader,0.009052635307702561,0.07330753583490004,valuation__pair_mean,-0.00954247833699844,0.017220366549976527,profitability_quality__consensus_median,0.01832474638000254,0.050388201756053776,financial_safety__all_mean,-0.0007503115126796158,0.024695008929541264,fundamental_surprise__leader,-0.00019354797728363213,-0.0007595366282109354,low_risk__leader,-0.004683324434128479,0.06858134909356456
2003-03-31,1993-03-31,2001-02-28,96,2001-03-31,2003-02-28,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.05165614131013309,855,momentum_trend__leader,0.009948525511468725,0.048498451724668365,valuation__pair_mean,-0.006358848598269242,-0.0012138412723026598,profitability_quality__consensus_median,0.018846158761472533,0.05165614131013309,financial_safety__all_mean,-0.00175540746698025,0.034500243173933694,fundamental_surprise__leader,-0.0007984391942206376,-0.015903987776493836,low_risk__leader,-0.00038218090871935256,0.03660474830555208
2003-04-30,1993-04-30,2001-03-31,96,2001-04-30,2003-03-31,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.04823648071935969,865,momentum_trend__leader,0.007363413282149418,0.04582370282885567,valuation__pair_mean,-0.00944215323062826,0.012775193319726215,profitability_quality__consensus_median,0.020363164543733235,0.04823648071935969,financial_safety__all_mean,0.001186732649210924,0.024498674950652347,fundamental_surprise__leader,0.00025997941319028713,-0.01122199340188877,low_risk__leader,-0.005354802329694541,0.026145749571081428
2003-05-31,1993-05-31,2001-04-30,96,2001-05-31,2003-04-30,24,24,6,8,single__valuation,valuation__pair_mean,1,0.03195136691829398,979,momentum_trend__leader,0.008556844197024915,0.008322657121208811,valuation__pair_mean,-0.005933306134812435,0.03195136691829398,profitability_quality__consensus_median,0.019394229542448203,0.023902189072474534,financial_safety__all_mean,4.1228741347250006e-05,0.004356089545687307,fundamental_surprise__leader,-0.0005228190903515595,-0.01616383895464222,low_risk__leader,-0.0005820118399083203,-0.008585500819215768
2003-06-30,1993-06-30,2001-05-31,96,2001-06-30,2003-05-31,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.02643891316444039,861,momentum_trend__leader,0.006199603515230842,0.01332337888338301,valuation__pair_mean,-0.007561824793156164,0.021585239090214856,profitability_quality__consensus_median,0.020817853233592223,0.02643891316444039,financial_safety__all_mean,0.0022437048244938855,0.004523536489953793,fundamental_surprise__leader,-0.0015867826965342375,-0.00490649262437156,low_risk__leader,1.0774542436742945e-05,0.0027537382960514944
2003-07-31,1993-07-31,2001-06-30,96,2001-07-31,2003-06-30,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.034746088408936615,865,momentum_trend__leader,0.007697471606631152,0.01729678352906868,valuation__pair_mean,-0.0075161519149325885,0.015302950051875448,profitability_quality__consensus_median,0.023834116281566738,0.034746088408936615,financial_safety__all_mean,0.004442122370700578,0.013867223371700862,fundamental_surprise__leader,-0.0031474813791568215,0.002041618020020312,low_risk__leader,0.0024827242992984666,0.006162200019531678
2003-08-31,1993-08-31,2001-07-31,96,2001-08-31,2003-07-31,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.03172057597272999,865,momentum_trend__leader,0.008676665944315341,-0.0015546002654891547,valuation__pair_mean,-0.00540893542272927,0.0012184862190264718,profitability_quality__consensus_median,0.024795476102989253,0.03172057597272999,financial_safety__all_mean,0.004571128202714421,0.016574338536622428,fundamental_surprise__leader,-0.0034289402726405227,0.016996608989414717,low_risk__leader,0.006541020718290064,-0.04288690585811938
2003-09-30,1993-09-30,2001-08-31,96,2001-09-30,2003-08-31,24,24,6,8,single__profitability_quality,profitability_quality__consensus_median,1,0.02759302126288448,861,momentum_trend__leader,0.009886015571039734,-0.02000138065792094,valuation__pair_mean,-0.003846932243893323,0.00835919452480743,profitability_quality__consensus_median,0.024561859783915674,0.02759302126288448,financial_safety__all_mean,0.0033641608872765245,0.012522418992043706,fundamental_surprise__leader,-0.002909935623647273,0.013223041959776981,low_risk__leader,0.011622981260748386,-0.04306261644110595
