formation_month,fundamental_buy_count,sentiment_buy_count,buy_intersection_count,buy_union_fallback,sell_intersection_count,sell_union_fallback,final_buy_count,final_hold_count,final_sell_count,conflict_count,finite_precision_count,finite_scores
2006-12-31,16,343,8,False,204,False,8,788,204,0,747,1000
2007-01-31,25,347,11,False,165,False,11,824,165,0,744,1000
2007-02-28,21,355,9,False,186,False,9,805,186,0,742,1000
2007-03-31,26,346,10,False,194,False,10,796,194,0,742,1000
2007-04-30,18,365,4,False,158,False,4,838,158,0,739,1000
2007-05-31,15,363,5,False,165,False,5,830,165,0,739,1000
2007-06-30,14,362,4,False,175,False,4,821,175,0,741,1000
2007-07-31,11,347,2,False,205,False,2,793,205,0,731,1000
2007-08-31,9,346,2,False,195,False,2,803,195,0,732,1000
2007-09-30,8,369,3,False,201,False,3,796,201,0,729,1000
2007-10-31,13,341,7,False,200,False,7,793,200,0,721,1000
2007-11-30,14,349,4,False,200,False,4,796,200,0,716,1000
2007-12-31,8,335,4,False,196,False,4,800,196,0,710,1000
2008-01-31,15,335,1,True,176,False,349,475,176,0,714,1000
2008-02-29,14,358,5,False,190,False,5,805,190,0,710,1000
2008-03-31,14,361,3,False,191,False,3,806,191,0,711,1000
2008-04-30,15,342,4,False,184,False,4,812,184,0,705,1000
2008-05-31,11,361,3,False,188,False,3,809,188,0,707,1000
2008-06-30,15,362,2,False,202,False,2,796,202,0,696,1000
2008-07-31,14,346,4,False,190,False,4,806,190,0,704,1000
2008-08-31,10,351,3,False,178,False,3,819,178,0,704,1000
2008-09-30,11,364,4,False,184,False,4,812,184,0,704,1000
2008-10-31,8,342,3,False,199,False,3,798,199,0,690,1000
2008-11-30,8,358,3,False,197,False,3,800,197,0,682,1000
2008-12-31,14,346,2,False,183,False,2,815,183,0,679,1000
2009-01-31,10,378,1,True,217,False,387,396,217,0,679,1000
2009-02-28,7,376,2,False,211,False,2,787,211,0,671,1000
2009-03-31,7,376,0,True,207,False,383,410,207,0,679,1000
2009-04-30,12,352,0,True,195,False,364,441,195,0,692,1000
2009-05-31,11,382,3,False,210,False,3,787,210,0,694,1000
2009-06-30,10,372,2,False,217,False,2,781,217,0,696,1000
2009-07-31,13,345,2,False,220,False,2,778,220,0,711,1000
2009-08-31,16,363,6,False,233,False,6,761,233,0,722,1000
2009-09-30,15,381,4,False,229,False,4,767,229,0,729,1000
2009-10-31,12,366,6,False,210,False,6,784,210,0,725,1000
2009-11-30,17,369,10,False,223,False,10,767,223,0,729,1000
2009-12-31,13,374,5,False,233,False,5,762,233,0,725,1000
2010-01-31,20,363,13,False,219,False,13,768,219,0,724,1000
2010-02-28,27,385,20,False,235,False,20,745,235,0,731,1000
2010-03-31,24,381,17,False,223,False,17,760,223,0,730,1000
2010-04-30,26,370,20,False,231,False,20,749,231,0,737,1000
2010-05-31,19,358,9,False,209,False,9,782,209,0,736,1000
2010-06-30,19,357,12,False,220,False,12,768,220,0,726,1000
2010-07-31,18,404,11,False,219,False,11,770,219,0,728,1000
2010-08-31,11,362,6,False,199,False,6,795,199,0,727,1000
2010-09-30,15,390,2,False,199,False,2,799,199,0,731,1000
2010-10-31,9,380,5,False,203,False,5,792,203,0,729,1000
2010-11-30,11,390,5,False,222,False,5,773,222,0,729,1000
2010-12-31,11,381,7,False,225,False,7,768,225,0,735,1000
2011-01-31,6,367,3,False,218,False,3,779,218,0,736,1000
2011-02-28,8,377,3,False,226,False,3,771,226,0,740,1000
2011-03-31,11,374,2,False,209,False,2,789,209,0,733,1000
2011-04-30,12,368,3,False,204,False,3,793,204,0,731,1000
2011-05-31,13,340,2,False,203,False,2,795,203,0,728,1000
2011-06-30,12,363,3,False,216,False,3,781,216,0,725,1000
2011-07-31,10,361,3,False,217,False,3,780,217,0,722,1000
2011-08-31,9,362,2,False,196,False,2,802,196,0,724,1000
2011-09-30,12,364,4,False,196,False,4,800,196,0,722,1000
2011-10-31,13,355,0,True,190,False,368,442,190,0,731,1000
2011-11-30,17,362,9,False,199,False,9,792,199,0,722,1000
2011-12-31,16,342,6,False,203,False,6,791,203,0,721,1000
2012-01-31,24,381,2,False,193,False,2,805,193,0,724,1000
2012-02-29,15,377,4,False,196,False,4,800,196,0,725,1000
2012-03-31,15,350,3,False,209,False,3,788,209,0,734,1000
2012-04-30,16,363,5,False,215,False,5,780,215,0,732,1000
2012-05-31,10,370,3,False,211,False,3,786,211,0,739,1000
2012-06-30,19,367,6,False,197,False,6,797,197,0,748,1000
2012-07-31,15,380,7,False,204,False,7,789,204,0,749,1000
2012-08-31,13,378,8,False,194,False,8,798,194,0,752,1000
2012-09-30,14,387,11,False,198,False,11,791,198,0,757,1000
2012-10-31,19,358,11,False,216,False,11,773,216,0,761,1000
2012-11-30,24,353,7,False,201,False,7,792,201,0,757,1000
2012-12-31,18,376,11,False,215,False,11,774,215,0,758,1000
2013-01-31,22,354,11,False,210,False,11,779,210,0,762,1000
2013-02-28,18,382,10,False,226,False,10,764,226,0,758,1000
2013-03-31,14,371,6,False,213,False,6,781,213,0,765,1000
2013-04-30,21,355,9,False,202,False,9,789,202,0,770,1000
2013-05-31,29,363,19,False,200,False,19,781,200,0,770,1000
2013-06-30,28,370,10,False,198,False,10,792,198,0,769,1000
2013-07-31,26,362,13,False,209,False,13,778,209,0,768,1000
2013-08-31,22,353,10,False,202,False,10,788,202,0,770,1000
2013-09-30,20,341,10,False,217,False,10,773,217,0,768,1000
2013-10-31,12,356,7,False,221,False,7,772,221,0,770,1000
2013-11-30,17,367,11,False,234,False,11,755,234,0,770,1000
2013-12-31,17,335,8,False,225,False,8,767,225,0,769,1000
2014-01-31,12,339,3,False,215,False,3,782,215,0,767,1000
2014-02-28,12,357,6,False,216,False,6,778,216,0,765,1000
2014-03-31,12,349,6,False,230,False,6,764,230,0,765,1000
2014-04-30,15,351,8,False,210,False,8,782,210,0,769,1000
2014-05-31,18,341,7,False,201,False,7,792,201,0,763,1000
2014-06-30,16,347,7,False,204,False,7,789,204,0,761,1000
2014-07-31,18,363,9,False,208,False,9,783,208,0,764,1000
2014-08-31,20,367,7,False,196,False,7,797,196,0,764,1000
2014-09-30,20,341,8,False,207,False,8,785,207,0,764,1000
2014-10-31,18,354,4,False,185,False,4,811,185,0,764,1000
2014-11-30,20,360,5,False,183,False,5,812,183,0,763,1000
2014-12-31,23,340,6,False,204,False,6,790,204,0,758,1000
2015-01-31,21,355,8,False,195,False,8,797,195,0,758,1000
2015-02-28,24,375,3,False,179,False,3,818,179,0,755,1000
2015-03-31,5,361,2,False,192,False,2,806,192,0,755,1000
2015-04-30,2,353,0,True,193,False,355,452,193,0,755,1000
2015-05-31,4,356,3,False,209,False,3,788,209,0,754,1000
2015-06-30,7,343,2,False,188,False,2,810,188,0,753,1000
2015-07-31,4,352,2,False,221,False,2,777,221,0,740,1000
2015-08-31,9,352,4,False,206,False,4,790,206,0,748,1000
2015-09-30,7,360,2,False,226,False,2,772,226,0,744,1000
2015-10-31,5,363,2,False,207,False,2,791,207,0,748,1000
2015-11-30,8,366,1,True,214,False,373,413,214,0,749,1000
2015-12-31,10,380,3,False,215,False,3,782,215,0,745,1000
2016-01-31,14,350,6,False,202,False,6,792,202,0,757,1000
2016-02-29,22,363,8,False,203,False,8,789,203,0,753,1000
2016-03-31,24,383,10,False,192,False,10,798,192,0,762,1000
2016-04-30,23,345,3,False,206,False,3,791,206,0,759,1000
2016-05-31,23,363,5,False,213,False,5,782,213,0,758,1000
2016-06-30,26,353,6,False,203,False,6,791,203,0,758,1000
2016-07-31,29,375,7,False,178,False,7,815,178,0,753,1000
2016-08-31,27,363,6,False,195,False,6,799,195,0,748,1000
2016-09-30,13,365,4,False,207,False,4,789,207,0,748,1000
2016-10-31,16,379,6,False,204,False,6,790,204,0,750,1000
2016-11-30,29,359,4,False,195,False,4,801,195,0,755,1000
2016-12-31,18,357,11,False,187,False,11,802,187,0,755,1000
2017-01-31,28,361,11,False,200,False,11,789,200,0,751,1000
2017-02-28,29,368,15,False,190,False,15,795,190,0,749,1000
2017-03-31,29,358,9,False,191,False,9,800,191,0,748,1000
2017-04-30,21,342,10,False,184,False,10,806,184,0,746,1000
2017-05-31,24,343,9,False,198,False,9,793,198,0,748,1000
2017-06-30,26,350,16,False,205,False,16,779,205,0,750,1000
2017-07-31,28,345,12,False,223,False,12,765,223,0,747,1000
2017-08-31,23,362,9,False,190,False,9,801,190,0,739,1000
2017-09-30,24,354,15,False,221,False,15,764,221,0,740,1000
2017-10-31,16,366,7,False,218,False,7,775,218,0,740,1000
2017-11-30,7,351,1,True,202,False,357,441,202,0,736,1000
2017-12-31,4,371,2,False,204,False,2,794,204,0,741,1000
2018-01-31,7,355,4,False,222,False,4,774,222,0,742,1000
2018-02-28,7,360,3,False,207,False,3,790,207,0,737,1000
2018-03-31,8,366,2,False,206,False,2,792,206,0,735,1000
2018-04-30,7,346,2,False,218,False,2,780,218,0,732,1000
2018-05-31,15,345,5,False,205,False,5,790,205,0,730,1000
2018-06-30,9,332,4,False,198,False,4,798,198,0,735,1000
2018-07-31,9,360,4,False,202,False,4,794,202,0,737,1000
2018-08-31,11,352,3,False,212,False,3,785,212,0,730,1000
2018-09-30,6,354,3,False,218,False,3,779,218,0,729,1000
2018-10-31,4,339,0,True,215,False,343,442,215,0,734,1000
2018-11-30,7,358,3,False,190,False,3,807,190,0,738,1000
2018-12-31,4,345,2,False,207,False,2,791,207,0,732,1000
2019-01-31,14,376,1,True,189,False,389,422,189,0,732,1000
2019-02-28,15,358,2,False,218,False,2,780,218,0,733,1000
2019-03-31,8,358,1,True,215,False,365,420,215,0,728,1000
2019-04-30,11,368,0,True,192,False,379,429,192,0,724,1000
2019-05-31,12,350,3,False,187,False,3,810,187,0,719,1000
2019-06-30,15,366,0,True,167,False,381,452,167,0,724,1000
2019-07-31,10,359,5,False,226,False,5,769,226,0,721,1000
2019-08-31,12,344,6,False,221,False,6,773,221,0,715,1000
2019-09-30,12,355,3,False,211,False,3,786,211,0,726,1000
2019-10-31,12,344,2,False,196,False,2,802,196,0,727,1000
2019-11-30,13,335,3,False,213,False,3,784,213,0,730,1000
2019-12-31,11,333,3,False,209,False,3,788,209,0,727,1000
2020-01-31,12,345,4,False,201,False,4,795,201,0,726,1000
2020-02-29,16,337,4,False,194,False,4,802,194,0,719,1000
2020-03-31,13,331,4,False,185,False,4,811,185,0,702,1000
2020-04-30,9,355,3,False,189,False,3,808,189,0,707,1000
2020-05-31,7,347,4,False,206,False,4,790,206,0,699,1000
2020-06-30,5,347,2,False,193,False,2,805,193,0,695,1000
2020-07-31,3,351,2,False,212,False,2,786,212,0,693,1000
2020-08-31,6,348,3,False,194,False,3,803,194,0,691,1000
2020-09-30,2,344,2,False,224,False,2,774,224,0,688,1000
2020-10-31,7,354,5,False,205,False,5,790,205,0,693,1000
2020-11-30,3,326,1,True,192,False,328,480,192,0,700,1000
2020-12-31,3,336,2,False,205,False,2,793,205,0,694,1000
2021-01-31,4,338,3,False,228,False,3,769,228,0,684,1000
2021-02-28,4,338,3,False,211,False,3,786,211,0,699,1000
2021-03-31,9,338,2,False,204,False,2,794,204,0,711,1000
2021-04-30,11,347,5,False,222,False,5,773,222,0,712,1000
2021-05-31,13,334,10,False,217,False,10,773,217,0,717,1000
2021-06-30,11,332,6,False,177,False,6,817,177,0,706,1000
2021-07-31,17,344,5,False,203,False,5,792,203,0,707,1000
2021-08-31,17,348,9,False,219,False,9,772,219,0,705,1000
2021-09-30,17,336,12,False,218,False,12,770,218,0,705,1000
2021-10-31,24,351,12,False,219,False,12,769,219,0,698,1000
2021-11-30,21,348,6,False,220,False,6,774,220,0,707,1000
2021-12-31,15,350,8,False,194,False,8,798,194,0,713,1000
2022-01-31,17,353,11,False,199,False,11,790,199,0,729,1000
2022-02-28,33,351,16,False,176,False,16,808,176,0,738,1000
2022-03-31,31,357,15,False,176,False,15,809,176,0,740,1000
2022-04-30,30,349,15,False,206,False,15,779,206,0,745,1000
2022-05-31,26,327,13,False,204,False,13,783,204,0,747,1000
2022-06-30,42,345,14,False,163,False,14,823,163,0,746,1000
2022-07-31,41,375,12,False,166,False,12,822,166,0,742,1000
2022-08-31,32,383,19,False,192,False,19,789,192,0,741,1000
2022-09-30,35,359,12,False,178,False,12,810,178,0,737,1000
2022-10-31,31,369,13,False,198,False,13,789,198,0,743,1000
2022-11-30,28,367,12,False,171,False,12,817,171,0,747,1000
2022-12-31,27,370,14,False,201,False,14,785,201,0,745,1000
2023-01-31,23,365,5,False,197,False,5,798,197,0,747,1000
2023-02-28,19,367,5,False,212,False,5,783,212,0,751,1000
2023-03-31,15,357,6,False,185,False,6,809,185,0,755,1000
2023-04-30,8,368,1,True,205,False,375,420,205,0,758,1000
2023-05-31,8,363,2,False,217,False,2,781,217,0,758,1000
2023-06-30,5,357,0,True,216,False,362,422,216,0,768,1000
2023-07-31,8,360,2,False,218,False,2,780,218,0,770,1000
2023-08-31,8,359,1,True,212,False,366,422,212,0,766,1000
2023-09-30,9,379,1,True,225,False,387,388,225,0,767,1000
2023-10-31,11,387,2,False,200,False,2,798,200,0,763,1000
2023-11-30,9,375,1,True,199,False,383,418,199,0,765,1000
2023-12-31,6,363,2,False,219,False,2,779,219,0,764,1000
2024-01-31,8,364,1,True,217,False,371,412,217,0,764,1000
2024-02-29,8,345,1,True,205,False,352,443,205,0,766,1000
2024-03-31,9,349,4,False,210,False,4,786,210,0,771,1000
2024-04-30,10,350,3,False,199,False,3,798,199,0,776,1000
2024-05-31,15,353,3,False,191,False,3,806,191,0,777,1000
2024-06-30,16,362,1,True,187,False,377,436,187,0,775,1000
2024-07-31,12,356,3,False,210,False,3,787,210,0,773,1000
2024-08-31,19,362,4,False,227,False,4,769,227,0,774,1000
2024-09-30,14,365,1,True,207,False,378,415,207,0,775,1000
2024-10-31,15,363,5,False,207,False,5,788,207,0,772,1000
2024-11-30,15,353,4,False,213,False,4,783,213,0,761,1000
