edition,table,identity,metric,rendered_value,numeric_value,duplicate_kind,duplicate_of,native_pipeline_executed,native_result_regenerated,paper_result_credit
arxiv_v2,round_summary,Total,Candidates,60,60.0,none,,False,False,False
arxiv_v2,round_summary,Total,Evaluated,104,104.0,none,,False,False,False
arxiv_v2,round_summary,Total,OK,104,104.0,none,,False,False,False
arxiv_v2,round_summary,Total,Errors,16,16.0,none,,False,False,False
arxiv_v2,round_summary,Total,Best Score,5.622,5.622,exact_semantic_repeat,v2/R2/Best Score,False,False,False
arxiv_v2,top5_in_sample,Range-1,Score,5.622,5.622,exact_semantic_repeat,v2/R2/Best Score,False,False,False
arxiv_v2,top5_in_sample,Range-1,RankIC,0.0059,0.0059,none,,False,False,False
arxiv_v2,top5_in_sample,Range-1,RankICIR_ann,0.350,0.35,none,,False,False,False
arxiv_v2,top5_in_sample,Range-1,IC,0.0127,0.0127,none,,False,False,False
arxiv_v2,top5_in_sample,Range-1,ICIR_ann,0.687,0.687,none,,False,False,False
arxiv_v2,top5_in_sample,Range-1,LS_Return,0.000810,0.00081,none,,False,False,False
arxiv_v2,top5_in_sample,Range-1,Turnover,0.113,0.113,none,,False,False,False
arxiv_v2,top5_in_sample,Range-2,Score,5.486,5.486,none,,False,False,False
arxiv_v2,top5_in_sample,Range-2,RankIC,0.0057,0.0057,none,,False,False,False
arxiv_v2,top5_in_sample,Range-2,RankICIR_ann,0.342,0.342,none,,False,False,False
arxiv_v2,top5_in_sample,Range-2,IC,0.0130,0.013,none,,False,False,False
arxiv_v2,top5_in_sample,Range-2,ICIR_ann,0.716,0.716,none,,False,False,False
arxiv_v2,top5_in_sample,Range-2,LS_Return,0.000724,0.000724,none,,False,False,False
arxiv_v2,top5_in_sample,Range-2,Turnover,0.161,0.161,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-1,Score,5.475,5.475,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-1,RankIC,0.0057,0.0057,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-1,RankICIR_ann,0.368,0.368,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-1,IC,0.0133,0.0133,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-1,ICIR_ann,1.028,1.028,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-1,LS_Return,0.000546,0.000546,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-1,Turnover,0.174,0.174,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-2,Score,5.272,5.272,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-2,RankIC,0.0047,0.0047,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-2,RankICIR_ann,0.297,0.297,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-2,IC,0.0124,0.0124,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-2,ICIR_ann,0.851,0.851,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-2,LS_Return,0.000587,0.000587,none,,False,False,False
arxiv_v2,top5_in_sample,Volatility-2,Turnover,0.137,0.137,none,,False,False,False
arxiv_v2,top5_in_sample,Trend-1,Score,4.609,4.609,none,,False,False,False
arxiv_v2,top5_in_sample,Trend-1,RankIC,0.0115,0.0115,none,,False,False,False
arxiv_v2,top5_in_sample,Trend-1,RankICIR_ann,0.900,0.9,none,,False,False,False
arxiv_v2,top5_in_sample,Trend-1,IC,0.0110,0.011,none,,False,False,False
arxiv_v2,top5_in_sample,Trend-1,ICIR_ann,0.968,0.968,none,,False,False,False
arxiv_v2,top5_in_sample,Trend-1,LS_Return,0.000350,0.00035,none,,False,False,False
arxiv_v2,top5_in_sample,Trend-1,Turnover,0.368,0.368,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-1,RankIC,0.0242,0.0242,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-1,RankICIR_ann,1.804,1.804,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-1,RankIC_HAC_t,1.75,1.75,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-1,IC,0.0391,0.0391,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-1,ICIR_ann,2.788,2.788,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-1,IC_HAC_t,2.98**,2.98,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-1,LS_Return,0.00205,0.00205,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-1,LS_HAC_t,2.17*,2.17,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-1,Turnover,0.133,0.133,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-2,RankIC,0.0245,0.0245,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-2,RankICIR_ann,1.860,1.86,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-2,RankIC_HAC_t,1.81,1.81,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-2,IC,0.0385,0.0385,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-2,ICIR_ann,2.797,2.797,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-2,IC_HAC_t,3.01**,3.01,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-2,LS_Return,0.00209,0.00209,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-2,LS_HAC_t,2.31*,2.31,none,,False,False,False
arxiv_v2,top5_out_of_sample,Range-2,Turnover,0.182,0.182,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-1,RankIC,0.0275,0.0275,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-1,RankICIR_ann,2.305,2.305,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-1,RankIC_HAC_t,2.25*,2.25,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-1,IC,0.0131,0.0131,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-1,ICIR_ann,1.656,1.656,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-1,IC_HAC_t,1.68,1.68,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-1,LS_Return,0.00200,0.002,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-1,LS_HAC_t,2.60**,2.6,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-1,Turnover,0.173,0.173,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-2,RankIC,0.0232,0.0232,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-2,RankICIR_ann,1.900,1.9,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-2,RankIC_HAC_t,1.81,1.81,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-2,IC,0.0204,0.0204,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-2,ICIR_ann,2.251,2.251,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-2,IC_HAC_t,2.47*,2.47,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-2,LS_Return,0.00189,0.00189,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-2,LS_HAC_t,2.27*,2.27,none,,False,False,False
arxiv_v2,top5_out_of_sample,Volatility-2,Turnover,0.133,0.133,none,,False,False,False
arxiv_v2,top5_out_of_sample,Trend-1,RankIC,0.0083,0.0083,none,,False,False,False
arxiv_v2,top5_out_of_sample,Trend-1,RankICIR_ann,0.794,0.794,none,,False,False,False
arxiv_v2,top5_out_of_sample,Trend-1,RankIC_HAC_t,0.81,0.81,none,,False,False,False
arxiv_v2,top5_out_of_sample,Trend-1,IC,$-$0.0034,-0.0034,none,,False,False,False
arxiv_v2,top5_out_of_sample,Trend-1,ICIR_ann,$-$0.380,-0.38,none,,False,False,False
arxiv_v2,top5_out_of_sample,Trend-1,IC_HAC_t,$-$0.39,-0.39,none,,False,False,False
arxiv_v2,top5_out_of_sample,Trend-1,LS_Return,$-$0.00064,-0.00064,none,,False,False,False
arxiv_v2,top5_out_of_sample,Trend-1,LS_HAC_t,$-$0.87,-0.87,none,,False,False,False
arxiv_v2,top5_out_of_sample,Trend-1,Turnover,0.374,0.374,none,,False,False,False
arxiv_v2,backend_robustness,Nemotron-120B-free,Total evaluated,104,104.0,exact_semantic_repeat,v2/Total/Evaluated,False,False,False
arxiv_v2,backend_robustness,Nemotron-120B-free,Total OK,104,104.0,exact_semantic_repeat,v2/Total/OK,False,False,False
arxiv_v2,backend_robustness,Nemotron-120B-free,Total errors,16,16.0,exact_semantic_repeat,v2/Total/Errors,False,False,False
arxiv_v2,backend_robustness,Nemotron-120B-free,Best score,5.622,5.622,exact_semantic_repeat,v2/R2/Best Score,False,False,False
arxiv_v2,backend_robustness,Hunter-Alpha,Total evaluated,107,107.0,none,,False,False,False
arxiv_v2,backend_robustness,Hunter-Alpha,Total OK,105,105.0,none,,False,False,False
arxiv_v2,backend_robustness,Hunter-Alpha,Total errors,15,15.0,none,,False,False,False
arxiv_v2,backend_robustness,Hunter-Alpha,Best score,5.460,5.46,none,,False,False,False
