eom,n_factors,book_return_vw_cap,book_return_vw,book_return_ew,book_id
2002-06-30,119,-0.0674546976255884,-0.0685062184933494,-0.060508885930841104,jkp119_significant_metadata_long_only
2002-07-31,119,-0.10536404420919028,-0.08317822160278093,-0.11444157492702785,jkp119_significant_metadata_long_only
2002-08-31,119,0.0034216059579398918,0.004379915728820369,0.0018076214555129498,jkp119_significant_metadata_long_only
2002-09-30,119,-0.08972389667601778,-0.09902645850612646,-0.080376261060191,jkp119_significant_metadata_long_only
2002-10-31,119,0.0528983724014405,0.07792190512937153,0.03980136395275857,jkp119_significant_metadata_long_only
2002-11-30,119,0.07656004659791199,0.06107102253574961,0.11397576398333209,jkp119_significant_metadata_long_only
2002-12-31,119,-0.04556676047261993,-0.05461818587379857,-0.040484002658117274,jkp119_significant_metadata_long_only
2003-01-31,119,-0.021719345652662873,-0.02452684246575037,0.0022836541287370397,jkp119_significant_metadata_long_only
2003-02-28,119,-0.023269058165851488,-0.019535500103289655,-0.024958746966085982,jkp119_significant_metadata_long_only
2003-03-31,119,0.008667153862358315,0.010455340993934692,0.010983344312067763,jkp119_significant_metadata_long_only
2003-04-30,119,0.08383801191261356,0.07847382975127201,0.09501730813014275,jkp119_significant_metadata_long_only
2003-05-31,119,0.09145009206139214,0.06563050821941149,0.13280116299848518,jkp119_significant_metadata_long_only
2003-06-30,119,0.01522493295193202,0.014674955902151088,0.05160301633961892,jkp119_significant_metadata_long_only
2003-07-31,119,0.03766879833864279,0.02462881897217956,0.07380281987823076,jkp119_significant_metadata_long_only
2003-08-31,119,0.04335306997541274,0.027581755646965616,0.050597467588453605,jkp119_significant_metadata_long_only
2003-09-30,119,-0.012482950273085791,-0.01103079487451632,0.022374190569887258,jkp119_significant_metadata_long_only
2003-10-31,119,0.07759422605153976,0.0647798974649217,0.0873636756060894,jkp119_significant_metadata_long_only
2003-11-30,119,0.02760268721120712,0.016716126293712122,0.040524485722345543,jkp119_significant_metadata_long_only
2003-12-31,119,0.03238249249882313,0.041885741735574335,0.034485998517744414,jkp119_significant_metadata_long_only
2004-01-31,119,0.030902292811887756,0.02329409174247383,0.07199470928764527,jkp119_significant_metadata_long_only
2004-02-29,119,0.01755928685317997,0.013491767271327434,0.013997856142408933,jkp119_significant_metadata_long_only
2004-03-31,119,-0.0037328651178467585,-0.012665567119380593,0.002621538286272844,jkp119_significant_metadata_long_only
2004-04-30,119,-0.028199486716091144,-0.019100592873147405,-0.02830816569791965,jkp119_significant_metadata_long_only
2004-05-31,119,0.015309073538016688,0.011505640805581764,-0.0004248227553444968,jkp119_significant_metadata_long_only
2004-06-30,119,0.027762302559830962,0.020847512184428135,0.02767015520016124,jkp119_significant_metadata_long_only
