unique_measurement_id,paper_value,display_occurrences,native_reproduced_value,status,paper_result_credit
regular_single/MSFT/DQN/CR_pct,27.021,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/DQN/SR,1.216,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/MSFT/DQN/MDD_pct,21.458,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/B&H/CR_pct,22.315,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/B&H/SR,1.107,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/B&H/MDD_pct,20.659,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinCon/CR_pct,27.352,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinCon/SR,1.597,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinCon/MDD_pct,15.266,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/GA/CR_pct,5.694,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/GA/SR,0.372,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/GA/MDD_pct,14.161,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinGPT/CR_pct,20.321,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinGPT/SR,1.161,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinGPT/MDD_pct,16.759,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinMem/CR_pct,12.397,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinMem/SR,0.994,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinMem/MDD_pct,11.268,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinAgent/CR_pct,20.757,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinAgent/SR,1.041,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/FinAgent/MDD_pct,19.896,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/A2C/CR_pct,13.781,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/A2C/SR,0.683,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/A2C/MDD_pct,14.226,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/PPO/CR_pct,14.041,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/PPO/SR,0.704,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/PPO/MDD_pct,22.785,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/DQN/CR_pct,21.125,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/DQN/SR,1.048,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AAPL/DQN/MDD_pct,16.131,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/B&H/CR_pct,22.420,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/B&H/SR,0.891,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/B&H/MDD_pct,21.191,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinCon/CR_pct,25.077,3,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinCon/SR,1.052,3,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinCon/MDD_pct,17.530,3,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/GA/CR_pct,-1.515,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/GA/SR,-0.192,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/GA/MDD_pct,8.210,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinGPT/CR_pct,0.242,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinGPT/SR,0.011,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinGPT/MDD_pct,26.984,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinMem/CR_pct,0.311,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinMem/SR,0.018,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinMem/MDD_pct,21.503,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinAgent/CR_pct,-7.440,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinAgent/SR,-1.024,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/FinAgent/MDD_pct,10.360,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/A2C/CR_pct,8.562,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/A2C/SR,0.340,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/A2C/MDD_pct,21.191,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/PPO/CR_pct,2.434,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/PPO/SR,0.097,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/PPO/MDD_pct,25.202,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/DQN/CR_pct,20.690,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/DQN/SR,0.822,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/GOOG/DQN/MDD_pct,21.191,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/B&H/CR_pct,57.338,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/B&H/SR,1.794,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/B&H/MDD_pct,20.926,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinCon/CR_pct,69.239,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinCon/SR,2.370,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinCon/MDD_pct,20.792,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/GA/CR_pct,41.770,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/GA/SR,1.485,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/GA/MDD_pct,20.926,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinGPT/CR_pct,11.925,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinGPT/SR,0.472,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinGPT/MDD_pct,20.201,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinMem/CR_pct,-10.306,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinMem/SR,-0.478,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinMem/MDD_pct,27.692,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinAgent/CR_pct,61.303,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinAgent/SR,1.960,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/FinAgent/MDD_pct,20.926,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/A2C/CR_pct,-8.176,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/A2C/SR,-0.258,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/A2C/MDD_pct,49.579,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/PPO/CR_pct,-33.144,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/PPO/SR,-1.049,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/PPO/MDD_pct,33.377,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/DQN/CR_pct,21.753,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/DQN/SR,0.687,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/NFLX/DQN/MDD_pct,39.733,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/B&H/CR_pct,-21.756,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/B&H/SR,-0.311,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/B&H/MDD_pct,60.187,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinCon/CR_pct,57.045,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinCon/SR,0.825,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinCon/MDD_pct,42.679,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/GA/CR_pct,19.271,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/GA/SR,0.277,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/GA/MDD_pct,67.532,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinGPT/CR_pct,-99.553,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/COIN/FinGPT/SR,-1.807,1,,not_reproduced_official_code_and_data_not_released,False
