ticker,strategy,metric,paper_rendered_value,paper_numeric_value,historical_source_csv_value,status,native_tradinggroup_credit
NFLX,ATR Band,MDD,-12.231,-12.231,-12.231,matches_paper_at_display_precision,False
NFLX,ATR Band,SPR,0.15,0.15,0.15,matches_paper_at_display_precision,False
NFLX,Bollinger Bands,AV,16.754,16.754,16.754,matches_paper_at_display_precision,False
NFLX,Bollinger Bands,CR,-4.996,-4.996,-4.996,matches_paper_at_display_precision,False
NFLX,Bollinger Bands,MDD,-13.244,-13.244,-13.244,matches_paper_at_display_precision,False
NFLX,Bollinger Bands,SPR,-0.558,-0.558,-0.558,matches_paper_at_display_precision,False
NFLX,Buy and Hold,AV,41.523,41.523,41.523,matches_paper_at_display_precision,False
NFLX,Buy and Hold,CR,43.079,43.079,43.079,matches_paper_at_display_precision,False
NFLX,Buy and Hold,MDD,-20.184,-20.184,-20.184,matches_paper_at_display_precision,False
NFLX,Buy and Hold,SPR,1.326,1.326,1.326,matches_paper_at_display_precision,False
NFLX,FinAgent,AV,51.03,51.03,51.03,matches_paper_at_display_precision,False
NFLX,FinAgent,CR,41.167,41.167,41.167,matches_paper_at_display_precision,False
NFLX,FinAgent,MDD,-20.417,-20.417,-20.417,matches_paper_at_display_precision,False
NFLX,FinAgent,SPR,1.543,1.543,1.543,matches_paper_at_display_precision,False
NFLX,SMA Cross,AV,25.309,25.309,20.477,differs_from_paper,False
NFLX,SMA Cross,CR,-17.576,-17.576,-8.285,differs_from_paper,False
NFLX,SMA Cross,MDD,-27.29,-27.29,-15.942,differs_from_paper,False
NFLX,SMA Cross,SPR,-1.124,-1.124,-1.02,differs_from_paper,False
NFLX,Turn of The Month,AV,17.194,17.194,17.194,matches_paper_at_display_precision,False
NFLX,Turn of The Month,CR,8.383,8.383,8.383,matches_paper_at_display_precision,False
NFLX,Turn of The Month,MDD,-10.641,-10.641,-10.641,matches_paper_at_display_precision,False
NFLX,Turn of The Month,SPR,0.559,0.559,0.559,matches_paper_at_display_precision,False
NFLX,WMA Cross,AV,22.169,22.169,19.826,differs_from_paper,False
NFLX,WMA Cross,CR,-2.289,-2.289,-6.004,differs_from_paper,False
NFLX,WMA Cross,MDD,-20.939,-20.939,-14.29,differs_from_paper,False
NFLX,WMA Cross,SPR,-0.189,-0.189,-0.803,differs_from_paper,False
NFLX,XGBoost,AV,14.386,14.386,14.928,differs_from_paper,False
NFLX,XGBoost,CR,9.452,9.452,10.134,differs_from_paper,False
NFLX,XGBoost,MDD,-7.197,-7.197,-11.246,differs_from_paper,False
NFLX,XGBoost,SPR,0.734,0.734,0.77,differs_from_paper,False
TSLA,ARIMA,AV,41.496,41.496,41.402,differs_from_paper,False
TSLA,ARIMA,CR,10.301,10.301,15.007,differs_from_paper,False
TSLA,ARIMA,MDD,-23.524,-23.524,-24.446,differs_from_paper,False
TSLA,ARIMA,SPR,0.464,0.464,0.601,differs_from_paper,False
TSLA,ATR Band,AV,42.161,42.161,42.161,matches_paper_at_display_precision,False
TSLA,ATR Band,CR,-19.142,-19.142,-19.142,matches_paper_at_display_precision,False
TSLA,ATR Band,MDD,-39.599,-39.599,-39.599,matches_paper_at_display_precision,False
TSLA,ATR Band,SPR,-0.595,-0.595,-0.595,matches_paper_at_display_precision,False
TSLA,Bollinger Bands,AV,45.366,45.366,45.366,matches_paper_at_display_precision,False
TSLA,Bollinger Bands,CR,-24.749,-24.749,-24.747,differs_from_paper,False
TSLA,Bollinger Bands,MDD,-44.655,-44.655,-44.655,matches_paper_at_display_precision,False
TSLA,Bollinger Bands,SPR,-0.769,-0.769,-0.769,matches_paper_at_display_precision,False
TSLA,Buy and Hold,AV,55.908,55.908,55.91,differs_from_paper,False
TSLA,Buy and Hold,CR,-20.481,-20.481,-20.483,differs_from_paper,False
TSLA,Buy and Hold,MDD,-52.727,-52.727,-52.729,differs_from_paper,False
TSLA,Buy and Hold,SPR,-0.342,-0.342,-0.342,matches_paper_at_display_precision,False
TSLA,FinAgent,AV,—,,0.0,paper_dash_or_no_numeric_cell,False
TSLA,FinAgent,CR,—,,0.0,paper_dash_or_no_numeric_cell,False
TSLA,FinAgent,MDD,—,,-0.0,paper_dash_or_no_numeric_cell,False
