ticker,strategy,metric,paper_rendered_value,paper_numeric_value,fresh_execution_value,fresh_execution_matches_paper,execution_configuration,pinned_default_execution_value,pinned_default_execution_matches_paper,historical_source_csv_value,historical_source_csv_matches_paper,fresh_execution_matches_source_csv_at_3dp,native_tradinggroup_credit
NFLX,Bollinger Bands,CR,-4.996,-4.996,-4.9964208,True,pinned_default,-4.9964208,True,-4.996,True,True,False
NFLX,Bollinger Bands,MDD,-13.244,-13.244,-13.2444904,True,pinned_default,-13.2444904,True,-13.244,True,True,False
NFLX,Bollinger Bands,SPR,-0.558,-0.558,-0.55782650735,True,pinned_default,-0.55782650735,True,-0.558,True,True,False
NFLX,Buy and Hold,AV,41.523,41.523,41.523270217,True,pinned_default,41.523270217,True,41.523,True,True,False
NFLX,Buy and Hold,CR,43.079,43.079,43.0789216,True,pinned_default,43.0789216,True,43.079,True,True,False
NFLX,Buy and Hold,MDD,-20.184,-20.184,-20.184141892,True,pinned_default,-20.184141892,True,-20.184,True,True,False
NFLX,Buy and Hold,SPR,1.326,1.326,1.32643423095,True,pinned_default,1.32643423095,True,1.326,True,True,False
NFLX,SMA Cross,AV,25.309,25.309,25.3087779975,True,pinned_default,25.3087779975,True,20.477,False,False,False
NFLX,SMA Cross,CR,-17.576,-17.576,-17.5756438,True,pinned_default,-17.5756438,True,-8.285,False,False,False
NFLX,SMA Cross,MDD,-27.29,-27.29,-27.2901457125,True,pinned_default,-27.2901457125,True,-15.942,False,False,False
NFLX,SMA Cross,SPR,-1.124,-1.124,-1.12363599643,True,pinned_default,-1.12363599643,True,-1.02,False,False,False
NFLX,Turn of The Month,AV,17.194,17.194,17.193547352,True,pinned_default,17.193547352,True,17.194,True,True,False
NFLX,Turn of The Month,CR,8.383,8.383,8.3825251,True,pinned_default,8.3825251,True,8.383,True,True,False
NFLX,Turn of The Month,MDD,-10.641,-10.641,-10.6406107,True,pinned_default,-10.6406107,True,-10.641,True,True,False
NFLX,Turn of The Month,SPR,0.559,0.559,0.559236118523,True,pinned_default,0.559236118523,True,0.559,True,True,False
NFLX,WMA Cross,AV,22.169,22.169,22.1693644055,True,pinned_default,22.1693644055,True,19.826,False,False,False
NFLX,WMA Cross,CR,-2.289,-2.289,-2.2888502,True,pinned_default,-2.2888502,True,-6.004,False,False,False
NFLX,WMA Cross,MDD,-20.939,-20.939,-20.9394558831,True,pinned_default,-20.9394558831,True,-14.29,False,False,False
NFLX,WMA Cross,SPR,-0.189,-0.189,-0.189363887323,True,pinned_default,-0.189363887323,True,-0.803,False,False,False
NFLX,XGBoost,AV,14.386,14.386,14.386007887,True,historical_two_year_model_window,14.9281639143,False,14.928,False,False,False
NFLX,XGBoost,CR,9.452,9.452,9.4519487,True,historical_two_year_model_window,10.1344674,False,10.134,False,False,False
NFLX,XGBoost,MDD,-7.197,-7.197,-7.19725700313,True,historical_two_year_model_window,-11.2464727437,False,-11.246,False,False,False
