source_member,bytes,sha256,role,raw_experimental_array_or_table,native_pipeline_code
figs/method.pdf,49685,1eb7fa92a3ae78363202c0dbe80b4eb20dd381ad8b72e657cca62ec48a560f3e,active_method_figure,no,no
figs/model.png,20475,33785c851f8c19621f946e820710f7493677da09dc04c2dc715bc78c60fa0cef,active_result_figure_display_geometry,no,no
figs/outer_loop.pdf,19087,50264fd947511b2c1a38295d70b33e7a08be1400ef225a70481f4c1c1e97a771,inactive_source_figure,no,no
figs/outer_loop_effect.pdf,8797,e38a86f75e9c00f8895ea666c1dbb53b0b9881daaeaf11329b26b1fcb47d3f8a,inactive_source_figure,no,no
figs/overview.pdf,43625,543509d7ece77fe92f7600d667747e5af8c2d30883bbf3d754bdd6f8e6a8d047,inactive_source_figure,no,no
figs/proof_route.pdf,13589,688759c7e822ee8ab4c95e3a1b22f53f95d8fa65e851edc346397217f1312e42,inactive_source_figure,no,no
figs/ratio_matrix_oneshot.pdf,11529,919585b581e1197567ff10cc7ee63e14d413a2994b5a19f91027d8aa063c185a,inactive_source_figure,no,no
figs/relevance.pdf,72813,12ae712b06330ca653a63c75250d9b01a50f449a81e52a6c8149895041c20268,active_result_figure_display_geometry,no,no
figs/relevantce_inner.pdf,11634,8f5f5e519832debbef77b9a960d23d6086c5771f8bb7276630fa7fde069a0618,inactive_source_figure,no,no
figs/single_alpha_perf.pdf,135800,00c9083475e986259a8e8545ead4417e0960f331e2ca554707c8641181f40ae2,active_result_figure_display_geometry,no,no
figs/skill_level.pdf,8797,e38a86f75e9c00f8895ea666c1dbb53b0b9881daaeaf11329b26b1fcb47d3f8a,inactive_source_figure,no,no
icml2024.bst,27147,3a69e73c9c8968bd555204d84e59616f3c4fd23c5fd6994502167860bd8a2849,other,no,no
icml2024.sty,28058,9a69345776be533a74190ca82b6f4d6bd9c2ca107546f527fa5be31595adb5e3,latex_style,no,no
main.bbl,11355,65983054f86a56553307b8ebb25085e5ca4b3169c7ae9502e98da7d0db79d7c3,compiled_bibliography,no,no
main.tex,7511,a0e3083805524bd13bcb5e51e7f9d14dd80b0d1061f293a0f28b55c77a287ee2,paper_source,no,no
references.bib,62325,12f2b9a7fcf65bffaee00a0f31c39b196d25a3c19d4356475aac80a69d65bd99,bibliography,no,no
tex/abstract.tex,1114,b382fce21f270ef1bedaff256a51e8a868a6226647096de73a3c3b53f2ea02bc,paper_source,no,no
tex/analysis.tex,13399,bfec0c5f761b0f0286c2fd0e70a561ff68295fdd6c15a653988095420816413c,paper_source,no,no
tex/appendix/experiment.tex,15863,45f859d4a4f11ece4532a888cfae2ed7f4134d7b1577c417f62caaead22165d1,paper_source,no,no
tex/appendix/proof.tex,5488,8baad7c88f6a24f5ae3af02aaaec5f764449b4c47df40c261d65cefbf4f5df4b,paper_source,no,no
tex/conclusion.tex,1060,fe1947df7cf25f0e70fc9755f9ee9b48c9175c236d213b5725eef15747474443,paper_source,no,no
tex/experiment.tex,4041,faf0f397189acc84311ac58746cd225bf8cad958124d25b1b6d836013c10e1bd,paper_source,no,no
tex/intro.tex,4363,2153d1110cbdf97c199a8e556bc18f4f0968335abbe8b01fd2f2ef8b0a0ed7b3,paper_source,no,no
tex/method.tex,6238,8cbb3af9c186ccb0d79b0d039e50c47bd23debf4648bb4f5155267c241a4695f,paper_source,no,no
tex/related_work.tex,2879,b831e812f200c0264a1934414a978aede7dec81354df80602f824b48c4250386,paper_source,no,no
tex/resources/algorithms.tex,2052,b15d1e0ff66e61b62fccb05b5e7a7c8107fab02005801e4f202e1061fe8da506,paper_source,no,no
tex/resources/figures.tex,5575,c0adac3f4399e6e57a35c3137a91147e909858e3b3cc8219fd6d71bf69d2e420,paper_source,no,no
tex/resources/tables.tex,12,ff589674fe9a5617d6cb18b2e4179b050f8fa135d032b560515247869aff023f,paper_source,no,no
tex/result.tex,1962,72efad521ddbf609db8b006b4c6cb71ace7c0c47d31ed0ef655d20d25432738a,paper_source,no,no
