repository,path,source_object_id,bytes,present_in_commit_indices,first_commit_index,last_commit_index,json_shape,top_level_keys,iso_dates,contains_error_marker,content_emitted,native_author_output,paper_result_credit
Kuon12138/SKGP,result/601318.SH_prediction.json,c26712e224dcc7296018841366b5e8555fe3c6c6,186,7,7,7,dict,confidence|factors|market|prediction|symbol|timestamp,2025-04-14,false,no_metadata_only,no,no
Kuon12138/SKGP,result/AAPL.json,2be7108020eba22bbcd89c04d2a8735a41a1d149,187,5,5,5,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,,true,no_metadata_only,no,no
Kuon12138/SKGP,result/AAPL.json,4931bb6a1c5720104e6caa91832d0690b488d3a4,1003,4,4,4,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,result/AAPL.json,7440a47faeaa8c84b4e16c3c71a334cc0e7e3d5b,4833,6,6,6,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,result/AAPL.json,761692f968477247d486abf3d9079b662a61daa3,3653,7,7,7,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,2021-12-22|2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,result/AAPL.json,dc1c33389642f15b92304a535d5f2e499cd09a22,2167,2|3,2,3,dict,confidence|date|features|news_count|prediction|reasoning,2021-12-31,false,no_metadata_only,no,no
Kuon12138/SKGP,result/AAPL_prediction.json,02ebe023e7a19d9a6bea4bcf917635166fae138d,227,7,7,7,dict,confidence|factors|knowledge|market|prediction|reasoning|symbol|timestamp,2025-04-14,true,no_metadata_only,no,no
Kuon12138/SKGP,result/MSFT.json,8cabee0728b50551f7f506bc52005d7177b865e5,238,4|5|6,4,6,dict,confidence|date|factors|knowledge|news_count|prediction|reasoning,,false,no_metadata_only,no,no
Kuon12138/SKGP,skgp.log,1cff2c897f211bf82c8348bebed316a90330d25b,3150,5,5,5,not_json,,2025-04-04,true,no_metadata_only,no,no
Kuon12138/SKGP,skgp.log,98e3c7049dc55ebf5d470a279546b48263bbf913,10771,6,6,6,not_json,,2025-04-04|2025-04-07,true,no_metadata_only,no,no
Kuon12138/SKGP,skgp.log,d7333b84fd2a8ba0afe46ec23f13479edd124fb7,39903,7,7,7,not_json,,2021-12-20|2021-12-22|2025-03-15|2025-04-04|2025-04-07|2025-04-14,true,no_metadata_only,no,no
