archive_id,source_member,bytes,sha256,role,native_pipeline_code,raw_experiment_data_or_result_array,paper_result_credit
alpha_gpt_v1,alphagpt__1_/tex/experiment.tex,4681,398b594f4ef3e9b8a154b98705052291b22f9126e5e18d2b813812a03b5c548c,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/tex/figures.tex,4187,a11cdec38a9573bb3a014e9c0e85dc39adeeaf268653d9677c81540476484ab0,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/tex/intro.tex,4198,eda137659ecf00d9817513d5bbda6f49c67727a47eccb03ca94cef0f6e62adc6,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/tex/preamble.tex,537,50b42105d28739bcb121b695841925fa4abf9cca1ac09c4482cfb9f120d921f3,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/tex/related.tex,1955,1cb47118b06b8dfa4dbcec34cf6dc760065914dc0bd640b7eacadb28aa3c9347,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/tex/sysarch.tex,14731,6c00bd158a0332e1e787ab37331b24b6336834430b42ca170c095ac280c3d2ea,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/tex/tables.tex,2722,9cd2d8effd3ae20ec5355d0af5d9185e6281770cbba8abcfc40a257b773e1746,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/tex/ui.tex,1768,72b1cac126f4f2b332b965f061db0020753e308f8f80ae439f4779f1750b9f34,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/texput.log,699,41e680aa3564192ccc026c6f3289812278c14175e7f70b73ae5f6ab68e8cd391,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/tmp_.___,88,356e83d19a04ec8a4c7e4700f98e2c9eb78645579d2d5b9b8bb39552f2d59954,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,alphagpt__1_/tmp__.ps,243,114843cd8f6d7673a3055358964e707618df3d5f38f310828a0377598dffa280,inactive_duplicate_source_tree,no,no,no
alpha_gpt_v1,fig/3white.jpg,78871,58f1ab4b7309cff7580e7b046cf2aa8850a8809b85cf5b5aea4840b6eff7c23c,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/a2.pdf,41947,6aabcfc9b59f22374e79042578ad3a96929a792904cd2db2362e3536d00b8bd4,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/backtestCurve.pdf,35584,c4d91ebc04c3b7391b261fc8fe451606aa77bff19b29caa5eb2317dfbb665174,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/bollinger.jpg,180924,21ed57199f213a84c6499efed08f64b7f489aa6e9fc2b2753de89440fd02bd8d,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/curve_plot1.pdf,22970,c1ab6501fccf9bcdee2ff97265d8a681083b2442de0270436b0ab8f9f16d0afd,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/figIterativeImprove.pdf,11139,dd6b9193dd10c7552f4120d1be28de4ea5bbacb47844924614bc808cb72a292c,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/figureEvolution.pdf,32190,caa0eb78cecf81fa6b82bf194c894bc2b385317ee43ae787a6400d210bbf039d,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/figureFactorMining.pdf,50853,54f648d5a8b9ea280cdfd3477ed62837384286317c47194c2f3c876cdb837fb6,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/figurePipeline.pdf,163132,e21f8073892bfa14e139b0686548ac9fe8af5a4f52a97422b9dd088aed62aaff,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/figureSystemArchitecture.pdf,352875,693a818ec218a31b5bac975c2821443f81ab7936aad53caa0632a486397e129a,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/figureUI.pdf,813487,729f9d02341a0f789830f8c3550a1a558474b95b0b7a57badbd2bdbba0720543,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/figureUI2.png,2908992,e2139b5199f6fa2d1f575a6e6140bf55a3d86dc790d77ff42681930c9ac49e38,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/histogram.pdf,14242,1f1386dc4ffb5bfdc88d0d7774b0cf38115a9e580d8120cbd8d0bcaf3fb74f90,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/ideaexp.pdf,24159,6a5b18b1468e646bb9192dce3b7b7b7d488569bb0676efeebd9415de6d7375a8,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,fig/ma1.jpg,179741,e0f7bdda89a03b5462974aab8d017102d3e5a7b7a850bba6866b4f2db5665334,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v1,main.bbl,9212,244f87dbbf843cb2e4802d80c3f15f048babb147548b22d68e9663a6a71902c7,bibliography_source_or_build_product,no,no,no
alpha_gpt_v1,main.tex,1456,f63b816038331c2e09eb82c21c42ec0efc32606ce851e2bf9c30eb6971b71f12,paper_tex_source,no,no,no
alpha_gpt_v1,references.bib,140437,d9f3d056971d714d4f3ed349213649fc38e0fd36e39af6dcf7d707b1777f3d4e,bibliography_source_or_build_product,no,no,no
alpha_gpt_v1,tex/abstract.tex,916,1f97c114d86608193cbac33406520453b69979ed6dd835db664d064647d2c908,paper_tex_source,no,no,no
alpha_gpt_v1,tex/experiment.tex,4681,398b594f4ef3e9b8a154b98705052291b22f9126e5e18d2b813812a03b5c548c,paper_tex_source,no,no,no
alpha_gpt_v1,tex/figures.tex,4187,a11cdec38a9573bb3a014e9c0e85dc39adeeaf268653d9677c81540476484ab0,paper_tex_source,no,no,no
alpha_gpt_v1,tex/future.tex,22,0ee7e3cd2d15c7c956eb6927c84921ffa390194077403f0ebdaf1d1d48d04376,paper_tex_source,no,no,no
alpha_gpt_v1,tex/intro.tex,4198,eda137659ecf00d9817513d5bbda6f49c67727a47eccb03ca94cef0f6e62adc6,paper_tex_source,no,no,no
alpha_gpt_v1,tex/pipeline.tex,8331,34e92b010127bac585b694e60e3a74e4de230090e6a40821a24420a1390159a9,paper_tex_source,no,no,no
alpha_gpt_v1,tex/preamble.tex,537,50b42105d28739bcb121b695841925fa4abf9cca1ac09c4482cfb9f120d921f3,paper_tex_source,no,no,no
alpha_gpt_v1,tex/related.tex,1955,1cb47118b06b8dfa4dbcec34cf6dc760065914dc0bd640b7eacadb28aa3c9347,paper_tex_source,no,no,no
alpha_gpt_v1,tex/sysarch.tex,14731,6c00bd158a0332e1e787ab37331b24b6336834430b42ca170c095ac280c3d2ea,paper_tex_source,no,no,no
alpha_gpt_v1,tex/tables.tex,2722,9cd2d8effd3ae20ec5355d0af5d9185e6281770cbba8abcfc40a257b773e1746,paper_tex_source,no,no,no
alpha_gpt_v1,tex/ui.tex,1768,72b1cac126f4f2b332b965f061db0020753e308f8f80ae439f4779f1750b9f34,paper_tex_source,no,no,no
alpha_gpt_v2,00README.json,640,de2560086be5f472468ccaa67415473498a1b01a1fb5df92af0fc7e2943670e7,other_document_source,no,no,no
alpha_gpt_v2,ACM-Reference-Format.bst,90333,01c611b57638307950ef1ea6468e0dd221314c3c6d4836e9de8e38cbf8bafbf9,bibliography_source_or_build_product,no,no,no
alpha_gpt_v2,acl.sty,11615,19dfeddc2c0e448f3926a0bef048a9db3f3611b46265b760caabd7ada4f361de,latex_class_or_style,no,no,no
alpha_gpt_v2,acl_natbib.bst,45186,e332fd51dcea48e2a8a89754892c3cb99674a1cd70b527b661e9aaffc235e83c,bibliography_source_or_build_product,no,no,no
alpha_gpt_v2,fig/3white.jpg,78871,58f1ab4b7309cff7580e7b046cf2aa8850a8809b85cf5b5aea4840b6eff7c23c,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/bollinger.jpg,180924,21ed57199f213a84c6499efed08f64b7f489aa6e9fc2b2753de89440fd02bd8d,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/conceptual_workflow.pdf,21445,4c24a2e3dea58f6ba669de20583f96081b779a7d0e7c70cf5edc3d21630934af,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/curve_plot1.pdf,22970,c1ab6501fccf9bcdee2ff97265d8a681083b2442de0270436b0ab8f9f16d0afd,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/figureEvolution.pdf,32190,caa0eb78cecf81fa6b82bf194c894bc2b385317ee43ae787a6400d210bbf039d,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/figurePipeline.pdf,163132,e21f8073892bfa14e139b0686548ac9fe8af5a4f52a97422b9dd088aed62aaff,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/figureSystemArchitecture.pdf,359262,2553aa5c97cbd473f74ba34d801a346cc3a97297b90eba1b4018c4577d774943,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/figureUI2.png,2908992,e2139b5199f6fa2d1f575a6e6140bf55a3d86dc790d77ff42681930c9ac49e38,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/hierarchical_rag.pdf,42425,1e8597a4f69dac1be4d9562a8ac46cd0ecffc8cb294c419f49614b527cacbc5a,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/ideaexp.pdf,24159,6a5b18b1468e646bb9192dce3b7b7b7d488569bb0676efeebd9415de6d7375a8,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/iterative.pdf,8643,a1720de0c5ce2899426e5c2a99c3c93a8cfd23740df101d0243f27fdcdf13b54,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/llm_vs_gp.png,102038,6e9c153af6a6b886c3e2b9ead5428ed9a7a5c31dd988d01587a02589debdaf82,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/ma1.jpg,179741,e0f7bdda89a03b5462974aab8d017102d3e5a7b7a850bba6866b4f2db5665334,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,fig/search_enhancement.pdf,13414,aaa9802a37ec24af64fd4fd49bf6544a83302ea67781f6e4abe2cd2f7af750f1,paper_figure_or_graphic_asset,no,no,no
alpha_gpt_v2,ijcai24.bib,613054,93f095789a1453055f853c1543c5a02f36807aad17fe30e3ffc297ac264cfc9b,bibliography_source_or_build_product,no,no,no
alpha_gpt_v2,main.bbl,13628,96d210171279f5ec4f1a6b2bbb1f811af84b4f3a6b0f7b39030e794dbfda28ae,bibliography_source_or_build_product,no,no,no
alpha_gpt_v2,main.tex,29541,c68307407db7632a29d76b4ec8c0de8a06a4251c8fec50059b533c2fb1ac4081,paper_tex_source,no,no,no
alpha_gpt_v2,named.bst,22941,72c53a0febca9745a9a6febdc1e49327d2b6ac4f161e1d7a210dd47e5f5dda40,bibliography_source_or_build_product,no,no,no
alpha_gpt_v2,references.bib,162214,d88f51b3147b732b811c82bd7559783db2cf8ea1fec647eaefb155ae11e75ea0,bibliography_source_or_build_product,no,no,no
alpha_gpt_v2,tex/figures.tex,5672,30a57d727eb35363fa38f31899be96cfdc1208ae93e275db448c5da96b1d428b,paper_tex_source,no,no,no
alpha_gpt_v2,tex/tables.tex,6810,ac517592925bdd85059e0efac4806e5e7a8d2b7f91ace6aa27497879eda75276,paper_tex_source,no,no,no
alpha_gpt2_v1,ACM-Reference-Format.bst,90333,01c611b57638307950ef1ea6468e0dd221314c3c6d4836e9de8e38cbf8bafbf9,bibliography_source_or_build_product,no,no,no
alpha_gpt2_v1,acmart.cls,116926,6ee9b0924ec540f4b07ca18f0eac5b90b5ac7c4c0069bce5db5eec74c8f0b514,latex_class_or_style,no,no,no
alpha_gpt2_v1,fig/alphagpt2_0.png,183781,a3c955fdb1cb2f666e272958e792a4c22530b3732808d499f66bb4c9e1774186,paper_figure_or_graphic_asset,no,no,no
alpha_gpt2_v1,fig/arch.pdf,61594,ccf8f0d5ac708a457c152ce756104fdd956a33473961ecd9c9b0d7903ed42c96,paper_figure_or_graphic_asset,no,no,no
alpha_gpt2_v1,fig/figureEvolution.pdf,32190,caa0eb78cecf81fa6b82bf194c894bc2b385317ee43ae787a6400d210bbf039d,paper_figure_or_graphic_asset,no,no,no
alpha_gpt2_v1,fig/figurePipeline.pdf,163132,e21f8073892bfa14e139b0686548ac9fe8af5a4f52a97422b9dd088aed62aaff,paper_figure_or_graphic_asset,no,no,no
alpha_gpt2_v1,fig/figureSystemArchitecture.pdf,352875,693a818ec218a31b5bac975c2821443f81ab7936aad53caa0632a486397e129a,paper_figure_or_graphic_asset,no,no,no
alpha_gpt2_v1,fig/figureUI2.png,2908992,e2139b5199f6fa2d1f575a6e6140bf55a3d86dc790d77ff42681930c9ac49e38,paper_figure_or_graphic_asset,no,no,no
alpha_gpt2_v1,fig/frame.png,630952,3247bdfdd33717deb138bbc413dda7c8494d1e48d21e29e5451226c8b1c59d71,paper_figure_or_graphic_asset,no,no,no
alpha_gpt2_v1,fig/ideaexp.pdf,24159,6a5b18b1468e646bb9192dce3b7b7b7d488569bb0676efeebd9415de6d7375a8,paper_figure_or_graphic_asset,no,no,no
alpha_gpt2_v1,fig/intro.png,550852,9301f8c498038417b300d5338696efbdf1172eb80dd991a41a56010bd6218847,paper_figure_or_graphic_asset,no,no,no
alpha_gpt2_v1,main.bbl,1657,6773fa443558e4143e76f797ae47751fe3bb0a3156eb26078fd5696948677f77,bibliography_source_or_build_product,no,no,no
alpha_gpt2_v1,main.tex,1373,db50d8a041666bd8b50ee2c06f79fbc07d07d80de01867d95e8df186f56c4335,paper_tex_source,no,no,no
alpha_gpt2_v1,references.bib,145648,aad420c950e1ecace662410803076a34023bd5a55fbf23d17f79ed6f6cb84ac7,bibliography_source_or_build_product,no,no,no
alpha_gpt2_v1,tex/abstract.tex,979,e5790bdc30174a3b8e6967b8ffb654f5754f5581cca6cbec6b285536d7bbdd4d,paper_tex_source,no,no,no
alpha_gpt2_v1,tex/experiment.tex,5197,f9def8216b84be62ab7136500d38b33c2ae68b9c478da7d8511ee750cefea53c,inactive_alpha_gpt_1_carryover_not_input_by_main,no,no,no
alpha_gpt2_v1,tex/figures.tex,4605,9944df0000d1370325a8fe4a056fee03d9118f8c2ce396fb62f34dff00441af7,paper_tex_source,no,no,no
alpha_gpt2_v1,tex/intro.tex,5328,f96ff244d7d32587154adc412ba2e94ee0594d003393c90e997f882bd7f34e41,paper_tex_source,no,no,no
alpha_gpt2_v1,tex/preamble.tex,610,501e19fd16385437305e565059d24da8bcda3511f382d40dc33c62ba8cc0d0c9,paper_tex_source,no,no,no
alpha_gpt2_v1,tex/related.tex,1955,1cb47118b06b8dfa4dbcec34cf6dc760065914dc0bd640b7eacadb28aa3c9347,inactive_alpha_gpt_1_carryover_not_input_by_main,no,no,no
alpha_gpt2_v1,tex/sysarch.tex,16153,e6284f04c26a742b1c9ce40725e0f22664773c4ce162f6b404d92ef1c25d2f72,inactive_alpha_gpt_1_carryover_not_input_by_main,no,no,no
alpha_gpt2_v1,tex/tables.tex,3894,93fb073aa944e36fcdec1371ea27b72fbb34001dbd8374605ebbf733063764ed,paper_tex_source,no,no,no
alpha_gpt2_v1,tex/ui.tex,1781,680f8c01a8f47b5044aa43a5053c99098c1291a53147f8e725ee148bb51f06f0,inactive_alpha_gpt_1_carryover_not_input_by_main,no,no,no
alpha_gpt2_v1,tex/workflow.tex,8310,2e1559e9e2d796d239a81563a9f254649f3801ff186fbce0dfa68dc9c39482ec,paper_tex_source,no,no,no
