missing_return_policy,formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure,net_return
zero,2013-03-31,2013-04-30,ok,0.017999416417045225,0.017999513306842723,2.237484999146628,1000,951,0.0013093215876829073,0.0013093215876829073,95,95,0.17419885077642197,0.12382526166528852,2.0,0.015761931417898598
zero,2013-04-30,2013-05-31,ok,-0.07144522504553885,-0.07144522504553885,1.8876215120923363,1000,953,0.0,0.0,95,95,0.1354266717057669,0.08605926636869381,2.0,-0.07333284655763118
zero,2013-05-31,2013-06-30,ok,0.007926270510834593,0.00778083446091885,3.0606904959451886,1000,950,0.004040925922217363,0.01530384972236555,95,95,0.12079641821449336,0.08050076757808479,2.0,0.0048655800148894035
zero,2013-06-30,2013-07-31,ok,-0.010165215054140482,-0.010165215054140475,2.4263028569638054,1000,954,0.0,0.0,95,95,0.19540681562182352,0.08677951963937203,1.9999999999999998,-0.012591517911104287
zero,2013-07-31,2013-08-31,ok,0.013550626617455104,0.013550699281419713,2.5096352761255156,1000,950,0.004036886922870627,0.004036886922870627,95,95,0.12395955851677418,0.07448271635795685,2.0,0.011040991341329588
zero,2013-08-31,2013-09-30,ok,-0.0679343034327435,-0.0679343034327435,1.9209391583689914,1000,947,0.0,0.0,94,94,0.12479020492126561,0.0815109842202107,2.0,-0.06985524259111249
zero,2013-09-30,2013-10-31,ok,0.018591349502949477,0.02021379417869362,2.202492166459616,1000,943,0.0027228639174535787,0.013763478698397018,94,94,0.11351342892188378,0.07397035148933041,2.0,0.01638885733648986
zero,2013-10-31,2013-11-30,ok,-0.006056919616718548,-0.006056919616718551,2.5022265974335607,1000,947,0.0,0.0,94,94,0.10764880944845372,0.0760466391426252,2.0,-0.00855914621415211
zero,2013-11-30,2013-12-31,ok,-0.006269679273627686,-0.0062696792736276815,2.176217930545931,1000,947,0.0,0.0,94,94,0.10226976038310948,0.06853129705351203,1.9999999999999996,-0.008445897204173616
zero,2013-12-31,2014-01-31,ok,-0.03508311676893636,-0.03508311676893635,1.7331249229441221,1000,940,0.0,0.0,94,94,0.15384263345515267,0.0721274146145763,2.0,-0.036816241691880476
zero,2014-01-31,2014-02-28,ok,-0.035759162184700655,-0.03575916218470067,2.34938980964054,1000,936,0.0,0.0,93,93,0.153817804389091,0.06885583447394984,1.9999999999999998,-0.0381085519943412
zero,2014-02-28,2014-03-31,ok,0.023112358768175884,0.021320333173705002,2.6429868166198442,1000,940,0.0,0.006402835481173652,94,94,0.09612735130514376,0.05129458150539818,2.0,0.02046937195155604
zero,2014-03-31,2014-04-30,ok,0.0005824073660431837,0.0005824073660431865,1.8968517917238374,1000,940,0.0,0.0,94,94,0.11750398639686446,0.05460621376809959,1.9999999999999993,-0.0013144444256806538
zero,2014-04-30,2014-05-31,ok,-0.005855165860190499,-0.005855165860190497,2.7246159611295786,1000,947,0.0,0.0,94,94,0.13365497839230064,0.061041133350496685,2.0000000000000004,-0.008579781821320078
zero,2014-05-31,2014-06-30,ok,-0.01820003154109647,-0.018200031541096465,3.016670144989961,1000,942,0.0,0.0,94,94,0.065017521900594,0.046054544656482004,1.9999999999999993,-0.02121670168608643
zero,2014-06-30,2014-07-31,ok,0.03209999587632615,0.03209999587632614,2.7772541479354143,1000,938,0.0,0.0,93,93,0.12212952054202425,0.05571398189343859,2.0,0.029322741728390736
zero,2014-07-31,2014-08-31,ok,-0.0035634599193908744,-0.0035634599193908783,2.5117202333634223,1000,935,0.0,0.0,93,93,0.09112236002948959,0.05306555367243711,2.0,-0.0060751801527542965
zero,2014-08-31,2014-09-30,ok,0.007361134259427078,0.007361134259427077,2.5915391723633707,1000,933,0.0,0.0,93,93,0.06470832030316628,0.0464273534118469,2.0,0.004769595087063707
zero,2014-09-30,2014-10-31,ok,0.019363633320714016,0.019363633320714016,1.9896686584037586,1000,939,0.0,0.0,93,93,0.15699977428725723,0.06824073329705202,1.9999999999999998,0.017373964662310257
zero,2014-10-31,2014-11-30,ok,0.010770730190595263,0.01077072146299827,2.1969761396244096,1000,937,0.0043637984962518125,0.0043637984962518125,93,93,0.10827787754885526,0.06302321030031015,2.0,0.008573754050970854
zero,2014-11-30,2014-12-31,ok,0.009798559188522434,0.009798559188522434,2.120378969534417,1000,936,0.0,0.0,93,93,0.11283175482318183,0.062049545630478806,2.0,0.007678180218988017
zero,2014-12-31,2015-01-31,ok,0.04012610690996268,0.0403942109724585,2.7864539388638585,1000,931,0.0,0.004391836688658021,93,93,0.13989493077346227,0.07999968139184478,2.0,0.03733965297109883
zero,2015-01-31,2015-02-28,ok,0.019360210610247744,0.01936027585890745,2.7580494834261278,1000,931,0.0015535395168913455,0.0015535395168913455,93,93,0.12728284952134297,0.07407016652517362,1.9999999999999996,0.016602161126821616
zero,2015-02-28,2015-03-31,ok,-0.007812643008892856,-0.007812643008892856,2.6477221568963207,1000,933,0.0,0.0,93,93,0.0796136510238278,0.05995033047361424,2.0,-0.010460365165789177
zero,2015-03-31,2015-04-30,ok,-0.005018752173428887,-0.005018752173428891,2.750762277263974,1000,935,0.0,0.0,93,93,0.21803576886244677,0.0871036100823652,1.9999999999999998,-0.0077695144506928614
zero,2015-04-30,2015-05-31,ok,0.009340488862562871,0.009340517925821575,3.246634076878167,1000,942,0.002906325870336782,0.002906325870336782,94,94,0.26647549608846804,0.11646908713666113,2.0000000000000004,0.006093854785684704
zero,2015-05-31,2015-06-30,ok,0.03445812765713968,0.034458127657139674,2.9715239140364607,1000,941,0.0,0.0,94,94,0.10191968291657975,0.056762910982099256,1.9999999999999998,0.03148660374310322
zero,2015-06-30,2015-07-31,ok,0.10349816073230504,0.10349816073230506,1.8449679959258047,1000,940,0.0,0.0,94,94,0.10627317672088388,0.05427894436944143,2.0,0.10165319273637924
zero,2015-07-31,2015-08-31,ok,-0.020257562974756897,-0.020257669348897705,2.5367134384572276,1000,941,0.0019698914965467895,0.0019698914965467895,94,94,0.10325801082834135,0.06310246799100386,2.0,-0.022794276413214125
zero,2015-08-31,2015-09-30,ok,0.07860561774148168,0.07860561774148168,2.124583862955318,1000,943,0.0,0.0,94,94,0.09502438220712524,0.06312885593417629,2.0,0.07648103387852637
zero,2015-09-30,2015-10-31,ok,-0.003281698577448824,-0.003281698577448831,2.823062263224108,1000,948,0.0,0.0,94,94,0.19406949991032607,0.0930373308765929,2.0000000000000004,-0.006104760840672932
zero,2015-10-31,2015-11-30,ok,0.040366651560462326,0.04036661921452679,2.970298738070887,1000,947,0.0008086483885513987,0.0008086483885513987,94,94,0.2156042585916505,0.11624284626412058,2.0,0.03739635282239144
zero,2015-11-30,2015-12-31,ok,0.08727830234056072,0.08727779648302329,1.769141407989632,1000,950,0.0024556191138300505,0.0024556191138300505,95,95,0.19315573083292784,0.08642074362729511,2.0,0.08550916093257109
zero,2015-12-31,2016-01-31,ok,-0.01930006453408097,-0.019300064534080952,1.7518080132218836,1000,946,0.0,0.0,94,94,0.2048029582307255,0.09832063317207815,2.0,-0.02105187254730285
zero,2016-01-31,2016-02-29,ok,-0.015305439764845023,-0.015305439764845032,2.354801452628441,1000,951,0.0,0.0,95,95,0.08729110561496167,0.05753236835614093,1.9999999999999996,-0.017660241217473463
zero,2016-02-29,2016-03-31,ok,-0.0735454086385647,-0.07354540863856467,1.4949907916944847,1000,952,0.0,0.0,95,95,0.08396547671306505,0.05847133448525789,2.0,-0.07504039943025918
zero,2016-03-31,2016-04-30,ok,-0.08537317766905952,-0.08537317766905951,1.5501781224717688,1000,955,0.0,0.0,95,95,0.08811110751073832,0.06154214119212505,2.0,-0.08692335579153129
zero,2016-04-30,2016-05-31,ok,0.030183628208032304,0.030182961656115476,1.775107863102243,1000,951,0.0028980518123013985,0.0028980518123013985,95,95,0.13291021851937718,0.0685850601432312,1.9999999999999998,0.02840852034493006
zero,2016-05-31,2016-06-30,ok,-0.0012806143209352356,-0.0012818441059104931,1.9437474380122688,1000,957,0.0032707047214266156,0.0032707047214266156,95,95,0.1762778024385629,0.0923357535376258,1.9999999999999998,-0.0032243617589475045
zero,2016-06-30,2016-07-31,ok,-0.019256729089670375,-0.01925732282574403,2.215957858149417,1000,958,0.0017360703907903397,0.0017360703907903397,95,95,0.09585795217524178,0.066586243882692,2.0,-0.021472686947819793
zero,2016-07-31,2016-08-31,ok,-0.0011623947491119068,-0.0011631951009186544,2.6767923151955086,1000,959,0.002425308505289183,0.002425308505289183,95,95,0.14470506143398842,0.07377291222299132,2.0,-0.0038391870643074157
zero,2016-08-31,2016-09-30,ok,-0.04849560341305831,-0.048496003165531654,2.359857617467305,1000,958,0.0009126768798003621,0.0009126768798003621,95,95,0.18367913298041338,0.08945690055740485,2.0,-0.050855461030525614
zero,2016-09-30,2016-10-31,ok,0.031021807228395364,0.031019974113750737,2.517131864296622,1000,960,0.005455698347102275,0.005455698347102275,96,96,0.09488316066931991,0.06447482259695483,1.9999999999999998,0.02850467536409874
zero,2016-10-31,2016-11-30,ok,-0.046627052313888494,-0.0466270523138885,2.4330698441065977,1000,960,0.0,0.0,96,96,0.10474126376094134,0.05885476800770502,2.0,-0.049060122157995094
zero,2016-11-30,2016-12-31,ok,0.03657135152350795,0.03657135152350795,2.829064783111701,1000,963,0.0,0.0,96,96,0.09849676559008691,0.06848431093835486,2.0,0.03374228674039625
zero,2016-12-31,2017-01-31,ok,-0.02175052796773723,-0.021492941701033465,2.7260977418676315,1000,959,0.0,0.006649446711336732,95,95,0.13733334952766466,0.06872148942527694,2.0,-0.024476625709604863
